#timestamp,interval,socket,domain,energy,power
0.005087,0.005139,N0,package,0.1246,24.2520
0.005108,0.005159,N0,ram,0.0108,2.0940
0.005175,0.005183,N1,package,0.1296,25.0124
0.005187,0.005187,N1,ram,0.0113,2.1769
0.010318,0.005231,N0,package,0.1004,19.1942
0.010338,0.005230,N0,ram,0.0066,1.2604
0.010390,0.005215,N1,package,0.1135,21.7576
0.010407,0.005220,N1,ram,0.0098,1.8738
0.015546,0.005228,N0,package,0.0959,18.3408
0.015565,0.005227,N0,ram,0.0063,1.2085
0.015616,0.005226,N1,package,0.1160,22.1898
0.015642,0.005235,N1,ram,0.0098,1.8654
0.020771,0.005225,N0,package,0.0955,18.2699
0.020782,0.005217,N0,ram,0.0066,1.2577
0.020823,0.005207,N1,package,0.1135,21.7915
0.020835,0.005193,N1,ram,0.0100,1.9187
0.025930,0.005159,N0,package,0.1003,19.4493
0.025962,0.005180,N0,ram,0.0078,1.5141
0.026033,0.005210,N1,package,0.1234,23.6870
0.026051,0.005216,N1,ram,0.0101,1.9366
0.031150,0.005220,N0,package,0.1246,23.8648
0.031170,0.005208,N0,ram,0.0102,1.9630
0.031224,0.005191,N1,package,0.1556,29.9835
0.031242,0.005191,N1,ram,0.0117,2.2575
0.036354,0.005204,N0,package,0.1179,22.6596
0.036364,0.005194,N0,ram,0.0095,1.8273
0.036418,0.005194,N1,package,0.1330,25.6059
0.036430,0.005188,N1,ram,0.0093,1.7912
0.041572,0.005218,N0,package,0.1097,21.0312
0.041591,0.005227,N0,ram,0.0083,1.5880
0.041655,0.005237,N1,package,0.1380,26.3505
0.041686,0.005256,N1,ram,0.0098,1.8638
0.046797,0.005225,N0,package,0.1101,21.0734
0.046817,0.005226,N0,ram,0.0089,1.7023
0.046858,0.005203,N1,package,0.1365,26.2299
0.046872,0.005186,N1,ram,0.0096,1.8595
0.051949,0.005152,N0,package,0.1044,20.2582
0.051958,0.005141,N0,ram,0.0059,1.1486
0.052000,0.005142,N1,package,0.1391,27.0517
0.052011,0.005139,N1,ram,0.0096,1.8736
0.057104,0.005155,N0,package,0.1063,20.6131
0.057123,0.005165,N0,ram,0.0065,1.2586
0.057176,0.005176,N1,package,0.1712,33.0760
0.057191,0.005180,N1,ram,0.0117,2.2681
0.062315,0.005211,N0,package,0.1363,26.1552
0.062334,0.005211,N0,ram,0.0107,2.0468
