#timestamp,interval,socket,domain,energy,power
0.005129,0.005181,N0,package,0.1003,19.3670
0.005169,0.005214,N0,ram,0.0080,1.5306
0.005215,0.005221,N1,package,0.1148,21.9889
0.005224,0.005224,N1,ram,0.0106,2.0213
0.010371,0.005242,N0,package,0.0991,18.9086
0.010409,0.005240,N0,ram,0.0084,1.6074
0.010454,0.005239,N1,package,0.1161,22.1586
0.010464,0.005240,N1,ram,0.0106,2.0151
0.015607,0.005236,N0,package,0.1180,22.5447
0.015641,0.005232,N0,ram,0.0096,1.8286
0.015681,0.005227,N1,package,0.1425,27.2663
0.015690,0.005226,N1,ram,0.0124,2.3680
0.020778,0.005171,N0,package,0.0967,18.6963
0.020795,0.005154,N0,ram,0.0063,1.2168
0.020836,0.005155,N1,package,0.1204,23.3481
0.020845,0.005155,N1,ram,0.0105,2.0335
0.025967,0.005189,N0,package,0.1058,20.3845
0.025982,0.005187,N0,ram,0.0091,1.7474
0.026044,0.005208,N1,package,0.1295,24.8687
0.026053,0.005208,N1,ram,0.0105,2.0070
0.031213,0.005246,N0,package,0.1067,20.3376
0.031247,0.005265,N0,ram,0.0071,1.3505
0.031305,0.005261,N1,package,0.1368,26.0107
0.031314,0.005261,N1,ram,0.0096,1.8214
0.036461,0.005248,N0,package,0.1086,20.7014
0.036495,0.005248,N0,ram,0.0089,1.7009
0.036538,0.005233,N1,package,0.1384,26.4409
0.036547,0.005233,N1,ram,0.0098,1.8720
0.041626,0.005165,N0,package,0.1310,25.3589
0.041643,0.005148,N0,ram,0.0111,2.1638
0.041658,0.005120,N1,package,0.1693,33.0684
0.041667,0.005120,N1,ram,0.0116,2.2560
0.046754,0.005128,N0,package,0.1100,21.4603
0.046772,0.005129,N0,ram,0.0085,1.6482
0.046788,0.005130,N1,package,0.1407,27.4358
0.046797,0.005130,N1,ram,0.0096,1.8799
0.051933,0.005179,N0,package,0.1068,20.6243
0.051969,0.005197,N0,ram,0.0071,1.3653
0.052010,0.005222,N1,package,0.1437,27.5263
0.052018,0.005221,N1,ram,0.0096,1.8441
0.057172,0.005239,N0,package,0.1130,21.5760
0.057206,0.005237,N0,ram,0.0059,1.1305
0.057248,0.005238,N1,package,0.1489,28.4198
0.057257,0.005239,N1,ram,0.0098,1.8669
0.062395,0.005223,N0,package,0.1143,21.8874
0.062429,0.005223,N0,ram,0.0089,1.7090
0.062470,0.005222,N1,package,0.1535,29.3951
0.062479,0.005222,N1,ram,0.0100,1.9081
0.067612,0.005217,N0,package,0.1421,27.2355
0.067628,0.005199,N0,ram,0.0125,2.4008
0.067643,0.005173,N1,package,0.1808,34.9600
0.067651,0.005172,N1,ram,0.0135,2.6021
0.072736,0.005124,N0,package,0.1175,22.9305
0.072753,0.005125,N0,ram,0.0096,1.8727
0.072767,0.005124,N1,package,0.1486,29.0056
0.072776,0.005125,N1,ram,0.0116,2.2687
0.077899,0.005163,N0,package,0.1174,22.7440
0.077930,0.005177,N0,ram,0.0073,1.4089
0.077971,0.005204,N1,package,0.1504,28.8979
0.077980,0.005204,N1,ram,0.0099,1.9118
0.083086,0.005187,N0,package,0.1211,23.3465
0.083100,0.005170,N0,ram,0.0089,1.7237
0.083159,0.005188,N1,package,0.1588,30.6000
0.083168,0.005188,N1,ram,0.0096,1.8588
0.088306,0.005220,N0,package,0.1216,23.3025
0.088321,0.005221,N0,ram,0.0090,1.7155
0.088379,0.005220,N1,package,0.1556,29.8164
0.088387,0.005219,N1,ram,0.0097,1.8536
0.093515,0.005209,N0,package,0.1245,23.9033
0.093530,0.005209,N0,ram,0.0071,1.3592
0.093613,0.005234,N1,package,0.1583,30.2494
0.093622,0.005235,N1,ram,0.0096,1.8421
0.098706,0.005191,N0,package,0.1556,29.9717
0.098721,0.005191,N0,ram,0.0104,2.0077
0.098763,0.005150,N1,package,0.1884,36.5731
0.098771,0.005149,N1,ram,0.0116,2.2523
0.103909,0.005203,N0,package,0.1332,25.6082
0.103941,0.005220,N0,ram,0.0089,1.7071
0.103981,0.005218,N1,package,0.1611,30.8814
0.103990,0.005219,N1,ram,0.0096,1.8449
0.109102,0.005193,N0,package,0.1359,26.1747
0.109134,0.005193,N0,ram,0.0089,1.7219
0.109175,0.005194,N1,package,0.1571,30.2462
0.109183,0.005193,N1,ram,0.0097,1.8600
0.114321,0.005219,N0,package,0.1417,27.1542
0.114353,0.005219,N0,ram,0.0091,1.7396
0.114394,0.005219,N1,package,0.1652,31.6579
0.114402,0.005219,N1,ram,0.0096,1.8478
0.119536,0.005215,N0,package,0.1414,27.1180
0.119572,0.005219,N0,ram,0.0091,1.7396
0.119614,0.005220,N1,package,0.1642,31.4651
0.119622,0.005220,N1,ram,0.0097,1.8532
0.124703,0.005167,N0,package,0.1754,33.9491
0.124718,0.005146,N0,ram,0.0108,2.1082
0.124776,0.005162,N1,package,0.2078,40.2487
0.124784,0.005162,N1,ram,0.0116,2.2436
0.129896,0.005193,N0,package,0.1484,28.5724
0.129927,0.005209,N0,ram,0.0089,1.7137
0.129967,0.005191,N1,package,0.1761,33.9327
0.129975,0.005191,N1,ram,0.0096,1.8549
0.135098,0.005202,N0,package,0.1496,28.7573
0.135111,0.005184,N0,ram,0.0091,1.7484
0.135167,0.005200,N1,package,0.1762,33.8868
0.135175,0.005200,N1,ram,0.0096,1.8545
0.140309,0.005211,N0,package,0.1498,28.7438
0.140339,0.005228,N0,ram,0.0089,1.7045
0.140379,0.005212,N1,package,0.1730,33.1988
0.140388,0.005213,N1,ram,0.0097,1.8558
0.145525,0.005216,N0,package,0.1503,28.8085
0.145539,0.005200,N0,ram,0.0078,1.5083
0.145602,0.005223,N1,package,0.1732,33.1642
0.145610,0.005222,N1,ram,0.0097,1.8496
0.150691,0.005166,N0,package,0.1468,28.4156
0.150722,0.005183,N0,ram,0.0089,1.7252
0.150762,0.005160,N1,package,0.2103,40.7504
0.150770,0.005160,N1,ram,0.0116,2.2415
0.155864,0.005173,N0,package,0.1797,34.7343
0.155878,0.005156,N0,ram,0.0107,2.0775
0.155934,0.005172,N1,package,0.1738,33.6094
0.155942,0.005172,N1,ram,0.0097,1.8675
0.161046,0.005182,N0,package,0.1514,29.2114
0.161097,0.005219,N0,ram,0.0089,1.7074
0.161137,0.005203,N1,package,0.1760,33.8315
0.161145,0.005203,N1,ram,0.0096,1.8535
0.166279,0.005233,N0,package,0.1524,29.1235
0.166310,0.005213,N0,ram,0.0089,1.7094
0.166351,0.005214,N1,package,0.1749,33.5379
0.166359,0.005214,N1,ram,0.0097,1.8525
0.171496,0.005217,N0,package,0.1436,27.5163
0.171527,0.005217,N0,ram,0.0057,1.0968
0.171568,0.005217,N1,package,0.1752,33.5765
0.171576,0.005217,N1,ram,0.0097,1.8515
0.176658,0.005162,N0,package,0.1475,28.5666
0.176672,0.005145,N0,ram,0.0101,1.9633
0.176730,0.005162,N1,package,0.2087,40.4260
0.176738,0.005162,N1,ram,0.0116,2.2465
0.181830,0.005172,N0,package,0.1805,34.8957
0.181843,0.005171,N0,ram,0.0089,1.7293
0.181899,0.005169,N1,package,0.1745,33.7594
0.181907,0.005169,N1,ram,0.0096,1.8656
0.187031,0.005201,N0,package,0.1497,28.7874
0.187061,0.005218,N0,ram,0.0090,1.7341
0.187101,0.005202,N1,package,0.1744,33.5326
0.187110,0.005203,N1,ram,0.0096,1.8535
0.192218,0.005187,N0,package,0.1495,28.8171
0.192232,0.005171,N0,ram,0.0090,1.7498
0.192290,0.005189,N1,package,0.1756,33.8408
0.192298,0.005188,N1,ram,0.0096,1.8588
0.197434,0.005216,N0,package,0.1442,27.6501
0.197449,0.005217,N0,ram,0.0057,1.0909
0.197506,0.005216,N1,package,0.1736,33.2901
0.197514,0.005216,N1,ram,0.0096,1.8489
0.202607,0.005173,N0,package,0.1448,27.9987
0.202639,0.005190,N0,ram,0.0051,0.9820
0.202680,0.005174,N1,package,0.1751,33.8447
0.202688,0.005174,N1,ram,0.0097,1.8667
0.207768,0.005161,N0,package,0.1801,34.8989
0.207798,0.005159,N0,ram,0.0107,2.0763
0.207839,0.005159,N1,package,0.2095,40.6160
0.207846,0.005158,N1,ram,0.0116,2.2424
0.212957,0.005189,N0,package,0.1509,29.0888
0.212988,0.005190,N0,ram,0.0092,1.7757
0.213028,0.005189,N1,package,0.1744,33.6040
0.213036,0.005190,N1,ram,0.0097,1.8640
0.218146,0.005189,N0,package,0.1505,28.9947
0.218177,0.005189,N0,ram,0.0092,1.7761
0.218217,0.005189,N1,package,0.1731,33.3586
0.218225,0.005189,N1,ram,0.0097,1.8643
0.223361,0.005215,N0,package,0.1494,28.6395
0.223391,0.005214,N0,ram,0.0092,1.7676
0.223432,0.005215,N1,package,0.1774,34.0116
0.223440,0.005215,N1,ram,0.0096,1.8492
0.228575,0.005214,N0,package,0.1506,28.8893
0.228606,0.005215,N0,ram,0.0091,1.7380
0.228646,0.005214,N1,package,0.1728,33.1399
0.228655,0.005215,N1,ram,0.0097,1.8551
0.233735,0.005160,N0,package,0.1777,34.4456
0.233765,0.005159,N0,ram,0.0110,2.1355
0.233805,0.005159,N1,package,0.2097,40.6377
0.233813,0.005158,N1,ram,0.0116,2.2454
0.238919,0.005184,N0,package,0.1487,28.6812
0.238942,0.005177,N0,ram,0.0092,1.7802
0.238999,0.005194,N1,package,0.1766,34.0080
0.239007,0.005194,N1,ram,0.0096,1.8537
0.244119,0.005200,N0,package,0.1516,29.1552
0.244150,0.005208,N0,ram,0.0089,1.7081
0.244191,0.005192,N1,package,0.1727,33.2681
0.244199,0.005192,N1,ram,0.0097,1.8604
0.249333,0.005214,N0,package,0.1481,28.4106
0.249364,0.005214,N0,ram,0.0089,1.7091
0.249404,0.005213,N1,package,0.1749,33.5557
0.249413,0.005214,N1,ram,0.0097,1.8525
0.254547,0.005214,N0,package,0.1512,28.9959
0.254584,0.005220,N0,ram,0.0071,1.3651
0.254625,0.005221,N1,package,0.1762,33.7507
0.254633,0.005220,N1,ram,0.0096,1.8474
0.259713,0.005166,N0,package,0.1479,28.6387
0.259743,0.005159,N0,ram,0.0091,1.7568
0.259783,0.005158,N1,package,0.1745,33.8312
0.259791,0.005158,N1,ram,0.0096,1.8696
0.264891,0.005178,N0,package,0.1809,34.9380
0.264905,0.005162,N0,ram,0.0109,2.1047
0.264962,0.005179,N1,package,0.2101,40.5631
0.264969,0.005178,N1,ram,0.0116,2.2367
0.270080,0.005189,N0,package,0.1476,28.4536
0.270111,0.005206,N0,ram,0.0083,1.6004
0.270151,0.005189,N1,package,0.1732,33.3703
0.270159,0.005190,N1,ram,0.0096,1.8581
0.275293,0.005213,N0,package,0.1496,28.6968
0.275324,0.005213,N0,ram,0.0089,1.7123
0.275365,0.005214,N1,package,0.1749,33.5379
0.275373,0.005214,N1,ram,0.0096,1.8495
0.280507,0.005214,N0,package,0.1484,28.4692
0.280538,0.005214,N0,ram,0.0091,1.7384
0.280579,0.005214,N1,package,0.1768,33.9125
0.280587,0.005214,N1,ram,0.0096,1.8496
0.285669,0.005162,N0,package,0.1517,29.3825
0.285684,0.005146,N0,ram,0.0093,1.8117
0.285722,0.005143,N1,package,0.1756,34.1436
0.285730,0.005143,N1,ram,0.0099,1.9344
0.290809,0.005140,N0,package,0.1801,35.0295
0.290824,0.005140,N0,ram,0.0108,2.1107
0.290866,0.005144,N1,package,0.2125,41.3022
0.290889,0.005159,N1,ram,0.0116,2.2449
0.295999,0.005190,N0,package,0.1570,30.2595
0.296030,0.005206,N0,ram,0.0093,1.7938
0.296071,0.005205,N1,package,0.1796,34.5109
0.296079,0.005190,N1,ram,0.0100,1.9198
0.301189,0.005190,N0,package,0.1472,28.3530
0.301203,0.005173,N0,ram,0.0082,1.5840
0.301261,0.005190,N1,package,0.1760,33.9154
0.301269,0.005190,N1,ram,0.0096,1.8581
0.306404,0.005215,N0,package,0.1486,28.4874
0.306419,0.005216,N0,ram,0.0089,1.7113
0.306475,0.005214,N1,package,0.1738,33.3272
0.306483,0.005214,N1,ram,0.0097,1.8525
0.311607,0.005203,N0,package,0.1499,28.8107
0.311621,0.005202,N0,ram,0.0086,1.6543
0.311679,0.005204,N1,package,0.1777,34.1419
0.311687,0.005204,N1,ram,0.0077,1.4807
0.316768,0.005161,N0,package,0.1513,29.3169
0.316798,0.005177,N0,ram,0.0089,1.7183
0.316838,0.005159,N1,package,0.1703,33.0204
0.316846,0.005159,N1,ram,0.0097,1.8752
0.321959,0.005191,N0,package,0.1779,34.2752
0.321973,0.005175,N0,ram,0.0099,1.9225
0.322030,0.005192,N1,package,0.2092,40.2979
0.322039,0.005193,N1,ram,0.0116,2.2273
0.327148,0.005189,N0,package,0.1500,28.9110
0.327188,0.005215,N0,ram,0.0085,1.6239
0.327228,0.005198,N1,package,0.1759,33.8406
0.327236,0.005197,N1,ram,0.0096,1.8526
0.332370,0.005222,N0,package,0.1461,27.9821
0.332401,0.005213,N0,ram,0.0076,1.4518
0.332443,0.005215,N1,package,0.1723,33.0387
0.332451,0.005215,N1,ram,0.0096,1.8492
0.337579,0.005209,N0,package,0.1449,27.8169
0.337609,0.005208,N0,ram,0.0053,1.0196
0.337649,0.005206,N1,package,0.1762,33.8480
0.337657,0.005206,N1,ram,0.0096,1.8524
0.342738,0.005159,N0,package,0.1415,27.4231
0.342768,0.005159,N0,ram,0.0055,1.0647
0.342808,0.005159,N1,package,0.1727,33.4700
0.342816,0.005159,N1,ram,0.0097,1.8782
0.347921,0.005183,N0,package,0.1755,33.8562
0.347934,0.005166,N0,ram,0.0077,1.4887
0.347993,0.005185,N1,package,0.2015,38.8685
0.348001,0.005185,N1,ram,0.0116,2.2396
0.353106,0.005185,N0,package,0.1456,28.0756
0.353136,0.005202,N0,ram,0.0053,1.0208
0.353177,0.005184,N1,package,0.1772,34.1796
0.353185,0.005184,N1,ram,0.0096,1.8602
0.358314,0.005208,N0,package,0.1429,27.4353
0.358327,0.005191,N0,ram,0.0053,1.0229
0.358383,0.005206,N1,package,0.1704,32.7327
0.358391,0.005206,N1,ram,0.0097,1.8583
0.363525,0.005211,N0,package,0.1454,27.9109
0.363562,0.005235,N0,ram,0.0053,1.0114
0.363603,0.005220,N1,package,0.1768,33.8738
0.363612,0.005221,N1,ram,0.0096,1.8470
0.368693,0.005168,N0,package,0.1432,27.7070
0.368723,0.005161,N0,ram,0.0055,1.0584
0.368765,0.005162,N1,package,0.1697,32.8824
0.368773,0.005161,N1,ram,0.0097,1.8744
0.373885,0.005192,N0,package,0.1464,28.2015
0.373899,0.005176,N0,ram,0.0068,1.3148
0.373956,0.005191,N1,package,0.2118,40.7992
0.373964,0.005191,N1,ram,0.0116,2.2252
0.379068,0.005183,N0,package,0.1735,33.4794
0.379081,0.005182,N0,ram,0.0071,1.3693
0.379138,0.005182,N1,package,0.1723,33.2500
0.379146,0.005182,N1,ram,0.0096,1.8610
0.384281,0.005213,N0,package,0.1465,28.1114
