#timestamp,interval,socket,domain,energy,power
0.005173,0.005229,N0,package,0.1097,20.9754
0.005218,0.005266,N0,ram,0.0120,2.2862
0.005275,0.005281,N1,package,0.1123,21.2659
0.005291,0.005291,N1,ram,0.0108,2.0389
0.010448,0.005275,N0,package,0.1399,26.5199
0.010477,0.005259,N0,ram,0.0105,2.0020
0.010533,0.005258,N1,package,0.0886,16.8554
0.010550,0.005259,N1,ram,0.0087,1.6596
0.015716,0.005268,N0,package,0.1158,21.9783
0.015733,0.005256,N0,ram,0.0101,1.9190
0.015781,0.005248,N1,package,0.0861,16.4100
0.015790,0.005240,N1,ram,0.0066,1.2580
0.020922,0.005206,N0,package,0.1177,22.6162
0.020951,0.005218,N0,ram,0.0101,1.9358
0.021010,0.005229,N1,package,0.0821,15.6994
0.021028,0.005238,N1,ram,0.0072,1.3750
0.026178,0.005256,N0,package,0.1249,23.7594
0.026214,0.005263,N0,ram,0.0101,1.9165
0.026261,0.005251,N1,package,0.0880,16.7497
0.026271,0.005243,N1,ram,0.0108,2.0635
0.031432,0.005254,N0,package,0.1620,30.8427
0.031468,0.005254,N0,ram,0.0119,2.2624
0.031516,0.005255,N1,package,0.1078,20.5107
0.031526,0.005255,N1,ram,0.0097,1.8438
0.036633,0.005201,N0,package,0.1378,26.4860
0.036673,0.005205,N0,ram,0.0092,1.7677
0.036735,0.005219,N1,package,0.0920,17.6358
0.036752,0.005226,N1,ram,0.0097,1.8511
0.041891,0.005258,N0,package,0.1419,26.9895
0.041919,0.005246,N0,ram,0.0093,1.7772
0.041974,0.005239,N1,package,0.0936,17.8597
0.041999,0.005247,N1,ram,0.0101,1.9252
0.047163,0.005272,N0,package,0.1373,26.0480
0.047191,0.005272,N0,ram,0.0095,1.7974
0.047246,0.005272,N1,package,0.0981,18.6165
0.047263,0.005264,N1,ram,0.0097,1.8349
0.052410,0.005247,N0,package,0.1699,32.3737
0.052436,0.005245,N0,ram,0.0111,2.1179
0.052491,0.005245,N1,package,0.1089,20.7719
0.052506,0.005243,N1,ram,0.0086,1.6356
0.057596,0.005186,N0,package,0.1400,26.9982
0.057630,0.005194,N0,ram,0.0093,1.7979
0.057696,0.005205,N1,package,0.0922,17.7069
0.057705,0.005199,N1,ram,0.0047,0.9098
0.062836,0.005240,N0,package,0.1439,27.4544
0.062864,0.005234,N0,ram,0.0093,1.7783
0.062933,0.005237,N1,package,0.0994,18.9733
0.062943,0.005238,N1,ram,0.0090,1.7274
0.068106,0.005270,N0,package,0.1473,27.9580
0.068121,0.005257,N0,ram,0.0096,1.8345
0.068167,0.005234,N1,package,0.1027,19.6259
0.068175,0.005232,N1,ram,0.0097,1.8461
0.073338,0.005232,N0,package,0.1498,28.6389
0.073389,0.005268,N0,ram,0.0143,2.7111
0.073419,0.005252,N1,package,0.1223,23.2896
0.073434,0.005259,N1,ram,0.0090,1.7090
0.078542,0.005204,N0,package,0.1833,35.2210
0.078580,0.005191,N0,ram,0.0147,2.8279
0.078611,0.005192,N1,package,0.1042,20.0784
0.078619,0.005185,N1,ram,0.0063,1.2183
0.083721,0.005179,N0,package,0.1477,28.5204
0.083736,0.005156,N0,ram,0.0119,2.2995
0.083780,0.005169,N1,package,0.1059,20.4861
0.083788,0.005169,N1,ram,0.0063,1.2251
0.088898,0.005177,N0,package,0.1558,30.0989
0.088914,0.005178,N0,ram,0.0119,2.2927
0.088958,0.005178,N1,package,0.1080,20.8638
0.088967,0.005179,N1,ram,0.0047,0.9104
0.094124,0.005226,N0,package,0.1579,30.2145
0.094139,0.005225,N0,ram,0.0134,2.5670
0.094184,0.005226,N1,package,0.1096,20.9761
0.094192,0.005225,N1,ram,0.0066,1.2703
0.099349,0.005225,N0,package,0.1516,29.0038
0.099390,0.005251,N0,ram,0.0154,2.9232
0.099454,0.005270,N1,package,0.1337,25.3637
0.099462,0.005270,N1,ram,0.0080,1.5114
0.104543,0.005194,N0,package,0.1915,36.8753
0.104557,0.005167,N0,ram,0.0128,2.4718
0.104601,0.005147,N1,package,0.1124,21.8314
0.104609,0.005147,N1,ram,0.0062,1.2066
0.109729,0.005186,N0,package,0.1572,30.3170
0.109743,0.005186,N0,ram,0.0129,2.4922
0.109787,0.005186,N1,package,0.1147,22.1140
0.109795,0.005186,N1,ram,0.0063,1.2240
0.114916,0.005187,N0,package,0.1597,30.7835
0.114942,0.005199,N0,ram,0.0131,2.5122
0.114994,0.005207,N1,package,0.1210,23.2440
0.115010,0.005215,N1,ram,0.0066,1.2727
0.120169,0.005253,N0,package,0.1602,30.4997
0.120196,0.005254,N0,ram,0.0130,2.4716
0.120248,0.005254,N1,package,0.1235,23.5019
0.120264,0.005254,N1,ram,0.0049,0.9235
0.125384,0.005215,N0,package,0.2094,40.1562
0.125398,0.005202,N0,ram,0.0244,4.6844
0.125442,0.005194,N1,package,0.1536,29.5647
0.125450,0.005186,N1,ram,0.0080,1.5389
0.130551,0.005167,N0,package,0.1724,33.3702
0.130576,0.005178,N0,ram,0.0168,3.2445
0.130628,0.005186,N1,package,0.1293,24.9397
0.130642,0.005192,N1,ram,0.0062,1.1932
0.135769,0.005218,N0,package,0.1865,35.7460
0.135794,0.005218,N0,ram,0.0165,3.1640
0.135846,0.005218,N1,package,0.1334,25.5696
0.135861,0.005219,N1,ram,0.0060,1.1578
0.140988,0.005219,N0,package,0.1796,34.4062
0.141013,0.005219,N0,ram,0.0168,3.2249
0.141078,0.005232,N1,package,0.1350,25.8041
0.141086,0.005225,N1,ram,0.0068,1.2996
0.146218,0.005230,N0,package,0.1926,36.8182
0.146232,0.005219,N0,ram,0.0169,3.2336
0.146276,0.005198,N1,package,0.1450,27.8873
0.146284,0.005198,N1,ram,0.0057,1.0949
0.151398,0.005180,N0,package,0.2307,44.5402
0.151412,0.005180,N0,ram,0.0201,3.8735
0.151456,0.005180,N1,package,0.1740,33.5819
0.151463,0.005179,N1,ram,0.0072,1.3935
0.156564,0.005166,N0,package,0.1926,37.2871
0.156589,0.005177,N0,ram,0.0168,3.2451
0.156641,0.005185,N1,package,0.1462,28.1920
0.156655,0.005192,N1,ram,0.0067,1.2814
0.161781,0.005217,N0,package,0.1873,35.9046
0.161806,0.005217,N0,ram,0.0168,3.2262
0.161857,0.005216,N1,package,0.1429,27.4056
0.161872,0.005217,N1,ram,0.0060,1.1583
0.167000,0.005219,N0,package,0.1924,36.8621
0.167025,0.005219,N0,ram,0.0169,3.2424
0.167077,0.005220,N1,package,0.1456,27.8975
0.167092,0.005220,N1,ram,0.0060,1.1547
0.172251,0.005251,N0,package,0.1920,36.5681
0.172265,0.005240,N0,ram,0.0171,3.2700
0.172309,0.005232,N1,package,0.1449,27.6952
0.172316,0.005224,N1,ram,0.0072,1.3874
0.177456,0.005205,N0,package,0.2355,45.2523
0.177469,0.005204,N0,ram,0.0204,3.9144
0.177513,0.005204,N1,package,0.1740,33.4382
0.177520,0.005204,N1,ram,0.0078,1.5042
0.182643,0.005187,N0,package,0.1907,36.7715
0.182668,0.005199,N0,ram,0.0167,3.2050
0.182732,0.005219,N1,package,0.1456,27.9039
0.182739,0.005219,N1,ram,0.0052,1.0028
0.187842,0.005199,N0,package,0.1882,36.2058
0.187856,0.005188,N0,ram,0.0171,3.2912
0.187901,0.005169,N1,package,0.1461,28.2673
0.187909,0.005170,N1,ram,0.0062,1.1954
0.193030,0.005188,N0,package,0.1918,36.9765
0.193058,0.005202,N0,ram,0.0168,3.2265
0.193112,0.005211,N1,package,0.1459,27.9941
0.193128,0.005219,N1,ram,0.0073,1.3917
0.198267,0.005237,N0,package,0.1920,36.6530
0.198281,0.005223,N0,ram,0.0166,3.1785
0.198326,0.005214,N1,package,0.1450,27.8019
0.198333,0.005205,N1,ram,0.0056,1.0817
0.203451,0.005184,N0,package,0.2255,43.4928
0.203466,0.005185,N0,ram,0.0201,3.8729
0.203510,0.005184,N1,package,0.1740,33.5541
0.203517,0.005184,N1,ram,0.0078,1.5071
0.208618,0.005167,N0,package,0.1927,37.3038
0.208643,0.005177,N0,ram,0.0170,3.2923
0.208694,0.005184,N1,package,0.1456,28.0808
0.208708,0.005191,N1,ram,0.0060,1.1552
0.213837,0.005219,N0,package,0.1905,36.4996
0.213851,0.005208,N0,ram,0.0168,3.2316
0.213895,0.005201,N1,package,0.1462,28.1185
0.213902,0.005194,N1,ram,0.0071,1.3602
0.219025,0.005188,N0,package,0.1931,37.2118
0.219050,0.005199,N0,ram,0.0168,3.2314
0.219101,0.005206,N1,package,0.1450,27.8557
0.219117,0.005215,N1,ram,0.0081,1.5625
