#timestamp,interval,socket,domain,energy,power
0.005102,0.005156,N0,package,0.1052,20.3962
0.005148,0.005201,N0,ram,0.0087,1.6810
0.005207,0.005217,N1,package,0.1078,20.6616
0.005223,0.005223,N1,ram,0.0095,1.8201
0.010354,0.005252,N0,package,0.1033,19.6628
0.010374,0.005226,N0,ram,0.0078,1.4862
0.010425,0.005218,N1,package,0.1118,21.4172
0.010442,0.005219,N1,ram,0.0101,1.9355
0.015576,0.005222,N0,package,0.1166,22.3249
0.015609,0.005235,N0,ram,0.0081,1.5448
0.015670,0.005245,N1,package,0.1352,25.7757
0.015688,0.005246,N1,ram,0.0124,2.3619
0.020808,0.005232,N0,package,0.0950,18.1516
0.020820,0.005211,N0,ram,0.0064,1.2357
0.020867,0.005197,N1,package,0.1129,21.7268
0.020880,0.005192,N1,ram,0.0099,1.9162
0.025959,0.005151,N0,package,0.1055,20.4753
0.025969,0.005149,N0,ram,0.0095,1.8403
0.026030,0.005163,N1,package,0.1259,24.3883
0.026041,0.005161,N1,ram,0.0101,1.9631
0.031121,0.005162,N0,package,0.1069,20.7037
0.031131,0.005162,N0,ram,0.0090,1.7529
0.031187,0.005157,N1,package,0.1304,25.2804
0.031199,0.005158,N1,ram,0.0079,1.5265
0.036301,0.005180,N0,package,0.1022,19.7249
0.036311,0.005180,N0,ram,0.0092,1.7822
0.036356,0.005169,N1,package,0.1325,25.6342
0.036365,0.005166,N1,ram,0.0100,1.9376
0.041489,0.005188,N0,package,0.1084,20.8941
0.041508,0.005197,N0,ram,0.0089,1.7117
0.041570,0.005214,N1,package,0.1632,31.3020
0.041585,0.005220,N1,ram,0.0116,2.2128
0.046667,0.005178,N0,package,0.1269,24.5061
0.046677,0.005169,N0,ram,0.0096,1.8627
0.046693,0.005123,N1,package,0.1371,26.7712
0.046705,0.005120,N1,ram,0.0096,1.8805
0.051799,0.005132,N0,package,0.0989,19.2788
0.051818,0.005141,N0,ram,0.0059,1.1516
0.051846,0.005153,N1,package,0.1367,26.5310
0.051863,0.005158,N1,ram,0.0097,1.8726
0.056945,0.005146,N0,package,0.1108,21.5389
0.056956,0.005138,N0,ram,0.0077,1.4938
0.057016,0.005170,N1,package,0.1420,27.4724
0.057027,0.005164,N1,ram,0.0098,1.9000
0.062103,0.005158,N0,package,0.1168,22.6477
0.062113,0.005157,N0,ram,0.0092,1.7841
0.062144,0.005128,N1,package,0.1437,28.0173
0.062154,0.005127,N1,ram,0.0098,1.9107
0.067253,0.005150,N0,package,0.1270,24.6637
0.067262,0.005149,N0,ram,0.0091,1.7603
0.067320,0.005176,N1,package,0.1293,24.9762
0.067331,0.005177,N1,ram,0.0084,1.6299
0.072429,0.005176,N0,package,0.1387,26.8028
0.072438,0.005176,N0,ram,0.0132,2.5588
0.072512,0.005192,N1,package,0.1133,21.8300
0.072523,0.005192,N1,ram,0.0069,1.3343
0.077684,0.005255,N0,package,0.1459,27.7592
0.077694,0.005256,N0,ram,0.0093,1.7709
0.077714,0.005202,N1,package,0.1355,26.0470
0.077725,0.005202,N1,ram,0.0056,1.0794
0.082817,0.005133,N0,package,0.1085,21.1302
0.082849,0.005155,N0,ram,0.0041,0.7933
0.082879,0.005165,N1,package,0.1083,20.9640
0.082889,0.005164,N1,ram,0.0039,0.7535
0.087980,0.005163,N0,package,0.1061,20.5571
0.087999,0.005150,N0,ram,0.0037,0.7259
0.088066,0.005187,N1,package,0.1068,20.5803
0.088082,0.005193,N1,ram,0.0040,0.7787
0.093212,0.005232,N0,package,0.1096,20.9406
0.093231,0.005232,N0,ram,0.0048,0.9099
0.093284,0.005218,N1,package,0.1100,21.0896
0.093294,0.005212,N1,ram,0.0056,1.0686
0.098424,0.005212,N0,package,0.1099,21.0786
0.098443,0.005212,N0,ram,0.0054,1.0393
0.098495,0.005211,N1,package,0.1010,19.3842
0.098511,0.005217,N1,ram,0.0056,1.0675
0.103650,0.005226,N0,package,0.1089,20.8477
0.103669,0.005226,N0,ram,0.0065,1.2439
0.103723,0.005228,N1,package,0.1066,20.3955
0.103734,0.005223,N1,ram,0.0072,1.3848
0.108825,0.005175,N0,package,0.1306,25.2391
0.108835,0.005166,N0,ram,0.0067,1.3026
0.108906,0.005183,N1,package,0.1102,21.2676
0.108938,0.005204,N1,ram,0.0076,1.4690
0.114029,0.005204,N0,package,0.1136,21.8269
0.114048,0.005213,N0,ram,0.0070,1.3377
0.114119,0.005213,N1,package,0.1026,19.6824
0.114129,0.005191,N1,ram,0.0072,1.3963
0.119258,0.005229,N0,package,0.1055,20.1817
0.119277,0.005229,N0,ram,0.0054,1.0359
0.119351,0.005232,N1,package,0.0915,17.4866
0.119378,0.005249,N1,ram,0.0033,0.6308
0.124525,0.005267,N0,package,0.1096,20.8012
0.124543,0.005266,N0,ram,0.0062,1.1822
0.124624,0.005273,N1,package,0.0916,17.3622
0.124655,0.005277,N1,ram,0.0043,0.8183
0.129747,0.005222,N0,package,0.1085,20.7694
0.129766,0.005223,N0,ram,0.0068,1.3030
0.129819,0.005195,N1,package,0.1093,21.0308
0.129839,0.005184,N1,ram,0.0057,1.0950
0.134937,0.005190,N0,package,0.1254,24.1665
0.134946,0.005180,N0,ram,0.0068,1.3079
0.134995,0.005176,N1,package,0.0880,16.9920
0.135007,0.005168,N1,ram,0.0040,0.7736
0.140078,0.005141,N0,package,0.1099,21.3828
0.140087,0.005141,N0,ram,0.0074,1.4425
0.140134,0.005139,N1,package,0.0930,18.0889
0.140148,0.005141,N1,ram,0.0040,0.7717
0.145279,0.005201,N0,package,0.1064,20.4659
0.145297,0.005210,N0,ram,0.0075,1.4468
0.145356,0.005222,N1,package,0.0941,18.0227
0.145374,0.005226,N1,ram,0.0045,0.8584
0.150515,0.005236,N0,package,0.1019,19.4672
0.150524,0.005227,N0,ram,0.0074,1.4100
0.150572,0.005216,N1,package,0.0892,17.1080
0.150583,0.005209,N1,ram,0.0046,0.8875
0.155649,0.005134,N0,package,0.1016,19.7819
0.155658,0.005134,N0,ram,0.0074,1.4444
0.155708,0.005136,N1,package,0.0910,17.7187
0.155720,0.005137,N1,ram,0.0050,0.9654
0.160813,0.005164,N0,package,0.1180,22.8472
0.160832,0.005174,N0,ram,0.0082,1.5926
0.160891,0.005183,N1,package,0.1015,19.5836
0.160909,0.005189,N1,ram,0.0058,1.1204
0.165990,0.005177,N0,package,0.0973,18.7927
0.165999,0.005167,N0,ram,0.0071,1.3702
0.166047,0.005156,N1,package,0.0845,16.3832
0.166060,0.005151,N1,ram,0.0046,0.8976
0.171135,0.005145,N0,package,0.1059,20.5820
0.171145,0.005146,N0,ram,0.0077,1.4974
0.171192,0.005145,N1,package,0.0881,17.1181
0.171204,0.005144,N1,ram,0.0045,0.8751
0.176312,0.005177,N0,package,0.1029,19.8773
0.176321,0.005176,N0,ram,0.0080,1.5477
0.176369,0.005177,N1,package,0.0898,17.3425
0.176382,0.005178,N1,ram,0.0048,0.9283
0.181491,0.005179,N0,package,0.1034,19.9643
0.181500,0.005179,N0,ram,0.0075,1.4525
0.181548,0.005179,N1,package,0.0861,16.6290
0.181559,0.005177,N1,ram,0.0050,0.9579
0.186666,0.005175,N0,package,0.1004,19.4011
0.186676,0.005176,N0,ram,0.0080,1.5477
0.186719,0.005171,N1,package,0.0882,17.0557
0.186729,0.005170,N1,ram,0.0050,0.9621
0.191823,0.005157,N0,package,0.1139,22.0849
0.191833,0.005157,N0,ram,0.0091,1.7576
0.191915,0.005196,N1,package,0.0986,18.9821
0.191927,0.005198,N1,ram,0.0054,1.0450
0.197019,0.005196,N0,package,0.0981,18.8773
0.197038,0.005205,N0,ram,0.0078,1.5039
0.197110,0.005195,N1,package,0.0820,15.7790
0.197122,0.005195,N1,ram,0.0048,0.9311
0.202228,0.005209,N0,package,0.1013,19.4390
0.202237,0.005199,N0,ram,0.0067,1.2855
0.202300,0.005190,N1,package,0.0861,16.5939
0.202311,0.005189,N1,ram,0.0050,0.9586
0.207442,0.005214,N0,package,0.1008,19.3258
0.207461,0.005224,N0,ram,0.0080,1.5335
0.207515,0.005215,N1,package,0.0840,16.1156
0.207532,0.005221,N1,ram,0.0051,0.9820
0.212650,0.005208,N0,package,0.0956,18.3652
0.212660,0.005199,N0,ram,0.0083,1.6025
0.212702,0.005187,N1,package,0.0857,16.5207
0.212713,0.005181,N1,ram,0.0053,1.0249
0.217806,0.005156,N0,package,0.0977,18.9402
0.217825,0.005165,N0,ram,0.0082,1.5805
0.217885,0.005183,N1,package,0.1007,19.4305
0.217905,0.005192,N1,ram,0.0070,1.3431
0.222987,0.005181,N0,package,0.1160,22.3828
0.222996,0.005171,N0,ram,0.0099,1.9239
0.223044,0.005159,N1,package,0.0855,16.5753
0.223057,0.005152,N1,ram,0.0047,0.9063
0.228149,0.005162,N0,package,0.0968,18.7528
0.228168,0.005172,N0,ram,0.0083,1.6079
