#timestamp,interval,socket,domain,energy,power
0.005168,0.005224,N0,package,0.1183,22.6546
0.005201,0.005248,N0,ram,0.0106,2.0120
0.005246,0.005251,N1,package,0.1295,24.6643
0.005255,0.005255,N1,ram,0.0102,1.9339
0.010352,0.005184,N0,package,0.0959,18.5077
0.010371,0.005170,N0,ram,0.0078,1.5082
0.010387,0.005141,N1,package,0.1119,21.7617
0.010411,0.005156,N1,ram,0.0099,1.9266
0.015524,0.005172,N0,package,0.0944,18.2562
0.015558,0.005187,N0,ram,0.0047,0.9031
0.015573,0.005186,N1,package,0.1174,22.6329
0.015582,0.005171,N1,ram,0.0101,1.9534
0.020704,0.005180,N0,package,0.0953,18.3934
0.020740,0.005182,N0,ram,0.0063,1.2102
0.020784,0.005211,N1,package,0.1158,22.2303
0.020794,0.005212,N1,ram,0.0101,1.9439
0.025933,0.005229,N0,package,0.1072,20.5085
0.025950,0.005210,N0,ram,0.0101,1.9389
0.026017,0.005233,N1,package,0.1144,21.8689
0.026027,0.005233,N1,ram,0.0101,1.9333
0.031167,0.005234,N0,package,0.1263,24.1272
0.031185,0.005235,N0,ram,0.0110,2.1015
0.031201,0.005184,N1,package,0.1523,29.3759
0.031210,0.005183,N1,ram,0.0121,2.3286
0.036299,0.005132,N0,package,0.1060,20.6465
0.036317,0.005132,N0,ram,0.0089,1.7364
0.036332,0.005131,N1,package,0.1315,25.6345
0.036340,0.005130,N1,ram,0.0101,1.9781
0.041485,0.005186,N0,package,0.1077,20.7723
0.041501,0.005184,N0,ram,0.0090,1.7425
0.041584,0.005252,N1,package,0.1367,26.0323
0.041593,0.005253,N1,ram,0.0100,1.8968
0.046709,0.005224,N0,package,0.1107,21.1824
0.046743,0.005242,N0,ram,0.0092,1.7552
0.046786,0.005202,N1,package,0.1379,26.5163
0.046794,0.005201,N1,ram,0.0096,1.8512
0.051936,0.005227,N0,package,0.1028,19.6636
0.051972,0.005229,N0,ram,0.0053,1.0184
0.052014,0.005228,N1,package,0.1365,26.1160
0.052024,0.005230,N1,ram,0.0098,1.8789
0.057166,0.005230,N0,package,0.1261,24.1109
0.057184,0.005212,N0,ram,0.0077,1.4697
0.057199,0.005185,N1,package,0.1693,32.6430
0.057209,0.005185,N1,ram,0.0116,2.2307
0.062296,0.005130,N0,package,0.1152,22.4626
0.062313,0.005129,N0,ram,0.0089,1.7403
0.062328,0.005129,N1,package,0.1412,27.5361
0.062336,0.005127,N1,ram,0.0097,1.8839

libgomp: Invalid value for environment variable OMP_NUM_THREADS
0.088118,0.025822,N0,package,0.6349,24.5895
0.099115,0.036802,N0,ram,0.1034,2.8090
0.099378,0.037050,N1,package,1.7795,48.0291
0.099402,0.037066,N1,ram,0.1533,4.1368
0.121109,0.032991,N0,package,1.7344,52.5731
0.121267,0.022152,N0,ram,0.1479,6.6747
0.121342,0.021964,N1,package,1.2062,54.9159
0.132122,0.032720,N1,ram,0.1017,3.1073
0.154123,0.033014,N0,package,1.8610,56.3688
0.154300,0.033033,N0,ram,0.1478,4.4728
0.154381,0.033039,N1,package,1.9893,60.2115
0.154395,0.022273,N1,ram,0.1527,6.8576
0.176110,0.021987,N0,package,1.4288,64.9827
