#timestamp,interval,socket,domain,energy,power
0.005169,0.005200,N0,package,0.1200,23.0764
0.005195,0.005219,N0,ram,0.0101,1.9326
0.005232,0.005240,N1,package,0.0891,16.9944
0.005245,0.005245,N1,ram,0.0081,1.5477
0.010400,0.005231,N0,package,0.1462,27.9570
0.010417,0.005222,N0,ram,0.0125,2.3873
0.010438,0.005206,N1,package,0.1031,19.8014
0.010449,0.005204,N1,ram,0.0110,2.1082
0.015536,0.005136,N0,package,0.1290,25.1104
0.015552,0.005135,N0,ram,0.0101,1.9642
0.015606,0.005168,N1,package,0.0827,16.0030
0.015620,0.005171,N1,ram,0.0078,1.5079
0.020747,0.005211,N0,package,0.1237,23.7412
0.020761,0.005209,N0,ram,0.0101,1.9391
0.020829,0.005223,N1,package,0.0794,15.2032
0.020842,0.005222,N1,ram,0.0064,1.2331
0.025928,0.005181,N0,package,0.1283,24.7636
0.025943,0.005182,N0,ram,0.0096,1.8552
0.025962,0.005133,N1,package,0.0969,18.8709
0.025973,0.005131,N1,ram,0.0090,1.7635
0.031115,0.005187,N0,package,0.1346,25.9459
0.031133,0.005190,N0,ram,0.0096,1.8551
0.031169,0.005207,N1,package,0.0964,18.5201
0.031180,0.005207,N1,ram,0.0096,1.8520
0.036338,0.005223,N0,package,0.1343,25.7087
0.036360,0.005227,N0,ram,0.0104,1.9939
0.036380,0.005211,N1,package,0.1051,20.1698
0.036392,0.005212,N1,ram,0.0096,1.8502
0.041481,0.005143,N0,package,0.1720,33.4434
0.041498,0.005138,N0,ram,0.0114,2.2124
0.041515,0.005135,N1,package,0.1191,23.2014
0.041528,0.005136,N1,ram,0.0116,2.2579
0.046618,0.005137,N0,package,0.1420,27.6471
0.046632,0.005134,N0,ram,0.0093,1.8130
0.046678,0.005163,N1,package,0.1046,20.2625
0.046690,0.005162,N1,ram,0.0096,1.8652
0.051772,0.005154,N0,package,0.1426,27.6642
0.051785,0.005153,N0,ram,0.0093,1.8092
0.051849,0.005171,N1,package,0.0961,18.5901
0.051860,0.005170,N1,ram,0.0082,1.5820
0.056952,0.005180,N0,package,0.1438,27.7597
0.056981,0.005196,N0,ram,0.0090,1.7415
0.057017,0.005168,N1,package,0.0977,18.9083
0.057028,0.005168,N1,ram,0.0074,1.4320
0.062139,0.005187,N0,package,0.1454,28.0417
0.062153,0.005172,N0,ram,0.0095,1.8321
0.062188,0.005171,N1,package,0.1028,19.8884
0.062199,0.005171,N1,ram,0.0097,1.8679
0.067305,0.005166,N0,package,0.1482,28.6860
0.067336,0.005183,N0,ram,0.0101,1.9489
0.067376,0.005188,N1,package,0.1305,25.1529
0.067388,0.005189,N1,ram,0.0116,2.2290
0.090384,0.023079,N0,package,0.6118,26.5068
0.090659,0.023323,N0,ram,0.0913,3.9143
0.091372,0.023996,N1,package,1.1223,46.7681
0.091440,0.024052,N1,ram,0.1060,4.4072
0.113376,0.022992,N0,package,1.2087,52.5698
0.113561,0.022902,N0,ram,0.1033,4.5113
0.113629,0.022257,N1,package,1.2318,55.3453
0.113633,0.022193,N1,ram,0.1011,4.5543
0.135369,0.021993,N0,package,1.1707,53.2287
0.135542,0.021981,N0,ram,0.0945,4.2984
0.135601,0.021972,N1,package,1.2645,57.5519
0.135605,0.021972,N1,ram,0.1019,4.6363
0.157367,0.021998,N0,package,1.3200,60.0053
0.157536,0.021994,N0,ram,0.0987,4.4894
0.157597,0.021996,N1,package,1.3574,61.7094
0.157602,0.021997,N1,ram,0.1014,4.6095
0.179365,0.021998,N0,package,1.3636,61.9898
0.179527,0.021991,N0,ram,0.0939,4.2700
0.179580,0.021983,N1,package,1.3781,62.6895
0.179583,0.021981,N1,ram,0.0971,4.4164
0.201371,0.022006,N0,package,1.3785,62.6437
0.201544,0.022017,N0,ram,0.0992,4.5055
0.201604,0.022024,N1,package,1.3749,62.4294
0.201608,0.022025,N1,ram,0.1017,4.6174
0.223376,0.022005,N0,package,1.3666,62.1035
0.223550,0.022006,N0,ram,0.0986,4.4814
0.223615,0.022011,N1,package,1.3741,62.4298
0.223620,0.022012,N1,ram,0.1015,4.6091
0.228984,0.005608,N0,package,1.0558,188.2615
0.229225,0.005675,N0,ram,0.0269,4.7376
0.229293,0.005678,N1,package,0.3107,54.7258
0.229314,0.005694,N1,ram,0.0231,4.0600
0.234452,0.005468,N0,package,0.2880,52.6734
0.234549,0.005324,N0,ram,0.0224,4.2046
0.234598,0.005305,N1,package,0.3015,56.8352
0.234605,0.005291,N1,ram,0.0226,4.2711
0.239695,0.005243,N0,package,0.3333,63.5634
0.239711,0.005162,N0,ram,0.0269,5.2055
0.239721,0.005123,N1,package,0.1609,31.4058
0.239724,0.005119,N1,ram,0.0096,1.8838
0.244828,0.005133,N0,package,0.2741,53.3997
0.244858,0.005147,N0,ram,0.0223,4.3343
0.244868,0.005147,N1,package,0.1622,31.5079
0.244871,0.005147,N1,ram,0.0096,1.8707
0.250002,0.005174,N0,package,0.2774,53.6160
0.250028,0.005170,N0,ram,0.0224,4.3414
0.250046,0.005178,N1,package,0.1586,30.6342
0.250054,0.005183,N1,ram,0.0098,1.8930
0.255168,0.005166,N0,package,0.2783,53.8748
0.255183,0.005155,N0,ram,0.0224,4.3482
0.255192,0.005146,N1,package,0.1584,30.7916
