#timestamp,interval,socket,domain,energy,power
0.005148,0.005179,N0,package,0.1260,24.3355
0.005183,0.005208,N0,ram,0.0084,1.6173
0.005255,0.005262,N1,package,0.1237,23.4994
0.005284,0.005284,N1,ram,0.0115,2.1715
0.010375,0.005227,N0,package,0.1013,19.3725
0.010409,0.005226,N0,ram,0.0087,1.6731
0.010428,0.005173,N1,package,0.1078,20.8486
0.010439,0.005155,N1,ram,0.0100,1.9358
0.015571,0.005196,N0,package,0.0983,18.9116
0.015597,0.005188,N0,ram,0.0069,1.3265
0.015652,0.005224,N1,package,0.1105,21.1474
0.015672,0.005233,N1,ram,0.0100,1.9070
0.020803,0.005232,N0,package,0.0960,18.3499
0.020820,0.005223,N0,ram,0.0069,1.3205
0.020899,0.005247,N1,package,0.1111,21.1831
0.020913,0.005241,N1,ram,0.0096,1.8371
0.026079,0.005276,N0,package,0.0999,18.9377
0.026106,0.005286,N0,ram,0.0086,1.6281
0.026166,0.005267,N1,package,0.1417,26.9071
0.026188,0.005275,N1,ram,0.0117,2.2216
0.031297,0.005218,N0,package,0.1317,25.2421
0.031323,0.005217,N0,ram,0.0095,1.8192
0.031378,0.005212,N1,package,0.1132,21.7237
0.031399,0.005211,N1,ram,0.0088,1.6955
0.036537,0.005240,N0,package,0.0996,19.0096
0.036568,0.005245,N0,ram,0.0089,1.6961
0.036630,0.005252,N1,package,0.1273,24.2299
0.036677,0.005278,N1,ram,0.0098,1.8589
0.041788,0.005251,N0,package,0.1097,20.8994
0.041804,0.005236,N0,ram,0.0090,1.7282
0.041867,0.005237,N1,package,0.1291,24.6501
0.041879,0.005202,N1,ram,0.0097,1.8567
0.047017,0.005229,N0,package,0.1086,20.7653
0.047032,0.005228,N0,ram,0.0092,1.7629
0.047094,0.005227,N1,package,0.1275,24.3926
0.047105,0.005226,N1,ram,0.0096,1.8453
0.052271,0.005254,N0,package,0.1259,23.9539
0.052299,0.005267,N0,ram,0.0083,1.5673
0.052352,0.005258,N1,package,0.1556,29.5885
0.052369,0.005264,N1,ram,0.0116,2.2001
0.057479,0.005208,N0,package,0.1002,19.2434
0.057542,0.005243,N0,ram,0.0059,1.1205
0.057604,0.005252,N1,package,0.1260,23.9869
0.057615,0.005246,N1,ram,0.0096,1.8383
0.062735,0.005256,N0,package,0.1137,21.6343
0.062750,0.005208,N0,ram,0.0085,1.6261
0.062813,0.005209,N1,package,0.1346,25.8484
0.062825,0.005210,N1,ram,0.0096,1.8509
0.067933,0.005198,N0,package,0.1135,21.8402
0.067946,0.005196,N0,ram,0.0090,1.7414
0.068014,0.005201,N1,package,0.1354,26.0283
0.068025,0.005200,N1,ram,0.0097,1.8575
0.073150,0.005217,N0,package,0.1405,26.9314
0.073168,0.005222,N0,ram,0.0142,2.7146
