#timestamp,interval,socket,domain,energy,power
0.005169,0.005227,N0,package,0.1179,22.5604
0.005204,0.005250,N0,ram,0.0097,1.8398
0.005264,0.005269,N1,package,0.0951,18.0474
0.005282,0.005282,N1,ram,0.0090,1.7102
0.010372,0.005203,N0,package,0.1232,23.6726
0.010407,0.005203,N0,ram,0.0107,2.0470
0.010454,0.005190,N1,package,0.0926,17.8405
0.010464,0.005182,N1,ram,0.0086,1.6548
0.015616,0.005244,N0,package,0.1218,23.2198
0.015647,0.005240,N0,ram,0.0103,1.9598
0.015704,0.005250,N1,package,0.0909,17.3108
0.015734,0.005270,N1,ram,0.0075,1.4303
0.020881,0.005265,N0,package,0.1266,24.0547
0.020909,0.005262,N0,ram,0.0103,1.9486
0.020965,0.005261,N1,package,0.0909,17.2855
0.020982,0.005248,N1,ram,0.0087,1.6544
0.026126,0.005245,N0,package,0.1591,30.3374
0.026161,0.005252,N0,ram,0.0116,2.2023
0.026205,0.005240,N1,package,0.1163,22.2011
0.026214,0.005232,N1,ram,0.0097,1.8461
0.031322,0.005196,N0,package,0.1398,26.8991
0.031339,0.005178,N0,ram,0.0093,1.8005
0.031401,0.005196,N1,package,0.0971,18.6893
0.031411,0.005197,N1,ram,0.0097,1.8586
0.036515,0.005193,N0,package,0.1437,27.6792
0.036586,0.005247,N0,ram,0.0098,1.8670
0.036631,0.005230,N1,package,0.0995,19.0334
0.036641,0.005230,N1,ram,0.0097,1.8467
0.041749,0.005234,N0,package,0.1454,27.7888
0.041782,0.005196,N0,ram,0.0094,1.8002
0.041828,0.005197,N1,package,0.1040,20.0130
0.041837,0.005196,N1,ram,0.0097,1.8589
0.046992,0.005243,N0,package,0.1715,32.7116
0.047008,0.005226,N0,ram,0.0115,2.2073
0.047054,0.005226,N1,package,0.1188,22.7387
0.047063,0.005226,N1,ram,0.0101,1.9328
0.052200,0.005208,N0,package,0.1448,27.7986
0.052215,0.005207,N0,ram,0.0096,1.8491
0.052290,0.005236,N1,package,0.0983,18.7678
0.052299,0.005236,N1,ram,0.0060,1.1511
0.057401,0.005201,N0,package,0.1479,28.4353
0.057427,0.005212,N0,ram,0.0093,1.7859
0.057479,0.005189,N1,package,0.1008,19.4317
0.057495,0.005196,N1,ram,0.0060,1.1629
0.062582,0.005181,N0,package,0.1507,29.0858
0.062615,0.005188,N0,ram,0.0093,1.8000
0.062658,0.005179,N1,package,0.1088,21.0122
0.062667,0.005172,N1,ram,0.0097,1.8676
0.088250,0.025668,N0,package,0.6708,26.1353
0.099251,0.036636,N0,ram,0.1030,2.8126
0.110241,0.047583,N1,package,1.7548,36.8780
0.110397,0.047730,N1,ram,0.2081,4.3599
0.132251,0.044001,N0,package,2.4079,54.7236
0.132380,0.033129,N0,ram,0.1990,6.0070
0.132451,0.022210,N1,package,1.8568,83.6020
0.132464,0.022067,N1,ram,0.1020,4.6205
0.154247,0.021996,N0,package,1.3315,60.5329
0.154383,0.022003,N0,ram,0.0997,4.5313
0.154454,0.022003,N1,package,1.3546,61.5652
0.154483,0.022019,N1,ram,0.1018,4.6242
0.176245,0.021998,N0,package,1.3731,62.4199
0.176379,0.021996,N0,ram,0.1001,4.5507
0.176441,0.021987,N1,package,1.3760,62.5815
0.176451,0.021968,N1,ram,0.1019,4.6364
0.188261,0.012016,N0,package,1.3713,114.1204
0.188361,0.011982,N0,ram,0.0549,4.5833
0.189241,0.012800,N1,package,0.7496,58.5605
0.189264,0.012813,N1,ram,0.0600,4.6825
0.211253,0.022992,N0,package,0.8095,35.2085
0.211418,0.023057,N0,ram,0.0998,4.3301
0.211487,0.022246,N1,package,1.4407,64.7634
0.211491,0.022227,N1,ram,0.0970,4.3641
0.227346,0.016093,N0,package,1.3739,85.3725
0.227598,0.016180,N0,ram,0.0728,4.4965
0.227759,0.016272,N1,package,0.9948,61.1324
0.227782,0.016291,N1,ram,0.0737,4.5249
0.232963,0.005617,N0,package,0.5975,106.3769
0.233101,0.005503,N0,ram,0.0224,4.0704
0.233355,0.005596,N1,package,0.3049,54.4918
0.233375,0.005593,N1,ram,0.0227,4.0513
0.238595,0.005632,N0,package,0.3327,59.0744
0.238644,0.005543,N0,ram,0.0273,4.9165
0.238703,0.005348,N1,package,0.1599,29.8901
