#timestamp,interval,socket,domain,energy,power
0.005150,0.005181,N0,package,0.1242,23.9742
0.005175,0.005201,N0,ram,0.0102,1.9628
0.005235,0.005244,N1,package,0.0873,16.6554
0.005247,0.005247,N1,ram,0.0081,1.5501
0.010403,0.005253,N0,package,0.1245,23.6910
0.010419,0.005244,N0,ram,0.0102,1.9495
0.010466,0.005231,N1,package,0.0868,16.5922
0.010480,0.005233,N1,ram,0.0080,1.5279
0.015566,0.005163,N0,package,0.1297,25.1212
0.015582,0.005163,N0,ram,0.0099,1.9181
0.015623,0.005157,N1,package,0.1019,19.7533
0.015635,0.005155,N1,ram,0.0082,1.5895
0.020786,0.005220,N0,package,0.1514,28.9966
0.020800,0.005218,N0,ram,0.0118,2.2663
0.020863,0.005240,N1,package,0.0884,16.8663
0.020875,0.005240,N1,ram,0.0070,1.3453
0.025984,0.005198,N0,package,0.1399,26.9128
0.025999,0.005199,N0,ram,0.0105,2.0193
0.026062,0.005199,N1,package,0.0953,18.3251
0.026075,0.005200,N1,ram,0.0101,1.9514
0.031185,0.005201,N0,package,0.1418,27.2735
0.031199,0.005200,N0,ram,0.0093,1.7899
0.031255,0.005193,N1,package,0.0955,18.3940
0.031267,0.005192,N1,ram,0.0096,1.8574
0.036404,0.005219,N0,package,0.1412,27.0619
0.036425,0.005226,N0,ram,0.0099,1.8950
0.036445,0.005190,N1,package,0.1005,19.3576
0.036455,0.005188,N1,ram,0.0081,1.5618
0.041543,0.005139,N0,package,0.1464,28.4801
0.041560,0.005135,N0,ram,0.0093,1.8156
0.041599,0.005154,N1,package,0.0974,18.8998
0.041610,0.005155,N1,ram,0.0089,1.7227
0.046740,0.005197,N0,package,0.1769,34.0362
0.046753,0.005193,N0,ram,0.0112,2.1626
0.046812,0.005213,N1,package,0.1206,23.1365
0.046823,0.005213,N1,ram,0.0108,2.0811
0.051929,0.005189,N0,package,0.1462,28.1818
0.051943,0.005190,N0,ram,0.0092,1.7729
0.052007,0.005195,N1,package,0.0941,18.1045
0.052019,0.005196,N1,ram,0.0059,1.1306
0.057156,0.005227,N0,package,0.1446,27.6634
0.057186,0.005243,N0,ram,0.0092,1.7549
0.057224,0.005217,N1,package,0.0981,18.8122
0.057235,0.005216,N1,ram,0.0059,1.1292
0.062376,0.005220,N0,package,0.1515,29.0200
0.062391,0.005205,N0,ram,0.0092,1.7677
0.062431,0.005207,N1,package,0.1043,20.0332
0.062441,0.005206,N1,ram,0.0089,1.7088
0.067524,0.005148,N0,package,0.1588,30.8381
0.067547,0.005156,N0,ram,0.0097,1.8823
0.067615,0.005184,N1,package,0.1083,20.8859
0.067630,0.005189,N1,ram,0.0090,1.7438
0.089369,0.021845,N0,package,0.5536,25.3418
0.089633,0.022086,N0,ram,0.0977,4.4237
0.090381,0.022766,N1,package,1.0961,48.1480
0.090450,0.022820,N1,ram,0.1027,4.5020
0.111369,0.022000,N0,package,1.1771,53.5055
0.111565,0.021932,N0,ram,0.0992,4.5244
0.111629,0.021248,N1,package,1.1731,55.2094
0.111633,0.021183,N1,ram,0.0975,4.6030
0.133367,0.021998,N0,package,1.2611,57.3285
0.133524,0.021959,N0,ram,0.0947,4.3138
0.133584,0.021955,N1,package,1.2602,57.3989
0.133588,0.021955,N1,ram,0.1019,4.6412
0.151472,0.018105,N0,package,1.3498,74.5535
0.151637,0.018113,N0,ram,0.0810,4.4716
0.151700,0.018116,N1,package,1.1028,60.8768
