#timestamp,interval,socket,domain,energy,power
0.005135,0.005195,N0,package,0.1145,22.0402
0.005162,0.005216,N0,ram,0.0094,1.8108
0.005235,0.005244,N1,package,0.0870,16.5972
0.005248,0.005248,N1,ram,0.0075,1.4334
0.010359,0.005224,N0,package,0.1234,23.6243
0.010375,0.005213,N0,ram,0.0101,1.9289
0.010443,0.005208,N1,package,0.1010,19.3840
0.010457,0.005209,N1,ram,0.0097,1.8689
0.015592,0.005233,N0,package,0.1511,28.8682
0.015607,0.005232,N0,ram,0.0115,2.1932
0.015688,0.005245,N1,package,0.0844,16.0822
0.015700,0.005243,N1,ram,0.0066,1.2573
0.020830,0.005238,N0,package,0.1237,23.6191
0.020846,0.005239,N0,ram,0.0097,1.8582
0.020887,0.005199,N1,package,0.0853,16.4006
0.020898,0.005198,N1,ram,0.0066,1.2681
0.025983,0.005153,N0,package,0.1313,25.4898
0.025998,0.005152,N0,ram,0.0076,1.4690
0.026039,0.005152,N1,package,0.0926,17.9718
0.026050,0.005152,N1,ram,0.0076,1.4661
0.031133,0.005150,N0,package,0.1256,24.3900
0.031147,0.005149,N0,ram,0.0099,1.9292
0.031225,0.005186,N1,package,0.1031,19.8779
0.031238,0.005188,N1,ram,0.0086,1.6529
0.036363,0.005230,N0,package,0.1399,26.7484
0.036378,0.005231,N0,ram,0.0093,1.7852
0.036425,0.005200,N1,package,0.1210,23.2759
0.036438,0.005200,N1,ram,0.0116,2.2271
0.041575,0.005212,N0,package,0.1705,32.7070
0.041588,0.005210,N0,ram,0.0109,2.0969
0.041651,0.005226,N1,package,0.1009,19.3051
0.041664,0.005226,N1,ram,0.0096,1.8453
0.046799,0.005224,N0,package,0.1415,27.0943
0.046813,0.005225,N0,ram,0.0095,1.8136
0.046862,0.005211,N1,package,0.1003,19.2562
0.046873,0.005209,N1,ram,0.0089,1.7078
0.051955,0.005156,N0,package,0.1411,27.3685
0.051971,0.005158,N0,ram,0.0092,1.7809
0.052018,0.005156,N1,package,0.0966,18.7271
0.052030,0.005157,N1,ram,0.0062,1.1954
0.057172,0.005217,N0,package,0.1459,27.9609
0.057186,0.005215,N0,ram,0.0093,1.7907
0.057260,0.005242,N1,package,0.0976,18.6175
0.057273,0.005243,N1,ram,0.0059,1.1205
0.062380,0.005208,N0,package,0.1500,28.7960
0.062393,0.005207,N0,ram,0.0092,1.7641
0.062448,0.005188,N1,package,0.1255,24.1882
0.062459,0.005186,N1,ram,0.0116,2.2361
0.067588,0.005208,N0,package,0.1761,33.8107
0.067602,0.005209,N0,ram,0.0111,2.1384
0.067663,0.005215,N1,package,0.1173,22.4949
0.067675,0.005216,N1,ram,0.0098,1.8781
0.072817,0.005229,N0,package,0.1525,29.1578
0.072834,0.005232,N0,ram,0.0106,2.0240
0.072881,0.005218,N1,package,0.1029,19.7211
0.072892,0.005217,N1,ram,0.0072,1.3863
0.077974,0.005157,N0,package,0.1508,29.2453
0.077990,0.005156,N0,ram,0.0116,2.2462
0.078035,0.005154,N1,package,0.1036,20.0968
0.078047,0.005155,N1,ram,0.0062,1.2047
0.083151,0.005177,N0,package,0.1515,29.2619
0.083165,0.005175,N0,ram,0.0109,2.1112
0.083225,0.005190,N1,package,0.1042,20.0741
0.083236,0.005189,N1,ram,0.0062,1.1910
0.088343,0.005192,N0,package,0.1530,29.4711
0.088356,0.005191,N0,ram,0.0126,2.4309
0.088413,0.005188,N1,package,0.1092,21.0471
0.088424,0.005188,N1,ram,0.0081,1.5676
0.093555,0.005212,N0,package,0.1879,36.0445
0.093568,0.005212,N0,ram,0.0157,3.0068
0.093634,0.005221,N1,package,0.1308,25.0529
0.093645,0.005221,N1,ram,0.0067,1.2772
0.098794,0.005239,N0,package,0.1605,30.6282
0.098810,0.005242,N0,ram,0.0127,2.4247
0.098860,0.005226,N1,package,0.1100,21.0453
0.098871,0.005226,N1,ram,0.0054,1.0394
0.103951,0.005157,N0,package,0.1593,30.8904
0.103965,0.005155,N0,ram,0.0089,1.7286
0.104014,0.005154,N1,package,0.1094,21.2218
0.104025,0.005154,N1,ram,0.0040,0.7786
0.109137,0.005186,N0,package,0.1584,30.5406
0.109150,0.005185,N0,ram,0.0089,1.7216
0.109223,0.005209,N1,package,0.1218,23.3878
0.109234,0.005209,N1,ram,0.0040,0.7704
0.114337,0.005200,N0,package,0.1593,30.6355
0.114351,0.005201,N0,ram,0.0089,1.7133
0.114415,0.005192,N1,package,0.1458,28.0839
0.114427,0.005193,N1,ram,0.0063,1.2106
0.119555,0.005218,N0,package,0.1912,36.6349
0.119568,0.005217,N0,ram,0.0108,2.0796
0.119631,0.005216,N1,package,0.1244,23.8472
0.119642,0.005215,N1,ram,0.0040,0.7695
0.124773,0.005218,N0,package,0.1645,31.5233
0.124787,0.005219,N0,ram,0.0071,1.3654
0.124851,0.005220,N1,package,0.1276,24.4494
