#timestamp,interval,socket,domain,energy,power
0.005139,0.005198,N0,package,0.1400,26.9362
0.005159,0.005212,N0,ram,0.0112,2.1459
0.005219,0.005227,N1,package,0.1053,20.1423
0.005231,0.005231,N1,ram,0.0102,1.9544
0.010344,0.005205,N0,package,0.1196,22.9721
0.010360,0.005201,N0,ram,0.0104,2.0039
0.010429,0.005210,N1,package,0.0858,16.4715
0.010442,0.005211,N1,ram,0.0098,1.8829
0.015580,0.005236,N0,package,0.1243,23.7326
0.015596,0.005236,N0,ram,0.0099,1.8913
0.015664,0.005235,N1,package,0.0841,16.0663
0.015677,0.005235,N1,ram,0.0090,1.7226
0.020850,0.005270,N0,package,0.1177,22.3409
0.020865,0.005269,N0,ram,0.0101,1.9171
0.020912,0.005248,N1,package,0.0806,15.3516
0.020922,0.005245,N1,ram,0.0066,1.2539
0.026042,0.005192,N0,package,0.1529,29.4476
0.026074,0.005209,N0,ram,0.0121,2.3142
0.026139,0.005227,N1,package,0.1107,21.1708
0.026152,0.005230,N1,ram,0.0110,2.0948
0.031236,0.005194,N0,package,0.1403,27.0160
0.031265,0.005191,N0,ram,0.0093,1.7931
0.031312,0.005173,N1,package,0.0940,18.1694
0.031324,0.005172,N1,ram,0.0096,1.8646
0.036477,0.005241,N0,package,0.1375,26.2265
0.036491,0.005226,N0,ram,0.0095,1.8161
0.036554,0.005242,N1,package,0.0956,18.2458
0.036566,0.005242,N1,ram,0.0090,1.7233
0.041706,0.005229,N0,package,0.1401,26.7999
0.041720,0.005229,N0,ram,0.0095,1.8180
0.041789,0.005235,N1,package,0.0952,18.1766
0.041802,0.005236,N1,ram,0.0089,1.6989
0.046894,0.005188,N0,package,0.1480,28.5294
0.046911,0.005191,N0,ram,0.0093,1.7872
0.046957,0.005168,N1,package,0.1041,20.1366
0.046969,0.005167,N1,ram,0.0096,1.8634
0.052114,0.005220,N0,package,0.1721,32.9734
0.052127,0.005216,N0,ram,0.0111,2.1297
0.052192,0.005235,N1,package,0.1124,21.4635
0.052204,0.005235,N1,ram,0.0093,1.7809
0.057314,0.005200,N0,package,0.1451,27.9111
0.057329,0.005202,N0,ram,0.0090,1.7394
0.057392,0.005200,N1,package,0.0972,18.6865
0.057404,0.005200,N1,ram,0.0074,1.4232
0.062547,0.005233,N0,package,0.1454,27.7822
0.062562,0.005233,N0,ram,0.0092,1.7524
0.062601,0.005209,N1,package,0.0998,19.1578
0.062611,0.005207,N1,ram,0.0089,1.7172
0.067792,0.005245,N0,package,0.1443,27.5213
0.067808,0.005246,N0,ram,0.0092,1.7539
0.067854,0.005253,N1,package,0.1039,19.7754
0.067865,0.005254,N1,ram,0.0090,1.7193
0.072949,0.005157,N0,package,0.1312,25.4461
0.072962,0.005154,N0,ram,0.0101,1.9688
0.073008,0.005154,N1,package,0.0976,18.9362
0.073020,0.005155,N1,ram,0.0083,1.6102
0.078149,0.005200,N0,package,0.1739,33.4408
0.078162,0.005200,N0,ram,0.0146,2.7993
