#timestamp,interval,socket,domain,energy,power
0.005108,0.005164,N0,package,0.1129,21.8544
0.005162,0.005213,N0,ram,0.0093,1.7855
0.005244,0.005252,N1,package,0.1066,20.2903
0.005257,0.005257,N1,ram,0.0104,1.9738
0.010371,0.005263,N0,package,0.1425,27.0786
0.010387,0.005225,N0,ram,0.0120,2.2954
0.010457,0.005213,N1,package,0.0862,16.5320
0.010471,0.005214,N1,ram,0.0084,1.6154
0.015611,0.005240,N0,package,0.1207,23.0281
0.015628,0.005241,N0,ram,0.0098,1.8604
0.015696,0.005239,N1,package,0.0801,15.2966
0.015712,0.005241,N1,ram,0.0066,1.2577
0.020861,0.005250,N0,package,0.1233,23.4841
0.020879,0.005251,N0,ram,0.0098,1.8597
0.020928,0.005232,N1,package,0.0794,15.1775
0.020942,0.005230,N1,ram,0.0066,1.2604
0.026027,0.005166,N0,package,0.1245,24.0901
0.026044,0.005165,N0,ram,0.0101,1.9646
0.026086,0.005158,N1,package,0.0907,17.5834
0.026100,0.005158,N1,ram,0.0071,1.3756
0.031211,0.005184,N0,package,0.1642,31.6718
0.031225,0.005181,N0,ram,0.0114,2.2000
0.031307,0.005221,N1,package,0.1125,21.5457
0.031319,0.005219,N1,ram,0.0108,2.0700
0.036431,0.005220,N0,package,0.1364,26.1203
0.036446,0.005221,N0,ram,0.0098,1.8793
0.036493,0.005186,N1,package,0.0986,19.0188
0.036505,0.005186,N1,ram,0.0080,1.5359
0.041618,0.005187,N0,package,0.1433,27.6299
0.041632,0.005186,N0,ram,0.0093,1.7948
0.041690,0.005197,N1,package,0.0973,18.7211
0.041701,0.005196,N1,ram,0.0096,1.8559
0.046851,0.005233,N0,package,0.1451,27.7356
0.046865,0.005233,N0,ram,0.0092,1.7524
0.046911,0.005221,N1,package,0.0991,18.9729
0.046922,0.005221,N1,ram,0.0089,1.7068
0.052004,0.005153,N0,package,0.1394,27.0533
0.052020,0.005155,N0,ram,0.0095,1.8352
0.052067,0.005156,N1,package,0.0964,18.7034
0.052080,0.005158,N1,ram,0.0066,1.2839
0.057187,0.005183,N0,package,0.1714,33.0775
0.057200,0.005180,N0,ram,0.0108,2.0886
0.057260,0.005193,N1,package,0.1134,21.8377
0.057270,0.005190,N1,ram,0.0078,1.5082
0.062383,0.005196,N0,package,0.1514,29.1440
0.062396,0.005196,N0,ram,0.0092,1.7649
0.062443,0.005183,N1,package,0.0998,19.2539
0.062455,0.005185,N1,ram,0.0081,1.5715
0.067599,0.005216,N0,package,0.1491,28.5862
0.067613,0.005217,N0,ram,0.0076,1.4508
0.067668,0.005225,N1,package,0.1058,20.2557
0.067679,0.005224,N1,ram,0.0089,1.7029
0.072840,0.005241,N0,package,0.1285,24.5146
0.072854,0.005241,N0,ram,0.0091,1.7293
0.072895,0.005227,N1,package,0.1000,19.1264
0.072906,0.005227,N1,ram,0.0066,1.2698
0.077989,0.005149,N0,package,0.1513,29.3862
0.078004,0.005150,N0,ram,0.0105,2.0444
0.078051,0.005156,N1,package,0.0983,19.0704
0.078064,0.005158,N1,ram,0.0065,1.2573
0.083187,0.005198,N0,package,0.1515,29.1437
0.083200,0.005196,N0,ram,0.0107,2.0615
0.083261,0.005210,N1,package,0.1216,23.3483
0.083273,0.005209,N1,ram,0.0083,1.5906
0.088379,0.005192,N0,package,0.1764,33.9735
0.088393,0.005193,N0,ram,0.0133,2.5652
0.088458,0.005197,N1,package,0.1039,20.0004
0.088470,0.005197,N1,ram,0.0062,1.1891
0.093604,0.005225,N0,package,0.1484,28.3964
0.093617,0.005224,N0,ram,0.0119,2.2754
0.093695,0.005237,N1,package,0.1070,20.4310
0.093706,0.005236,N1,ram,0.0059,1.1220
0.098839,0.005235,N0,package,0.1547,29.5443
0.098855,0.005238,N0,ram,0.0128,2.4470
0.098900,0.005205,N1,package,0.1064,20.4500
0.098911,0.005205,N1,ram,0.0059,1.1345
0.103992,0.005153,N0,package,0.1492,28.9603
0.104006,0.005151,N0,ram,0.0125,2.4291
0.104065,0.005165,N1,package,0.1060,20.5268
0.104076,0.005165,N1,ram,0.0058,1.1167
0.109168,0.005176,N0,package,0.1697,32.7812
0.109182,0.005176,N0,ram,0.0121,2.3378
0.109243,0.005178,N1,package,0.1417,27.3587
0.109255,0.005179,N1,ram,0.0096,1.8561
0.114355,0.005187,N0,package,0.3034,58.4931
0.114374,0.005192,N0,ram,0.0249,4.8021
0.114435,0.005192,N1,package,0.1141,21.9711
0.114466,0.005211,N1,ram,0.0068,1.2972
0.119588,0.005233,N0,package,0.2996,57.2466
0.119603,0.005229,N0,ram,0.0083,1.5904
0.119612,0.005177,N1,package,0.1215,23.4614
0.119615,0.005149,N1,ram,0.0059,1.1439
0.124747,0.005159,N0,package,0.3008,58.3125
0.124773,0.005170,N0,ram,0.0089,1.7236
0.124791,0.005179,N1,package,0.1240,23.9359
0.124809,0.005194,N1,ram,0.0059,1.1369
0.129855,0.005108,N0,package,0.3082,60.3316
0.129868,0.005095,N0,ram,0.0089,1.7520
0.129877,0.005086,N1,package,0.1295,25.4644
0.129880,0.005071,N1,ram,0.0059,1.1615
0.134980,0.005125,N0,package,0.3071,59.9151
0.135006,0.005138,N0,ram,0.0088,1.7077
0.135024,0.005147,N1,package,0.1295,25.1518
0.135032,0.005152,N1,ram,0.0059,1.1462
0.140136,0.005156,N0,package,0.3145,60.9992
0.140161,0.005155,N0,ram,0.0091,1.7612
0.140178,0.005154,N1,package,0.1351,26.2194
0.140186,0.005154,N1,ram,0.0055,1.0599
0.145290,0.005154,N0,package,0.3210,62.2917
0.145315,0.005154,N0,ram,0.0089,1.7320
0.145333,0.005155,N1,package,0.1631,31.6359
0.145340,0.005154,N1,ram,0.0078,1.5158
0.150485,0.005195,N0,package,0.3766,72.5000
0.150523,0.005208,N0,ram,0.0219,4.1985
0.150531,0.005198,N1,package,0.1415,27.2181
0.150534,0.005194,N1,ram,0.0067,1.2838
0.155678,0.005193,N0,package,0.3139,60.4475
0.155710,0.005187,N0,ram,0.0182,3.5124
0.155728,0.005197,N1,package,0.1476,28.3988
0.155736,0.005202,N1,ram,0.0059,1.1352
0.160893,0.005215,N0,package,0.3083,59.1282
0.160926,0.005216,N0,ram,0.0185,3.5456
0.160945,0.005217,N1,package,0.1450,27.7854
0.160954,0.005218,N1,ram,0.0060,1.1580
0.166038,0.005145,N0,package,0.3130,60.8445
0.166052,0.005126,N0,ram,0.0197,3.8460
0.166060,0.005115,N1,package,0.1437,28.1011
0.166063,0.005109,N1,ram,0.0059,1.1528
0.171166,0.005128,N0,package,0.3165,61.7266
0.171195,0.005143,N0,ram,0.0180,3.5068
0.171213,0.005153,N1,package,0.1467,28.4629
0.171221,0.005158,N1,ram,0.0068,1.3164
0.176336,0.005170,N0,package,0.3802,73.5358
0.176368,0.005173,N0,ram,0.0219,4.2417
0.176386,0.005173,N1,package,0.1756,33.9453
0.176394,0.005173,N1,ram,0.0078,1.5132
0.181535,0.005199,N0,package,0.3071,59.0634
0.181553,0.005185,N0,ram,0.0183,3.5286
0.181562,0.005176,N1,package,0.1458,28.1706
0.181565,0.005171,N1,ram,0.0055,1.0623
0.186702,0.005167,N0,package,0.3156,61.0705
0.186736,0.005183,N0,ram,0.0173,3.3473
0.186755,0.005193,N1,package,0.1459,28.1023
0.186762,0.005197,N1,ram,0.0059,1.1334
0.191886,0.005184,N0,package,0.3154,60.8358
0.191914,0.005178,N0,ram,0.0177,3.4270
0.191933,0.005178,N1,package,0.1479,28.5610
0.191941,0.005179,N1,ram,0.0081,1.5703
0.197109,0.005223,N0,package,0.3188,61.0464
0.197142,0.005228,N0,ram,0.0204,3.8995
0.197162,0.005229,N1,package,0.1455,27.8271
0.197169,0.005228,N1,ram,0.0066,1.2696
0.202277,0.005168,N0,package,0.3102,60.0317
0.202294,0.005152,N0,ram,0.0200,3.8828
0.202303,0.005141,N1,package,0.1740,33.8357
0.202306,0.005137,N1,ram,0.0078,1.5238
0.207448,0.005171,N0,package,0.3755,72.6134
0.207481,0.005187,N0,ram,0.0244,4.7097
0.207500,0.005197,N1,package,0.1465,28.1861
0.207507,0.005201,N1,ram,0.0066,1.2762
0.212647,0.005199,N0,package,0.3154,60.6600
0.212666,0.005185,N0,ram,0.0196,3.7815
0.212674,0.005174,N1,package,0.1458,28.1823
0.212677,0.005170,N1,ram,0.0059,1.1363
0.217818,0.005171,N0,package,0.3198,61.8371
0.217853,0.005187,N0,ram,0.0202,3.8978
0.217872,0.005198,N1,package,0.1450,27.8991
0.217892,0.005215,N1,ram,0.0059,1.1265
0.222981,0.005163,N0,package,0.3008,58.2576
0.222999,0.005146,N0,ram,0.0204,3.9735
0.223008,0.005136,N1,package,0.1440,28.0457
0.223012,0.005120,N1,ram,0.0059,1.1533
0.228117,0.005136,N0,package,0.3143,61.2014
0.228146,0.005147,N0,ram,0.0207,4.0139
0.228164,0.005156,N1,package,0.1470,28.5049
0.228172,0.005160,N1,ram,0.0049,0.9404
0.233289,0.005172,N0,package,0.3154,60.9878
0.233324,0.005178,N0,ram,0.0208,4.0166
0.233354,0.005190,N1,package,0.1723,33.1980
0.233357,0.005185,N1,ram,0.0078,1.5068
0.238468,0.005179,N0,package,0.3715,71.7253
0.238486,0.005162,N0,ram,0.0241,4.6645
0.238495,0.005141,N1,package,0.1458,28.3521
0.238498,0.005141,N1,ram,0.0066,1.2911
0.243641,0.005173,N0,package,0.3200,61.8615
0.243683,0.005197,N0,ram,0.0209,4.0226
0.243691,0.005196,N1,package,0.1467,28.2265
0.243694,0.005196,N1,ram,0.0047,0.9103
0.248844,0.005203,N0,package,0.3104,59.6508
0.248878,0.005195,N0,ram,0.0195,3.7448
0.248897,0.005206,N1,package,0.1476,28.3480
0.248904,0.005210,N1,ram,0.0059,1.1364
0.254060,0.005216,N0,package,0.3186,61.0805
0.254078,0.005200,N0,ram,0.0158,3.0371
0.254087,0.005190,N1,package,0.1433,27.6134
0.254091,0.005187,N1,ram,0.0059,1.1384
0.259203,0.005143,N0,package,0.3083,59.9561
0.259234,0.005156,N0,ram,0.0181,3.5128
0.259253,0.005166,N1,package,0.1479,28.6269
0.259261,0.005170,N1,ram,0.0066,1.2839
0.264376,0.005173,N0,package,0.3140,60.7052
0.264393,0.005159,N0,ram,0.0177,3.4368
0.264403,0.005150,N1,package,0.1754,34.0622
0.264406,0.005145,N1,ram,0.0078,1.5214
0.269512,0.005136,N0,package,0.3790,73.7863
0.269529,0.005136,N0,ram,0.0221,4.2962
0.269538,0.005135,N1,package,0.1454,28.3124
0.269541,0.005135,N1,ram,0.0059,1.1470
0.274678,0.005166,N0,package,0.3084,59.6995
0.274714,0.005185,N0,ram,0.0201,3.8727
0.274732,0.005194,N1,package,0.1451,27.9326
0.274740,0.005199,N1,ram,0.0059,1.1329
0.279883,0.005205,N0,package,0.3156,60.6257
0.279900,0.005186,N0,ram,0.0180,3.4689
0.279909,0.005177,N1,package,0.1455,28.1065
