#timestamp,interval,socket,domain,energy,power
0.005150,0.005205,N0,package,0.1386,26.6295
0.005175,0.005224,N0,ram,0.0114,2.1819
0.005242,0.005250,N1,package,0.1065,20.2870
0.005255,0.005255,N1,ram,0.0104,1.9774
0.010396,0.005246,N0,package,0.1146,21.8385
0.010413,0.005238,N0,ram,0.0104,1.9868
0.010483,0.005241,N1,package,0.0846,16.1412
0.010498,0.005243,N1,ram,0.0083,1.5832
0.015636,0.005240,N0,package,0.1218,23.2378
0.015653,0.005240,N0,ram,0.0103,1.9597
0.015721,0.005238,N1,package,0.0798,15.2411
0.015738,0.005240,N1,ram,0.0066,1.2551
0.020837,0.005201,N0,package,0.1200,23.0711
0.020862,0.005209,N0,ram,0.0098,1.8718
0.020905,0.005184,N1,package,0.0773,14.9175
0.020919,0.005181,N1,ram,0.0066,1.2752
0.026001,0.005164,N0,package,0.1219,23.6037
0.026016,0.005154,N0,ram,0.0101,1.9629
0.026068,0.005163,N1,package,0.0944,18.2882
0.026079,0.005160,N1,ram,0.0090,1.7448
0.031191,0.005190,N0,package,0.1609,30.9989
0.031206,0.005190,N0,ram,0.0114,2.1932
0.031264,0.005196,N1,package,0.1102,21.2139
0.031276,0.005197,N1,ram,0.0109,2.0905
0.036388,0.005197,N0,package,0.1398,26.8954
0.036403,0.005197,N0,ram,0.0098,1.8792
0.036467,0.005203,N1,package,0.0979,18.8161
0.036480,0.005204,N1,ram,0.0096,1.8531
0.041592,0.005204,N0,package,0.1454,27.9362
0.041606,0.005203,N0,ram,0.0095,1.8212
0.041669,0.005202,N1,package,0.0960,18.4558
0.041682,0.005202,N1,ram,0.0096,1.8538
0.046815,0.005223,N0,package,0.1438,27.5329
0.046831,0.005225,N0,ram,0.0093,1.7872
0.046879,0.005210,N1,package,0.0976,18.7326
0.046892,0.005210,N1,ram,0.0097,1.8539
0.051974,0.005159,N0,package,0.1418,27.4822
0.051990,0.005159,N0,ram,0.0095,1.8338
0.052040,0.005161,N1,package,0.0925,17.9166
0.052053,0.005161,N1,ram,0.0069,1.3452
0.057146,0.005172,N0,package,0.1444,27.9213
0.057158,0.005168,N0,ram,0.0095,1.8365
0.057225,0.005185,N1,package,0.1122,21.6365
0.057237,0.005184,N1,ram,0.0081,1.5630
0.062339,0.005193,N0,package,0.1781,34.2963
0.062370,0.005212,N0,ram,0.0092,1.7683
0.062432,0.005207,N1,package,0.1017,19.5282
0.062444,0.005207,N1,ram,0.0074,1.4183
0.067584,0.005245,N0,package,0.1534,29.2551
0.067596,0.005226,N0,ram,0.0095,1.8191
0.067657,0.005225,N1,package,0.1052,20.1389
0.067668,0.005224,N1,ram,0.0098,1.8811
0.072804,0.005220,N0,package,0.1292,24.7534
0.072820,0.005224,N0,ram,0.0077,1.4751
0.072838,0.005181,N1,package,0.0957,18.4717
0.072850,0.005182,N1,ram,0.0074,1.4252
0.077992,0.005188,N0,package,0.2158,41.6000
0.078022,0.005202,N0,ram,0.0178,3.4260
0.078032,0.005194,N1,package,0.1101,21.1992
0.078036,0.005186,N1,ram,0.0097,1.8654
0.083129,0.005137,N0,package,0.2499,48.6550
0.083148,0.005126,N0,ram,0.0224,4.3728
0.083157,0.005125,N1,package,0.1042,20.3290
0.083161,0.005125,N1,ram,0.0076,1.4827
0.088252,0.005123,N0,package,0.3050,59.5324
0.088286,0.005138,N0,ram,0.0267,5.2002
0.088296,0.005139,N1,package,0.1384,26.9255
0.088300,0.005139,N1,ram,0.0108,2.1082
0.093444,0.005192,N0,package,0.2610,50.2784
0.093472,0.005186,N0,ram,0.0223,4.2957
0.093492,0.005196,N1,package,0.1205,23.1990
0.093500,0.005200,N1,ram,0.0096,1.8546
0.098663,0.005219,N0,package,0.2543,48.7207
0.098702,0.005230,N0,ram,0.0224,4.2772
0.098712,0.005220,N1,package,0.1140,21.8303
0.098715,0.005215,N1,ram,0.0066,1.2727
0.103844,0.005181,N0,package,0.2644,51.0351
0.103872,0.005170,N0,ram,0.0225,4.3444
0.103891,0.005179,N1,package,0.1140,22.0021
0.103898,0.005183,N1,ram,0.0067,1.2865
