#timestamp,interval,socket,domain,energy,power
0.005183,0.005240,N0,package,0.1115,21.2693
0.005240,0.005289,N0,ram,0.0101,1.9128
0.005310,0.005317,N1,package,0.1107,20.8235
0.005326,0.005326,N1,ram,0.0113,2.1143
0.010440,0.005257,N0,package,0.1448,27.5389
0.010468,0.005228,N0,ram,0.0126,2.4137
0.010524,0.005214,N1,package,0.0880,16.8684
0.010542,0.005216,N1,ram,0.0077,1.4715
0.015702,0.005262,N0,package,0.1188,22.5725
0.015720,0.005252,N0,ram,0.0103,1.9523
0.015766,0.005242,N1,package,0.0848,16.1732
0.015776,0.005234,N1,ram,0.0070,1.3440
0.020924,0.005222,N0,package,0.1221,23.3758
0.020961,0.005241,N0,ram,0.0103,1.9565
0.021008,0.005242,N1,package,0.0870,16.6033
0.021019,0.005243,N1,ram,0.0078,1.4872
0.026164,0.005240,N0,package,0.1262,24.0881
0.026200,0.005239,N0,ram,0.0099,1.8961
0.026261,0.005253,N1,package,0.0895,17.0450
0.026272,0.005253,N1,ram,0.0110,2.0914
0.031375,0.005211,N0,package,0.1417,27.1859
0.031401,0.005201,N0,ram,0.0096,1.8484
0.031456,0.005195,N1,package,0.1108,21.3245
0.031475,0.005203,N1,ram,0.0097,1.8564
0.036618,0.005243,N0,package,0.1669,31.8385
0.036652,0.005251,N0,ram,0.0116,2.2055
0.036696,0.005240,N1,package,0.0945,18.0311
0.036705,0.005230,N1,ram,0.0096,1.8410
0.041845,0.005227,N0,package,0.1413,27.0316
0.041872,0.005220,N0,ram,0.0093,1.7890
0.041926,0.005230,N1,package,0.0970,18.5441
0.041943,0.005238,N1,ram,0.0096,1.8411
0.047063,0.005218,N0,package,0.1425,27.3124
0.047080,0.005208,N0,ram,0.0095,1.8165
0.047124,0.005198,N1,package,0.0967,18.5994
0.047133,0.005190,N1,ram,0.0097,1.8611
0.052267,0.005204,N0,package,0.1418,27.2573
0.052302,0.005222,N0,ram,0.0092,1.7649
0.052346,0.005222,N1,package,0.1126,21.5642
