#timestamp,interval,socket,domain,energy,power
0.005163,0.005226,N0,package,0.1222,23.3810
0.005183,0.005238,N0,ram,0.0099,1.8935
0.005249,0.005260,N1,package,0.0882,16.7673
0.005264,0.005264,N1,ram,0.0081,1.5480
0.010423,0.005260,N0,package,0.1210,22.9985
0.010439,0.005256,N0,ram,0.0104,1.9770
0.010488,0.005239,N1,package,0.0833,15.9024
0.010501,0.005237,N1,ram,0.0078,1.4918
0.015588,0.005165,N0,package,0.1250,24.2020
0.015605,0.005166,N0,ram,0.0101,1.9524
0.015659,0.005171,N1,package,0.0834,16.1232
0.015676,0.005175,N1,ram,0.0072,1.3888
0.020828,0.005240,N0,package,0.1245,23.7619
0.020860,0.005255,N0,ram,0.0102,1.9484
0.020927,0.005268,N1,package,0.0847,16.0811
0.020940,0.005264,N1,ram,0.0071,1.3421
0.026049,0.005221,N0,package,0.1616,30.9552
0.026064,0.005204,N0,ram,0.0115,2.2050
0.026142,0.005215,N1,package,0.1118,21.4416
0.026154,0.005214,N1,ram,0.0101,1.9315
0.031269,0.005220,N0,package,0.1285,24.6248
0.031284,0.005220,N0,ram,0.0085,1.6370
0.031349,0.005207,N1,package,0.1012,19.4344
0.031362,0.005208,N1,ram,0.0092,1.7638
0.036464,0.005195,N0,package,0.1458,28.0672
0.036479,0.005195,N0,ram,0.0099,1.9062
0.036527,0.005178,N1,package,0.0978,18.8835
0.036538,0.005176,N1,ram,0.0096,1.8631
0.041628,0.005164,N0,package,0.1453,28.1306
0.041645,0.005166,N0,ram,0.0092,1.7752
0.041720,0.005193,N1,package,0.0988,19.0287
0.041731,0.005193,N1,ram,0.0096,1.8541
0.046866,0.005238,N0,package,0.1473,28.1285
0.046881,0.005236,N0,ram,0.0095,1.8097
0.046943,0.005223,N1,package,0.1207,23.1028
0.046954,0.005223,N1,ram,0.0108,2.0742
0.052061,0.005195,N0,package,0.1752,33.7198
0.052075,0.005194,N0,ram,0.0108,2.0829
0.052139,0.005196,N1,package,0.0966,18.5836
0.052151,0.005197,N1,ram,0.0067,1.2801
0.057275,0.005214,N0,package,0.1465,28.0946
0.057289,0.005214,N0,ram,0.0091,1.7384
0.057351,0.005212,N1,package,0.0984,18.8771
0.057363,0.005212,N1,ram,0.0059,1.1242
0.062441,0.005166,N0,package,0.1522,29.4539
0.062455,0.005166,N0,ram,0.0092,1.7752
0.062475,0.005124,N1,package,0.1047,20.4400
0.062487,0.005124,N1,ram,0.0089,1.7391
0.067571,0.005130,N0,package,0.1541,30.0414
0.067587,0.005132,N0,ram,0.0098,1.9089
0.067618,0.005143,N1,package,0.1089,21.1840
0.067648,0.005161,N1,ram,0.0096,1.8626
0.072756,0.005185,N0,package,0.2146,41.3894
0.072775,0.005188,N0,ram,0.0224,4.3118
0.072786,0.005168,N1,package,0.1014,19.6169
0.072789,0.005141,N1,ram,0.0075,1.4662
0.077903,0.005147,N0,package,0.2178,42.3109
0.077930,0.005155,N0,ram,0.0271,5.2569
0.077949,0.005163,N1,package,0.1254,24.2937
0.077957,0.005168,N1,ram,0.0079,1.5383
0.083097,0.005194,N0,package,0.2701,52.0084
0.083127,0.005197,N0,ram,0.0225,4.3221
0.083148,0.005199,N1,package,0.1104,21.2365
0.083157,0.005200,N1,ram,0.0055,1.0505
0.088271,0.005174,N0,package,0.2271,43.8955
0.088286,0.005159,N0,ram,0.0178,3.4575
0.088296,0.005148,N1,package,0.1071,20.7959
0.088299,0.005142,N1,ram,0.0059,1.1514
0.093441,0.005170,N0,package,0.2274,43.9771
0.093469,0.005183,N0,ram,0.0225,4.3365
0.093488,0.005192,N1,package,0.1082,20.8425
0.093497,0.005198,N1,ram,0.0059,1.1360
0.098607,0.005166,N0,package,0.2330,45.1084
0.098633,0.005164,N0,ram,0.0226,4.3762
0.098652,0.005164,N1,package,0.1097,21.2516
0.098660,0.005163,N1,ram,0.0059,1.1378
0.103773,0.005166,N0,package,0.2329,45.0847
0.103802,0.005169,N0,ram,0.0225,4.3511
0.103823,0.005171,N1,package,0.1110,21.4583
0.103831,0.005171,N1,ram,0.0059,1.1420
0.108940,0.005167,N0,package,0.2863,55.4123
0.108971,0.005169,N0,ram,0.0268,5.1926
0.109004,0.005181,N1,package,0.1136,21.9361
0.109007,0.005176,N1,ram,0.0067,1.2853
0.114144,0.005204,N0,package,0.2407,46.2458
0.114172,0.005201,N0,ram,0.0225,4.3244
0.114192,0.005188,N1,package,0.1479,28.5059
0.114200,0.005193,N1,ram,0.0078,1.5044
0.119324,0.005180,N0,package,0.2454,47.3777
0.119339,0.005167,N0,ram,0.0225,4.3499
0.119348,0.005156,N1,package,0.1247,24.1842
0.119351,0.005151,N1,ram,0.0059,1.1464
0.124470,0.005146,N0,package,0.2530,49.1623
0.124501,0.005162,N0,ram,0.0224,4.3305
0.124522,0.005174,N1,package,0.1292,24.9606
0.124529,0.005178,N1,ram,0.0059,1.1404
0.129619,0.005149,N0,package,0.2523,48.9928
0.129653,0.005152,N0,ram,0.0225,4.3597
0.129677,0.005155,N1,package,0.1289,25.0068
0.129680,0.005151,N1,ram,0.0059,1.1464
0.134785,0.005166,N0,package,0.2639,51.0866
0.134813,0.005160,N0,ram,0.0224,4.3471
0.134833,0.005156,N1,package,0.1368,26.5281
0.134841,0.005161,N1,ram,0.0059,1.1442
0.139946,0.005161,N0,package,0.3171,61.4367
0.139976,0.005163,N0,ram,0.0270,5.2252
0.139995,0.005162,N1,package,0.1383,26.7930
0.140003,0.005162,N1,ram,0.0068,1.3154
0.145138,0.005192,N0,package,0.2729,52.5731
0.145154,0.005178,N0,ram,0.0224,4.3317
0.145163,0.005168,N1,package,0.1710,33.0925
0.145166,0.005163,N1,ram,0.0078,1.5191
0.150297,0.005159,N0,package,0.2700,52.3263
0.150325,0.005171,N0,ram,0.0224,4.3408
0.150344,0.005181,N1,package,0.1467,28.3083
0.150353,0.005187,N1,ram,0.0059,1.1355
0.155464,0.005167,N0,package,0.2720,52.6482
0.155491,0.005166,N0,ram,0.0225,4.3478
0.155510,0.005166,N1,package,0.1433,27.7408
0.155517,0.005164,N1,ram,0.0059,1.1435
0.160603,0.005139,N0,package,0.2735,53.2215
0.160619,0.005128,N0,ram,0.0224,4.3772
0.160628,0.005118,N1,package,0.1429,27.9184
0.160631,0.005114,N1,ram,0.0067,1.3039
0.165736,0.005133,N0,package,0.2686,52.3177
0.165766,0.005147,N0,ram,0.0225,4.3637
0.165785,0.005157,N1,package,0.1446,28.0381
0.165793,0.005162,N1,ram,0.0059,1.1440
0.170903,0.005167,N0,package,0.2777,53.7468
0.170929,0.005163,N0,ram,0.0224,4.3386
0.170948,0.005163,N1,package,0.1449,28.0648
0.170955,0.005162,N1,ram,0.0065,1.2592
0.176091,0.005188,N0,package,0.3235,62.3647
0.176123,0.005194,N0,ram,0.0271,5.2205
0.176143,0.005195,N1,package,0.1752,33.7182
0.176151,0.005196,N1,ram,0.0068,1.3039
0.181268,0.005177,N0,package,0.2708,52.3106
0.181282,0.005159,N0,ram,0.0225,4.3568
0.181291,0.005148,N1,package,0.1428,27.7436
0.181295,0.005144,N1,ram,0.0059,1.1479
0.186430,0.005162,N0,package,0.2715,52.6047
0.186456,0.005174,N0,ram,0.0224,4.3380
0.186475,0.005184,N1,package,0.1435,27.6804
0.186482,0.005187,N1,ram,0.0057,1.1061
0.191575,0.005145,N0,package,0.2743,53.3141
0.191610,0.005154,N0,ram,0.0225,4.3581
0.191620,0.005145,N1,package,0.1434,27.8777
0.191623,0.005141,N1,ram,0.0058,1.1190
0.196705,0.005130,N0,package,0.2711,52.8371
0.196722,0.005112,N0,ram,0.0224,4.3879
0.196731,0.005111,N1,package,0.1459,28.5413
0.196734,0.005111,N1,ram,0.0058,1.1255
0.201817,0.005112,N0,package,0.2706,52.9408
0.201831,0.005109,N0,ram,0.0224,4.3873
0.201840,0.005109,N1,package,0.1448,28.3489
0.201843,0.005109,N1,ram,0.0063,1.2425
0.206943,0.005126,N0,package,0.2772,54.0815
0.206962,0.005131,N0,ram,0.0225,4.3864
0.206971,0.005131,N1,package,0.1466,28.5726
0.206974,0.005131,N1,ram,0.0065,1.2669
