#timestamp,interval,socket,domain,energy,power
0.005157,0.005212,N0,package,0.1131,21.7003
0.005199,0.005245,N0,ram,0.0095,1.8036
0.005249,0.005254,N1,package,0.0940,17.8899
0.005258,0.005258,N1,ram,0.0062,1.1840
0.010426,0.005269,N0,package,0.1398,26.5383
0.010471,0.005272,N0,ram,0.0126,2.3936
0.010562,0.005313,N1,package,0.1087,20.4593
0.010572,0.005314,N1,ram,0.0096,1.8061
0.015680,0.005254,N0,package,0.1185,22.5483
0.015716,0.005245,N0,ram,0.0103,1.9579
0.015764,0.005202,N1,package,0.0877,16.8609
0.015774,0.005202,N1,ram,0.0066,1.2643
0.020911,0.005231,N0,package,0.1218,23.2780
0.020939,0.005223,N0,ram,0.0083,1.5980
0.021012,0.005248,N1,package,0.0844,16.0843
0.021023,0.005249,N1,ram,0.0074,1.4070
0.026175,0.005264,N0,package,0.1221,23.1895
0.026204,0.005265,N0,ram,0.0098,1.8577
0.026261,0.005249,N1,package,0.0897,17.0930
0.026290,0.005267,N1,ram,0.0090,1.7150
0.031459,0.005284,N0,package,0.1629,30.8290
0.031487,0.005283,N0,ram,0.0097,1.8312
0.031555,0.005294,N1,package,0.1078,20.3716
0.031573,0.005283,N1,ram,0.0116,2.1923
0.036686,0.005227,N0,package,0.1410,26.9732
0.036703,0.005216,N0,ram,0.0093,1.7874
0.036767,0.005212,N1,package,0.0912,17.4961
0.036792,0.005219,N1,ram,0.0089,1.7045
0.041898,0.005212,N0,package,0.1435,27.5323
0.041925,0.005222,N0,ram,0.0092,1.7561
0.041980,0.005213,N1,package,0.0963,18.4638
0.042000,0.005208,N1,ram,0.0097,1.8546
0.047132,0.005234,N0,package,0.1453,27.7538
0.047159,0.005234,N0,ram,0.0096,1.8337
0.047214,0.005234,N1,package,0.0971,18.5531
0.047231,0.005231,N1,ram,0.0096,1.8436
0.052395,0.005263,N0,package,0.1665,31.6361
0.052421,0.005262,N0,ram,0.0113,2.1430
0.052478,0.005264,N1,package,0.1085,20.6038
0.052495,0.005264,N1,ram,0.0086,1.6262
0.057600,0.005205,N0,package,0.1487,28.5773
0.057627,0.005206,N0,ram,0.0092,1.7645
0.057653,0.005175,N1,package,0.0938,18.1273
0.057671,0.005176,N1,ram,0.0055,1.0583
