#timestamp,interval,socket,domain,energy,power
0.005167,0.005287,N0,package,0.4646,87.8770
0.005185,0.005289,N0,ram,0.0181,3.4129
0.005272,0.005284,N1,package,0.3772,71.3838
0.005296,0.005296,N1,ram,0.0247,4.6589
0.010461,0.005294,N0,package,0.6021,113.7329
0.010474,0.005289,N0,ram,0.0224,4.2267
0.010562,0.005290,N1,package,0.4503,85.1180
0.010586,0.005290,N1,ram,0.0316,5.9679
0.015837,0.005376,N0,package,0.4886,90.8966
0.015969,0.005495,N0,ram,0.0189,3.4321
0.016139,0.005577,N1,package,0.3732,66.9220
0.016151,0.005565,N1,ram,0.0256,4.5983
0.021313,0.005476,N0,package,0.5581,101.9185
0.021325,0.005356,N0,ram,0.0204,3.8146
0.021411,0.005272,N1,package,0.4686,88.8799
0.021423,0.005272,N1,ram,0.0316,5.9997
0.026807,0.005494,N0,package,0.6176,112.4138
0.026934,0.005609,N0,ram,0.0223,3.9745
0.027027,0.005616,N1,package,0.3932,70.0098
0.027039,0.005616,N1,ram,0.0258,4.6027
0.032227,0.005420,N0,package,0.5822,107.4202
0.032241,0.005307,N0,ram,0.0214,4.0282
0.032327,0.005300,N1,package,0.4469,84.3237
0.032339,0.005300,N1,ram,0.0312,5.8818
0.037439,0.005212,N0,package,0.5127,98.3670
0.037453,0.005212,N0,ram,0.0165,3.1649
0.037538,0.005211,N1,package,0.4175,80.1252
0.037558,0.005219,N1,ram,0.0266,5.1048
0.042839,0.005400,N0,package,0.6157,114.0126
0.042960,0.005507,N0,ram,0.0198,3.5965
0.043120,0.005582,N1,package,0.4036,72.3072
0.043140,0.005582,N1,ram,0.0257,4.6117
0.048312,0.005473,N0,package,0.6245,114.1099
0.048324,0.005364,N0,ram,0.0211,3.9284
0.048426,0.005306,N1,package,0.4034,76.0235
0.048448,0.005308,N1,ram,0.0254,4.7862
0.053798,0.005486,N0,package,0.4781,87.1579
0.053922,0.005598,N0,ram,0.0156,2.7831
0.054033,0.005607,N1,package,0.4933,87.9786
0.054045,0.005597,N1,ram,0.0309,5.5126
0.059235,0.005437,N0,package,0.6008,110.4937
0.059412,0.005490,N0,ram,0.0208,3.7910
0.059515,0.005482,N1,package,0.4912,89.6050
0.059549,0.005504,N1,ram,0.0317,5.7552
0.064810,0.005575,N0,package,0.7625,136.7640
0.064866,0.005454,N0,ram,0.0284,5.2093
0.064887,0.005372,N1,package,0.4207,78.3043
0.064895,0.005346,N1,ram,0.0261,4.8864
0.070038,0.005228,N0,package,0.8162,156.1124
0.070082,0.005216,N0,ram,0.0351,6.7285
0.070104,0.005217,N1,package,0.4084,78.2905
0.070113,0.005218,N1,ram,0.0257,4.9276
0.075247,0.005209,N0,package,0.9752,187.2076
0.075305,0.005223,N0,ram,0.0425,8.1362
0.075321,0.005217,N1,package,0.4937,94.6268
0.075329,0.005216,N1,ram,0.0314,6.0232
0.080460,0.005213,N0,package,0.7520,144.2451
0.080529,0.005224,N0,ram,0.0303,5.8009
0.080547,0.005226,N1,package,0.4025,77.0102
0.080554,0.005225,N1,ram,0.0255,4.8712
0.085799,0.005339,N0,package,0.8535,159.8557
0.085887,0.005358,N0,ram,0.0362,6.7580
0.085929,0.005382,N1,package,0.4172,77.5235
0.085938,0.005384,N1,ram,0.0270,5.0107
0.091102,0.005303,N0,package,0.8479,159.8863
0.091167,0.005280,N0,ram,0.0367,6.9589
0.091189,0.005260,N1,package,0.4034,76.7002
0.091197,0.005259,N1,ram,0.0250,4.7584
0.096325,0.005223,N0,package,0.9437,180.6736
0.096366,0.005199,N0,ram,0.0399,7.6720
0.096385,0.005196,N1,package,0.4275,82.2752
0.096392,0.005195,N1,ram,0.0278,5.3573
0.101507,0.005182,N0,package,0.8319,160.5448
0.101542,0.005176,N0,ram,0.0370,7.1488
0.101557,0.005172,N1,package,0.4619,89.2985
0.101564,0.005172,N1,ram,0.0298,5.7680
0.106625,0.005118,N0,package,0.7747,151.3557
0.106654,0.005112,N0,ram,0.0316,6.1878
0.106660,0.005103,N1,package,0.4237,83.0290
0.106663,0.005099,N1,ram,0.0282,5.5301
0.111769,0.005144,N0,package,0.8495,165.1452
0.111817,0.005163,N0,ram,0.0372,7.2021
0.111826,0.005166,N1,package,0.3869,74.8966
0.111828,0.005165,N1,ram,0.0241,4.6677
0.116954,0.005185,N0,package,0.8184,157.8400
0.116990,0.005173,N0,ram,0.0356,6.8905
0.117005,0.005179,N1,package,0.4031,77.8265
0.117012,0.005184,N1,ram,0.0261,5.0392
0.122117,0.005163,N0,package,0.7662,148.3984
0.122153,0.005163,N0,ram,0.0321,6.2212
0.122171,0.005166,N1,package,0.4083,79.0437
0.122178,0.005166,N1,ram,0.0253,4.8883
0.127303,0.005186,N0,package,0.9673,186.5274
