#timestamp,interval,socket,domain,energy,power
0.005163,0.005604,N0,package,0.5318,94.8959
0.005347,0.005585,N0,ram,0.0321,5.7427
0.005447,0.005529,N1,package,0.4447,80.4319
0.005470,0.005470,N1,ram,0.0465,8.5000
0.010815,0.005652,N0,package,0.6417,113.5294
0.010931,0.005584,N0,ram,0.0367,6.5691
0.011101,0.005654,N1,package,0.4725,83.5630
0.011121,0.005651,N1,ram,0.0556,9.8341
0.016292,0.005477,N0,package,0.5139,93.8213
0.016464,0.005533,N0,ram,0.0312,5.6452
0.016569,0.005468,N1,package,0.4332,79.2200
0.016581,0.005460,N1,ram,0.0473,8.6690
0.021694,0.005402,N0,package,0.5477,101.3922
0.021707,0.005243,N0,ram,0.0339,6.4611
0.021794,0.005225,N1,package,0.4893,93.6389
0.021807,0.005226,N1,ram,0.0547,10.4613
0.027005,0.005311,N0,package,0.6047,113.8531
0.027016,0.005309,N0,ram,0.0318,5.9867
0.027094,0.005300,N1,package,0.4173,78.7347
0.027209,0.005402,N1,ram,0.0456,8.4403
0.032380,0.005375,N0,package,0.5877,109.3428
0.032391,0.005375,N0,ram,0.0286,5.3144
0.032462,0.005368,N1,package,0.4396,81.8995
0.032475,0.005266,N1,ram,0.0451,8.5563
0.037854,0.005474,N0,package,0.5801,105.9679
0.037964,0.005573,N0,ram,0.0311,5.5745
0.038132,0.005670,N1,package,0.5396,95.1684
0.038144,0.005669,N1,ram,0.0576,10.1530
0.043311,0.005457,N0,package,0.5801,106.3125
0.043322,0.005358,N0,ram,0.0287,5.3483
0.043440,0.005308,N1,package,0.4247,80.0093
0.043452,0.005308,N1,ram,0.0458,8.6324
0.048888,0.005577,N0,package,0.6492,116.4104
0.049044,0.005722,N0,ram,0.0326,5.6907
0.049135,0.005695,N1,package,0.5100,89.5523
0.049146,0.005694,N1,ram,0.0528,9.2696
0.054308,0.005420,N0,package,0.5467,100.8662
0.054319,0.005275,N0,ram,0.0275,5.2212
0.054405,0.005270,N1,package,0.4307,81.7315
0.054418,0.005272,N1,ram,0.0452,8.5789
0.059599,0.005291,N0,package,0.6735,127.2963
0.059612,0.005293,N0,ram,0.0382,7.2130
0.059832,0.005427,N1,package,0.4515,83.1927
0.060040,0.005622,N1,ram,0.0554,9.8547
0.065205,0.005606,N0,package,0.5383,96.0286
0.065217,0.005605,N0,ram,0.0376,6.7049
0.065333,0.005501,N1,package,0.5012,91.1139
0.065345,0.005305,N1,ram,0.0454,8.5573
0.070509,0.005304,N0,package,0.5442,102.5979
0.070816,0.005599,N0,ram,0.0379,6.7671
0.070979,0.005646,N1,package,0.5222,92.4934
0.070991,0.005646,N1,ram,0.0551,9.7563
0.076153,0.005644,N0,package,0.6068,107.5174
0.076327,0.005511,N0,ram,0.0326,5.9113
0.076484,0.005505,N1,package,0.4246,77.1215
0.076495,0.005504,N1,ram,0.0454,8.2419
0.081764,0.005611,N0,package,0.6010,107.1099
0.081872,0.005545,N0,ram,0.0314,5.6631
0.082038,0.005554,N1,package,0.5129,92.3556
0.082050,0.005555,N1,ram,0.0525,9.4466
0.087214,0.005450,N0,package,0.5344,98.0480
0.087390,0.005518,N0,ram,0.0295,5.3481
0.087549,0.005511,N1,package,0.4732,85.8649
0.087560,0.005510,N1,ram,0.0465,8.4323
0.092800,0.005586,N0,package,0.6050,108.3157
0.092920,0.005530,N0,ram,0.0314,5.6704
0.093081,0.005532,N1,package,0.5448,98.4811
0.093092,0.005532,N1,ram,0.0528,9.5464
0.098265,0.005465,N0,package,0.4910,89.8379
0.098439,0.005519,N0,ram,0.0265,4.7940
0.098595,0.005514,N1,package,0.3950,71.6295
0.098605,0.005513,N1,ram,0.0442,8.0128
0.103804,0.005539,N0,package,0.6283,113.4325
0.103991,0.005552,N0,ram,0.0347,6.2414
0.104179,0.005584,N1,package,0.4689,83.9670
0.104190,0.005585,N1,ram,0.0533,9.5488
0.109353,0.005549,N0,package,0.5116,92.1970
0.109490,0.005499,N0,ram,0.0289,5.2529
0.109575,0.005396,N1,package,0.4265,79.0442
0.109586,0.005396,N1,ram,0.0475,8.8084
0.114800,0.005447,N0,package,0.5843,107.2652
0.115011,0.005521,N0,ram,0.0288,5.2097
0.115203,0.005628,N1,package,0.4585,81.4654
0.115223,0.005637,N1,ram,0.0515,9.1278
0.120388,0.005588,N0,package,0.5228,93.5506
0.120563,0.005552,N0,ram,0.0280,5.0377
0.120847,0.005644,N1,package,0.4164,73.7840
0.120941,0.005718,N1,ram,0.0453,7.9176
0.126106,0.005718,N0,package,0.6011,105.1305
0.126286,0.005723,N0,ram,0.0317,5.5457
0.126445,0.005598,N1,package,0.5098,91.0758
0.126457,0.005516,N1,ram,0.0532,9.6487
0.131628,0.005522,N0,package,0.5132,92.9382
0.131868,0.005582,N0,ram,0.0281,5.0326
0.132025,0.005580,N1,package,0.4942,88.5636
0.132038,0.005581,N1,ram,0.0540,9.6842
0.137200,0.005572,N0,package,0.6054,108.6502
0.137370,0.005502,N0,ram,0.0327,5.9460
0.137524,0.005499,N1,package,0.3953,71.8807
0.137535,0.005497,N1,ram,0.0445,8.1027
0.142791,0.005591,N0,package,0.5126,91.6797
0.142997,0.005627,N0,ram,0.0254,4.5094
0.143156,0.005632,N1,package,0.4893,86.8831
0.143168,0.005633,N1,ram,0.0541,9.5972
0.148336,0.005545,N0,package,0.6372,114.9127
0.148516,0.005519,N0,ram,0.0346,6.2651
0.148768,0.005612,N1,package,0.4070,72.5183
0.148857,0.005689,N1,ram,0.0453,7.9554
