#timestamp,interval,socket,domain,energy,power
0.005254,0.005381,N0,package,0.5413,100.5897
0.005314,0.005431,N0,ram,0.0268,4.9393
0.005427,0.005433,N1,package,0.4044,74.4251
0.005449,0.005449,N1,ram,0.0263,4.8333
0.010643,0.005389,N0,package,0.4564,84.6840
0.010681,0.005367,N0,ram,0.0230,4.2845
0.010778,0.005351,N1,package,0.5214,97.4315
0.010804,0.005355,N1,ram,0.0343,6.4140
0.015987,0.005344,N0,package,0.4955,92.7151
0.016001,0.005320,N0,ram,0.0222,4.1732
0.016276,0.005498,N1,package,0.4354,79.1979
0.016388,0.005584,N1,ram,0.0263,4.7028
0.021467,0.005480,N0,package,0.5889,107.4565
0.021481,0.005480,N0,ram,0.0254,4.6391
0.021556,0.005280,N1,package,0.4300,81.4377
0.021565,0.005177,N1,ram,0.0262,5.0519
0.026676,0.005209,N0,package,0.5631,108.1040
0.026708,0.005227,N0,ram,0.0224,4.2941
0.026811,0.005255,N1,package,0.5206,99.0619
0.026833,0.005268,N1,ram,0.0325,6.1784
0.031949,0.005273,N0,package,0.6012,114.0170
0.031963,0.005255,N0,ram,0.0241,4.5791
0.032237,0.005426,N1,package,0.4365,80.4514
0.032351,0.005518,N1,ram,0.0274,4.9609
0.037525,0.005576,N0,package,0.5953,106.7652
0.037556,0.005593,N0,ram,0.0218,3.9013
0.037661,0.005424,N1,package,0.4279,78.8818
0.037683,0.005332,N1,ram,0.0258,4.8421
0.042858,0.005333,N0,package,0.5704,106.9528
0.042894,0.005338,N0,ram,0.0224,4.1992
0.043007,0.005346,N1,package,0.5231,97.8424
0.043020,0.005337,N1,ram,0.0322,6.0298
0.048098,0.005240,N0,package,0.5996,114.4301
0.048130,0.005236,N0,ram,0.0229,4.3801
0.048360,0.005353,N1,package,0.4562,85.2307
0.048548,0.005528,N1,ram,0.0278,5.0207
0.053726,0.005628,N0,package,0.6828,121.3197
0.053740,0.005610,N0,ram,0.0249,4.4471
0.053824,0.005464,N1,package,0.5268,96.4105
0.053833,0.005285,N1,ram,0.0336,6.3550

libgomp: Invalid value for environment variable OMP_NUM_THREADS
0.058939,0.005213,N0,package,0.4691,89.9893
0.058956,0.005216,N0,ram,0.0209,4.0048
0.059244,0.005420,N1,package,0.4284,79.0421
0.059357,0.005524,N1,ram,0.0250,4.5217
0.064493,0.005554,N0,package,0.9266,166.8423
0.064538,0.005582,N0,ram,0.0371,6.6537
0.064640,0.005396,N1,package,0.4515,83.6706
0.064737,0.005380,N1,ram,0.0322,5.9902
0.069884,0.005391,N0,package,0.8743,162.1865
0.069930,0.005392,N0,ram,0.0363,6.7294
0.070080,0.005440,N1,package,0.5333,98.0266
0.070112,0.005375,N1,ram,0.0249,4.6357
0.075263,0.005379,N0,package,1.0161,188.8938
0.075311,0.005381,N0,ram,0.0432,8.0362
0.075411,0.005331,N1,package,0.4470,83.8411
0.075434,0.005322,N1,ram,0.0273,5.1264
0.080563,0.005300,N0,package,0.8408,158.6440
0.080621,0.005310,N0,ram,0.0342,6.4457
0.080720,0.005309,N1,package,0.4437,83.5782
0.080743,0.005309,N1,ram,0.0277,5.2109
0.085899,0.005336,N0,package,0.8497,159.2322
0.085951,0.005330,N0,ram,0.0359,6.7304
0.086065,0.005345,N1,package,0.5231,97.8756
0.086080,0.005337,N1,ram,0.0314,5.8754
0.091262,0.005363,N0,package,1.0118,188.6597
0.091369,0.005418,N0,ram,0.0436,8.0546
0.091484,0.005419,N1,package,0.4272,78.8420
0.091503,0.005423,N1,ram,0.0264,4.8705
0.096687,0.005425,N0,package,0.8323,153.4267
0.096745,0.005376,N0,ram,0.0345,6.4119
0.096849,0.005365,N1,package,0.4451,82.9557
0.096870,0.005367,N1,ram,0.0279,5.2028
0.102014,0.005327,N0,package,0.8337,156.5011
0.102104,0.005359,N0,ram,0.0340,6.3351
0.102142,0.005293,N1,package,0.5115,96.6342
0.102157,0.005287,N1,ram,0.0314,5.9310
0.107260,0.005246,N0,package,1.0119,192.8842
0.107285,0.005181,N0,ram,0.0440,8.4911
0.107388,0.005246,N1,package,0.4598,87.6564
0.107400,0.005243,N1,ram,0.0272,5.1949
0.112595,0.005335,N0,package,0.8303,155.6410
0.112708,0.005423,N0,ram,0.0352,6.4883
0.112812,0.005424,N1,package,0.5082,93.6904
0.112832,0.005432,N1,ram,0.0317,5.8373
0.118004,0.005409,N0,package,0.8674,160.3569
0.118081,0.005373,N0,ram,0.0368,6.8584
0.118147,0.005335,N1,package,0.4402,82.5076
0.118178,0.005346,N1,ram,0.0259,4.8379
0.123388,0.005384,N0,package,0.9890,183.6960
0.123438,0.005357,N0,ram,0.0427,7.9783
0.123533,0.005386,N1,package,0.4458,82.7722
0.123544,0.005366,N1,ram,0.0276,5.1412
0.128682,0.005294,N0,package,0.8631,163.0307
0.128724,0.005286,N0,ram,0.0359,6.7836
0.128813,0.005280,N1,package,0.4346,82.3163
0.128825,0.005281,N1,ram,0.0261,4.9495
0.133925,0.005243,N0,package,0.8479,161.7185
0.133964,0.005240,N0,ram,0.0361,6.8927
0.134223,0.005410,N1,package,0.5244,96.9307
0.134329,0.005504,N1,ram,0.0314,5.7138
0.139467,0.005542,N0,package,1.0055,181.4380
0.139517,0.005553,N0,ram,0.0417,7.5153
0.139618,0.005395,N1,package,0.4250,78.7753
0.139638,0.005309,N1,ram,0.0261,4.9204
0.144779,0.005312,N0,package,0.8500,160.0158
0.144824,0.005307,N0,ram,0.0349,6.5671
0.144912,0.005294,N1,package,0.5217,98.5422
0.144923,0.005285,N1,ram,0.0316,5.9880
0.150058,0.005279,N0,package,0.8145,154.2868
0.150102,0.005278,N0,ram,0.0340,6.4439
0.150137,0.005225,N1,package,0.4508,86.2756
0.150165,0.005242,N1,ram,0.0275,5.2513
0.155304,0.005246,N0,package,0.8688,165.6019
0.155346,0.005244,N0,ram,0.0437,8.3306
0.155440,0.005303,N1,package,0.4160,78.4505
0.155452,0.005287,N1,ram,0.0262,4.9497
0.160588,0.005284,N0,package,0.9866,186.7268
0.160624,0.005278,N0,ram,0.0357,6.7651
0.160715,0.005275,N1,package,0.4348,82.4291
0.160726,0.005274,N1,ram,0.0263,4.9821
0.165860,0.005272,N0,package,0.8318,157.7700
0.165919,0.005295,N0,ram,0.0361,6.8239
0.166053,0.005338,N1,package,0.5244,98.2311
0.166074,0.005348,N1,ram,0.0331,6.1800
0.171245,0.005385,N0,package,1.0207,189.5461
0.171268,0.005349,N0,ram,0.0419,7.8417
0.171290,0.005237,N1,package,0.4262,81.3825
0.171300,0.005226,N1,ram,0.0259,4.9489
0.176462,0.005217,N0,package,0.8685,166.4784
0.176519,0.005251,N0,ram,0.0350,6.6604
0.176618,0.005328,N1,package,0.4430,83.1453
0.176642,0.005342,N1,ram,0.0273,5.1043
0.181839,0.005377,N0,package,0.8149,151.5591
0.181878,0.005359,N0,ram,0.0330,6.1560
0.181965,0.005347,N1,package,0.5036,94.1836
0.181977,0.005335,N1,ram,0.0313,5.8634
0.187129,0.005290,N0,package,0.8671,163.9129
0.187344,0.005466,N0,ram,0.0378,6.9231
0.187487,0.005522,N1,package,0.4482,81.1626
0.187518,0.005541,N1,ram,0.0271,4.8989
0.192658,0.005529,N0,package,0.9881,178.7066
0.192693,0.005349,N0,ram,0.0416,7.7789
0.192813,0.005326,N1,package,0.4172,78.3390
0.192823,0.005305,N1,ram,0.0266,5.0162
0.197950,0.005292,N0,package,0.8674,163.9157
0.197994,0.005301,N0,ram,0.0361,6.8105
0.198250,0.005437,N1,package,0.5317,97.7906
0.198367,0.005544,N1,ram,0.0323,5.8267
0.203505,0.005555,N0,package,1.0201,183.6467
0.203551,0.005557,N0,ram,0.0433,7.7903
0.203650,0.005400,N1,package,0.4260,78.8944
0.203670,0.005303,N1,ram,0.0264,4.9693
0.208813,0.005308,N0,package,0.8312,156.5965
0.208852,0.005301,N0,ram,0.0357,6.7385
0.208944,0.005294,N1,package,0.4267,80.5988
0.208953,0.005283,N1,ram,0.0252,4.7742
0.214148,0.005335,N0,package,0.8294,155.4694
0.214228,0.005376,N0,ram,0.0358,6.6671
0.214332,0.005388,N1,package,0.5386,99.9577
0.214352,0.005399,N1,ram,0.0352,6.5173
0.219499,0.005351,N0,package,1.0048,187.7797
0.219562,0.005334,N0,ram,0.0410,7.6782
0.219665,0.005333,N1,package,0.4163,78.0544
0.219685,0.005333,N1,ram,0.0230,4.3062
0.224853,0.005354,N0,package,0.8328,155.5540
0.224906,0.005344,N0,ram,0.0351,6.5642
0.225008,0.005343,N1,package,0.4249,79.5302
0.225056,0.005371,N1,ram,0.0267,4.9631
0.230211,0.005358,N0,package,0.8488,158.4209
0.230267,0.005361,N0,ram,0.0349,6.5010
0.230382,0.005374,N1,package,0.5215,97.0463
0.230415,0.005359,N1,ram,0.0315,5.8855
0.235553,0.005342,N0,package,1.0347,193.6853
0.235591,0.005324,N0,ram,0.0436,8.1938
0.235682,0.005300,N1,package,0.4246,80.1087
0.235694,0.005279,N1,ram,0.0267,5.0525
0.240826,0.005273,N0,package,0.8239,156.2367
0.240896,0.005305,N0,ram,0.0338,6.3623
0.240987,0.005305,N1,package,0.4534,85.4714
0.240999,0.005305,N1,ram,0.0278,5.2377
0.246272,0.005446,N0,package,0.8839,162.3059
0.246337,0.005441,N0,ram,0.0385,7.0784
0.246454,0.005467,N1,package,0.5107,93.4238
0.246487,0.005488,N1,ram,0.0314,5.7166
0.251617,0.005345,N0,package,0.9852,184.3122
0.251641,0.005304,N0,ram,0.0413,7.7936
0.251739,0.005285,N1,package,0.4205,79.5705
0.251748,0.005261,N1,ram,0.0254,4.8349
0.256889,0.005272,N0,package,0.8302,157.4761
0.256953,0.005312,N0,ram,0.0343,6.4632
0.257088,0.005349,N1,package,0.5109,95.5037
0.257112,0.005364,N1,ram,0.0327,6.0905
0.262261,0.005372,N0,package,0.8839,164.5276
0.262327,0.005374,N0,ram,0.0380,7.0783
0.262431,0.005343,N1,package,0.4422,82.7631
0.262451,0.005339,N1,ram,0.0272,5.0871
0.267616,0.005355,N0,package,1.0037,187.4408
0.267682,0.005355,N0,ram,0.0422,7.8789
0.267804,0.005373,N1,package,0.4441,82.6525
0.267812,0.005361,N1,ram,0.0274,5.1092
0.272971,0.005355,N0,package,0.8144,152.0773
0.273044,0.005362,N0,ram,0.0342,6.3829
0.273275,0.005471,N1,package,0.4267,77.9926
0.273391,0.005579,N1,ram,0.0250,4.4745
0.278550,0.005579,N0,package,0.8500,152.3528
