#timestamp,interval,socket,domain,energy,power
0.005169,0.005467,N0,package,0.5577,102.0204
0.005187,0.005305,N0,ram,0.0237,4.4669
0.005406,0.005411,N1,package,0.5704,105.4230
0.005526,0.005526,N1,ram,0.0316,5.7185
0.010682,0.005513,N0,package,0.4732,85.8315
0.010699,0.005512,N0,ram,0.0191,3.4576
0.010811,0.005405,N1,package,0.4601,85.1188
0.010823,0.005297,N1,ram,0.0257,4.8482
0.015981,0.005299,N0,package,0.4871,91.9296
0.016001,0.005302,N0,ram,0.0194,3.6636
0.016116,0.005305,N1,package,0.4812,90.7103
0.016127,0.005304,N1,ram,0.0266,5.0114
0.021376,0.005395,N0,package,0.5296,98.1622
0.021483,0.005482,N0,ram,0.0224,4.0917
0.021611,0.005495,N1,package,0.5702,103.7640
0.021619,0.005492,N1,ram,0.0312,5.6901
0.026779,0.005403,N0,package,0.4662,86.2860
0.026799,0.005316,N0,ram,0.0183,3.4502
0.026913,0.005302,N1,package,0.4879,92.0255
0.026921,0.005302,N1,ram,0.0272,5.1256
0.032059,0.005280,N0,package,0.5194,98.3726
0.032074,0.005275,N0,ram,0.0203,3.8530
0.032156,0.005243,N1,package,0.4865,92.7914
0.032166,0.005245,N1,ram,0.0280,5.3297
0.037430,0.005371,N0,package,0.5211,97.0114
0.037474,0.005400,N0,ram,0.0209,3.8741
0.037584,0.005428,N1,package,0.5546,102.1661
0.037610,0.005444,N1,ram,0.0311,5.7178
0.042784,0.005354,N0,package,0.5825,108.8023
0.042798,0.005324,N0,ram,0.0187,3.5051
0.042911,0.005327,N1,package,0.4396,82.5300
0.042919,0.005309,N1,ram,0.0284,5.3547
0.048104,0.005320,N0,package,0.5521,103.7698
0.048393,0.005595,N0,ram,0.0194,3.4663
0.048561,0.005650,N1,package,0.5186,91.7789
0.048580,0.005661,N1,ram,0.0309,5.4636
0.053771,0.005667,N0,package,0.5912,104.3214
0.053899,0.005506,N0,ram,0.0214,3.8909
0.054008,0.005447,N1,package,0.4682,85.9571
0.054017,0.005437,N1,ram,0.0270,4.9589
0.059100,0.005329,N0,package,0.6641,124.6155
0.059114,0.005215,N0,ram,0.0229,4.3890
0.059374,0.005366,N1,package,0.4193,78.1410
0.059486,0.005469,N1,ram,0.0267,4.8827
0.064599,0.005499,N0,package,0.9057,164.6991
0.064615,0.005501,N0,ram,0.0403,7.3173
0.064734,0.005360,N1,package,0.5205,97.1117
0.064746,0.005260,N1,ram,0.0309,5.8657
0.069858,0.005259,N0,package,0.7640,145.2694
0.069890,0.005275,N0,ram,0.0333,6.3147
0.069993,0.005259,N1,package,0.4398,83.6312
0.070004,0.005258,N1,ram,0.0259,4.9246
0.075148,0.005290,N0,package,0.8248,155.9214
0.075336,0.005446,N0,ram,0.0363,6.6684
0.075489,0.005496,N1,package,0.4269,77.6818
0.075498,0.005494,N1,ram,0.0287,5.2241
0.080623,0.005475,N0,package,0.9276,169.4329
0.080662,0.005326,N0,ram,0.0401,7.5377
0.080760,0.005271,N1,package,0.5474,103.8451
0.080780,0.005282,N1,ram,0.0324,6.1388
0.085942,0.005319,N0,package,0.8106,152.3952
0.085976,0.005314,N0,ram,0.0366,6.8942
0.086090,0.005330,N1,package,0.4257,79.8597
0.086102,0.005322,N1,ram,0.0258,4.8540
0.091216,0.005274,N0,package,0.7654,145.1334
0.091238,0.005262,N0,ram,0.0346,6.5711
0.091345,0.005255,N1,package,0.5245,99.8169
0.091356,0.005254,N1,ram,0.0309,5.8781
0.096483,0.005267,N0,package,0.7625,144.7743
0.096534,0.005296,N0,ram,0.0419,7.9175
0.096637,0.005292,N1,package,0.4653,87.9207
0.096658,0.005302,N1,ram,0.0279,5.2638
0.101798,0.005315,N0,package,0.9297,174.9270
0.101846,0.005312,N0,ram,0.0338,6.3598
