#timestamp,interval,socket,domain,energy,power
0.005274,0.005551,N0,package,0.6147,110.7321
0.005396,0.005501,N0,ram,0.0206,3.7419
0.005565,0.005576,N1,package,0.4158,74.5768
0.005577,0.005577,N1,ram,0.0273,4.8867
0.010742,0.005468,N0,package,0.6260,114.4934
0.010755,0.005359,N0,ram,0.0214,3.9861
0.010909,0.005344,N1,package,0.3923,73.4056
0.010929,0.005352,N1,ram,0.0261,4.8810
0.016280,0.005538,N0,package,0.5396,97.4272
0.016403,0.005648,N0,ram,0.0191,3.3879
0.016520,0.005611,N1,package,0.4781,85.2137
0.016531,0.005602,N1,ram,0.0312,5.5782
0.021699,0.005419,N0,package,0.5244,96.7729
0.021715,0.005312,N0,ram,0.0199,3.7372
0.021799,0.005279,N1,package,0.4208,79.7218
0.021811,0.005280,N1,ram,0.0275,5.2163
0.026997,0.005298,N0,package,0.6466,122.0496
0.027010,0.005295,N0,ram,0.0231,4.3658
0.027303,0.005504,N1,package,0.4063,73.8193
0.027391,0.005580,N1,ram,0.0336,6.0133
0.032558,0.005561,N0,package,0.6364,114.4290
0.032572,0.005562,N0,ram,0.0197,3.5335
0.032643,0.005340,N1,package,0.4994,93.5211
0.032656,0.005265,N1,ram,0.0255,4.8341
0.037818,0.005260,N0,package,0.6490,123.3933
0.037994,0.005422,N0,ram,0.0211,3.8837
0.038083,0.005440,N1,package,0.5237,96.2763
0.038092,0.005436,N1,ram,0.0325,5.9874
0.043338,0.005520,N0,package,0.6034,109.3083
0.043468,0.005474,N0,ram,0.0204,3.7213
0.043637,0.005554,N1,package,0.4426,79.6813
0.043651,0.005559,N1,ram,0.0274,4.9298
0.048813,0.005475,N0,package,0.6583,120.2463
0.048828,0.005360,N0,ram,0.0211,3.9315
0.048926,0.005289,N1,package,0.4286,81.0480
0.048939,0.005288,N1,ram,0.0264,5.0005
0.054016,0.005203,N0,package,0.6088,117.0142
0.054028,0.005200,N0,ram,0.0201,3.8733
0.054355,0.005429,N1,package,0.5120,94.3010
0.054448,0.005509,N1,ram,0.0306,5.5535
0.059549,0.005533,N0,package,0.6594,119.1806
0.059568,0.005540,N0,ram,0.0293,5.2828
0.059691,0.005336,N1,package,0.4328,81.1088
0.059721,0.005273,N1,ram,0.0270,5.1132
0.064833,0.005284,N0,package,0.8145,154.1336
0.064852,0.005284,N0,ram,0.0380,7.1933
0.064969,0.005278,N1,package,0.4636,87.8388
0.064982,0.005261,N1,ram,0.0285,5.4121
0.070101,0.005268,N0,package,0.6807,129.2049
0.070121,0.005269,N0,ram,0.0310,5.8903
0.070286,0.005317,N1,package,0.5029,94.5780
0.070300,0.005318,N1,ram,0.0313,5.8792
0.075411,0.005310,N0,package,0.6575,123.8217
0.075431,0.005310,N0,ram,0.0311,5.8623
0.075554,0.005268,N1,package,0.4639,88.0561
0.075577,0.005277,N1,ram,0.0274,5.1844
0.080691,0.005280,N0,package,0.7938,150.3448
0.080712,0.005281,N0,ram,0.0364,6.8883
0.080830,0.005276,N1,package,0.4318,81.8358
0.080846,0.005269,N1,ram,0.0260,4.9260
0.085962,0.005271,N0,package,0.6571,124.6595
0.085982,0.005270,N0,ram,0.0335,6.3554
0.086290,0.005460,N1,package,0.4597,84.1857
0.086454,0.005608,N1,ram,0.0323,5.7657
0.091573,0.005611,N0,package,0.6546,116.6653
0.091599,0.005617,N0,ram,0.0317,5.6394
0.091715,0.005425,N1,package,0.5044,92.9764
0.091728,0.005274,N1,ram,0.0256,4.8490
0.096844,0.005271,N0,package,0.7792,147.8357
0.096863,0.005264,N0,ram,0.0392,7.4554
0.096981,0.005266,N1,package,0.3978,75.5321
0.096997,0.005269,N1,ram,0.0268,5.0795
0.102153,0.005309,N0,package,0.6179,116.3772
