#timestamp,interval,socket,domain,energy,power
0.005168,0.005632,N0,package,0.4933,87.5946
0.005335,0.005609,N0,ram,0.0216,3.8494
0.005419,0.005504,N1,package,0.4207,76.4285
0.005431,0.005431,N1,ram,0.0263,4.8464
0.010594,0.005426,N0,package,0.6185,113.9840
0.010607,0.005272,N0,ram,0.0268,5.0767
0.010886,0.005467,N1,package,0.3822,69.9085
0.011072,0.005641,N1,ram,0.0314,5.5669
0.016240,0.005646,N0,package,0.4937,87.4341
0.016414,0.005807,N0,ram,0.0221,3.8126
0.016500,0.005614,N1,package,0.4911,87.4897
0.016511,0.005439,N1,ram,0.0263,4.8365
0.021878,0.005638,N0,package,0.6182,109.6447
0.021993,0.005579,N0,ram,0.0276,4.9395
0.022069,0.005569,N1,package,0.4968,89.2022
0.022082,0.005571,N1,ram,0.0323,5.7903
0.027233,0.005355,N0,package,0.5449,101.7458
0.027244,0.005251,N0,ram,0.0237,4.5071
0.027329,0.005260,N1,package,0.3975,75.5747
0.027340,0.005258,N1,ram,0.0260,4.9479
0.032517,0.005284,N0,package,0.6128,115.9699
0.032528,0.005284,N0,ram,0.0238,4.5048
0.032599,0.005270,N1,package,0.4340,82.3569
0.032612,0.005272,N1,ram,0.0266,5.0478
0.037892,0.005375,N0,package,0.5193,96.6246
0.037998,0.005470,N0,ram,0.0199,3.6459
0.038163,0.005564,N1,package,0.5096,91.5931
0.038175,0.005563,N1,ram,0.0318,5.7135
0.043339,0.005447,N0,package,0.6392,117.3436
0.043520,0.005522,N0,ram,0.0237,4.2998
0.043697,0.005534,N1,package,0.4259,76.9621
0.043711,0.005536,N1,ram,0.0254,4.5947
0.049027,0.005688,N0,package,0.5925,104.1727
0.049040,0.005520,N0,ram,0.0219,3.9749
0.049132,0.005435,N1,package,0.5200,95.6799
0.049142,0.005431,N1,ram,0.0329,6.0659
0.054328,0.005301,N0,package,0.6083,114.7423
0.054359,0.005319,N0,ram,0.0220,4.1424
0.054448,0.005316,N1,package,0.4397,82.7118
0.054575,0.005433,N1,ram,0.0263,4.8364
0.059873,0.005545,N0,package,0.4781,86.2323
0.059977,0.005618,N0,ram,0.0192,3.4142
0.060081,0.005633,N1,package,0.5408,96.0027
0.060094,0.005519,N1,ram,0.0318,5.7644
0.065283,0.005410,N0,package,0.5851,108.1493
0.065427,0.005450,N0,ram,0.0216,3.9617
0.065516,0.005435,N1,package,0.4709,86.6510
0.065657,0.005563,N1,ram,0.0274,4.9262
0.070953,0.005670,N0,package,0.5117,90.2383
0.071069,0.005642,N0,ram,0.0185,3.2752
0.071203,0.005687,N1,package,0.4695,82.5536
0.071359,0.005702,N1,ram,0.0289,5.0738
0.076558,0.005605,N0,package,0.5923,105.6712
0.076904,0.005835,N0,ram,0.0227,3.8964
0.076927,0.005724,N1,package,0.2079,36.3170
0.076936,0.005577,N1,ram,0.0146,2.6239
0.082127,0.005569,N0,package,0.4662,83.7113
0.082301,0.005397,N0,ram,0.0187,3.4605
0.082328,0.005401,N1,package,1.3731,254.2371
0.082350,0.005414,N1,ram,0.0535,9.8813
0.087547,0.005420,N0,package,0.5766,106.3842
0.087579,0.005278,N0,ram,0.0214,4.0504
0.087605,0.005277,N1,package,1.0167,192.6622
0.087620,0.005270,N1,ram,0.0261,4.9453
0.092782,0.005235,N0,package,0.4731,90.3701
0.092967,0.005388,N0,ram,0.0179,3.3247
