#timestamp,interval,socket,domain,energy,power
0.005172,0.005483,N0,package,0.5625,102.5915
0.005496,0.005604,N0,ram,0.0201,3.5860
0.005652,0.005665,N1,package,0.4841,85.4483
0.005665,0.005665,N1,ram,0.0310,5.4651
0.010829,0.005657,N0,package,0.5959,105.3324
0.010845,0.005349,N0,ram,0.0215,4.0164
0.010975,0.005323,N1,package,0.4045,75.9996
0.010995,0.005330,N1,ram,0.0255,4.7808
0.016168,0.005339,N0,package,0.5224,97.8477
0.016525,0.005680,N0,ram,0.0201,3.5381
0.016636,0.005661,N1,package,0.5222,92.2480
0.016647,0.005652,N1,ram,0.0330,5.8422
0.021839,0.005671,N0,package,0.5026,88.6195
0.021851,0.005326,N0,ram,0.0177,3.3233
0.021935,0.005299,N1,package,0.3989,75.2738
0.021947,0.005300,N1,ram,0.0255,4.8079
0.027136,0.005297,N0,package,0.6358,120.0320
0.027149,0.005298,N0,ram,0.0231,4.3575
0.027233,0.005298,N1,package,0.4006,75.6180
0.027246,0.005299,N1,ram,0.0267,5.0451
0.032642,0.005506,N0,package,0.5372,97.5602
0.032655,0.005506,N0,ram,0.0190,3.4421
0.032746,0.005513,N1,package,0.4840,87.7948
0.032758,0.005512,N1,ram,0.0315,5.7082
0.037832,0.005190,N0,package,0.5605,108.0074
0.037844,0.005189,N0,ram,0.0203,3.9079
0.037928,0.005182,N1,package,0.4182,80.7045
0.037940,0.005182,N1,ram,0.0246,4.7525
0.043017,0.005185,N0,package,0.6461,124.5981
0.043029,0.005185,N0,ram,0.0217,4.1849
0.043166,0.005238,N1,package,0.4679,89.3262
0.043178,0.005238,N1,ram,0.0284,5.4299
0.048570,0.005553,N0,package,0.4930,88.7883
0.048584,0.005555,N0,ram,0.0163,2.9391
0.048676,0.005510,N1,package,0.5173,93.8814
0.048688,0.005510,N1,ram,0.0314,5.6963
0.053875,0.005305,N0,package,0.6478,122.1036
0.053906,0.005322,N0,ram,0.0219,4.1057
0.053993,0.005317,N1,package,0.4346,81.7327
0.054125,0.005437,N1,ram,0.0276,5.0826
0.059271,0.005396,N0,package,0.5570,103.2280
0.059582,0.005676,N0,ram,0.0211,3.7100
0.059667,0.005674,N1,package,0.5497,96.8861
0.059678,0.005553,N1,ram,0.0321,5.7842
0.064878,0.005607,N0,package,0.5048,90.0360
0.064909,0.005327,N0,ram,0.0185,3.4801
0.064996,0.005329,N1,package,0.4604,86.4062
0.065114,0.005436,N1,ram,0.0274,5.0414
0.070250,0.005372,N0,package,0.5941,110.5826
0.070323,0.005414,N0,ram,0.0212,3.9177
0.070421,0.005425,N1,package,0.4581,84.4333
0.070538,0.005424,N1,ram,0.0276,5.0834
0.075734,0.005484,N0,package,0.4723,86.1198
0.075765,0.005442,N0,ram,0.0185,3.3926
0.075866,0.005445,N1,package,0.4194,77.0309
0.076003,0.005465,N1,ram,0.0252,4.6181
0.081235,0.005501,N0,package,0.4874,88.5953
0.081249,0.005484,N0,ram,0.0181,3.2972
0.081471,0.005605,N1,package,0.1783,31.8081
0.081487,0.005484,N1,ram,0.0133,2.4179
0.086680,0.005445,N0,package,0.4899,89.9665
0.086849,0.005600,N0,ram,0.0249,4.4549
0.086876,0.005405,N1,package,1.3242,245.0011
0.086893,0.005406,N1,ram,0.0549,10.1501
0.092090,0.005410,N0,package,0.5877,108.6344
0.092283,0.005434,N0,ram,0.0156,2.8643
0.092322,0.005446,N1,package,1.2300,225.8632
0.092345,0.005452,N1,ram,0.0330,6.0538
0.097541,0.005451,N0,package,0.5606,102.8456
0.097685,0.005402,N0,ram,0.0204,3.7822
0.097712,0.005390,N1,package,0.9903,183.7307
0.097728,0.005383,N1,ram,0.0269,4.9946
0.102930,0.005389,N0,package,0.5417,100.5290
0.103102,0.005417,N0,ram,0.0212,3.9125
0.103130,0.005418,N1,package,1.0389,191.7550
0.103147,0.005419,N1,ram,0.0268,4.9417
0.108437,0.005507,N0,package,0.4481,81.3729
0.108560,0.005458,N0,ram,0.0202,3.6960
0.108595,0.005465,N1,package,1.1879,217.3688
0.108604,0.005457,N1,ram,0.0311,5.7013
0.113787,0.005350,N0,package,0.5815,108.6973
0.113930,0.005370,N0,ram,0.0226,4.2083
0.113958,0.005363,N1,package,1.0187,189.9458
0.113976,0.005372,N1,ram,0.0271,5.0505
0.119188,0.005401,N0,package,0.4805,88.9609
0.119470,0.005540,N0,ram,0.0181,3.2583
0.119534,0.005576,N1,package,1.2361,221.6944
0.119551,0.005575,N1,ram,0.0318,5.6955
0.124748,0.005560,N0,package,0.6016,108.2072
0.124782,0.005312,N0,ram,0.0232,4.3691
0.124809,0.005275,N1,package,0.9232,175.0172
0.124831,0.005280,N1,ram,0.0239,4.5198
0.130028,0.005280,N0,package,0.4355,82.4897
0.130169,0.005387,N0,ram,0.0156,2.8948
0.130196,0.005387,N1,package,1.0386,192.7903
0.130213,0.005382,N1,ram,0.0280,5.1970
0.135361,0.005333,N0,package,0.4900,91.8757
0.135520,0.005351,N0,ram,0.0191,3.5758
0.135538,0.005342,N1,package,1.1956,223.8029
0.135547,0.005334,N1,ram,0.0316,5.9271
0.140714,0.005353,N0,package,0.6174,115.3323
0.140853,0.005333,N0,ram,0.0237,4.4406
0.140866,0.005328,N1,package,1.0621,199.3402
0.140874,0.005327,N1,ram,0.0275,5.1560
0.146065,0.005351,N0,package,0.4740,88.5842
0.146099,0.005246,N0,ram,0.0179,3.4177
0.146125,0.005259,N1,package,0.9727,184.9495
0.146147,0.005273,N1,ram,0.0264,4.9976
0.151489,0.005424,N0,package,0.4816,88.7954
0.151593,0.005494,N0,ram,0.0186,3.3827
0.151610,0.005485,N1,package,1.1613,211.7124
0.151620,0.005473,N1,ram,0.0308,5.6205
0.156809,0.005320,N0,package,0.5698,107.0969
0.156979,0.005386,N0,ram,0.0210,3.8984
0.157006,0.005396,N1,package,1.0397,192.6900
0.157024,0.005404,N1,ram,0.0272,5.0289
0.162227,0.005418,N0,package,0.4810,88.7805
0.162489,0.005510,N0,ram,0.0182,3.3120
0.162553,0.005547,N1,package,1.1623,209.5336
0.162572,0.005548,N1,ram,0.0321,5.7839
0.167769,0.005542,N0,package,0.5756,103.8537
0.167911,0.005422,N0,ram,0.0209,3.8471
0.167937,0.005384,N1,package,1.0419,193.5248
0.167955,0.005383,N1,ram,0.0274,5.0853
0.173152,0.005383,N0,package,0.4708,87.4650
0.173302,0.005391,N0,ram,0.0188,3.4842
0.173334,0.005397,N1,package,1.1601,214.9486
0.173353,0.005398,N1,ram,0.0307,5.6959
0.178552,0.005400,N0,package,0.4986,92.3336
0.178701,0.005399,N0,ram,0.0191,3.5469
0.178712,0.005378,N1,package,1.0421,193.7733
0.178721,0.005368,N1,ram,0.0274,5.1081
0.183907,0.005355,N0,package,0.5585,104.2921
0.183938,0.005237,N0,ram,0.0214,4.0880
0.183965,0.005253,N1,package,0.9716,184.9502
0.183980,0.005259,N1,ram,0.0256,4.8601
0.189181,0.005274,N0,package,0.4628,87.7443
0.189450,0.005512,N0,ram,0.0181,3.2804
0.189515,0.005550,N1,package,1.2112,218.2456
0.189533,0.005553,N1,ram,0.0320,5.7567
0.194698,0.005517,N0,package,0.4812,87.2214
0.194872,0.005422,N0,ram,0.0178,3.2870
0.194885,0.005370,N1,package,0.9861,183.6430
0.194894,0.005361,N1,ram,0.0263,4.9012
0.200083,0.005385,N0,package,0.5635,104.6397
0.200226,0.005354,N0,ram,0.0212,3.9672
0.200253,0.005368,N1,package,0.9864,183.7538
0.200286,0.005392,N1,ram,0.0267,4.9438
0.205558,0.005475,N0,package,0.4849,88.5699
0.205675,0.005449,N0,ram,0.0184,3.3855
0.205724,0.005471,N1,package,1.2072,220.6462
0.205747,0.005461,N1,ram,0.0318,5.8146
0.210944,0.005386,N0,package,0.5494,101.9988
0.211086,0.005411,N0,ram,0.0219,4.0382
0.211116,0.005392,N1,package,0.9966,184.8348
0.211134,0.005387,N1,ram,0.0269,4.9993
0.216420,0.005476,N0,package,0.4870,88.9335
0.216543,0.005457,N0,ram,0.0184,3.3665
0.216578,0.005462,N1,package,1.2181,223.0124
0.216587,0.005453,N1,ram,0.0309,5.6610
0.221777,0.005357,N0,package,0.5743,107.2126
0.221946,0.005403,N0,ram,0.0217,4.0076
0.221974,0.005396,N1,package,0.9969,184.7412
0.221997,0.005410,N1,ram,0.0275,5.0769
0.227196,0.005419,N0,package,0.4732,87.3232
0.227491,0.005545,N0,ram,0.0178,3.2085
0.227556,0.005582,N1,package,1.2081,216.4278
0.227575,0.005578,N1,ram,0.0303,5.4409
0.232774,0.005578,N0,package,0.4697,84.2135
0.232991,0.005500,N0,ram,0.0183,3.3208
0.233003,0.005447,N1,package,1.0402,190.9663
0.233012,0.005437,N1,ram,0.0274,5.0375
0.238201,0.005427,N0,package,0.5673,104.5346
0.238464,0.005473,N0,ram,0.0229,4.1877
0.238528,0.005525,N1,package,1.1663,211.1036
0.238546,0.005534,N1,ram,0.0322,5.8124
0.243747,0.005546,N0,package,0.4548,82.0133
0.243886,0.005422,N0,ram,0.0221,4.0751
0.243898,0.005370,N1,package,1.0408,193.8071
0.243907,0.005361,N1,ram,0.0264,4.9211
0.249096,0.005349,N0,package,0.5730,107.1193
0.249273,0.005387,N0,ram,0.0164,3.0449
0.249299,0.005401,N1,package,0.9570,177.1986
0.249315,0.005408,N1,ram,0.0254,4.7008
0.254592,0.005496,N0,package,0.4757,86.5549
0.254710,0.005437,N0,ram,0.0175,3.2189
0.254750,0.005451,N1,package,1.2484,229.0149
0.254766,0.005451,N1,ram,0.0332,6.0828
0.259965,0.005373,N0,package,0.5655,105.2467
0.260134,0.005424,N0,ram,0.0217,4.0032
0.260164,0.005414,N1,package,1.0114,186.8142
0.260180,0.005414,N1,ram,0.0265,4.9012
