#timestamp,interval,socket,domain,energy,power
0.005080,0.005225,N0,package,0.4653,89.0480
0.005095,0.005235,N0,ram,0.0180,3.4394
0.005357,0.005368,N1,package,0.5021,93.5312
0.005519,0.005519,N1,ram,0.0300,5.4273
0.010690,0.005610,N0,package,0.6057,107.9704
0.010701,0.005606,N0,ram,0.0234,4.1754
0.010815,0.005458,N1,package,0.4048,74.1653
0.010827,0.005308,N1,ram,0.0248,4.6743
0.015993,0.005303,N0,package,0.5316,100.2385
0.016005,0.005304,N0,ram,0.0186,3.5011
0.016352,0.005537,N1,package,0.5139,92.8033
0.016559,0.005732,N1,ram,0.0334,5.8325
0.021673,0.005680,N0,package,0.6017,105.9288
0.021709,0.005704,N0,ram,0.0226,3.9592
0.021797,0.005445,N1,package,0.4232,77.7259
0.021815,0.005256,N1,ram,0.0282,5.3737
0.026935,0.005262,N0,package,0.4980,94.6400
0.026966,0.005257,N0,ram,0.0224,4.2552
0.027066,0.005269,N1,package,0.4756,90.2719
0.027079,0.005264,N1,ram,0.0262,4.9770
0.032206,0.005271,N0,package,0.5977,113.3815
0.032243,0.005277,N0,ram,0.0181,3.4293
0.032476,0.005410,N1,package,0.5085,93.9904
0.032518,0.005439,N1,ram,0.0297,5.4650
0.037643,0.005437,N0,package,0.4969,91.3917
0.037674,0.005431,N0,ram,0.0182,3.3547
0.037764,0.005288,N1,package,0.5177,97.9031
0.037780,0.005262,N1,ram,0.0284,5.3906
0.042974,0.005331,N0,package,0.4819,90.3900
0.043011,0.005337,N0,ram,0.0170,3.1936
0.043113,0.005349,N1,package,0.5211,97.4206
0.043147,0.005367,N1,ram,0.0271,5.0523
0.048445,0.005471,N0,package,0.5867,107.2440
0.048562,0.005551,N0,ram,0.0218,3.9225
0.048663,0.005550,N1,package,0.6105,109.9971
0.048787,0.005640,N1,ram,0.0321,5.6923
0.053874,0.005429,N0,package,0.4838,89.1070
0.053886,0.005324,N0,ram,0.0195,3.6657
0.053978,0.005315,N1,package,0.5707,107.3700
0.053990,0.005203,N1,ram,0.0298,5.7363
0.059111,0.005237,N0,package,0.5054,96.5143
0.059127,0.005241,N0,ram,0.0193,3.6917
0.059148,0.005170,N1,package,0.5068,98.0365
0.059325,0.005335,N1,ram,0.0270,5.0566
0.064518,0.005407,N0,package,0.5895,109.0306
0.064550,0.005423,N0,ram,0.0215,3.9645
0.064579,0.005431,N1,package,0.7643,140.7326
0.064598,0.005273,N1,ram,0.0349,6.6269
0.069795,0.005277,N0,package,0.4908,93.0173
0.069826,0.005276,N0,ram,0.0181,3.4272
0.069858,0.005279,N1,package,0.6394,121.1262
0.069879,0.005281,N1,ram,0.0325,6.1599
0.075075,0.005280,N0,package,0.4715,89.2983
0.075376,0.005550,N0,ram,0.0179,3.2166
0.075408,0.005550,N1,package,0.6405,115.4029
0.075419,0.005540,N1,ram,0.0314,5.6684
0.080609,0.005534,N0,package,0.5974,107.9543
0.080777,0.005401,N0,ram,0.0212,3.9299
0.080819,0.005411,N1,package,0.7499,138.5863
0.080844,0.005425,N1,ram,0.0389,7.1639
0.086041,0.005432,N0,package,0.5051,92.9888
0.086325,0.005548,N0,ram,0.0190,3.4297
0.086393,0.005574,N1,package,0.6158,110.4745
0.086414,0.005570,N1,ram,0.0379,6.8076
0.091584,0.005543,N0,package,0.5903,106.4896
0.091715,0.005390,N0,ram,0.0218,4.0455
0.091729,0.005336,N1,package,0.7384,138.3802
0.091741,0.005327,N1,ram,0.0316,5.9322
0.096932,0.005348,N0,package,0.4719,88.2322
0.097074,0.005359,N0,ram,0.0172,3.2003
0.097120,0.005391,N1,package,0.6367,118.0938
0.097166,0.005425,N1,ram,0.0326,6.0079
0.102448,0.005516,N0,package,0.5729,103.8672
0.102565,0.005491,N0,ram,0.0215,3.9238
0.102616,0.005496,N1,package,0.7398,134.6135
0.102656,0.005490,N1,ram,0.0398,7.2541
0.107855,0.005407,N0,package,0.5444,100.6819
0.107886,0.005321,N0,ram,0.0195,3.6650
0.107916,0.005300,N1,package,0.5748,108.4574
0.107933,0.005277,N1,ram,0.0315,5.9767
0.113132,0.005277,N0,package,0.5578,105.7009
0.113399,0.005513,N0,ram,0.0212,3.8415
0.113427,0.005511,N1,package,0.7667,139.1138
0.113438,0.005505,N1,ram,0.0388,7.0434
0.118628,0.005496,N0,package,0.4904,89.2313
0.118770,0.005371,N0,ram,0.0168,3.1337
0.118825,0.005398,N1,package,0.6044,111.9724
0.118846,0.005408,N1,ram,0.0316,5.8377
0.124053,0.005425,N0,package,0.4954,91.3225
0.124372,0.005602,N0,ram,0.0190,3.3965
0.124438,0.005613,N1,package,0.7382,131.5068
0.124456,0.005610,N1,ram,0.0385,6.8597
0.129657,0.005604,N0,package,0.6087,108.6189
0.129832,0.005460,N0,ram,0.0217,3.9684
0.129864,0.005426,N1,package,0.6122,112.8366
0.129886,0.005430,N1,ram,0.0325,5.9799
0.135082,0.005425,N0,package,0.4980,91.8063
0.135305,0.005473,N0,ram,0.0175,3.1979
