#timestamp,interval,socket,domain,energy,power
0.005090,0.005217,N0,package,0.4460,85.4854
0.005119,0.005232,N0,ram,0.0187,3.5667
0.005370,0.005375,N1,package,0.4734,88.0738
0.005477,0.005477,N1,ram,0.0280,5.1040
0.010634,0.005544,N0,package,0.4554,82.1406
0.010649,0.005530,N0,ram,0.0191,3.4464
0.010764,0.005394,N1,package,0.5690,105.4936
0.010775,0.005298,N1,ram,0.0310,5.8554
0.015935,0.005301,N0,package,0.5154,97.2349
0.015956,0.005307,N0,ram,0.0231,4.3560
0.016204,0.005440,N1,package,0.4838,88.9274
0.016311,0.005536,N1,ram,0.0274,4.9530
0.021389,0.005454,N0,package,0.4370,80.1147
0.021403,0.005447,N0,ram,0.0181,3.3167
0.021502,0.005298,N1,package,0.5121,96.6538
0.021509,0.005198,N1,ram,0.0300,5.7683
0.026589,0.005200,N0,package,0.4570,87.8922
0.026603,0.005200,N0,ram,0.0189,3.6358
0.026702,0.005200,N1,package,0.5701,109.6304
0.026713,0.005204,N1,ram,0.0305,5.8643
0.031790,0.005201,N0,package,0.5842,112.3278
0.031803,0.005200,N0,ram,0.0222,4.2637
0.031895,0.005193,N1,package,0.4401,84.7417
0.031903,0.005190,N1,ram,0.0225,4.3335
0.036986,0.005196,N0,package,0.4841,93.1763
0.037001,0.005198,N0,ram,0.0184,3.5490
0.037229,0.005334,N1,package,0.6013,112.7302
0.037337,0.005434,N1,ram,0.0315,5.7929
0.042493,0.005507,N0,package,0.4785,86.8813
0.042509,0.005508,N0,ram,0.0182,3.3132
0.042616,0.005387,N1,package,0.5752,106.7781
0.042634,0.005297,N1,ram,0.0301,5.6807
0.047715,0.005222,N0,package,0.5234,100.2354
0.047729,0.005220,N0,ram,0.0211,4.0486
0.047834,0.005218,N1,package,0.5109,97.9154
0.047841,0.005207,N1,ram,0.0275,5.2835
0.052921,0.005206,N0,package,0.5236,100.5664
0.052936,0.005207,N0,ram,0.0210,4.0410
0.053305,0.005471,N1,package,0.5531,101.0970
0.053440,0.005599,N1,ram,0.0292,5.2109
0.059265,0.006344,N0,package,0.5756,90.7372
0.059339,0.006403,N0,ram,0.0223,3.4793
0.059403,0.006098,N1,package,0.7073,115.9942
0.059431,0.005991,N1,ram,0.0316,5.2669
0.064633,0.005368,N0,package,0.5142,95.7939
0.064730,0.005391,N0,ram,0.0178,3.3060
0.064775,0.005372,N1,package,0.8893,165.5502
0.064817,0.005386,N1,ram,0.0400,7.4284
0.070025,0.005392,N0,package,0.4697,87.1029
0.070059,0.005329,N0,ram,0.0188,3.5218
0.070256,0.005481,N1,package,0.8028,146.4687
0.070312,0.005495,N1,ram,0.0340,6.1867
0.075503,0.005478,N0,package,0.5897,107.6435
0.075679,0.005620,N0,ram,0.0226,4.0183
0.075778,0.005522,N1,package,0.9182,166.2823
0.075808,0.005496,N1,ram,0.0395,7.1851
0.081006,0.005503,N0,package,0.5774,104.9199
0.081330,0.005651,N0,ram,0.0229,4.0530
0.081427,0.005649,N1,package,0.8905,157.6432
0.081463,0.005655,N1,ram,0.0388,6.8593
0.086664,0.005658,N0,package,0.4797,84.7904
0.086848,0.005518,N0,ram,0.0173,3.1303
0.086914,0.005487,N1,package,0.7748,141.1977
0.086954,0.005491,N1,ram,0.0329,5.9996
0.092237,0.005573,N0,package,0.5991,107.4926
0.092437,0.005589,N0,ram,0.0224,3.9997
0.092566,0.005652,N1,package,0.9354,165.5048
0.092584,0.005630,N1,ram,0.0402,7.1469
0.097774,0.005537,N0,package,0.4803,86.7516
0.097951,0.005514,N0,ram,0.0181,3.2876
0.098000,0.005434,N1,package,0.7899,145.3535
0.098043,0.005459,N1,ram,0.0340,6.2220
0.103356,0.005582,N0,package,0.5866,105.0921
0.103477,0.005526,N0,ram,0.0223,4.0397
0.103561,0.005561,N1,package,0.9164,164.8019
0.103670,0.005627,N1,ram,0.0405,7.1970
0.108850,0.005494,N0,package,0.4775,86.9071
0.109176,0.005699,N0,ram,0.0170,2.9827
0.109271,0.005710,N1,package,0.7607,133.2269
0.109291,0.005621,N1,ram,0.0320,5.6950
0.114480,0.005630,N0,package,0.4891,86.8800
0.114511,0.005335,N0,ram,0.0186,3.4893
0.114570,0.005299,N1,package,0.9194,173.5156
0.114605,0.005314,N1,ram,0.0396,7.4573
0.119822,0.005342,N0,package,0.5820,108.9422
0.119999,0.005488,N0,ram,0.0223,4.0567
0.120197,0.005627,N1,package,0.7620,135.4082
0.120307,0.005702,N1,ram,0.0325,5.6999
0.125512,0.005690,N0,package,0.5549,97.5299
0.125688,0.005689,N0,ram,0.0214,3.7603
0.125746,0.005549,N1,package,0.9341,168.3458
0.125780,0.005473,N1,ram,0.0397,7.2545
0.130994,0.005482,N0,package,0.5145,93.8429
0.131010,0.005322,N0,ram,0.0189,3.5495
0.131202,0.005456,N1,package,0.7612,139.5225
0.131241,0.005461,N1,ram,0.0334,6.1217
0.136433,0.005439,N0,package,0.5565,102.3237
0.136609,0.005599,N0,ram,0.0217,3.8808
0.136690,0.005488,N1,package,0.9280,169.0948
0.136757,0.005516,N1,ram,0.0399,7.2285
0.141974,0.005541,N0,package,0.4963,89.5741
0.142298,0.005689,N0,ram,0.0181,3.1757
0.142402,0.005712,N1,package,0.7908,138.4503
0.142453,0.005696,N1,ram,0.0331,5.8050
0.147644,0.005670,N0,package,0.5825,102.7251
0.147821,0.005523,N0,ram,0.0224,4.0558
0.147930,0.005528,N1,package,0.9039,163.5194
0.147980,0.005527,N1,ram,0.0390,7.0537
0.153108,0.005464,N0,package,0.5031,92.0805
0.153270,0.005449,N0,ram,0.0180,3.2959
0.153348,0.005418,N1,package,0.7909,145.9735
0.153389,0.005409,N1,ram,0.0338,6.2570
0.158546,0.005438,N0,package,0.5504,101.2036
0.158563,0.005293,N0,ram,0.0211,3.9784
0.158647,0.005299,N1,package,0.9112,171.9528
0.158683,0.005294,N1,ram,0.0403,7.6033
0.163849,0.005303,N0,package,0.5182,97.7293
0.163997,0.005434,N0,ram,0.0193,3.5577
0.164033,0.005386,N1,package,0.7619,141.4629
0.164051,0.005368,N1,ram,0.0326,6.0802
0.169164,0.005315,N0,package,0.4943,92.9928
0.169342,0.005345,N0,ram,0.0182,3.4028
0.169396,0.005363,N1,package,0.7755,144.5932
0.169418,0.005367,N1,ram,0.0322,6.0020
0.174608,0.005444,N0,package,0.5800,106.5415
0.174785,0.005443,N0,ram,0.0211,3.8800
0.174834,0.005438,N1,package,0.9349,171.9237
0.174862,0.005444,N1,ram,0.0401,7.3631
0.180198,0.005590,N0,package,0.4879,87.2732
0.180321,0.005536,N0,ram,0.0185,3.3433
0.180386,0.005552,N1,package,0.7618,137.2178
0.180451,0.005589,N1,ram,0.0328,5.8616
0.185640,0.005442,N0,package,0.5583,102.5907
