#timestamp,interval,socket,domain,energy,power
0.005175,0.005719,N0,package,0.5410,94.6006
0.005208,0.005608,N0,ram,0.0268,4.7860
0.005290,0.005468,N1,package,0.5053,92.4100
0.005298,0.005298,N1,ram,0.0272,5.1353
0.010465,0.005290,N0,package,0.4529,85.6218
0.010485,0.005277,N0,ram,0.0206,3.8979
0.010593,0.005303,N1,package,0.4930,92.9758
0.010604,0.005306,N1,ram,0.0278,5.2396
0.015823,0.005358,N0,package,0.4725,88.1812
0.015921,0.005436,N0,ram,0.0219,4.0253
0.016018,0.005425,N1,package,0.5004,92.2451
0.016034,0.005430,N1,ram,0.0275,5.0638
0.021184,0.005361,N0,package,0.4901,91.4091
0.021204,0.005283,N0,ram,0.0201,3.8096
0.021310,0.005292,N1,package,0.4684,88.5205
0.021322,0.005288,N1,ram,0.0271,5.1246
0.026462,0.005278,N0,package,0.4666,88.3979
0.026596,0.005392,N0,ram,0.0204,3.7893
0.026891,0.005581,N1,package,0.5018,89.9155
0.027065,0.005743,N1,ram,0.0278,4.8356
0.032203,0.005741,N0,package,0.5624,97.9668
0.032319,0.005723,N0,ram,0.0223,3.9007
0.032328,0.005437,N1,package,0.6012,110.5771
0.032335,0.005270,N1,ram,0.0344,6.5320
0.037487,0.005284,N0,package,0.5046,95.4903
0.037508,0.005189,N0,ram,0.0185,3.5639
0.037611,0.005283,N1,package,0.5518,104.4495
0.037619,0.005284,N1,ram,0.0265,5.0133
0.042889,0.005402,N0,package,0.4729,87.5442
0.042989,0.005481,N0,ram,0.0186,3.3853
0.043124,0.005513,N1,package,0.4836,87.7284
0.043131,0.005512,N1,ram,0.0253,4.5981
0.048278,0.005389,N0,package,0.6039,112.0701
0.048296,0.005307,N0,ram,0.0230,4.3330
0.048413,0.005289,N1,package,0.6285,118.8374
0.048429,0.005298,N1,ram,0.0320,6.0452
0.053565,0.005287,N0,package,0.5228,98.8745
0.053913,0.005617,N0,ram,0.0206,3.6728
0.054041,0.005628,N1,package,0.5220,92.7478
0.054049,0.005620,N1,ram,0.0273,4.8627
0.059199,0.005634,N0,package,0.5662,100.5041
0.059219,0.005306,N0,ram,0.0212,3.9944
0.059336,0.005295,N1,package,0.5972,112.7788
0.059347,0.005298,N1,ram,0.0320,6.0483
0.064453,0.005254,N0,package,0.4850,92.3189
0.064466,0.005247,N0,ram,0.0168,3.2047
0.064545,0.005209,N1,package,0.4647,89.2040
0.064553,0.005206,N1,ram,0.0262,5.0236
0.069685,0.005232,N0,package,0.5121,97.8738
0.069717,0.005251,N0,ram,0.0223,4.2514
0.069951,0.005406,N1,package,0.4409,81.5510
0.070069,0.005516,N1,ram,0.0250,4.5341
0.075265,0.005580,N0,package,0.4494,80.5387
0.075281,0.005564,N0,ram,0.0236,4.2343
0.075391,0.005440,N1,package,0.4220,77.5730
0.075402,0.005333,N1,ram,0.0333,6.2372
0.080594,0.005329,N0,package,0.4130,77.4952
0.080626,0.005345,N0,ram,0.0177,3.3143
0.080864,0.005473,N1,package,0.3595,65.6839
0.080981,0.005579,N1,ram,0.0250,4.4855
0.086184,0.005590,N0,package,0.4111,73.5344
0.086220,0.005594,N0,ram,0.0186,3.3196
0.086336,0.005472,N1,package,0.3765,68.7991
0.086347,0.005366,N1,ram,0.0274,5.1129
0.091539,0.005355,N0,package,0.4856,90.6828
0.091559,0.005339,N0,ram,0.0199,3.7269
0.091666,0.005330,N1,package,0.4262,79.9628
0.091675,0.005328,N1,ram,0.0302,5.6703
0.096954,0.005415,N0,package,0.4604,85.0215
0.097075,0.005516,N0,ram,0.0200,3.6238
0.097199,0.005533,N1,package,0.3577,64.6426
0.097232,0.005557,N1,ram,0.0251,4.5144
0.102436,0.005482,N0,package,0.4244,77.4135
0.102456,0.005381,N0,ram,0.0177,3.2838
0.102562,0.005363,N1,package,0.4349,81.0883
0.102573,0.005341,N1,ram,0.0307,5.7538
0.107856,0.005420,N0,package,0.4785,88.2836
0.107981,0.005525,N0,ram,0.0230,4.1619
0.108096,0.005534,N1,package,0.3639,65.7564
0.108129,0.005556,N1,ram,0.0269,4.8417
0.113322,0.005466,N0,package,0.5972,109.2628
0.113342,0.005361,N0,ram,0.0203,3.7856
0.113448,0.005352,N1,package,0.5176,96.7071
0.113459,0.005330,N1,ram,0.0324,6.0779
0.118647,0.005325,N0,package,0.3842,72.1440
0.118670,0.005328,N0,ram,0.0203,3.8117
0.118874,0.005426,N1,package,0.3512,64.7255
0.118980,0.005521,N1,ram,0.0256,4.6348
0.124181,0.005534,N0,package,0.3882,70.1541
0.124312,0.005642,N0,ram,0.0189,3.3428
0.124417,0.005543,N1,package,0.4034,72.7842
0.124424,0.005444,N1,ram,0.0312,5.7402
0.129612,0.005431,N0,package,0.4127,75.9942
0.129631,0.005319,N0,ram,0.0208,3.9100
0.129880,0.005463,N1,package,0.3367,61.6371
0.129985,0.005561,N1,ram,0.0256,4.6098
0.135187,0.005575,N0,package,0.4014,71.9949
0.135327,0.005696,N0,ram,0.0199,3.4933
0.135426,0.005546,N1,package,0.3562,64.2284
0.135446,0.005461,N1,ram,0.0273,4.9959
0.140652,0.005465,N0,package,0.3331,60.9566
0.140834,0.005507,N0,ram,0.0182,3.3028
0.140946,0.005520,N1,package,0.3867,70.0564
0.140955,0.005509,N1,ram,0.0303,5.5090
0.146151,0.005499,N0,package,0.4947,89.9618
0.146289,0.005455,N0,ram,0.0246,4.5147
0.146405,0.005459,N1,package,0.4139,75.8262
0.146413,0.005458,N1,ram,0.0314,5.7620
0.151601,0.005450,N0,package,0.4318,79.2336
0.151616,0.005327,N0,ram,0.0215,4.0446
0.151841,0.005436,N1,package,0.3506,64.4940
0.151947,0.005534,N1,ram,0.0268,4.8499
0.157148,0.005547,N0,package,0.3853,69.4631
0.157286,0.005670,N0,ram,0.0223,3.9344
0.157397,0.005556,N1,package,0.3393,61.0669
0.157404,0.005457,N1,ram,0.0257,4.7060
0.162596,0.005448,N0,package,0.3631,66.6467
0.162616,0.005330,N0,ram,0.0185,3.4725
0.162834,0.005437,N1,package,0.4069,74.8332
0.162938,0.005534,N1,ram,0.0316,5.7049
0.168137,0.005541,N0,package,0.5042,90.9990
0.168279,0.005663,N0,ram,0.0245,4.3328
0.168378,0.005544,N1,package,0.3939,71.0432
0.168408,0.005470,N1,ram,0.0273,4.9960
0.173601,0.005464,N0,package,0.3707,67.8482
0.173621,0.005342,N0,ram,0.0182,3.4134
0.173863,0.005485,N1,package,0.4263,77.7258
0.173969,0.005561,N1,ram,0.0296,5.3203
0.179169,0.005568,N0,package,0.5007,89.9299
0.179335,0.005714,N0,ram,0.0222,3.8935
0.179458,0.005595,N1,package,0.3953,70.6572
0.179465,0.005496,N1,ram,0.0246,4.4756
0.184676,0.005507,N0,package,0.4557,82.7473
0.184724,0.005389,N0,ram,0.0229,4.2444
0.184902,0.005444,N1,package,0.4131,75.8784
0.185043,0.005578,N1,ram,0.0331,5.9251
0.190252,0.005576,N0,package,0.3875,69.4978
0.190390,0.005666,N0,ram,0.0291,5.1329
0.190509,0.005607,N1,package,0.3484,62.1358
0.190516,0.005473,N1,ram,0.0256,4.6837
0.195806,0.005554,N0,package,0.4170,75.0769
0.195959,0.005569,N0,ram,0.0250,4.4908
0.196076,0.005567,N1,package,0.3773,67.7660
0.196084,0.005568,N1,ram,0.0311,5.5850
0.201280,0.005474,N0,package,0.3497,63.8913
0.201444,0.005485,N0,ram,0.0233,4.2507
0.201564,0.005488,N1,package,0.3196,58.2334
0.201584,0.005500,N1,ram,0.0265,4.8219
0.206831,0.005551,N0,package,0.3782,68.1259
0.207015,0.005571,N0,ram,0.0258,4.6287
0.207131,0.005567,N1,package,0.3926,70.5288
0.207138,0.005554,N1,ram,0.0365,6.5635
0.212335,0.005504,N0,package,0.3940,71.5824
0.212465,0.005450,N0,ram,0.0247,4.5414
0.212564,0.005433,N1,package,0.3113,57.3045
0.212597,0.005459,N1,ram,0.0251,4.5924
0.217885,0.005550,N0,package,0.4036,72.7124
0.218083,0.005618,N0,ram,0.0248,4.4162
0.218221,0.005657,N1,package,0.3724,65.8261
0.218253,0.005656,N1,ram,0.0346,6.1240
0.223461,0.005576,N0,package,0.3934,70.5595
0.223598,0.005515,N0,ram,0.0287,5.2042
0.223799,0.005578,N1,package,0.3115,55.8482
0.223904,0.005651,N1,ram,0.0348,6.1564
0.229104,0.005643,N0,package,0.3744,66.3443
0.229247,0.005649,N0,ram,0.0262,4.6461
0.229345,0.005546,N1,package,0.4084,73.6491
0.229365,0.005461,N1,ram,0.0223,4.0767
0.234563,0.005459,N0,package,0.3247,59.4829
0.234583,0.005336,N0,ram,0.0207,3.8747
0.234825,0.005480,N1,package,0.4317,78.7769
0.234936,0.005571,N1,ram,0.0326,5.8448
0.240139,0.005576,N0,package,0.4420,79.2694
0.240280,0.005697,N0,ram,0.0273,4.7970
0.240380,0.005555,N1,package,0.3372,60.7065
0.240413,0.005477,N1,ram,0.0270,4.9256
0.245609,0.005470,N0,package,0.3471,63.4588
0.245629,0.005349,N0,ram,0.0216,4.0366
0.245888,0.005508,N1,package,0.3953,71.7704
0.245997,0.005584,N1,ram,0.0295,5.2848
0.251193,0.005584,N0,package,0.5237,93.7934
0.251321,0.005692,N0,ram,0.0319,5.6081
0.251423,0.005535,N1,package,0.3421,61.8083
0.251456,0.005459,N1,ram,0.0314,5.7496
0.256656,0.005463,N0,package,0.3805,69.6476
0.256678,0.005357,N0,ram,0.0197,3.6829
0.256901,0.005478,N1,package,0.3940,71.9300
0.257012,0.005556,N1,ram,0.0362,6.5118
0.262214,0.005558,N0,package,0.3819,68.7111
0.262356,0.005678,N0,ram,0.0226,3.9879
0.262456,0.005555,N1,package,0.3566,64.2005
0.262489,0.005477,N1,ram,0.0276,5.0482
0.267779,0.005565,N0,package,0.5506,98.9407
