#timestamp,interval,socket,domain,energy,power
0.005218,0.005377,N0,package,0.4454,82.8399
0.005309,0.005441,N0,ram,0.0190,3.4971
0.005401,0.005406,N1,package,0.4621,85.4801
0.005414,0.005414,N1,ram,0.0253,4.6729
0.010578,0.005360,N0,package,0.5461,101.8944
0.010601,0.005292,N0,ram,0.0224,4.2298
0.010708,0.005307,N1,package,0.4727,89.0750
0.010726,0.005312,N1,ram,0.0258,4.8488
0.015888,0.005310,N0,package,0.4457,83.9425
0.015903,0.005302,N0,ram,0.0204,3.8450
0.016019,0.005311,N1,package,0.5680,106.9463
0.016030,0.005304,N1,ram,0.0315,5.9377
0.021072,0.005184,N0,package,0.4681,90.3058
0.021086,0.005183,N0,ram,0.0191,3.6889
0.021342,0.005323,N1,package,0.5080,95.4310
0.021482,0.005452,N1,ram,0.0304,5.5696
0.026643,0.005571,N0,package,0.5020,90.1100
0.026659,0.005573,N0,ram,0.0221,3.9728
0.026781,0.005439,N1,package,0.4572,84.0652
0.026793,0.005311,N1,ram,0.0233,4.3900
0.031951,0.005308,N0,package,0.4850,91.3818
0.031966,0.005307,N0,ram,0.0187,3.5193
0.032294,0.005513,N1,package,0.6273,113.7741
0.032410,0.005617,N1,ram,0.0325,5.7918
0.037550,0.005599,N0,package,0.5302,94.6864
0.037564,0.005598,N0,ram,0.0220,3.9223
0.037656,0.005362,N1,package,0.5047,94.1247
0.037664,0.005254,N1,ram,0.0278,5.2886
0.042833,0.005283,N0,package,0.4973,94.1255
0.042871,0.005307,N0,ram,0.0190,3.5710
0.042968,0.005312,N1,package,0.5482,103.1928
0.042989,0.005325,N1,ram,0.0309,5.7940
0.048137,0.005304,N0,package,0.5119,96.5106
0.048261,0.005390,N0,ram,0.0197,3.6633
0.048386,0.005418,N1,package,0.4503,83.1065
0.048407,0.005418,N1,ram,0.0265,4.8834
0.053569,0.005432,N0,package,0.5176,95.2921
0.053709,0.005448,N0,ram,0.0193,3.5430
0.053812,0.005426,N1,package,0.4600,84.7672
0.053820,0.005413,N1,ram,0.0267,4.9276
0.059026,0.005457,N0,package,0.6158,112.8556
0.059325,0.005616,N0,ram,0.0271,4.8228
0.059509,0.005697,N1,package,0.5565,97.6860
0.059520,0.005700,N1,ram,0.0317,5.5546
0.064691,0.005665,N0,package,0.6174,108.9894
0.064806,0.005481,N0,ram,0.0174,3.1820
0.064917,0.005408,N1,package,0.4545,84.0504
0.064937,0.005417,N1,ram,0.0261,4.8169
0.070239,0.005548,N0,package,0.5394,97.2294
0.070329,0.005523,N0,ram,0.0210,3.7988
0.070423,0.005506,N1,package,0.5430,98.6244
0.070434,0.005497,N1,ram,0.0315,5.7321
0.075618,0.005379,N0,package,0.6531,121.4244
0.075734,0.005405,N0,ram,0.0281,5.2030
0.075842,0.005419,N1,package,0.4368,80.5991
0.075863,0.005429,N1,ram,0.0265,4.8736
0.081083,0.005465,N0,package,0.5559,101.7210
0.081215,0.005481,N0,ram,0.0259,4.7188
0.081332,0.005490,N1,package,0.5515,100.4456
0.081353,0.005490,N1,ram,0.0319,5.8061
0.086531,0.005448,N0,package,0.6421,117.8608
0.086647,0.005432,N0,ram,0.0314,5.7753
0.086752,0.005420,N1,package,0.4320,79.7065
0.086772,0.005419,N1,ram,0.0248,4.5700
0.091951,0.005420,N0,package,0.5450,100.5509
0.092227,0.005580,N0,ram,0.0273,4.8867
0.092331,0.005579,N1,package,0.5193,93.0899
0.092339,0.005567,N1,ram,0.0316,5.6791
0.097510,0.005559,N0,package,0.5102,91.7783
0.097627,0.005400,N0,ram,0.0313,5.7984
0.097736,0.005405,N1,package,0.4357,80.6169
0.097756,0.005417,N1,ram,0.0260,4.7944
0.102934,0.005424,N0,package,0.6311,116.3534
0.103057,0.005430,N0,ram,0.0252,4.6451
0.103269,0.005533,N1,package,0.5426,98.0670
0.103389,0.005633,N1,ram,0.0328,5.8293
0.108635,0.005701,N0,package,0.5402,94.7581
0.108773,0.005716,N0,ram,0.0245,4.2845
0.108872,0.005603,N1,package,0.4348,77.6028
0.108893,0.005504,N1,ram,0.0262,4.7518
0.114007,0.005372,N0,package,0.6292,117.1269
0.114024,0.005251,N0,ram,0.0245,4.6611
0.114247,0.005375,N1,package,0.5284,98.3165
0.114351,0.005458,N1,ram,0.0312,5.7198
0.119466,0.005459,N0,package,0.5634,103.1961
0.119500,0.005476,N0,ram,0.0211,3.8509
0.119600,0.005353,N1,package,0.4504,84.1438
0.119621,0.005270,N1,ram,0.0257,4.8817
0.124742,0.005276,N0,package,0.5052,95.7643
0.124776,0.005276,N0,ram,0.0193,3.6528
0.124875,0.005275,N1,package,0.5117,97.0081
0.124909,0.005288,N1,ram,0.0323,6.1002
0.130025,0.005283,N0,package,0.4830,91.4220
0.130039,0.005263,N0,ram,0.0182,3.4646
0.130270,0.005395,N1,package,0.4485,83.1310
0.130380,0.005471,N1,ram,0.0268,4.9003
0.135495,0.005470,N0,package,0.4758,86.9884
0.135528,0.005489,N0,ram,0.0192,3.4916
0.135628,0.005358,N1,package,0.4250,79.3300
0.135648,0.005268,N1,ram,0.0243,4.6198
0.140769,0.005274,N0,package,0.6044,114.5930
0.140803,0.005275,N0,ram,0.0225,4.2638
0.140904,0.005276,N1,package,0.4243,80.4244
0.140938,0.005290,N1,ram,0.0322,6.0862
0.146095,0.005326,N0,package,0.4935,92.6523
0.146129,0.005326,N0,ram,0.0195,3.6643
