#timestamp,interval,socket,domain,energy,power
0.005284,0.005599,N0,package,0.5306,94.7627
0.005378,0.005499,N0,ram,0.0225,4.0956
0.005478,0.005483,N1,package,0.5720,104.3280
0.005496,0.005496,N1,ram,0.0310,5.6415
0.010656,0.005372,N0,package,0.4437,82.6026
0.010675,0.005297,N0,ram,0.0195,3.6757
0.010787,0.005309,N1,package,0.4659,87.7629
0.010804,0.005308,N1,ram,0.0244,4.5938
0.015964,0.005308,N0,package,0.5323,100.2889
0.015985,0.005310,N0,ram,0.0228,4.2902
0.016090,0.005303,N1,package,0.4824,90.9616
0.016104,0.005300,N1,ram,0.0262,4.9432
0.021380,0.005416,N0,package,0.4807,88.7593
0.021464,0.005479,N0,ram,0.0196,3.5703
0.021580,0.005490,N1,package,0.5054,92.0519
0.021591,0.005487,N1,ram,0.0282,5.1391
0.026728,0.005348,N0,package,0.3997,74.7423
0.026844,0.005380,N0,ram,0.0214,3.9793
0.026969,0.005389,N1,package,0.4675,86.7453
0.026980,0.005389,N1,ram,0.0273,5.0570
0.032305,0.005577,N0,package,0.5299,95.0150
0.032520,0.005676,N0,ram,0.0173,3.0539
0.032645,0.005676,N1,package,0.6081,107.1335
0.032653,0.005673,N1,ram,0.0308,5.4331
0.037804,0.005499,N0,package,0.4966,90.3170
0.037823,0.005303,N0,ram,0.0189,3.5623
0.037936,0.005291,N1,package,0.5855,110.6619
0.037948,0.005295,N1,ram,0.0314,5.9366
0.043110,0.005306,N0,package,0.5538,104.3785
0.043136,0.005313,N0,ram,0.0225,4.2362
0.043421,0.005485,N1,package,0.5001,91.1679
0.043533,0.005585,N1,ram,0.0260,4.6581
0.048692,0.005582,N0,package,0.4830,86.5324
0.048709,0.005573,N0,ram,0.0180,3.2363
0.048817,0.005396,N1,package,0.6080,112.6730
0.048826,0.005293,N1,ram,0.0322,6.0829
0.053976,0.005284,N0,package,0.5843,110.5756
0.053996,0.005287,N0,ram,0.0226,4.2771
0.054125,0.005308,N1,package,0.5349,100.7603
0.054134,0.005308,N1,ram,0.0285,5.3642
0.059388,0.005412,N0,package,0.4810,88.8822
0.059406,0.005410,N0,ram,0.0182,3.3564
0.059491,0.005366,N1,package,0.4547,84.7305
0.059498,0.005364,N1,ram,0.0240,4.4688
0.064603,0.005215,N0,package,0.4993,95.7455
0.064615,0.005209,N0,ram,0.0201,3.8638
0.064695,0.005204,N1,package,0.5582,107.2580
0.064702,0.005204,N1,ram,0.0331,6.3598
0.069815,0.005212,N0,package,0.5001,95.9590
0.069848,0.005233,N0,ram,0.0192,3.6681
0.069945,0.005250,N1,package,0.4455,84.8528
0.069970,0.005268,N1,ram,0.0256,4.8605
0.075100,0.005285,N0,package,0.6082,115.0712
0.075149,0.005301,N0,ram,0.0272,5.1352
0.075434,0.005489,N1,package,0.4346,79.1730
0.075473,0.005503,N1,ram,0.0253,4.5944
0.080593,0.005493,N0,package,0.5272,95.9778
0.080608,0.005459,N0,ram,0.0249,4.5646
0.080687,0.005253,N1,package,0.5452,103.7919
0.080693,0.005220,N1,ram,0.0309,5.9282
0.085909,0.005316,N0,package,0.3263,61.3821
0.085947,0.005339,N0,ram,0.0159,2.9722
0.086045,0.005358,N1,package,0.4802,89.6279
0.086078,0.005385,N1,ram,0.0280,5.1968
0.091211,0.005302,N0,package,0.9119,171.9790
0.091247,0.005300,N0,ram,0.0363,6.8462
0.091493,0.005448,N1,package,0.4088,75.0298
0.091611,0.005533,N1,ram,0.0248,4.4869
0.096728,0.005517,N0,package,1.0143,183.8465
0.096741,0.005494,N0,ram,0.0292,5.3104
0.096815,0.005322,N1,package,0.5296,99.5078
0.096822,0.005211,N1,ram,0.0323,6.1959
0.101935,0.005207,N0,package,1.0579,203.1800
0.101970,0.005229,N0,ram,0.0190,3.6360
0.102067,0.005252,N1,package,0.4193,79.8286
0.102086,0.005264,N1,ram,0.0256,4.8553
0.107192,0.005257,N0,package,1.2672,241.0463
0.107224,0.005254,N0,ram,0.0226,4.3098
0.107457,0.005390,N1,package,0.4304,79.8450
0.107574,0.005488,N1,ram,0.0262,4.7740
0.112700,0.005508,N0,package,1.0772,195.5737
0.112733,0.005509,N0,ram,0.0193,3.5122
0.112836,0.005379,N1,package,0.4318,80.2688
0.112868,0.005294,N1,ram,0.0259,4.8969
0.117979,0.005279,N0,package,1.0995,208.2847
0.117992,0.005259,N0,ram,0.0195,3.7022
0.118081,0.005245,N1,package,0.5162,98.4204
0.118092,0.005224,N1,ram,0.0307,5.8681
0.123192,0.005213,N0,package,1.2074,231.6118
0.123226,0.005234,N0,ram,0.0220,4.2126
0.123469,0.005388,N1,package,0.4266,79.1709
0.123586,0.005494,N1,ram,0.0256,4.6522
0.128712,0.005520,N0,package,1.1020,199.6406
0.128742,0.005516,N0,ram,0.0199,3.6072
0.128846,0.005377,N1,package,0.4988,92.7762
0.128879,0.005293,N1,ram,0.0313,5.9154
0.134001,0.005289,N0,package,0.9740,184.1529
0.134032,0.005290,N0,ram,0.0182,3.4325
0.134142,0.005296,N1,package,0.4601,86.8853
0.134184,0.005305,N1,ram,0.0277,5.2293
0.139310,0.005309,N0,package,1.3562,255.4596
0.139340,0.005308,N0,ram,0.0233,4.3983
0.139444,0.005302,N1,package,0.4251,80.1763
0.139477,0.005293,N1,ram,0.0247,4.6701
0.144599,0.005289,N0,package,1.0747,203.1937
0.144632,0.005292,N0,ram,0.0186,3.5118
0.144734,0.005290,N1,package,0.5201,98.3293
0.144767,0.005290,N1,ram,0.0312,5.8987
0.149879,0.005280,N0,package,1.0108,191.4394
0.149893,0.005261,N0,ram,0.0179,3.3993
0.149971,0.005237,N1,package,0.4393,83.8882
0.149979,0.005212,N1,ram,0.0260,4.9828
0.155101,0.005222,N0,package,1.0773,206.2914
0.155154,0.005261,N0,ram,0.0187,3.5588
0.155209,0.005238,N1,package,0.4402,84.0360
0.155235,0.005256,N1,ram,0.0271,5.1560
0.160357,0.005256,N0,package,1.1002,209.3173
0.160388,0.005234,N0,ram,0.0199,3.7987
0.160491,0.005282,N1,package,0.4314,81.6741
0.160524,0.005289,N1,ram,0.0254,4.7979
0.165646,0.005289,N0,package,1.2539,237.0746
0.165677,0.005289,N0,ram,0.0218,4.1168
0.165780,0.005289,N1,package,0.4937,93.3458
0.165813,0.005289,N1,ram,0.0304,5.7411
0.170924,0.005278,N0,package,1.0763,203.9257
0.170938,0.005261,N0,ram,0.0190,3.6110
0.171012,0.005232,N1,package,0.4197,80.2158
0.171020,0.005207,N1,ram,0.0258,4.9553
0.176155,0.005231,N0,package,1.0552,201.7221
0.176186,0.005248,N0,ram,0.0190,3.6111
0.176217,0.005205,N1,package,0.4324,83.0781
0.176239,0.005219,N1,ram,0.0259,4.9674
0.181360,0.005205,N0,package,1.0198,195.9254
0.181391,0.005205,N0,ram,0.0217,4.1658
0.181494,0.005277,N1,package,0.4415,83.6716
0.181527,0.005288,N1,ram,0.0258,4.8796
0.186640,0.005280,N0,package,1.3086,247.8389
0.186684,0.005293,N0,ram,0.0206,3.8861
0.186779,0.005285,N1,package,0.5281,99.9309
0.186791,0.005264,N1,ram,0.0332,6.3104
0.191895,0.005255,N0,package,1.0571,201.1669
0.191909,0.005225,N0,ram,0.0219,4.1935
0.191986,0.005207,N1,package,0.4221,81.0667
0.191994,0.005203,N1,ram,0.0237,4.5603
0.197115,0.005220,N0,package,1.0782,206.5633
0.197164,0.005255,N0,ram,0.0217,4.1232
0.197220,0.005234,N1,package,0.4341,82.9350
0.197372,0.005378,N1,ram,0.0267,4.9737
0.202495,0.005380,N0,package,1.0554,196.1578
0.202527,0.005363,N0,ram,0.0216,4.0203
0.202630,0.005410,N1,package,0.4406,81.4335
0.202662,0.005290,N1,ram,0.0267,5.0535
0.207775,0.005280,N0,package,1.2756,241.6076
0.207789,0.005262,N0,ram,0.0278,5.2894
0.207864,0.005234,N1,package,0.5175,98.8643
0.207872,0.005210,N1,ram,0.0303,5.8166
0.212977,0.005202,N0,package,1.0124,194.6135
0.212991,0.005202,N0,ram,0.0202,3.8748
0.213079,0.005215,N1,package,0.4323,82.8872
0.213089,0.005217,N1,ram,0.0268,5.1418
0.218196,0.005219,N0,package,1.0986,210.4954
0.218229,0.005238,N0,ram,0.0227,4.3405
0.218412,0.005333,N1,package,0.4247,79.6338
0.218556,0.005467,N1,ram,0.0260,4.7616
0.223673,0.005477,N0,package,1.2532,228.8098
0.223686,0.005457,N0,ram,0.0264,4.8347
0.223762,0.005350,N1,package,0.5189,96.9811
0.223770,0.005214,N1,ram,0.0302,5.8004
0.228874,0.005201,N0,package,1.1038,212.2380
0.228888,0.005202,N0,ram,0.0228,4.3852
0.228962,0.005200,N1,package,0.4402,84.6525
0.228969,0.005199,N1,ram,0.0269,5.1653
0.234090,0.005216,N0,package,1.0357,198.5586
0.234137,0.005249,N0,ram,0.0220,4.1948
0.234314,0.005352,N1,package,0.4248,79.3728
0.234430,0.005461,N1,ram,0.0265,4.8451
0.239556,0.005466,N0,package,1.2782,233.8459
0.239588,0.005451,N0,ram,0.0266,4.8791
0.239689,0.005375,N1,package,0.4318,80.3371
0.239722,0.005292,N1,ram,0.0260,4.9133
0.244837,0.005281,N0,package,1.1008,208.4406
0.244852,0.005264,N0,ram,0.0238,4.5277
0.244932,0.005243,N1,package,0.5192,99.0239
0.244940,0.005218,N1,ram,0.0316,6.0649
0.250038,0.005201,N0,package,1.0784,207.3443
0.250051,0.005199,N0,ram,0.0217,4.1647
0.250322,0.005390,N1,package,0.4335,80.4190
0.250428,0.005488,N1,ram,0.0257,4.6822
0.255543,0.005505,N0,package,1.0130,184.0118
0.255574,0.005523,N0,ram,0.0216,3.9176
0.255676,0.005354,N1,package,0.4316,80.6213
0.255709,0.005281,N1,ram,0.0262,4.9524
0.260822,0.005279,N0,package,1.2948,245.2707
0.260836,0.005262,N0,ram,0.0277,5.2604
0.260914,0.005238,N1,package,0.4981,95.0940
0.260921,0.005212,N1,ram,0.0306,5.8640
0.266035,0.005213,N0,package,1.0344,198.4307
0.266067,0.005231,N0,ram,0.0212,4.0458
0.266307,0.005393,N1,package,0.4493,83.3112
0.266423,0.005502,N1,ram,0.0269,4.8977
0.271550,0.005515,N0,package,1.0759,195.0961
0.271582,0.005515,N0,ram,0.0232,4.2056
0.271685,0.005378,N1,package,0.4133,76.8443
0.271718,0.005295,N1,ram,0.0268,5.0689
0.276831,0.005281,N0,package,1.2534,237.3461
0.276844,0.005262,N0,ram,0.0228,4.3351
0.276919,0.005234,N1,package,0.5270,100.6835
0.276928,0.005210,N1,ram,0.0312,5.9894
0.282032,0.005201,N0,package,1.0765,206.9827
0.282045,0.005201,N0,ram,0.0194,3.7348
0.282125,0.005206,N1,package,0.4507,86.5682
0.282134,0.005206,N1,ram,0.0272,5.2200
0.287248,0.005216,N0,package,1.0759,206.2791
0.287280,0.005235,N0,ram,0.0215,4.1067
0.287383,0.005258,N1,package,0.4444,84.5169
0.287406,0.005272,N1,ram,0.0258,4.8915
0.292528,0.005280,N0,package,1.0352,196.0632
0.292560,0.005280,N0,ram,0.0224,4.2453
0.292663,0.005280,N1,package,0.4339,82.1775
0.292683,0.005277,N1,ram,0.0261,4.9475
0.297795,0.005267,N0,package,1.2986,246.5443
0.297809,0.005249,N0,ram,0.0263,5.0089
0.297883,0.005220,N1,package,0.5056,96.8506
0.297891,0.005208,N1,ram,0.0313,6.0092
0.303005,0.005210,N0,package,1.0540,202.3094
0.303037,0.005228,N0,ram,0.0230,4.3984
0.303158,0.005275,N1,package,0.4453,84.4077
0.303284,0.005393,N1,ram,0.0260,4.8184
0.308407,0.005402,N0,package,1.0363,191.8362
0.308439,0.005402,N0,ram,0.0213,3.9516
0.308540,0.005382,N1,package,0.4443,82.5474
0.308559,0.005275,N1,ram,0.0264,5.0014
0.313682,0.005275,N0,package,1.0734,203.4925
0.313713,0.005274,N0,ram,0.0227,4.2993
0.313816,0.005276,N1,package,0.4340,82.2638
0.313850,0.005291,N1,ram,0.0257,4.8565
0.318964,0.005282,N0,package,1.2780,241.9485
0.318977,0.005264,N0,ram,0.0258,4.9048
0.319058,0.005242,N1,package,0.5306,101.2193
0.319066,0.005216,N1,ram,0.0316,6.0642
0.324192,0.005228,N0,package,1.0498,200.8026
0.324223,0.005246,N0,ram,0.0206,3.9266
0.324466,0.005408,N1,package,0.4437,82.0378
0.324575,0.005509,N1,ram,0.0264,4.8001
0.329702,0.005510,N0,package,0.9938,180.3631
0.329734,0.005511,N0,ram,0.0219,3.9676
0.329837,0.005371,N1,package,0.4381,81.5682
0.329870,0.005295,N1,ram,0.0266,5.0171
0.334983,0.005281,N0,package,1.2946,245.1364
0.334996,0.005262,N0,ram,0.0267,5.0661
0.335071,0.005234,N1,package,0.5285,100.9750
0.335079,0.005209,N1,ram,0.0301,5.7708
0.340146,0.005163,N0,package,1.0760,208.4175
0.340162,0.005166,N0,ram,0.0216,4.1794
0.340199,0.005128,N1,package,0.4444,86.6625
0.340206,0.005127,N1,ram,0.0272,5.3036
0.345320,0.005174,N0,package,1.0322,199.5056
0.345353,0.005191,N0,ram,0.0229,4.4064
0.345453,0.005254,N1,package,0.4356,82.9093
0.345483,0.005277,N1,ram,0.0256,4.8461
0.350593,0.005273,N0,package,1.0983,208.2771
0.350624,0.005271,N0,ram,0.0218,4.1279
0.350726,0.005273,N1,package,0.4436,84.1295
0.350747,0.005264,N1,ram,0.0268,5.0872
0.355860,0.005267,N0,package,1.0290,195.3693
0.355873,0.005249,N0,ram,0.0222,4.2384
0.355947,0.005221,N1,package,0.5051,96.7467
0.355955,0.005208,N1,ram,0.0314,6.0387
0.361059,0.005199,N0,package,1.2725,244.7532
0.361072,0.005199,N0,ram,0.0266,5.1098
0.361267,0.005320,N1,package,0.4438,83.4174
0.361412,0.005457,N1,ram,0.0255,4.6807
0.366527,0.005468,N0,package,1.0886,199.0851
0.366559,0.005487,N0,ram,0.0225,4.0963
0.366660,0.005393,N1,package,0.4342,80.5157
0.366693,0.005281,N1,ram,0.0250,4.7386
0.371815,0.005288,N0,package,1.0632,201.0695
0.371846,0.005287,N0,ram,0.0214,4.0550
0.371949,0.005289,N1,package,0.4436,83.8716
0.371982,0.005289,N1,ram,0.0265,5.0141
0.377112,0.005297,N0,package,1.2511,236.1925
