#timestamp,interval,socket,domain,energy,power
0.005165,0.005636,N0,package,0.5117,90.7912
0.005188,0.005502,N0,ram,0.0244,4.4345
0.005283,0.005368,N1,package,0.5602,104.3557
0.005291,0.005291,N1,ram,0.0316,5.9640
0.010449,0.005284,N0,package,0.5022,95.0441
0.010468,0.005280,N0,ram,0.0228,4.3204
0.010734,0.005451,N1,package,0.4928,90.4017
0.010841,0.005550,N1,ram,0.0270,4.8691
0.016000,0.005551,N0,package,0.5236,94.3164
0.016021,0.005553,N0,ram,0.0247,4.4405
0.016127,0.005393,N1,package,0.4807,89.1399
0.016138,0.005297,N1,ram,0.0261,4.9257
0.021295,0.005295,N0,package,0.4656,87.9269
0.021315,0.005294,N0,ram,0.0228,4.3003
0.021440,0.005313,N1,package,0.5019,94.4621
0.021451,0.005313,N1,ram,0.0299,5.6320
0.026756,0.005461,N0,package,0.4431,81.1421
0.026789,0.005474,N0,ram,0.0212,3.8747
0.026912,0.005472,N1,package,0.5748,105.0391
0.026920,0.005469,N1,ram,0.0304,5.5633
0.032120,0.005364,N0,package,0.4720,87.9922
0.032134,0.005345,N0,ram,0.0240,4.4848
0.032245,0.005333,N1,package,0.5283,99.0558
0.032257,0.005337,N1,ram,0.0292,5.4751
0.037410,0.005290,N0,package,0.5997,113.3586
0.037425,0.005291,N0,ram,0.0266,5.0180
0.037694,0.005449,N1,package,0.4523,83.0110
0.037800,0.005543,N1,ram,0.0270,4.8642
0.042971,0.005561,N0,package,0.5851,105.2252
0.043009,0.005584,N0,ram,0.0256,4.5798
0.043107,0.005413,N1,package,0.4348,80.3157
0.043128,0.005328,N1,ram,0.0244,4.5880
0.048296,0.005325,N0,package,0.5136,96.4513
0.048310,0.005301,N0,ram,0.0228,4.3033
0.048421,0.005314,N1,package,0.5311,99.9397
0.048432,0.005304,N1,ram,0.0320,6.0358
0.053760,0.005464,N0,package,0.5517,100.9680
0.053834,0.005524,N0,ram,0.0226,4.0827
0.053928,0.005507,N1,package,0.4631,84.0883
0.053940,0.005508,N1,ram,0.0278,5.0556
0.059113,0.005353,N0,package,0.5991,111.9230
0.059233,0.005399,N0,ram,0.0243,4.5022
0.059350,0.005422,N1,package,0.5172,95.3781
0.059358,0.005418,N1,ram,0.0324,5.9764
0.064690,0.005577,N0,package,0.5363,96.1573
0.064734,0.005501,N0,ram,0.0220,3.9998
0.064846,0.005496,N1,package,0.4269,77.6707
0.064878,0.005520,N1,ram,0.0241,4.3730
0.070026,0.005336,N0,package,0.8566,160.5247
0.070071,0.005337,N0,ram,0.0371,6.9589
0.070171,0.005325,N1,package,0.4314,81.0159
0.070300,0.005422,N1,ram,0.0253,4.6661
0.075442,0.005416,N0,package,0.8519,157.2827
0.075496,0.005425,N0,ram,0.0352,6.4973
0.075747,0.005576,N1,package,0.5527,99.1141
0.075907,0.005607,N1,ram,0.0317,5.6576
0.081045,0.005603,N0,package,0.9645,172.1409
0.081095,0.005599,N0,ram,0.0420,7.4945
0.081192,0.005445,N1,package,0.4263,78.2864
0.081212,0.005305,N1,ram,0.0258,4.8695
0.086371,0.005326,N0,package,0.8282,155.5092
0.086405,0.005310,N0,ram,0.0346,6.5144
0.086494,0.005302,N1,package,0.5252,99.0593
0.086515,0.005303,N1,ram,0.0320,6.0254
0.091764,0.005393,N0,package,0.8445,156.5878
0.091817,0.005412,N0,ram,0.0370,6.8401
0.091923,0.005429,N1,package,0.4568,84.1379
0.091933,0.005418,N1,ram,0.0266,4.9031
0.097059,0.005295,N0,package,0.9818,185.4210
0.097095,0.005278,N0,ram,0.0435,8.2479
0.097192,0.005269,N1,package,0.4421,83.9124
0.097212,0.005279,N1,ram,0.0258,4.8877
0.102356,0.005297,N0,package,0.8279,156.3055
0.102378,0.005283,N0,ram,0.0353,6.6894
0.102483,0.005291,N1,package,0.5234,98.9185
0.102494,0.005282,N1,ram,0.0316,5.9915
0.107618,0.005262,N0,package,0.7929,150.6817
0.107650,0.005272,N0,ram,0.0346,6.5612
0.107680,0.005197,N1,package,0.4354,83.7831
0.107698,0.005204,N1,ram,0.0258,4.9495
0.112815,0.005197,N0,package,0.8461,162.8173
0.112832,0.005182,N0,ram,0.0372,7.1729
0.112936,0.005256,N1,package,0.4336,82.4960
0.112949,0.005251,N1,ram,0.0268,5.0999
0.118086,0.005271,N0,package,0.9828,186.4450
0.118133,0.005301,N0,ram,0.0431,8.1231
0.118230,0.005294,N1,package,0.4434,83.7615
0.118250,0.005301,N1,ram,0.0261,4.9279
0.123406,0.005320,N0,package,0.8144,153.0860
0.123426,0.005293,N0,ram,0.0353,6.6652
0.123523,0.005293,N1,package,0.5131,96.9297
0.123673,0.005423,N1,ram,0.0308,5.6780
0.128842,0.005436,N0,package,0.8149,149.9060
0.128905,0.005479,N0,ram,0.0351,6.4025
0.129012,0.005489,N1,package,0.4512,82.1976
0.129033,0.005360,N1,ram,0.0259,4.8394
0.134179,0.005337,N0,package,0.9950,186.4334
0.134225,0.005320,N0,ram,0.0442,8.3065
0.134329,0.005317,N1,package,0.4250,79.9268
0.134341,0.005308,N1,ram,0.0263,4.9474
0.139477,0.005298,N0,package,0.8160,154.0239
0.139525,0.005300,N0,ram,0.0366,6.9009
0.139737,0.005408,N1,package,0.5217,96.4769
0.139857,0.005516,N1,ram,0.0301,5.4495
0.144999,0.005522,N0,package,0.8344,151.1064
0.145041,0.005516,N0,ram,0.0430,7.7981
0.145167,0.005430,N1,package,0.4586,84.4603
0.145188,0.005331,N1,ram,0.0280,5.2494
0.150328,0.005329,N0,package,0.9933,186.3963
0.150355,0.005314,N0,ram,0.0362,6.8138
0.150460,0.005293,N1,package,0.5008,94.6120
0.150471,0.005283,N1,ram,0.0300,5.6814
0.155733,0.005405,N0,package,0.8182,151.3754
0.155846,0.005491,N0,ram,0.0346,6.3000
0.155959,0.005499,N1,package,0.4499,81.8148
0.155966,0.005495,N1,ram,0.0271,4.9316
0.161110,0.005377,N0,package,0.9938,184.8290
0.161155,0.005309,N0,ram,0.0431,8.1250
0.161252,0.005293,N1,package,0.4216,79.6447
0.161272,0.005306,N1,ram,0.0245,4.6127
0.166399,0.005289,N0,package,0.8122,153.5608
0.166422,0.005267,N0,ram,0.0351,6.6604
0.166679,0.005427,N1,package,0.4344,80.0436
0.166783,0.005511,N1,ram,0.0360,6.5260
0.171945,0.005546,N0,package,0.8435,152.0901
0.172019,0.005597,N0,ram,0.0359,6.4229
0.172115,0.005436,N1,package,0.5443,100.1275
0.172135,0.005352,N1,ram,0.0236,4.4079
0.177287,0.005342,N0,package,0.9854,184.4617
0.177337,0.005318,N0,ram,0.0428,8.0570
0.177431,0.005316,N1,package,0.4244,79.8335
0.177447,0.005312,N1,ram,0.0249,4.6906
0.182737,0.005450,N0,package,0.8265,151.6581
0.182765,0.005428,N0,ram,0.0359,6.6117
0.182864,0.005433,N1,package,0.5135,94.5227
0.182875,0.005428,N1,ram,0.0312,5.7461
0.188087,0.005350,N0,package,0.8326,155.6193
0.188123,0.005358,N0,ram,0.0355,6.6213
0.188217,0.005353,N1,package,0.4440,82.9389
0.188241,0.005366,N1,ram,0.0264,4.9279
0.193404,0.005317,N0,package,0.9825,184.7824
0.193457,0.005334,N0,ram,0.0427,8.0014
0.193720,0.005503,N1,package,0.4238,77.0185
0.193826,0.005585,N1,ram,0.0254,4.5408
0.198968,0.005564,N0,package,0.8137,146.2371
0.199016,0.005559,N0,ram,0.0351,6.3102
0.199114,0.005394,N1,package,0.5269,97.6704
0.199137,0.005311,N1,ram,0.0303,5.7001
0.204331,0.005363,N0,package,0.9838,183.4473
0.204375,0.005359,N0,ram,0.0419,7.8245
0.204480,0.005366,N1,package,0.4392,81.8527
0.204492,0.005355,N1,ram,0.0268,5.0007
0.209622,0.005291,N0,package,0.8484,160.3461
