#timestamp,interval,socket,domain,energy,power
0.005327,0.005626,N0,package,0.6185,109.9421
0.005422,0.005545,N0,ram,0.0234,4.2239
0.005518,0.005523,N1,package,0.5169,93.5882
0.005529,0.005529,N1,ram,0.0314,5.6850
0.010710,0.005383,N0,package,0.4915,91.2974
0.010748,0.005326,N0,ram,0.0178,3.3434
0.010846,0.005328,N1,package,0.4312,80.9229
0.010893,0.005364,N1,ram,0.0320,5.9625
0.016084,0.005374,N0,package,0.6352,118.1932
0.016130,0.005382,N0,ram,0.0250,4.6526
0.016373,0.005527,N1,package,0.5482,99.1776
0.016491,0.005598,N1,ram,0.0276,4.9390
0.021616,0.005532,N0,package,0.5403,97.6688
0.021646,0.005516,N0,ram,0.0197,3.5740
0.021750,0.005377,N1,package,0.4299,79.9603
0.021760,0.005269,N1,ram,0.0256,4.8654
0.026873,0.005257,N0,package,0.6640,126.3049
0.026903,0.005257,N0,ram,0.0226,4.3015
0.027006,0.005256,N1,package,0.5083,96.7054
0.027027,0.005267,N1,ram,0.0307,5.8258
0.032159,0.005286,N0,package,0.6023,113.9420
0.032189,0.005286,N0,ram,0.0190,3.5852
0.032409,0.005403,N1,package,0.4268,78.9847
0.032530,0.005503,N1,ram,0.0269,4.8885
0.037714,0.005555,N0,package,0.5627,101.3056
0.037754,0.005565,N0,ram,0.0191,3.4412
0.037852,0.005443,N1,package,0.4366,80.2236
0.037872,0.005342,N1,ram,0.0265,4.9615
0.043065,0.005351,N0,package,0.6880,128.5703
0.043096,0.005342,N0,ram,0.0221,4.1446
0.043356,0.005504,N1,package,0.5233,95.0768
0.043472,0.005600,N1,ram,0.0309,5.5095
0.048597,0.005532,N0,package,0.5563,100.5663
0.048629,0.005533,N0,ram,0.0212,3.8278
0.048731,0.005375,N1,package,0.4379,81.4649
0.048764,0.005292,N1,ram,0.0274,5.1728
0.053885,0.005288,N0,package,0.6071,114.8012
0.053917,0.005288,N0,ram,0.0227,4.2878
0.054019,0.005288,N1,package,0.5100,96.4487
0.054053,0.005289,N1,ram,0.0309,5.8392
0.059201,0.005316,N0,package,0.6787,127.6728
0.059232,0.005315,N0,ram,0.0300,5.6530
0.059465,0.005446,N1,package,0.4331,79.5244
0.059648,0.005595,N1,ram,0.0262,4.6908
0.064727,0.005526,N0,package,0.5823,105.3689
0.064741,0.005509,N0,ram,0.0269,4.8775
0.064823,0.005358,N1,package,0.4439,82.8500
0.064832,0.005184,N1,ram,0.0268,5.1629
0.069944,0.005217,N0,package,0.5708,109.4101
0.069976,0.005235,N0,ram,0.0324,6.1939
0.070078,0.005255,N1,package,0.4282,81.4772
0.070099,0.005267,N1,ram,0.0259,4.9133
0.075192,0.005248,N0,package,0.6707,127.8081
0.075223,0.005247,N0,ram,0.0285,5.4351
0.075446,0.005368,N1,package,0.5322,99.1368
0.075562,0.005463,N1,ram,0.0320,5.8517
0.080687,0.005495,N0,package,0.5710,103.9084
0.080719,0.005496,N0,ram,0.0277,5.0420
0.080820,0.005374,N1,package,0.4247,79.0261
0.080854,0.005292,N1,ram,0.0253,4.7747
0.085974,0.005287,N0,package,0.5404,102.2153
0.086005,0.005286,N0,ram,0.0276,5.2248
0.086117,0.005297,N1,package,0.4285,80.8894
0.086159,0.005305,N1,ram,0.0264,4.9733
0.091276,0.005302,N0,package,0.6663,125.6574
0.091290,0.005285,N0,ram,0.0333,6.3085
0.091362,0.005245,N1,package,0.5304,101.1246
0.091370,0.005211,N1,ram,0.0302,5.7889
0.096474,0.005198,N0,package,0.5599,107.7098
0.096488,0.005198,N0,ram,0.0284,5.4718
0.096564,0.005202,N1,package,0.4515,86.7999
0.096573,0.005203,N1,ram,0.0276,5.3023
0.101675,0.005201,N0,package,0.5379,103.4257
0.101688,0.005200,N0,ram,0.0280,5.3903
0.101798,0.005234,N1,package,0.4316,82.4685
0.101810,0.005237,N1,ram,0.0274,5.2301
0.106923,0.005248,N0,package,0.5358,102.0999
0.106955,0.005267,N0,ram,0.0271,5.1453
0.107060,0.005262,N1,package,0.4391,83.4543
0.107093,0.005283,N1,ram,0.0263,4.9822
0.112237,0.005314,N0,package,0.6459,121.5449
0.112268,0.005313,N0,ram,0.0333,6.2696
0.112486,0.005426,N1,package,0.5042,92.9150
0.112603,0.005510,N1,ram,0.0300,5.4388
0.117718,0.005481,N0,package,0.5461,99.6316
0.117731,0.005463,N0,ram,0.0294,5.3738
0.117806,0.005320,N1,package,0.4428,83.2338
0.117814,0.005211,N1,ram,0.0271,5.2035
0.122927,0.005209,N0,package,0.5327,102.2641
0.122957,0.005226,N0,ram,0.0289,5.5360
0.123060,0.005254,N1,package,0.4174,79.4395
0.123094,0.005280,N1,ram,0.0257,4.8753
0.128229,0.005302,N0,package,0.6481,122.2441
0.128260,0.005303,N0,ram,0.0363,6.8365
0.128481,0.005421,N1,package,0.5134,94.6968
0.128597,0.005503,N1,ram,0.0300,5.4570
0.133713,0.005484,N0,package,0.5467,99.6910
0.133727,0.005467,N0,ram,0.0267,4.8761
0.133804,0.005323,N1,package,0.4338,81.4921
0.133813,0.005216,N1,ram,0.0265,5.0783
0.138915,0.005202,N0,package,0.5578,107.2269
0.138927,0.005200,N0,ram,0.0251,4.8271
0.139005,0.005201,N1,package,0.4438,85.3255
0.139013,0.005200,N1,ram,0.0278,5.3553
0.144147,0.005232,N0,package,0.6422,122.7447
0.144181,0.005254,N0,ram,0.0301,5.7300
0.144359,0.005354,N1,package,0.5209,97.2882
0.144467,0.005454,N1,ram,0.0306,5.6178
0.149584,0.005437,N0,package,0.5287,97.2405
0.149598,0.005417,N0,ram,0.0238,4.4026
0.149683,0.005324,N1,package,0.4272,80.2393
0.149691,0.005224,N1,ram,0.0247,4.7289
0.154795,0.005211,N0,package,0.5555,106.5954
0.154809,0.005211,N0,ram,0.0256,4.9136
0.154885,0.005202,N1,package,0.4347,83.5617
0.154893,0.005202,N1,ram,0.0271,5.2006
0.160006,0.005211,N0,package,0.5455,104.6794
0.160036,0.005227,N0,ram,0.0265,5.0648
0.160147,0.005262,N1,package,0.4441,84.3938
0.160173,0.005280,N1,ram,0.0272,5.1585
0.165295,0.005289,N0,package,0.5587,105.6358
0.165328,0.005292,N0,ram,0.0291,5.5015
0.165432,0.005285,N1,package,0.5203,98.4455
0.165455,0.005282,N1,ram,0.0306,5.7864
0.170574,0.005279,N0,package,0.6127,116.0567
0.170607,0.005279,N0,ram,0.0248,4.6998
0.170710,0.005278,N1,package,0.4594,87.0409
0.170731,0.005276,N1,ram,0.0271,5.1364
0.175843,0.005269,N0,package,0.5719,108.5443
0.175857,0.005250,N0,ram,0.0247,4.6968
0.175933,0.005223,N1,package,0.4197,80.3630
0.175942,0.005211,N1,ram,0.0256,4.9163
0.181061,0.005218,N0,package,0.5347,102.4772
0.181092,0.005235,N0,ram,0.0255,4.8735
0.181318,0.005385,N1,package,0.4436,82.3788
0.181435,0.005493,N1,ram,0.0268,4.8863
0.186560,0.005499,N0,package,0.6533,118.8044
0.186591,0.005499,N0,ram,0.0305,5.5495
0.186694,0.005376,N1,package,0.5262,97.8747
0.186715,0.005280,N1,ram,0.0315,5.9648
0.191828,0.005268,N0,package,0.5167,98.0783
0.191842,0.005251,N0,ram,0.0241,4.5914
0.191925,0.005231,N1,package,0.4332,82.8208
0.191934,0.005219,N1,ram,0.0255,4.8884
0.197045,0.005217,N0,package,0.5560,106.5789
0.197077,0.005235,N0,ram,0.0265,5.0601
