#timestamp,interval,socket,domain,energy,power
0.005172,0.005490,N0,package,0.5228,95.2315
0.005228,0.005354,N0,ram,0.0235,4.3917
0.005361,0.005366,N1,package,0.4495,83.7599
0.005381,0.005381,N1,ram,0.0242,4.5058
0.010520,0.005348,N0,package,0.6061,113.3403
0.010770,0.005542,N0,ram,0.0267,4.8100
0.010923,0.005562,N1,package,0.4966,89.2949
0.010949,0.005568,N1,ram,0.0307,5.5058
0.016125,0.005605,N0,package,0.5019,89.5439
0.016162,0.005392,N0,ram,0.0212,3.9280
0.016259,0.005336,N1,package,0.4456,83.5108
0.016308,0.005359,N1,ram,0.0256,4.7833
0.021423,0.005298,N0,package,0.5219,98.4970
0.021438,0.005276,N0,ram,0.0222,4.2081
0.021706,0.005447,N1,package,0.5258,96.5308
0.021822,0.005514,N1,ram,0.0326,5.9055
0.026936,0.005513,N0,package,0.6547,118.7500
0.026968,0.005530,N0,ram,0.0274,4.9611
0.027072,0.005366,N1,package,0.4402,82.0347
0.027092,0.005270,N1,ram,0.0262,4.9627
0.032213,0.005277,N0,package,0.5757,109.0947
0.032245,0.005277,N0,ram,0.0226,4.2854
0.032349,0.005277,N1,package,0.4308,81.6359
0.032369,0.005277,N1,ram,0.0255,4.8319
0.037501,0.005288,N0,package,0.6857,129.6736
0.037758,0.005513,N0,ram,0.0249,4.5198
0.037912,0.005563,N1,package,0.5162,92.7977
0.037945,0.005576,N1,ram,0.0312,5.5960
0.043123,0.005622,N0,package,0.5578,99.2190
0.043160,0.005402,N0,ram,0.0204,3.7709
0.043258,0.005346,N1,package,0.4364,81.6305
0.043279,0.005334,N1,ram,0.0256,4.7917
0.048422,0.005299,N0,package,0.5817,109.7785
0.048453,0.005293,N0,ram,0.0226,4.2780
0.048726,0.005468,N1,package,0.4525,82.7549
0.048855,0.005576,N1,ram,0.0340,6.1023
0.053970,0.005548,N0,package,0.6613,119.1880
0.054001,0.005548,N0,ram,0.0229,4.1282
0.054104,0.005378,N1,package,0.5173,96.1830
0.054138,0.005283,N1,ram,0.0234,4.4307
0.059285,0.005315,N0,package,0.7360,138.4848
0.059329,0.005328,N0,ram,0.0330,6.1975
0.059430,0.005326,N1,package,0.4388,82.3995
0.059525,0.005387,N1,ram,0.0326,6.0587
0.064791,0.005506,N0,package,0.9346,169.7355
0.064843,0.005514,N0,ram,0.0419,7.6046
0.064959,0.005529,N1,package,0.5531,100.0333
0.064980,0.005455,N1,ram,0.0262,4.8056
0.070130,0.005339,N0,package,0.8132,152.3105
0.070168,0.005325,N0,ram,0.0350,6.5648
0.070267,0.005308,N1,package,0.4458,83.9880
0.070301,0.005321,N1,ram,0.0266,4.9897
0.075464,0.005334,N0,package,0.7560,141.7366
0.075484,0.005316,N0,ram,0.0349,6.5702
0.075745,0.005478,N1,package,0.5062,92.4082
0.075854,0.005553,N1,ram,0.0294,5.2868
0.081004,0.005540,N0,package,1.0203,184.1666
0.081063,0.005579,N0,ram,0.0440,7.8906
0.081163,0.005418,N1,package,0.4488,82.8361
0.081184,0.005330,N1,ram,0.0264,4.9471
0.086313,0.005309,N0,package,0.7874,148.3025
0.086352,0.005289,N0,ram,0.0356,6.7280
0.086470,0.005307,N1,package,0.4258,80.2422
0.086482,0.005298,N1,ram,0.0262,4.9392
0.091649,0.005336,N0,package,0.7993,149.7956
0.091708,0.005356,N0,ram,0.0421,7.8600
0.091816,0.005346,N1,package,0.5453,101.9981
0.091837,0.005355,N1,ram,0.0308,5.7475
0.097003,0.005354,N0,package,0.9267,173.0873
0.097088,0.005380,N0,ram,0.0339,6.2934
0.097187,0.005371,N1,package,0.4344,80.8750
0.097207,0.005370,N1,ram,0.0266,4.9441
0.102336,0.005333,N0,package,0.7827,146.7697
0.102411,0.005323,N0,ram,0.0335,6.2893
0.102529,0.005342,N1,package,0.4327,80.9954
0.102550,0.005343,N1,ram,0.0247,4.6294
0.107689,0.005353,N0,package,0.9443,176.4133
0.107737,0.005326,N0,ram,0.0438,8.2195
0.107861,0.005332,N1,package,0.5239,98.2608
0.107883,0.005333,N1,ram,0.0320,6.0000
0.112998,0.005309,N0,package,0.8017,151.0041
0.113033,0.005296,N0,ram,0.0349,6.5979
0.113129,0.005268,N1,package,0.4484,85.1132
0.113150,0.005267,N1,ram,0.0269,5.1105
0.118295,0.005297,N0,package,0.8127,153.4364
0.118372,0.005339,N0,ram,0.0337,6.3105
0.118471,0.005342,N1,package,0.4318,80.8355
0.118491,0.005341,N1,ram,0.0253,4.7453
0.123688,0.005393,N0,package,0.7498,139.0232
0.123736,0.005364,N0,ram,0.0426,7.9367
0.123842,0.005371,N1,package,0.5378,100.1364
0.123854,0.005363,N1,ram,0.0330,6.1485
0.128980,0.005292,N0,package,0.9639,182.1388
0.129027,0.005291,N0,ram,0.0339,6.4023
0.129126,0.005284,N1,package,0.4185,79.2037
0.129146,0.005292,N1,ram,0.0231,4.3653
0.134314,0.005334,N0,package,0.8139,152.5839
0.134372,0.005345,N0,ram,0.0360,6.7400
0.134472,0.005346,N1,package,0.4243,79.3735
0.134493,0.005347,N1,ram,0.0258,4.8173
0.139748,0.005434,N0,package,0.7678,141.2987
0.139795,0.005423,N0,ram,0.0430,7.9233
0.139904,0.005432,N1,package,0.5441,100.1573
0.139916,0.005423,N1,ram,0.0326,6.0157
0.145097,0.005349,N0,package,1.0124,189.2700
0.145178,0.005383,N0,ram,0.0356,6.6103
0.145286,0.005382,N1,package,0.4355,80.9143
0.145307,0.005391,N1,ram,0.0254,4.7125
0.150406,0.005309,N0,package,0.7643,143.9634
0.150433,0.005255,N0,ram,0.0334,6.3649
0.150527,0.005241,N1,package,0.4429,84.5142
0.150536,0.005229,N1,ram,0.0266,5.0833
0.155694,0.005288,N0,package,0.8165,154.4079
0.155747,0.005314,N0,ram,0.0356,6.6935
0.155828,0.005301,N1,package,0.5168,97.4997
0.155836,0.005300,N1,ram,0.0322,6.0776
0.160953,0.005259,N0,package,0.9465,179.9822
0.161013,0.005266,N0,ram,0.0427,8.1076
0.161108,0.005280,N1,package,0.4348,82.3509
0.161129,0.005293,N1,ram,0.0243,4.5867
0.166280,0.005327,N0,package,0.7559,141.8925
0.166370,0.005357,N0,ram,0.0325,6.0756
0.166472,0.005364,N1,package,0.4514,84.1461
0.166493,0.005364,N1,ram,0.0283,5.2684
0.171608,0.005328,N0,package,0.7836,147.0680
0.171666,0.005296,N0,ram,0.0420,7.9262
0.171770,0.005298,N1,package,0.4071,76.8392
0.171803,0.005310,N1,ram,0.0248,4.6724
0.176936,0.005328,N0,package,0.9784,183.6345
0.176981,0.005315,N0,ram,0.0344,6.4680
0.177081,0.005311,N1,package,0.5133,96.6493
0.177102,0.005299,N1,ram,0.0305,5.7504
0.182265,0.005329,N0,package,0.8016,150.4137
0.182338,0.005357,N0,ram,0.0350,6.5285
0.182440,0.005359,N1,package,0.4612,86.0698
0.182460,0.005358,N1,ram,0.0272,5.0720
0.187694,0.005429,N0,package,0.7834,144.3071
0.187868,0.005530,N0,ram,0.0356,6.4320
0.187982,0.005542,N1,package,0.4213,76.0126
0.187991,0.005531,N1,ram,0.0255,4.6156
0.193126,0.005432,N0,package,0.9724,179.0079
0.193177,0.005309,N0,ram,0.0428,8.0589
0.193279,0.005297,N1,package,0.5609,105.8822
0.193299,0.005308,N1,ram,0.0319,6.0108
0.198439,0.005313,N0,package,0.7736,145.6112
0.198523,0.005346,N0,ram,0.0334,6.2536
0.198741,0.005462,N1,package,0.4217,77.2056
0.198858,0.005559,N1,ram,0.0242,4.3616
0.204007,0.005568,N0,package,0.9713,174.4448
0.204068,0.005545,N0,ram,0.0434,7.8290
0.204172,0.005431,N1,package,0.5237,96.4369
0.204193,0.005335,N1,ram,0.0328,6.1437
0.209359,0.005352,N0,package,0.8000,149.4740
0.209434,0.005366,N0,ram,0.0359,6.6994
0.209546,0.005374,N1,package,0.4446,82.7250
0.209579,0.005386,N1,ram,0.0263,4.8841
0.214760,0.005401,N0,package,0.7861,145.5496
0.214809,0.005375,N0,ram,0.0410,7.6196
0.214912,0.005366,N1,package,0.4255,79.2933
0.214932,0.005353,N1,ram,0.0263,4.9086
0.220079,0.005319,N0,package,0.9288,174.6180
0.220147,0.005338,N0,ram,0.0336,6.3002
0.220249,0.005337,N1,package,0.5127,96.0643
0.220270,0.005338,N1,ram,0.0313,5.8657
0.225440,0.005361,N0,package,0.8312,155.0390
0.225492,0.005345,N0,ram,0.0358,6.6915
0.225748,0.005499,N1,package,0.4338,78.8811
0.225864,0.005594,N1,ram,0.0256,4.5716
0.231024,0.005584,N0,package,0.9289,166.3492
0.231090,0.005598,N0,ram,0.0405,7.2422
0.231192,0.005444,N1,package,0.5049,92.7556
0.231213,0.005349,N1,ram,0.0306,5.7279
0.236346,0.005322,N0,package,0.8182,153.7353
