#timestamp,interval,socket,domain,energy,power
0.005170,0.005577,N0,package,0.5206,93.3516
0.005334,0.005573,N0,ram,0.0211,3.7922
0.005498,0.005579,N1,package,0.3962,71.0236
0.005521,0.005521,N1,ram,0.0273,4.9416
0.010750,0.005580,N0,package,0.5262,94.2991
0.010868,0.005534,N0,ram,0.0200,3.6174
0.010959,0.005461,N1,package,0.4024,73.6873
0.010971,0.005450,N1,ram,0.0266,4.8884
0.016136,0.005386,N0,package,0.6157,114.3104
0.016149,0.005281,N0,ram,0.0233,4.4150
0.016299,0.005340,N1,package,0.4496,84.2018
0.016319,0.005348,N1,ram,0.0290,5.4211
0.021522,0.005386,N0,package,0.5189,96.3442
0.021537,0.005388,N0,ram,0.0195,3.6164
0.021799,0.005500,N1,package,0.4313,78.4235
0.021964,0.005645,N1,ram,0.0276,4.8871
0.027127,0.005605,N0,package,0.6639,118.4554
0.027139,0.005602,N0,ram,0.0254,4.5271
0.027222,0.005423,N1,package,0.4064,74.9373
0.027234,0.005270,N1,ram,0.0266,5.0380
0.032423,0.005296,N0,package,0.4904,92.5901
0.032436,0.005297,N0,ram,0.0152,2.8605
0.032522,0.005300,N1,package,0.4914,92.7151
0.032534,0.005300,N1,ram,0.0316,5.9595
0.037769,0.005346,N0,package,0.6650,124.3866
0.037850,0.005414,N0,ram,0.0227,4.1938
0.037940,0.005418,N1,package,0.4266,78.7320
0.037952,0.005418,N1,ram,0.0266,4.9005
0.043123,0.005354,N0,package,0.6108,114.0919
0.043265,0.005415,N0,ram,0.0222,4.0914
0.043404,0.005464,N1,package,0.5231,95.7291
0.043415,0.005463,N1,ram,0.0309,5.6476
0.048762,0.005639,N0,package,0.5931,105.1838
0.048868,0.005603,N0,ram,0.0183,3.2654
0.049028,0.005624,N1,package,0.4214,74.9398
0.049048,0.005633,N1,ram,0.0256,4.5482
0.054222,0.005460,N0,package,0.6055,110.8912
0.054403,0.005535,N0,ram,0.0199,3.5920
0.054486,0.005458,N1,package,0.5229,95.8113
0.054498,0.005450,N1,ram,0.0309,5.6695
0.059738,0.005516,N0,package,0.7156,129.7428
0.059785,0.005382,N0,ram,0.0238,4.4145
0.059804,0.005318,N1,package,0.4291,80.6965
0.059812,0.005314,N1,ram,0.0264,4.9761
0.064960,0.005222,N0,package,0.8709,166.7746
0.065014,0.005229,N0,ram,0.0383,7.3303
0.065032,0.005228,N1,package,0.4511,86.2868
0.065040,0.005228,N1,ram,0.0261,4.9909
0.070185,0.005225,N0,package,0.8473,162.1625
0.070236,0.005222,N0,ram,0.0382,7.3137
0.070259,0.005227,N1,package,0.4344,83.1031
0.070267,0.005227,N1,ram,0.0273,5.2256
0.075397,0.005212,N0,package,0.8397,161.0993
0.075452,0.005216,N0,ram,0.0355,6.8131
0.075460,0.005201,N1,package,0.5206,100.0928
0.075463,0.005196,N1,ram,0.0307,5.8996
0.080748,0.005351,N0,package,0.8478,158.4431
0.080820,0.005368,N0,ram,0.0441,8.2064
0.080858,0.005398,N1,package,0.4275,79.1937
0.080869,0.005406,N1,ram,0.0265,4.8944
0.086021,0.005273,N0,package,0.9975,189.1756
0.086087,0.005267,N0,ram,0.0358,6.7937
0.086111,0.005253,N1,package,0.4334,82.5061
0.086119,0.005250,N1,ram,0.0255,4.8480
0.091291,0.005270,N0,package,0.8484,160.9960
0.091371,0.005284,N0,ram,0.0370,6.9940
0.091381,0.005270,N1,package,0.5382,102.1267
0.091384,0.005265,N1,ram,0.0333,6.3209
0.096542,0.005251,N0,package,0.8105,154.3439
0.096617,0.005246,N0,ram,0.0363,6.9227
0.096645,0.005264,N1,package,0.4336,82.3689
0.096654,0.005270,N1,ram,0.0249,4.7166
0.101915,0.005373,N0,package,1.0327,192.2045
0.102002,0.005385,N0,ram,0.0455,8.4442
0.102040,0.005395,N1,package,0.4408,81.7055
0.102049,0.005395,N1,ram,0.0275,5.0908
0.107189,0.005274,N0,package,0.8275,156.9099
0.107234,0.005232,N0,ram,0.0365,6.9818
0.107242,0.005202,N1,package,0.4322,83.0806
0.107245,0.005196,N1,ram,0.0257,4.9425
0.112396,0.005207,N0,package,0.8103,155.6161
0.112437,0.005203,N0,ram,0.0340,6.5252
0.112447,0.005205,N1,package,0.5065,97.3178
0.112450,0.005205,N1,ram,0.0307,5.9011
0.117633,0.005237,N0,package,0.8459,161.5180
0.117702,0.005265,N0,ram,0.0359,6.8223
0.117726,0.005279,N1,package,0.4442,84.1463
0.117734,0.005284,N1,ram,0.0264,5.0046
0.122906,0.005273,N0,package,1.0514,199.3966
0.122971,0.005269,N0,ram,0.0457,8.6733
0.122991,0.005265,N1,package,0.4326,82.1685
0.122999,0.005265,N1,ram,0.0269,5.1037
0.128161,0.005255,N0,package,0.8104,154.2202
0.128238,0.005267,N0,ram,0.0365,6.9270
0.128258,0.005267,N1,package,0.4431,84.1320
0.128266,0.005267,N1,ram,0.0256,4.8524
0.133423,0.005262,N0,package,0.8108,154.0802
0.133459,0.005221,N0,ram,0.0349,6.6867
0.133467,0.005209,N1,package,0.5225,100.3003
0.133470,0.005204,N1,ram,0.0317,6.0989
0.138729,0.005306,N0,package,0.8664,163.2856
0.138759,0.005300,N0,ram,0.0433,8.1681
0.138774,0.005307,N1,package,0.4434,83.5545
0.138777,0.005307,N1,ram,0.0266,5.0087
0.143959,0.005230,N0,package,0.9979,190.8096
0.144029,0.005270,N0,ram,0.0356,6.7463
0.144053,0.005279,N1,package,0.4246,80.4350
0.144061,0.005284,N1,ram,0.0259,4.9004
0.149199,0.005240,N0,package,0.8649,165.0640
0.149251,0.005222,N0,ram,0.0383,7.3371
0.149274,0.005221,N1,package,0.4357,83.4551
0.149281,0.005220,N1,ram,0.0256,4.9051
0.154416,0.005217,N0,package,0.8104,155.3291
0.154460,0.005209,N0,ram,0.0357,6.8488
0.154471,0.005197,N1,package,0.4592,88.3674
0.154473,0.005192,N1,ram,0.0255,4.9050
0.159771,0.005355,N0,package,0.8417,157.1790
0.159831,0.005371,N0,ram,0.0445,8.2869
0.159848,0.005377,N1,package,0.5312,98.7881
0.159851,0.005378,N1,ram,0.0320,5.9526
0.165007,0.005236,N0,package,1.0348,197.6243
0.165067,0.005236,N0,ram,0.0392,7.4896
0.165090,0.005242,N1,package,0.4183,79.7911
0.165099,0.005248,N1,ram,0.0255,4.8645
0.170314,0.005307,N0,package,0.8278,155.9761
0.170408,0.005341,N0,ram,0.0343,6.4280
0.170431,0.005341,N1,package,0.4420,82.7620
0.170440,0.005341,N1,ram,0.0263,4.9224
0.175617,0.005303,N0,package,0.8279,156.1298
0.175795,0.005387,N0,ram,0.0356,6.6167
0.175853,0.005422,N1,package,0.5356,98.7776
0.175864,0.005424,N1,ram,0.0311,5.7248
0.181051,0.005434,N0,package,1.0010,184.2162
0.181099,0.005304,N0,ram,0.0435,8.1963
0.181121,0.005268,N1,package,0.4446,84.3910
0.181130,0.005266,N1,ram,0.0265,5.0303
0.186300,0.005249,N0,package,0.8621,164.2326
0.186371,0.005272,N0,ram,0.0368,6.9838
0.186391,0.005270,N1,package,0.4390,83.2950
0.186399,0.005269,N1,ram,0.0261,4.9578
0.191566,0.005266,N0,package,0.8080,153.4470
0.191613,0.005242,N0,ram,0.0346,6.5962
0.191633,0.005242,N1,package,0.5388,102.7912
0.191641,0.005242,N1,ram,0.0321,6.1185
0.196782,0.005216,N0,package,0.8449,161.9804
0.196845,0.005232,N0,ram,0.0347,6.6348
0.196865,0.005232,N1,package,0.4394,83.9801
0.196873,0.005232,N1,ram,0.0256,4.8939
0.202038,0.005256,N0,package,1.0108,192.3164
0.202096,0.005251,N0,ram,0.0439,8.3691
0.202119,0.005254,N1,package,0.4584,87.2424
0.202127,0.005254,N1,ram,0.0272,5.1753
0.207274,0.005236,N0,package,0.8102,154.7471
0.207335,0.005239,N0,ram,0.0357,6.8153
0.207355,0.005236,N1,package,0.4459,85.1546
0.207363,0.005236,N1,ram,0.0259,4.9426
0.212572,0.005298,N0,package,0.8441,159.3117
0.212796,0.005461,N0,ram,0.0367,6.7115
0.212820,0.005465,N1,package,0.5293,96.8516
0.212823,0.005460,N1,ram,0.0311,5.6927
0.217967,0.005395,N0,package,0.8799,163.1055
0.218019,0.005223,N0,ram,0.0362,6.9267
0.218042,0.005222,N1,package,0.4340,83.1047
0.218050,0.005227,N1,ram,0.0257,4.9246
0.223202,0.005235,N0,package,0.9984,190.7087
0.223266,0.005247,N0,ram,0.0420,8.0091
0.223287,0.005245,N1,package,0.4437,84.5847
0.223295,0.005245,N1,ram,0.0264,5.0388
0.228405,0.005203,N0,package,0.8111,155.8898
0.228439,0.005173,N0,ram,0.0348,6.7250
0.228456,0.005169,N1,package,0.4339,83.9439
0.228463,0.005168,N1,ram,0.0263,5.0873
0.233705,0.005300,N0,package,0.8447,159.3810
0.233761,0.005322,N0,ram,0.0343,6.4482
0.233775,0.005319,N1,package,0.4412,82.9541
0.233777,0.005314,N1,ram,0.0260,4.8986
0.238902,0.005197,N0,package,0.8471,162.9977
0.238953,0.005192,N0,ram,0.0380,7.3208
0.238974,0.005199,N1,package,0.5208,100.1601
0.238982,0.005205,N1,ram,0.0315,6.0596
0.244092,0.005190,N0,package,0.8426,162.3521
0.244127,0.005174,N0,ram,0.0430,8.3019
0.244145,0.005171,N1,package,0.4418,85.4474
0.244152,0.005170,N1,ram,0.0260,5.0291
