#timestamp,interval,socket,domain,energy,power
0.005314,0.005622,N0,package,0.2360,41.9827
0.005420,0.005549,N0,ram,0.0347,6.2477
0.005527,0.005534,N1,package,0.2961,53.5029
0.005537,0.005537,N1,ram,0.0433,7.8154
0.010701,0.005387,N0,package,0.2501,46.4301
0.010727,0.005307,N0,ram,0.0372,7.0070
0.010822,0.005295,N1,package,0.3676,69.4147
0.010836,0.005299,N1,ram,0.0509,9.6151
0.016001,0.005300,N0,package,0.3309,62.4281
0.016027,0.005300,N0,ram,0.0505,9.5208
0.016322,0.005500,N1,package,0.3028,55.0553
0.016437,0.005601,N1,ram,0.0433,7.7259
0.021600,0.005599,N0,package,0.2546,45.4682
0.021624,0.005597,N0,ram,0.0366,6.5347
0.021731,0.005409,N1,package,0.2397,44.3122
0.021744,0.005307,N1,ram,0.0379,7.1335
0.026891,0.005291,N0,package,0.2852,53.9063
0.027018,0.005394,N0,ram,0.0391,7.2475
0.027030,0.005299,N1,package,0.3415,64.4434
0.027037,0.005293,N1,ram,0.0443,8.3748
0.032344,0.005453,N0,package,0.2953,54.1504
0.032458,0.005440,N0,ram,0.0429,7.8790
0.032591,0.005561,N1,package,0.3695,66.4448
0.032612,0.005575,N1,ram,0.0509,9.1358
0.037820,0.005476,N0,package,0.3676,67.1320
0.037972,0.005514,N0,ram,0.0439,7.9671
0.038071,0.005480,N1,package,0.2977,54.3321
0.038091,0.005479,N1,ram,0.0424,7.7396
0.043353,0.005533,N0,package,0.2793,50.4786
0.043462,0.005490,N0,ram,0.0340,6.2007
0.043611,0.005540,N1,package,0.2974,53.6744
0.043618,0.005527,N1,ram,0.0428,7.7467
0.048786,0.005433,N0,package,0.3829,70.4851
0.048905,0.005443,N0,ram,0.0489,8.9851
0.049023,0.005412,N1,package,0.3665,67.7133
0.049031,0.005413,N1,ram,0.0492,9.0853
0.054357,0.005571,N0,package,0.4557,81.8056
0.054451,0.005546,N0,ram,0.0350,6.3032
0.054544,0.005521,N1,package,0.2043,37.0010
0.054552,0.005521,N1,ram,0.0309,5.5938
0.059734,0.005377,N0,package,0.3915,72.8169
0.059859,0.005408,N0,ram,0.0400,7.3980
0.059947,0.005403,N1,package,0.4423,81.8540
0.059959,0.005407,N1,ram,0.0588,10.8736
0.065127,0.005393,N0,package,0.3843,71.2576
0.065143,0.005284,N0,ram,0.0369,6.9911
0.065256,0.005309,N1,package,0.3185,59.9905
0.065268,0.005309,N1,ram,0.0427,8.0359
0.070408,0.005281,N0,package,0.5216,98.7665
0.070540,0.005397,N0,ram,0.0491,9.0956
0.070649,0.005393,N1,package,0.3263,60.5029
0.070657,0.005389,N1,ram,0.0443,8.2255
0.075831,0.005423,N0,package,0.4457,82.1969
0.075951,0.005411,N0,ram,0.0440,8.1382
0.076061,0.005412,N1,package,0.3084,56.9854
0.076083,0.005426,N1,ram,0.0420,7.7476
