#timestamp,interval,socket,domain,energy,power
0.005177,0.005489,N0,package,0.2648,48.2356
0.005203,0.005332,N0,ram,0.0366,6.8653
0.005313,0.005319,N1,package,0.3531,66.3840
0.005327,0.005327,N1,ram,0.0500,9.3810
0.010624,0.005447,N0,package,0.2330,42.7825
0.010725,0.005522,N0,ram,0.0349,6.3224
0.010854,0.005541,N1,package,0.2874,51.8587
0.010862,0.005535,N1,ram,0.0394,7.1209
0.016028,0.005404,N0,package,0.3593,66.4904
0.016065,0.005340,N0,ram,0.0549,10.2842
0.016147,0.005293,N1,package,0.3430,64.7957
0.016155,0.005293,N1,ram,0.0479,9.0518
0.021318,0.005290,N0,package,0.2440,46.1165
0.021342,0.005277,N0,ram,0.0349,6.6186
0.021354,0.005207,N1,package,0.2400,46.0894
0.021361,0.005206,N1,ram,0.0314,6.0409
0.026665,0.005347,N0,package,0.2514,47.0176
0.026696,0.005354,N0,ram,0.0384,7.1792
0.026833,0.005479,N1,package,0.3842,70.1129
0.026842,0.005481,N1,ram,0.0518,9.4459
0.032023,0.005358,N0,package,0.3151,58.8027
0.032061,0.005365,N0,ram,0.0401,7.4714
0.032159,0.005326,N1,package,0.3732,70.0651
0.032184,0.005342,N1,ram,0.0498,9.3261
0.037374,0.005351,N0,package,0.3238,60.5097
0.037418,0.005357,N0,ram,0.0403,7.5286
0.037693,0.005534,N1,package,0.2859,51.6721
0.037813,0.005629,N1,ram,0.0407,7.2295
0.043004,0.005630,N0,package,0.3831,68.0491
0.043044,0.005626,N0,ram,0.0449,7.9817
0.043147,0.005454,N1,package,0.3487,63.9329
0.043168,0.005355,N1,ram,0.0485,9.0582
0.048351,0.005347,N0,package,0.4465,83.5108
0.048386,0.005342,N0,ram,0.0440,8.2349
0.048689,0.005542,N1,package,0.2506,45.2218
0.048795,0.005627,N1,ram,0.0472,8.3874
0.053973,0.005622,N0,package,0.4630,82.3478
0.054095,0.005709,N0,ram,0.0449,7.8660
0.054201,0.005512,N1,package,0.3856,69.9601
0.054222,0.005427,N1,ram,0.0387,7.1389
0.059420,0.005447,N0,package,0.3561,65.3839
0.059442,0.005347,N0,ram,0.0321,6.0013
0.059698,0.005497,N1,package,0.2781,50.5982
0.059820,0.005598,N1,ram,0.0496,8.8586
0.064996,0.005576,N0,package,0.4704,84.3592
0.065036,0.005594,N0,ram,0.0459,8.2104
0.065135,0.005437,N1,package,0.3853,70.8560
0.065156,0.005336,N1,ram,0.0358,6.7114
0.070301,0.005305,N0,package,0.6533,123.1391
0.070327,0.005291,N0,ram,0.0519,9.8169
0.070427,0.005292,N1,package,0.3835,72.4772
0.070439,0.005283,N1,ram,0.0459,8.6824
0.075712,0.005411,N0,package,0.7620,140.8310
0.075766,0.005439,N0,ram,0.0592,10.8906
0.075881,0.005454,N1,package,0.2403,44.0581
0.075901,0.005462,N1,ram,0.0335,6.1318
0.081060,0.005348,N0,package,0.7524,140.6853
0.081152,0.005386,N0,ram,0.0577,10.7205
0.081251,0.005370,N1,package,0.4607,85.7918
0.081272,0.005371,N1,ram,0.0539,10.0431
0.086403,0.005343,N0,package,0.7524,140.8286
0.086425,0.005273,N0,ram,0.0624,11.8323
0.086654,0.005403,N1,package,0.4015,74.3080
0.086758,0.005486,N1,ram,0.0487,8.8699
0.091900,0.005497,N0,package,0.6903,125.5795
0.091945,0.005520,N0,ram,0.0507,9.1914
0.092048,0.005394,N1,package,0.2864,53.0919
0.092070,0.005312,N1,ram,0.0333,6.2736
0.097218,0.005318,N0,package,0.8455,158.9872
0.097244,0.005299,N0,ram,0.0662,12.4856
0.097342,0.005294,N1,package,0.4542,85.7868
0.097354,0.005284,N1,ram,0.0411,7.7737
0.102519,0.005301,N0,package,0.7840,147.8960
0.102584,0.005340,N0,ram,0.0535,10.0242
0.102693,0.005351,N1,package,0.3018,56.3921
0.102713,0.005359,N1,ram,0.0469,8.7556
0.107843,0.005324,N0,package,0.8505,159.7449
0.107863,0.005279,N0,ram,0.0631,11.9577
0.107970,0.005277,N1,package,0.2736,51.8523
0.107982,0.005269,N1,ram,0.0313,5.9367
0.113108,0.005265,N0,package,0.8708,165.3920
0.113142,0.005279,N0,ram,0.0601,11.3825
0.113260,0.005290,N1,package,0.4402,83.2219
0.113272,0.005290,N1,ram,0.0487,9.2014
0.118397,0.005289,N0,package,0.8029,151.8067
0.118436,0.005294,N0,ram,0.0539,10.1887
0.118656,0.005396,N1,package,0.4180,77.4719
0.118774,0.005502,N1,ram,0.0452,8.2201
0.123925,0.005528,N0,package,0.9685,175.2009
0.123976,0.005540,N0,ram,0.0644,11.6261
0.124076,0.005420,N1,package,0.4412,81.3957
0.124098,0.005324,N1,ram,0.0464,8.7154
0.129271,0.005346,N0,package,0.8447,158.0092
0.129338,0.005362,N0,ram,0.0570,10.6259
0.129436,0.005360,N1,package,0.4148,77.3853
0.129456,0.005358,N1,ram,0.0407,7.5952
0.134602,0.005331,N0,package,0.8759,164.3048
0.134647,0.005309,N0,ram,0.0563,10.6087
0.134780,0.005344,N1,package,0.4182,78.2482
0.134812,0.005356,N1,ram,0.0446,8.3219
0.139947,0.005345,N0,package,0.7883,147.4815
0.139985,0.005338,N0,ram,0.0506,9.4842
0.140084,0.005304,N1,package,0.4711,88.8123
0.140104,0.005292,N1,ram,0.0446,8.4249
0.145280,0.005333,N0,package,1.0165,190.6152
0.145320,0.005335,N0,ram,0.0656,12.3046
0.145406,0.005322,N1,package,0.4260,80.0502
0.145417,0.005313,N1,ram,0.0423,7.9612
0.150727,0.005447,N0,package,0.8767,160.9482
0.150755,0.005435,N0,ram,0.0569,10.4692
0.150885,0.005479,N1,package,0.2769,50.5427
0.150896,0.005479,N1,ram,0.0286,5.2134
0.156045,0.005318,N0,package,0.8621,162.1046
0.156116,0.005361,N0,ram,0.0547,10.2094
0.156213,0.005328,N1,package,0.5891,110.5538
0.156234,0.005338,N1,ram,0.0591,11.0626
0.161379,0.005334,N0,package,1.0660,199.8523
0.161413,0.005297,N0,ram,0.0674,12.7240
0.161672,0.005459,N1,package,0.4297,78.7142
0.161744,0.005510,N1,ram,0.0418,7.5853
0.166882,0.005503,N0,package,0.7894,143.4558
0.166924,0.005511,N0,ram,0.0482,8.7521
0.167022,0.005350,N1,package,0.3716,69.4531
0.167041,0.005297,N1,ram,0.0417,7.8725
0.172236,0.005354,N0,package,1.0358,193.4592
0.172295,0.005371,N0,ram,0.0674,12.5426
0.172382,0.005360,N1,package,0.5150,96.0868
0.172394,0.005353,N1,ram,0.0498,9.3098
0.177701,0.005465,N0,package,0.8973,164.1965
0.177779,0.005484,N0,ram,0.0563,10.2674
0.177893,0.005511,N1,package,0.2678,48.5863
0.177913,0.005519,N1,ram,0.0310,5.6181
0.183080,0.005379,N0,package,0.7886,146.6148
0.183129,0.005350,N0,ram,0.0636,11.8788
0.183227,0.005334,N1,package,0.4848,90.8867
0.183246,0.005333,N1,ram,0.0473,8.8755
0.188416,0.005336,N0,package,1.0554,197.7906
0.188443,0.005314,N0,ram,0.0529,9.9497
0.188663,0.005436,N1,package,0.5262,96.7972
0.188768,0.005522,N1,ram,0.0500,9.0525
0.193932,0.005516,N0,package,1.0127,183.5906
0.193977,0.005534,N0,ram,0.0654,11.8096
