#timestamp,interval,socket,domain,energy,power
0.005173,0.005476,N0,package,0.3937,71.8913
0.005210,0.005336,N0,ram,0.0601,11.2553
0.005306,0.005313,N1,package,0.3039,57.1991
0.005316,0.005316,N1,ram,0.0440,8.2695
0.010486,0.005313,N0,package,0.2415,45.4583
0.010513,0.005303,N0,ram,0.0390,7.3486
0.010646,0.005340,N1,package,0.3441,64.4286
0.010658,0.005342,N1,ram,0.0481,8.9976
0.015817,0.005331,N0,package,0.2475,46.4258
0.015842,0.005329,N0,ram,0.0384,7.2015
0.015937,0.005291,N1,package,0.2991,56.5364
0.015947,0.005289,N1,ram,0.0407,7.6942
0.021109,0.005292,N0,package,0.2527,47.7470
0.021133,0.005291,N0,ram,0.0385,7.2848
0.021243,0.005306,N1,package,0.2776,52.3273
0.021255,0.005308,N1,ram,0.0398,7.5059
0.026416,0.005307,N0,package,0.4154,78.2756
0.026441,0.005308,N0,ram,0.0602,11.3317
0.026453,0.005210,N1,package,0.3539,67.9246
0.026460,0.005205,N1,ram,0.0489,9.3987
0.031718,0.005302,N0,package,0.1487,28.0543
0.031803,0.005362,N0,ram,0.0420,7.8289
0.031919,0.005466,N1,package,0.3295,60.2760
0.031927,0.005467,N1,ram,0.0403,7.3710
0.037088,0.005370,N0,package,0.4221,78.5970
0.037108,0.005305,N0,ram,0.0394,7.4208
0.037233,0.005314,N1,package,0.3790,71.3166
0.037241,0.005314,N1,ram,0.0453,8.5197
0.042406,0.005318,N0,package,0.2163,40.6735
0.042429,0.005321,N0,ram,0.0312,5.8672
0.042478,0.005245,N1,package,0.3273,62.3942
0.042494,0.005253,N1,ram,0.0404,7.6859
0.047743,0.005337,N0,package,0.2642,49.4960
0.047840,0.005411,N0,ram,0.0376,6.9485
0.047936,0.005458,N1,package,0.4028,73.7963
0.047944,0.005450,N1,ram,0.0481,8.8277
0.053099,0.005356,N0,package,0.2673,49.9031
0.053120,0.005280,N0,ram,0.0358,6.7768
0.053211,0.005275,N1,package,0.3881,73.5660
0.053219,0.005275,N1,ram,0.0432,8.1891
0.058373,0.005274,N0,package,0.3193,60.5484
0.058393,0.005273,N0,ram,0.0388,7.3645
0.058472,0.005261,N1,package,0.3791,72.0573
0.058647,0.005428,N1,ram,0.0446,8.2144
0.063770,0.005397,N0,package,0.4982,92.3147
0.063803,0.005410,N0,ram,0.0524,9.6941
0.063904,0.005432,N1,package,0.3266,60.1236
0.063930,0.005283,N1,ram,0.0366,6.9317
0.069043,0.005273,N0,package,0.5016,95.1376
0.069060,0.005257,N0,ram,0.0504,9.5782
0.069173,0.005269,N1,package,0.4286,81.3524
0.069182,0.005252,N1,ram,0.0501,9.5326
0.074288,0.005245,N0,package,0.5858,111.6793
0.074309,0.005249,N0,ram,0.0543,10.3430
0.074431,0.005258,N1,package,0.3344,63.6024
0.074442,0.005260,N1,ram,0.0337,6.4052
0.079524,0.005236,N0,package,0.5906,112.7999
0.079543,0.005234,N0,ram,0.0584,11.1574
0.079663,0.005232,N1,package,0.3235,61.8390
0.079672,0.005230,N1,ram,0.0486,9.2833
