#timestamp,interval,socket,domain,energy,power
0.005203,0.005516,N0,package,0.3766,68.2740
0.005244,0.005373,N0,ram,0.0566,10.5332
0.005331,0.005337,N1,package,0.3132,58.6907
0.005339,0.005339,N1,ram,0.0445,8.3279
0.010657,0.005454,N0,package,0.2276,41.7304
0.010756,0.005512,N0,ram,0.0381,6.9041
0.010854,0.005523,N1,package,0.3337,60.4277
0.010874,0.005535,N1,ram,0.0479,8.6454
0.016036,0.005379,N0,package,0.2584,48.0319
0.016063,0.005307,N0,ram,0.0420,7.9094
0.016153,0.005299,N1,package,0.2954,55.7473
0.016165,0.005291,N1,ram,0.0392,7.4117
0.021332,0.005296,N0,package,0.2580,48.7153
0.021352,0.005289,N0,ram,0.0417,7.8821
0.021482,0.005329,N1,package,0.2253,42.2734
0.021499,0.005334,N1,ram,0.0324,6.0816
0.026683,0.005351,N0,package,0.4127,77.1285
0.026726,0.005374,N0,ram,0.0620,11.5280
0.026824,0.005342,N1,package,0.4150,77.6969
0.026847,0.005348,N1,ram,0.0559,10.4541
0.032043,0.005360,N0,package,0.2642,49.2824
0.032080,0.005354,N0,ram,0.0342,6.3895
0.032180,0.005356,N1,package,0.3015,56.2824
0.032216,0.005369,N1,ram,0.0448,8.3471
0.037384,0.005341,N0,package,0.3186,59.6545
0.037402,0.005322,N0,ram,0.0415,7.7900
0.037679,0.005499,N1,package,0.3014,54.8072
0.037789,0.005573,N1,ram,0.0441,7.9073
0.043007,0.005623,N0,package,0.3908,69.5004
0.043167,0.005765,N0,ram,0.0479,8.3084
0.043267,0.005588,N1,package,0.3335,59.6827
0.043289,0.005500,N1,ram,0.0461,8.3867
0.048638,0.005631,N0,package,0.4332,76.9257
0.048717,0.005550,N0,ram,0.0502,9.0427
0.048814,0.005547,N1,package,0.3469,62.5311
0.048825,0.005536,N1,ram,0.0484,8.7404
0.053998,0.005360,N0,package,0.4611,86.0165
0.054038,0.005321,N0,ram,0.0491,9.2252
0.054142,0.005328,N1,package,0.3177,59.6383
