#timestamp,interval,socket,domain,energy,power
0.005262,0.005375,N0,package,0.3145,58.5039
0.005359,0.005465,N0,ram,0.0460,8.4181
0.005460,0.005473,N1,package,0.3066,56.0265
0.005486,0.005486,N1,ram,0.0532,9.6960
0.010664,0.005402,N0,package,0.3467,64.1751
0.010844,0.005485,N0,ram,0.0519,9.4556
0.010939,0.005479,N1,package,0.2506,45.7413
0.010954,0.005468,N1,ram,0.0467,8.5421
0.016243,0.005579,N0,package,0.3293,59.0222
0.016353,0.005509,N0,ram,0.0456,8.2735
0.016454,0.005515,N1,package,0.2193,39.7634
0.016469,0.005515,N1,ram,0.0413,7.4868
0.021640,0.005397,N0,package,0.3199,59.2814
0.021852,0.005499,N0,ram,0.0452,8.2161
0.021943,0.005489,N1,package,0.2399,43.7119
0.021956,0.005487,N1,ram,0.0426,7.7727
0.027345,0.005705,N0,package,0.3323,58.2548
0.027455,0.005603,N0,ram,0.0460,8.2029
0.027555,0.005612,N1,package,0.2792,49.7448
0.027568,0.005612,N1,ram,0.0469,8.3528
0.032764,0.005419,N0,package,0.4833,89.1928
0.032779,0.005324,N0,ram,0.0572,10.7388
0.032868,0.005313,N1,package,0.2443,45.9752
0.032882,0.005314,N1,ram,0.0422,7.9393
0.038078,0.005314,N0,package,0.3888,73.1658
0.038096,0.005317,N0,ram,0.0414,7.7944
0.038189,0.005321,N1,package,0.2646,49.7249
0.038202,0.005320,N1,ram,0.0434,8.1599
0.043372,0.005294,N0,package,0.3788,71.5601
0.043386,0.005290,N0,ram,0.0444,8.3966
0.043476,0.005287,N1,package,0.2604,49.2490
0.043502,0.005300,N1,ram,0.0432,8.1537
0.048673,0.005301,N0,package,0.3812,71.9158
0.048851,0.005465,N0,ram,0.0455,8.3316
0.048940,0.005464,N1,package,0.1836,33.6001
0.048953,0.005451,N1,ram,0.0317,5.8167
0.054338,0.005665,N0,package,0.3637,64.2020
0.054442,0.005591,N0,ram,0.0396,7.0850
0.054528,0.005588,N1,package,0.3599,64.4096
0.054544,0.005591,N1,ram,0.0561,10.0353
0.059729,0.005391,N0,package,0.5290,98.1271
0.059743,0.005301,N0,ram,0.0552,10.4201
0.059819,0.005291,N1,package,0.2884,54.5061
0.059835,0.005291,N1,ram,0.0452,8.5364
0.065018,0.005289,N0,package,0.3795,71.7432
0.065033,0.005290,N0,ram,0.0533,10.0840
0.065271,0.005452,N1,package,0.1828,33.5295
0.065353,0.005518,N1,ram,0.0276,5.0024
0.070527,0.005509,N0,package,0.4243,77.0238
0.070709,0.005676,N0,ram,0.0704,12.4118
0.070796,0.005525,N1,package,0.3796,68.7115
0.070809,0.005456,N1,ram,0.0607,11.1197
0.075991,0.005464,N0,package,0.4380,80.1690
0.076014,0.005305,N0,ram,0.0784,14.7754
0.076277,0.005481,N1,package,0.2453,44.7546
0.076371,0.005562,N1,ram,0.0365,6.5676
0.081554,0.005563,N0,package,0.4587,82.4624
0.081571,0.005557,N0,ram,0.0865,15.5641
0.081658,0.005381,N1,package,0.2776,51.5993
0.081671,0.005300,N1,ram,0.0386,7.2810
0.086861,0.005307,N0,package,0.3731,70.3054
0.086893,0.005322,N0,ram,0.0690,12.9680
0.086982,0.005324,N1,package,0.2751,51.6792
0.086997,0.005326,N1,ram,0.0385,7.2369
0.092371,0.005510,N0,package,0.4527,82.1579
0.092533,0.005640,N0,ram,0.0836,14.8177
0.092640,0.005658,N1,package,0.4341,76.7213
0.092661,0.005664,N1,ram,0.0596,10.5284
0.097863,0.005492,N0,package,0.4526,82.4068
0.098049,0.005516,N0,ram,0.0810,14.6777
0.098264,0.005624,N1,package,0.3624,64.4422
