#timestamp,interval,socket,domain,energy,power
0.005249,0.005398,N0,package,0.2883,53.4026
0.005373,0.005474,N0,ram,0.0411,7.5038
0.005476,0.005490,N1,package,0.2447,44.5696
0.005502,0.005502,N1,ram,0.0590,10.7217
0.010676,0.005427,N0,package,0.3415,62.9259
0.010692,0.005319,N0,ram,0.0478,8.9875
0.010785,0.005309,N1,package,0.2283,42.9962
0.010812,0.005310,N1,ram,0.0433,8.1580
0.016005,0.005329,N0,package,0.3340,62.6714
0.016035,0.005343,N0,ram,0.0442,8.2677
0.016233,0.005448,N1,package,0.1950,35.7952
0.016332,0.005520,N1,ram,0.0367,6.6482
0.021509,0.005504,N0,package,0.3278,59.5504
0.021693,0.005658,N0,ram,0.0443,7.8372
0.021785,0.005552,N1,package,0.3276,59.0118
0.021799,0.005467,N1,ram,0.0547,10.0029
0.026994,0.005485,N0,package,0.3418,62.3142
0.027016,0.005323,N0,ram,0.0434,8.1440
0.027290,0.005505,N1,package,0.2399,43.5832
0.027386,0.005587,N1,ram,0.0435,7.7866
0.032569,0.005575,N0,package,0.4477,80.3045
0.032747,0.005731,N0,ram,0.0530,9.2467
0.032836,0.005546,N1,package,0.2259,40.7315
0.032849,0.005463,N1,ram,0.0393,7.1865
0.038268,0.005699,N0,package,0.3755,65.8849
0.038386,0.005639,N0,ram,0.0452,8.0068
0.038485,0.005649,N1,package,0.3107,55.0053
0.038508,0.005659,N1,ram,0.0505,8.9252
0.043688,0.005420,N0,package,0.4686,86.4519
0.043705,0.005319,N0,ram,0.0485,9.1256
0.043795,0.005310,N1,package,0.2441,45.9770
0.043821,0.005313,N1,ram,0.0393,7.4037
0.049015,0.005327,N0,package,0.3826,71.8285
0.049039,0.005334,N0,ram,0.0416,7.7980
0.049313,0.005518,N1,package,0.2803,50.8040
0.049407,0.005586,N1,ram,0.0487,8.7167
0.054587,0.005572,N0,package,0.3875,69.5453
0.054721,0.005682,N0,ram,0.0407,7.1594
0.054809,0.005496,N1,package,0.2790,50.7625
0.054822,0.005415,N1,ram,0.0436,8.0592
0.059981,0.005394,N0,package,0.4298,79.6832
0.059997,0.005276,N0,ram,0.0431,8.1761
0.060250,0.005441,N1,package,0.2730,50.1769
0.060339,0.005517,N1,ram,0.0438,7.9322
0.065508,0.005527,N0,package,0.4664,84.3799
0.065686,0.005689,N0,ram,0.0563,9.9027
0.065803,0.005553,N1,package,0.2651,47.7355
0.065816,0.005477,N1,ram,0.0423,7.7256
0.070999,0.005491,N0,package,0.5191,94.5410
0.071028,0.005342,N0,ram,0.0739,13.8306
0.071234,0.005431,N1,package,0.2516,46.3248
0.071326,0.005510,N1,ram,0.0406,7.3690
0.076509,0.005510,N0,package,0.3668,66.5726
0.076527,0.005499,N0,ram,0.0652,11.8621
0.076612,0.005378,N1,package,0.2537,47.1779
0.076626,0.005300,N1,ram,0.0366,6.9096
0.081792,0.005283,N0,package,0.3876,73.3607
0.081969,0.005442,N0,ram,0.0737,13.5346
0.082195,0.005583,N1,package,0.4340,77.7281
0.082291,0.005665,N1,ram,0.0606,10.6958
0.087483,0.005691,N0,package,0.4942,86.8420
0.087609,0.005640,N0,ram,0.0932,16.5249
0.087695,0.005500,N1,package,0.2642,48.0395
0.087709,0.005418,N1,ram,0.0392,7.2297
0.092882,0.005399,N0,package,0.4074,75.4604
0.093257,0.005648,N0,ram,0.0726,12.8627
0.093364,0.005669,N1,package,0.2756,48.6225
0.093376,0.005667,N1,ram,0.0383,6.7503
0.098543,0.005661,N0,package,0.3969,70.1132
0.098676,0.005419,N0,ram,0.0719,13.2708
0.098775,0.005411,N1,package,0.4119,76.1288
0.098800,0.005424,N1,ram,0.0569,10.4876
0.103970,0.005427,N0,package,0.4670,86.0568
0.104267,0.005591,N0,ram,0.0844,15.0974
0.104385,0.005610,N1,package,0.2896,51.6134
