#timestamp,interval,socket,domain,energy,power
0.005194,0.005567,N0,package,0.3160,56.7695
0.005526,0.005676,N0,ram,0.0524,9.2396
0.005640,0.005653,N1,package,0.3425,60.5935
0.005666,0.005666,N1,ram,0.0572,10.0966
0.010840,0.005646,N0,package,0.3589,63.5757
0.011020,0.005494,N0,ram,0.0658,11.9729
0.011114,0.005474,N1,package,0.1665,30.4167
0.011129,0.005463,N1,ram,0.0311,5.6978
0.016426,0.005586,N0,package,0.3553,63.6039
0.016538,0.005518,N0,ram,0.0606,10.9810
0.016673,0.005559,N1,package,0.3149,56.6437
0.016698,0.005569,N1,ram,0.0588,10.5571
0.021893,0.005467,N0,package,0.3337,61.0358
0.021912,0.005374,N0,ram,0.0541,10.0600
0.022009,0.005336,N1,package,0.2331,43.6828
0.022024,0.005326,N1,ram,0.0387,7.2712
0.027219,0.005326,N0,package,0.3321,62.3527
0.027235,0.005323,N0,ram,0.0520,9.7666
0.027460,0.005451,N1,package,0.2605,47.7894
0.027553,0.005529,N1,ram,0.0463,8.3677
0.032778,0.005559,N0,package,0.4243,76.3301
0.032967,0.005732,N0,ram,0.0596,10.3925
0.033057,0.005597,N1,package,0.2506,44.7749
0.033071,0.005518,N1,ram,0.0433,7.8534
0.038476,0.005698,N0,package,0.4126,72.4084
0.038590,0.005623,N0,ram,0.0579,10.2981
0.038689,0.005632,N1,package,0.2575,45.7228
0.038702,0.005631,N1,ram,0.0449,7.9800
0.043881,0.005405,N0,package,0.4171,77.1727
0.044010,0.005420,N0,ram,0.0535,9.8789
0.044099,0.005410,N1,package,0.2384,44.0675
0.044112,0.005410,N1,ram,0.0413,7.6379
0.049438,0.005557,N0,package,0.3675,66.1308
0.049548,0.005538,N0,ram,0.0466,8.4092
0.049648,0.005549,N1,package,0.2218,39.9718
0.049672,0.005560,N1,ram,0.0407,7.3139
0.054855,0.005417,N0,package,0.3417,63.0761
0.055033,0.005485,N0,ram,0.0404,7.3692
0.055122,0.005474,N1,package,0.2816,51.4453
0.055136,0.005464,N1,ram,0.0469,8.5843
0.060467,0.005612,N0,package,0.4670,83.2198
0.060600,0.005567,N0,ram,0.0508,9.1276
0.060696,0.005574,N1,package,0.2976,53.3922
0.060708,0.005572,N1,ram,0.0503,9.0208
0.065866,0.005399,N0,package,0.4973,92.1012
0.065893,0.005293,N0,ram,0.0702,13.2578
0.065992,0.005296,N1,package,0.2821,53.2675
0.066018,0.005310,N1,ram,0.0444,8.3621
0.071879,0.006013,N0,package,0.3981,66.2027
0.072124,0.006231,N0,ram,0.0897,14.4015
0.072338,0.006346,N1,package,0.1858,29.2769
0.072686,0.006668,N1,ram,0.0331,4.9588
0.078590,0.006711,N0,package,0.6558,97.7235
0.078756,0.006632,N0,ram,0.0999,15.0659
0.078902,0.006564,N1,package,0.3755,57.2123
