#timestamp,interval,socket,domain,energy,power
0.005178,0.005496,N0,package,0.3212,58.4473
0.005349,0.005457,N0,ram,0.0417,7.6393
0.005445,0.005458,N1,package,0.2544,46.6085
0.005460,0.005460,N1,ram,0.0428,7.8306
0.010645,0.005467,N0,package,0.3546,64.8541
0.010667,0.005318,N0,ram,0.0423,7.9620
0.010938,0.005493,N1,package,0.2075,37.7683
0.011038,0.005578,N1,ram,0.0398,7.1315
0.016221,0.005576,N0,package,0.3984,71.4431
0.016237,0.005570,N0,ram,0.0464,8.3281
0.016330,0.005392,N1,package,0.1994,36.9805
0.016358,0.005320,N1,ram,0.0358,6.7233
0.021548,0.005327,N0,package,0.3364,63.1435
0.021935,0.005698,N0,ram,0.0402,7.0590
0.022046,0.005716,N1,package,0.3185,55.7274
0.022071,0.005713,N1,ram,0.0528,9.2386
0.027247,0.005699,N0,package,0.3759,65.9626
0.027469,0.005534,N0,ram,0.0431,7.7839
0.027562,0.005516,N1,package,0.2829,51.2885
0.027576,0.005505,N1,ram,0.0497,9.0221
0.032904,0.005657,N0,package,0.3834,67.7682
0.033032,0.005563,N0,ram,0.0390,7.0054
0.033150,0.005588,N1,package,0.2618,46.8463
0.033168,0.005592,N1,ram,0.0444,7.9458
0.038344,0.005440,N0,package,0.4505,82.8126
0.038361,0.005329,N0,ram,0.0434,8.1403
0.038451,0.005301,N1,package,0.2349,44.3055
0.038464,0.005296,N1,ram,0.0410,7.7447
0.043646,0.005302,N0,package,0.3942,74.3400
0.043670,0.005309,N0,ram,0.0433,8.1541
0.043931,0.005480,N1,package,0.2212,40.3630
0.044027,0.005563,N1,ram,0.0366,6.5802
0.049203,0.005557,N0,package,0.5168,93.0000
0.049217,0.005547,N0,ram,0.0537,9.6855
0.049307,0.005376,N1,package,0.3101,57.6735
0.049332,0.005305,N1,ram,0.0547,10.3033
0.054513,0.005310,N0,package,0.3298,62.1149
0.055015,0.005798,N0,ram,0.0346,5.9739
0.055133,0.005826,N1,package,0.2744,47.0912
0.055147,0.005815,N1,ram,0.0441,7.5913
0.060334,0.005821,N0,package,0.4701,80.7582
0.060348,0.005333,N0,ram,0.0474,8.8956
0.060436,0.005303,N1,package,0.2847,53.6815
0.060449,0.005302,N1,ram,0.0404,7.6237
0.065782,0.005448,N0,package,0.4602,84.4707
0.065893,0.005545,N0,ram,0.0671,12.0999
0.066045,0.005609,N1,package,0.2521,44.9409
0.066180,0.005731,N1,ram,0.0364,6.3473
0.071261,0.005479,N0,package,0.4947,90.2907
0.071274,0.005381,N0,ram,0.0808,15.0089
0.071377,0.005332,N1,package,0.3439,64.5037
0.071389,0.005209,N1,ram,0.0504,9.6756
0.076546,0.005285,N0,package,0.4435,83.9244
0.076635,0.005361,N0,ram,0.0913,17.0354
0.076819,0.005442,N1,package,0.2630,48.3288
0.077030,0.005641,N1,ram,0.0344,6.0943
0.082344,0.005798,N0,package,0.5153,88.8773
0.082399,0.005764,N0,ram,0.0689,11.9497
0.082498,0.005679,N1,package,0.4053,71.3726
0.082530,0.005500,N1,ram,0.0558,10.1511
0.087636,0.005292,N0,package,0.4371,82.6037
0.087649,0.005250,N0,ram,0.0806,15.3424
0.087867,0.005369,N1,package,0.2693,50.1564
0.087959,0.005429,N1,ram,0.0374,6.8972
0.093040,0.005404,N0,package,0.4268,78.9821
0.093052,0.005403,N0,ram,0.0814,15.0645
0.093139,0.005272,N1,package,0.2789,52.8973
0.093151,0.005192,N1,ram,0.0387,7.4559
0.098538,0.005498,N0,package,0.5037,91.6094
0.098626,0.005574,N0,ram,0.0884,15.8556
0.098729,0.005590,N1,package,0.4634,82.8948
0.098886,0.005735,N1,ram,0.0596,10.3926
0.104259,0.005721,N0,package,0.4675,81.7203
0.104370,0.005744,N0,ram,0.0785,13.6650
0.104471,0.005742,N1,package,0.2975,51.8080
0.104506,0.005620,N1,ram,0.0385,6.8474
0.109711,0.005452,N0,package,0.4837,88.7217
0.109830,0.005460,N0,ram,0.0825,15.1050
0.109974,0.005503,N1,package,0.3106,56.4440
0.109992,0.005486,N1,ram,0.0394,7.1760
0.115235,0.005524,N0,package,0.4684,84.7993
0.115271,0.005441,N0,ram,0.0817,15.0171
0.115386,0.005412,N1,package,0.3191,58.9589
