#timestamp,interval,socket,domain,energy,power
0.005151,0.005207,N0,package,0.1096,21.0413
0.005210,0.005257,N0,ram,0.0095,1.7995
0.005258,0.005263,N1,package,0.0918,17.4424
0.005267,0.005267,N1,ram,0.0077,1.4543
0.010407,0.005256,N0,package,0.1372,26.1040
0.010425,0.005215,N0,ram,0.0125,2.3905
0.010472,0.005214,N1,package,0.1113,21.3402
0.010481,0.005214,N1,ram,0.0083,1.5862
0.015648,0.005241,N0,package,0.1159,22.1155
0.015683,0.005258,N0,ram,0.0103,1.9530
0.015729,0.005257,N1,package,0.0859,16.3352
0.015739,0.005258,N1,ram,0.0074,1.4075
0.020830,0.005182,N0,package,0.1168,22.5318
0.020862,0.005179,N0,ram,0.0101,1.9475
0.020926,0.005197,N1,package,0.0821,15.7967
0.020935,0.005196,N1,ram,0.0065,1.2452
0.026070,0.005240,N0,package,0.1257,23.9949
0.026098,0.005236,N0,ram,0.0096,1.8272
0.026159,0.005233,N1,package,0.0907,17.3318
0.026180,0.005245,N1,ram,0.0089,1.6932
0.031346,0.005276,N0,package,0.1352,25.6243
0.031381,0.005283,N0,ram,0.0074,1.4008
0.031428,0.005269,N1,package,0.1073,20.3642
0.031439,0.005259,N1,ram,0.0116,2.2080
0.036589,0.005243,N0,package,0.1682,32.0829
0.036615,0.005234,N0,ram,0.0113,2.1515
0.036671,0.005243,N1,package,0.0930,17.7294
0.036687,0.005248,N1,ram,0.0089,1.6893
0.041799,0.005210,N0,package,0.1397,26.8160
0.041827,0.005212,N0,ram,0.0090,1.7361
0.041885,0.005214,N1,package,0.0939,18.0156
0.041901,0.005214,N1,ram,0.0097,1.8554
0.047032,0.005233,N0,package,0.1415,27.0474
0.047058,0.005231,N0,ram,0.0096,1.8377
0.047113,0.005228,N1,package,0.0976,18.6676
0.047129,0.005228,N1,ram,0.0096,1.8446
0.052292,0.005260,N0,package,0.1393,26.4912
0.052319,0.005261,N0,ram,0.0092,1.7431
0.052374,0.005261,N1,package,0.0908,17.2515
0.052391,0.005262,N1,ram,0.0080,1.5137
0.057504,0.005212,N0,package,0.1706,32.7304
0.057548,0.005229,N0,ram,0.0111,2.1273
0.057606,0.005232,N1,package,0.1098,20.9863
0.057615,0.005224,N1,ram,0.0066,1.2706
0.062752,0.005248,N0,package,0.1415,26.9712
0.062805,0.005257,N0,ram,0.0093,1.7676
0.062868,0.005262,N1,package,0.1061,20.1715
0.062880,0.005265,N1,ram,0.0098,1.8606
0.067995,0.005243,N0,package,0.1406,26.8212
0.068028,0.005223,N0,ram,0.0094,1.8084
0.068072,0.005204,N1,package,0.1113,21.3812
0.068081,0.005201,N1,ram,0.0101,1.9451
0.073202,0.005207,N0,package,0.1203,23.1033
0.073239,0.005211,N0,ram,0.0107,2.0586
0.073284,0.005212,N1,package,0.1205,23.1162
0.073293,0.005212,N1,ram,0.0123,2.3655
0.078426,0.005224,N0,package,0.1439,27.5500
0.078459,0.005220,N0,ram,0.0101,1.9293
0.078502,0.005218,N1,package,0.1453,27.8505
0.078511,0.005218,N1,ram,0.0134,2.5735
0.083586,0.005160,N0,package,0.1163,22.5447
0.083609,0.005150,N0,ram,0.0063,1.2236
0.083668,0.005166,N1,package,0.1195,23.1331
0.083677,0.005166,N1,ram,0.0119,2.2980
0.088760,0.005174,N0,package,0.1140,22.0362
0.088793,0.005184,N0,ram,0.0068,1.3069
0.088837,0.005169,N1,package,0.1211,23.4273
0.088846,0.005169,N1,ram,0.0128,2.4855
0.093954,0.005194,N0,package,0.1124,21.6340
0.093987,0.005194,N0,ram,0.0058,1.1075
0.094031,0.005194,N1,package,0.1244,23.9490
0.094041,0.005195,N1,ram,0.0134,2.5760
0.099156,0.005202,N0,package,0.1191,22.8909
0.099189,0.005202,N0,ram,0.0069,1.3317
0.099233,0.005202,N1,package,0.1288,24.7681
0.099243,0.005202,N1,ram,0.0134,2.5666
0.104389,0.005233,N0,package,0.1103,21.0758
0.104423,0.005234,N0,ram,0.0065,1.2448
0.104466,0.005233,N1,package,0.1281,24.4698
0.104475,0.005232,N1,ram,0.0133,2.5461
0.109584,0.005195,N0,package,0.1550,29.8308
0.109616,0.005193,N0,ram,0.0120,2.3095
0.109658,0.005192,N1,package,0.1595,30.7186
0.109667,0.005192,N1,ram,0.0160,3.0829
0.114753,0.005169,N0,package,0.1311,25.3638
0.114786,0.005170,N0,ram,0.0096,1.8564
0.114830,0.005172,N1,package,0.1335,25.8207
0.114838,0.005171,N1,ram,0.0134,2.5820
0.119964,0.005211,N0,package,0.1161,22.2889
0.119997,0.005211,N0,ram,0.0053,1.0249
0.120040,0.005210,N1,package,0.1350,25.9128
0.120048,0.005210,N1,ram,0.0137,2.6271
0.125165,0.005201,N0,package,0.1159,22.2848
0.125197,0.005200,N0,ram,0.0057,1.1033
0.125240,0.005200,N1,package,0.1357,26.0930
0.125248,0.005200,N1,ram,0.0133,2.5587
0.130390,0.005225,N0,package,0.1238,23.6901
0.130423,0.005226,N0,ram,0.0063,1.2117
0.130466,0.005226,N1,package,0.1731,33.1212
0.130474,0.005226,N1,ram,0.0136,2.6045
0.135601,0.005211,N0,package,0.1477,28.3455
0.135634,0.005211,N0,ram,0.0083,1.5900
0.135677,0.005211,N1,package,0.1501,28.8141
0.135685,0.005211,N1,ram,0.0136,2.6148
0.140768,0.005167,N0,package,0.1353,26.1764
0.140784,0.005150,N0,ram,0.0048,0.9333
0.140799,0.005122,N1,package,0.1481,28.9092
0.140810,0.005125,N1,ram,0.0119,2.3224
0.145890,0.005122,N0,package,0.1428,27.8725
0.145904,0.005120,N0,ram,0.0113,2.2054
0.145949,0.005150,N1,package,0.1383,26.8551
0.145957,0.005147,N1,ram,0.0089,1.7372
0.151057,0.005167,N0,package,0.1581,30.5943
0.151083,0.005179,N0,ram,0.0101,1.9533
0.151134,0.005185,N1,package,0.1314,25.3446
0.151150,0.005193,N1,ram,0.0080,1.5456
0.156288,0.005231,N0,package,0.1632,31.1993
0.156313,0.005230,N0,ram,0.0089,1.6980
0.156364,0.005230,N1,package,0.1306,24.9617
0.156381,0.005231,N1,ram,0.0060,1.1435
0.161496,0.005208,N0,package,0.1950,37.4437
0.161510,0.005197,N0,ram,0.0109,2.0905
0.161556,0.005192,N1,package,0.1475,28.4026
0.161581,0.005200,N1,ram,0.0066,1.2618
0.166673,0.005177,N0,package,0.1707,32.9638
0.166686,0.005176,N0,ram,0.0091,1.7512
0.166731,0.005175,N1,package,0.1260,24.3546
0.166739,0.005158,N1,ram,0.0039,0.7484
0.171817,0.005144,N0,package,0.1700,33.0575
0.171830,0.005144,N0,ram,0.0089,1.7353
0.171876,0.005145,N1,package,0.1276,24.8052
0.171883,0.005144,N1,ram,0.0037,0.7179
0.176979,0.005162,N0,package,0.1790,34.6678
