#timestamp,interval,socket,domain,energy,power
0.005121,0.005179,N0,package,0.1029,19.8700
0.005161,0.005208,N0,ram,0.0099,1.9044
0.005226,0.005231,N1,package,0.1032,19.7309
0.005235,0.005235,N1,ram,0.0095,1.8159
0.010376,0.005255,N0,package,0.0993,18.8971
0.010410,0.005249,N0,ram,0.0098,1.8663
0.010455,0.005229,N1,package,0.1110,21.2322
0.010465,0.005230,N1,ram,0.0104,1.9927
0.015585,0.005209,N0,package,0.0926,17.7752
0.015620,0.005210,N0,ram,0.0095,1.8188
0.015668,0.005213,N1,package,0.1126,21.6016
0.015678,0.005213,N1,ram,0.0103,1.9787
0.020767,0.005182,N0,package,0.1154,22.2726
0.020800,0.005180,N0,ram,0.0114,2.1975
0.020877,0.005209,N1,package,0.1396,26.7963
0.020886,0.005208,N1,ram,0.0121,2.3146
0.025999,0.005232,N0,package,0.1023,19.5514
0.026034,0.005234,N0,ram,0.0092,1.7579
0.026081,0.005204,N1,package,0.1265,24.3016
0.026105,0.005219,N1,ram,0.0099,1.9033
0.031272,0.005273,N0,package,0.1061,20.1179
0.031288,0.005254,N0,ram,0.0093,1.7746
0.031343,0.005262,N1,package,0.1291,24.5329
0.031352,0.005247,N1,ram,0.0101,1.9280
0.036493,0.005221,N0,package,0.1069,20.4692
0.036532,0.005244,N0,ram,0.0091,1.7284
0.036566,0.005223,N1,package,0.1338,25.6152
0.036575,0.005223,N1,ram,0.0081,1.5454
0.041667,0.005174,N0,package,0.1297,25.0680
0.041684,0.005152,N0,ram,0.0108,2.1058
0.041700,0.005134,N1,package,0.1639,31.9198
0.041708,0.005133,N1,ram,0.0117,2.2831
0.046803,0.005136,N0,package,0.1078,20.9867
0.046840,0.005156,N0,ram,0.0091,1.7579
0.046894,0.005194,N1,package,0.1387,26.7105
0.046903,0.005195,N1,ram,0.0098,1.8828
0.052015,0.005212,N0,package,0.1074,20.5985
0.052048,0.005208,N0,ram,0.0091,1.7403
0.052090,0.005196,N1,package,0.1391,26.7712
0.052098,0.005195,N1,ram,0.0096,1.8533
0.057218,0.005203,N0,package,0.1066,20.4819
0.057234,0.005186,N0,ram,0.0073,1.4005
0.057293,0.005203,N1,package,0.1428,27.4499
0.057304,0.005206,N1,ram,0.0096,1.8495
0.062440,0.005222,N0,package,0.1135,21.7288
0.062456,0.005222,N0,ram,0.0091,1.7357
0.062509,0.005216,N1,package,0.1399,26.8193
0.062523,0.005219,N1,ram,0.0096,1.8448
0.067581,0.005141,N0,package,0.1158,22.5334
0.067598,0.005142,N0,ram,0.0076,1.4748
0.067613,0.005104,N1,package,0.1397,27.3722
