#timestamp,interval,socket,domain,energy,power
0.005168,0.005257,N0,package,0.1179,22.4189
0.005205,0.005286,N0,ram,0.0102,1.9312
0.005274,0.005298,N1,package,0.1014,19.1473
0.005283,0.005283,N1,ram,0.0098,1.8571
0.010470,0.005302,N0,package,0.1230,23.1963
0.010498,0.005293,N0,ram,0.0105,1.9892
0.010555,0.005281,N1,package,0.1015,19.2202
0.010572,0.005289,N1,ram,0.0098,1.8521
0.015697,0.005227,N0,package,0.1475,28.2122
0.015740,0.005242,N0,ram,0.0122,2.3199
0.015808,0.005253,N1,package,0.1154,21.9598
0.015825,0.005253,N1,ram,0.0123,2.3326
0.020976,0.005279,N0,package,0.1282,24.2912
0.021002,0.005262,N0,ram,0.0101,1.9168
0.021058,0.005250,N1,package,0.0953,18.1595
0.021075,0.005250,N1,ram,0.0098,1.8659
0.026226,0.005250,N0,package,0.1332,25.3791
0.026259,0.005257,N0,ram,0.0080,1.5238
0.026305,0.005247,N1,package,0.1003,19.1116
0.026317,0.005242,N1,ram,0.0096,1.8396
0.031451,0.005225,N0,package,0.1403,26.8441
0.031485,0.005226,N0,ram,0.0099,1.9008
0.031530,0.005225,N1,package,0.0995,19.0525
0.031539,0.005222,N1,ram,0.0096,1.8467
0.036623,0.005172,N0,package,0.1395,26.9654
0.036657,0.005172,N0,ram,0.0104,2.0150
0.036703,0.005173,N1,package,0.1324,25.6035
0.036712,0.005173,N1,ram,0.0119,2.3008
0.041867,0.005244,N0,package,0.1747,33.3225
0.041900,0.005243,N0,ram,0.0113,2.1507
0.041944,0.005241,N1,package,0.1007,19.2157
0.041953,0.005241,N1,ram,0.0096,1.8401
0.047078,0.005211,N0,package,0.1469,28.1920
0.047103,0.005203,N0,ram,0.0092,1.7596
0.047155,0.005211,N1,package,0.1088,20.8834
0.047173,0.005220,N1,ram,0.0096,1.8474
0.052316,0.005238,N0,package,0.1459,27.8489
0.052333,0.005230,N0,ram,0.0095,1.8177
0.052378,0.005223,N1,package,0.1044,19.9943
0.052388,0.005215,N1,ram,0.0096,1.8491
0.057484,0.005168,N0,package,0.1522,29.4549
0.057499,0.005166,N0,ram,0.0095,1.8460
0.057515,0.005137,N1,package,0.1088,21.1729
0.057523,0.005135,N1,ram,0.0089,1.7354
0.062619,0.005135,N0,package,0.1487,28.9556
0.062644,0.005145,N0,ram,0.0096,1.8714
0.062670,0.005155,N1,package,0.1124,21.8099
0.062686,0.005163,N1,ram,0.0089,1.7230
0.067772,0.005153,N0,package,0.1901,36.8828
0.067787,0.005143,N0,ram,0.0144,2.8036
0.067832,0.005162,N1,package,0.1338,25.9181
0.067840,0.005154,N1,ram,0.0100,1.9391
0.072924,0.005152,N0,package,0.1508,29.2737
0.072939,0.005152,N0,ram,0.0125,2.4168
0.072985,0.005153,N1,package,0.1078,20.9287
0.072994,0.005154,N1,ram,0.0082,1.5899
0.078127,0.005203,N0,package,0.1553,29.8430
0.078154,0.005215,N0,ram,0.0117,2.2355
0.078208,0.005223,N1,package,0.1124,21.5145
