#timestamp,interval,socket,domain,energy,power
0.005119,0.005178,N0,package,0.0972,18.7656
0.005158,0.005206,N0,ram,0.0080,1.5300
0.005206,0.005213,N1,package,0.1105,21.1919
0.005216,0.005216,N1,ram,0.0094,1.7933
0.010356,0.005237,N0,package,0.1091,20.8264
0.010386,0.005228,N0,ram,0.0104,1.9847
0.010441,0.005235,N1,package,0.0977,18.6663
0.010459,0.005243,N1,ram,0.0080,1.5192
0.015579,0.005223,N0,package,0.1348,25.8138
0.015614,0.005228,N0,ram,0.0118,2.2650
0.015656,0.005215,N1,package,0.1086,20.8203
0.015666,0.005207,N1,ram,0.0087,1.6645
0.020758,0.005179,N0,package,0.1141,22.0267
0.020819,0.005205,N0,ram,0.0103,1.9787
0.020866,0.005210,N1,package,0.0869,16.6707
0.020876,0.005210,N1,ram,0.0054,1.0397
0.026025,0.005267,N0,package,0.1119,21.2416
0.026062,0.005243,N0,ram,0.0081,1.5542
0.026109,0.005243,N1,package,0.1024,19.5338
0.026123,0.005247,N1,ram,0.0092,1.7507
0.031272,0.005247,N0,package,0.1017,19.3908
0.031310,0.005248,N0,ram,0.0092,1.7532
0.031358,0.005249,N1,package,0.1169,22.2791
0.031368,0.005245,N1,ram,0.0098,1.8706
0.036490,0.005218,N0,package,0.1254,24.0373
0.036527,0.005217,N0,ram,0.0112,2.1556
0.036570,0.005212,N1,package,0.1396,26.7828
0.036580,0.005212,N1,ram,0.0119,2.2747
0.041682,0.005192,N0,package,0.1025,19.7375
0.041703,0.005176,N0,ram,0.0093,1.8041
0.041719,0.005149,N1,package,0.1279,24.8449
0.041729,0.005149,N1,ram,0.0101,1.9706
0.046932,0.005250,N0,package,0.1030,19.6243
0.046969,0.005266,N0,ram,0.0095,1.8052
0.047015,0.005296,N1,package,0.1198,22.6116
0.047025,0.005296,N1,ram,0.0101,1.9160
0.052146,0.005214,N0,package,0.1101,21.1177
0.052182,0.005213,N0,ram,0.0098,1.8762
0.052226,0.005211,N1,package,0.1130,21.6808
0.052236,0.005211,N1,ram,0.0100,1.9151
0.057382,0.005236,N0,package,0.0995,19.0010
0.057425,0.005243,N0,ram,0.0082,1.5658
0.057470,0.005244,N1,package,0.1485,28.3177
0.057484,0.005248,N1,ram,0.0127,2.4132
0.062558,0.005176,N0,package,0.0949,18.3363
0.062579,0.005154,N0,ram,0.0087,1.6845
0.062595,0.005125,N1,package,0.1238,24.1638
0.062605,0.005121,N1,ram,0.0105,2.0440
0.067695,0.005137,N0,package,0.1188,23.1334
0.067713,0.005134,N0,ram,0.0074,1.4415
0.067731,0.005136,N1,package,0.1272,24.7658
0.067740,0.005135,N1,ram,0.0101,1.9731
0.072896,0.005201,N0,package,0.1129,21.6981
0.072932,0.005219,N0,ram,0.0092,1.7629
0.072977,0.005246,N1,package,0.1302,24.8286
0.072993,0.005253,N1,ram,0.0096,1.8301
0.078113,0.005217,N0,package,0.1030,19.7373
0.078148,0.005216,N0,ram,0.0096,1.8430
0.078193,0.005216,N1,package,0.1304,25.0056
0.078202,0.005209,N1,ram,0.0107,2.0563
0.083343,0.005230,N0,package,0.1018,19.4661
0.083376,0.005228,N0,ram,0.0106,2.0314
0.083419,0.005226,N1,package,0.1301,24.9004
0.083429,0.005227,N1,ram,0.0120,2.2887
0.088550,0.005207,N0,package,0.1165,22.3648
0.088569,0.005193,N0,ram,0.0098,1.8776
0.088585,0.005166,N1,package,0.1534,29.7020
0.088594,0.005165,N1,ram,0.0131,2.5406
0.093685,0.005135,N0,package,0.1014,19.7426
0.093704,0.005135,N0,ram,0.0059,1.1440
0.093720,0.005135,N1,package,0.1305,25.4122
0.093729,0.005135,N1,ram,0.0119,2.3208
0.098860,0.005175,N0,package,0.1040,20.0979
0.098894,0.005190,N0,ram,0.0078,1.5083
0.098938,0.005218,N1,package,0.1271,24.3648
0.098949,0.005220,N1,ram,0.0124,2.3677
0.104066,0.005206,N0,package,0.1060,20.3642
0.104101,0.005207,N0,ram,0.0056,1.0725
0.104146,0.005208,N1,package,0.1257,24.1421
0.104155,0.005206,N1,ram,0.0136,2.6057
0.109307,0.005241,N0,package,0.1006,19.2041
0.109341,0.005240,N0,ram,0.0063,1.2056
0.109385,0.005239,N1,package,0.1235,23.5809
0.109394,0.005239,N1,ram,0.0135,2.5834
0.114527,0.005220,N0,package,0.1082,20.7302
0.114561,0.005220,N0,ram,0.0076,1.4470
0.114606,0.005221,N1,package,0.1486,28.4535
0.114614,0.005220,N1,ram,0.0116,2.2303
0.119698,0.005171,N0,package,0.1307,25.2719
0.119730,0.005169,N0,ram,0.0096,1.8597
0.119773,0.005167,N1,package,0.1270,24.5700
0.119781,0.005167,N1,ram,0.0097,1.8694
0.124895,0.005197,N0,package,0.1120,21.5506
0.124927,0.005197,N0,ram,0.0078,1.5092
0.124970,0.005197,N1,package,0.1299,25.0034
0.124979,0.005198,N1,ram,0.0097,1.8611
0.130092,0.005197,N0,package,0.1121,21.5741
0.130125,0.005198,N0,ram,0.0078,1.5089
0.130168,0.005198,N1,package,0.1304,25.0927
0.130176,0.005197,N1,ram,0.0097,1.8615
0.135315,0.005223,N0,package,0.1161,22.2263
0.135348,0.005223,N0,ram,0.0078,1.5016
0.135390,0.005222,N1,package,0.1317,25.2236
0.135398,0.005222,N1,ram,0.0097,1.8496
0.140522,0.005207,N0,package,0.1166,22.4000
0.140554,0.005206,N0,ram,0.0089,1.7175
0.140596,0.005206,N1,package,0.1602,30.7631
0.140604,0.005206,N1,ram,0.0116,2.2276
0.145687,0.005165,N0,package,0.1432,27.7236
0.145718,0.005164,N0,ram,0.0085,1.6518
0.145760,0.005164,N1,package,0.1363,26.3931
0.145768,0.005164,N1,ram,0.0097,1.8704
0.150878,0.005191,N0,package,0.1230,23.6917
0.150908,0.005190,N0,ram,0.0078,1.5111
