#timestamp,interval,socket,domain,energy,power
0.005125,0.005185,N0,package,0.1078,20.7889
0.005182,0.005236,N0,ram,0.0087,1.6640
0.005249,0.005259,N1,package,0.1116,21.2269
0.005261,0.005261,N1,ram,0.0090,1.7141
0.010409,0.005284,N0,package,0.1021,19.3245
0.010441,0.005259,N0,ram,0.0084,1.5929
0.010482,0.005233,N1,package,0.1124,21.4840
0.010496,0.005235,N1,ram,0.0098,1.8742
0.015629,0.005220,N0,package,0.1013,19.3982
0.015658,0.005217,N0,ram,0.0072,1.3805
0.015712,0.005230,N1,package,0.1165,22.2670
0.015733,0.005237,N1,ram,0.0099,1.8997
0.020898,0.005269,N0,package,0.0973,18.4644
0.020926,0.005268,N0,ram,0.0072,1.3614
0.020984,0.005272,N1,package,0.1395,26.4532
0.021020,0.005287,N1,ram,0.0117,2.2165
0.026139,0.005241,N0,package,0.1259,24.0255
0.026154,0.005228,N0,ram,0.0098,1.8709
0.026214,0.005230,N1,package,0.1285,24.5660
0.026228,0.005208,N1,ram,0.0103,1.9806
0.031331,0.005192,N0,package,0.1096,21.1012
0.031363,0.005209,N0,ram,0.0090,1.7342
0.031431,0.005217,N1,package,0.1329,25.4690
0.031460,0.005232,N1,ram,0.0098,1.8724
0.036592,0.005261,N0,package,0.1072,20.3839
0.036620,0.005257,N0,ram,0.0090,1.7212
0.036647,0.005216,N1,package,0.1384,26.5280
0.036663,0.005203,N1,ram,0.0098,1.8857
0.041802,0.005210,N0,package,0.1118,21.4612
0.041817,0.005197,N0,ram,0.0089,1.7117
0.041874,0.005227,N1,package,0.1669,31.9358
0.041885,0.005222,N1,ram,0.0116,2.2178
0.047060,0.005258,N0,package,0.1299,24.7143
0.047096,0.005279,N0,ram,0.0098,1.8500
0.047131,0.005257,N1,package,0.1384,26.3210
0.047141,0.005256,N1,ram,0.0096,1.8319
0.052224,0.005164,N0,package,0.1046,20.2578
0.052237,0.005141,N0,ram,0.0063,1.2347
0.052272,0.005141,N1,package,0.1417,27.5553
0.052282,0.005141,N1,ram,0.0096,1.8758
0.057419,0.005195,N0,package,0.1108,21.3245
0.057434,0.005197,N0,ram,0.0071,1.3653
0.057493,0.005221,N1,package,0.1432,27.4378
0.057504,0.005222,N1,ram,0.0096,1.8438
0.062644,0.005225,N0,package,0.1207,23.0943
0.062671,0.005237,N0,ram,0.0094,1.7860
0.062739,0.005246,N1,package,0.1483,28.2712
0.062755,0.005251,N1,ram,0.0096,1.8336
0.067907,0.005263,N0,package,0.1383,26.2784
0.067934,0.005263,N0,ram,0.0169,3.2067
0.067964,0.005225,N1,package,0.2031,38.8643
0.067979,0.005224,N1,ram,0.0174,3.3298
0.073210,0.005303,N0,package,0.2424,45.7052
0.073288,0.005354,N0,ram,0.0226,4.2121
0.073333,0.005369,N1,package,0.2360,43.9607
0.073350,0.005371,N1,ram,0.0226,4.2102
0.078551,0.005341,N0,package,0.2027,37.9509
0.078609,0.005321,N0,ram,0.0225,4.2357
0.078651,0.005318,N1,package,0.2386,44.8625
0.078666,0.005316,N1,ram,0.0230,4.3344
0.083895,0.005344,N0,package,0.2479,46.3824
0.083952,0.005343,N0,ram,0.0269,5.0347
0.084003,0.005352,N1,package,0.2891,54.0124
0.084020,0.005354,N1,ram,0.0232,4.3318
0.089198,0.005303,N0,package,0.2070,39.0393
0.089244,0.005292,N0,ram,0.0221,4.1809
0.089274,0.005271,N1,package,0.2411,45.7486
