#timestamp,interval,socket,domain,energy,power
0.005071,0.005156,N0,package,0.1082,20.9762
0.005115,0.005194,N0,ram,0.0075,1.4483
0.005160,0.005195,N1,package,0.1040,20.0204
0.005174,0.005174,N1,ram,0.0096,1.8609
0.010306,0.005235,N0,package,0.1039,19.8439
0.010332,0.005217,N0,ram,0.0075,1.4361
0.010384,0.005224,N1,package,0.1084,20.7501
0.010405,0.005231,N1,ram,0.0100,1.9077
0.015545,0.005239,N0,package,0.1230,23.4750
0.015560,0.005228,N0,ram,0.0086,1.6520
0.015617,0.005233,N1,package,0.1314,25.1113
0.015629,0.005224,N1,ram,0.0117,2.2433
0.020795,0.005250,N0,package,0.0999,19.0198
0.020822,0.005262,N0,ram,0.0069,1.3078
0.020878,0.005261,N1,package,0.1097,20.8480
0.020896,0.005267,N1,ram,0.0098,1.8599
0.026054,0.005259,N0,package,0.1021,19.4048
0.026081,0.005259,N0,ram,0.0083,1.5755
0.026135,0.005257,N1,package,0.1204,22.8949
0.026150,0.005254,N1,ram,0.0096,1.8238
0.031264,0.005210,N0,package,0.1055,20.2438
0.031303,0.005222,N0,ram,0.0092,1.7620
0.031371,0.005236,N1,package,0.1246,23.8037
0.031400,0.005250,N1,ram,0.0098,1.8688
0.036537,0.005273,N0,package,0.1272,24.1219
0.036564,0.005261,N0,ram,0.0101,1.9172
0.036630,0.005259,N1,package,0.1594,30.3143
0.036646,0.005246,N1,ram,0.0117,2.2368
0.041788,0.005251,N0,package,0.1098,20.9110
0.041803,0.005239,N0,ram,0.0090,1.7271
0.041865,0.005235,N1,package,0.1371,26.1865
0.041876,0.005230,N1,ram,0.0096,1.8410
0.047031,0.005243,N0,package,0.1100,20.9890
0.047058,0.005255,N0,ram,0.0077,1.4664
0.047085,0.005220,N1,package,0.1340,25.6655
0.047100,0.005224,N1,ram,0.0098,1.8781
0.052211,0.005180,N0,package,0.1024,19.7603
0.052239,0.005181,N0,ram,0.0059,1.1398
0.052341,0.005256,N1,package,0.1346,25.6163
0.052360,0.005260,N1,ram,0.0096,1.8334
0.057496,0.005285,N0,package,0.1041,19.7021
0.057521,0.005282,N0,ram,0.0065,1.2278
0.057574,0.005233,N1,package,0.1651,31.5509
0.057590,0.005230,N1,ram,0.0116,2.2143
0.062762,0.005266,N0,package,0.1353,25.6846
0.062776,0.005255,N0,ram,0.0091,1.7248
0.062836,0.005262,N1,package,0.1411,26.8167
0.062846,0.005256,N1,ram,0.0096,1.8290
0.067961,0.005199,N0,package,0.1223,23.5257
0.067983,0.005207,N0,ram,0.0095,1.8286
0.068009,0.005173,N1,package,0.1375,26.5828
0.068019,0.005173,N1,ram,0.0090,1.7492
0.073166,0.005205,N0,package,0.1748,33.5845
0.073206,0.005223,N0,ram,0.0190,3.6343
0.073235,0.005226,N1,package,0.1772,33.9169
0.073247,0.005228,N1,ram,0.0204,3.8935
0.078413,0.005247,N0,package,0.1869,35.6192
0.078452,0.005246,N0,ram,0.0213,4.0605
0.078477,0.005242,N1,package,0.1833,34.9763
0.078488,0.005241,N1,ram,0.0215,4.0935
0.083681,0.005268,N0,package,0.2219,42.1260
0.083720,0.005268,N0,ram,0.0255,4.8313
0.083746,0.005269,N1,package,0.2260,42.8945
0.083758,0.005270,N1,ram,0.0254,4.8122
0.088941,0.005260,N0,package,0.1891,35.9597
0.089000,0.005280,N0,ram,0.0213,4.0343
0.089025,0.005279,N1,package,0.1840,34.8487
0.089037,0.005279,N1,ram,0.0211,4.0004
0.094182,0.005241,N0,package,0.1903,36.3119
0.094219,0.005219,N0,ram,0.0214,4.1078
0.094244,0.005219,N1,package,0.1873,35.8898
0.094257,0.005220,N1,ram,0.0218,4.1831
0.099412,0.005230,N0,package,0.1891,36.1647
0.099451,0.005232,N0,ram,0.0217,4.1531
0.099479,0.005235,N1,package,0.1810,34.5694
0.099490,0.005233,N1,ram,0.0213,4.0647
0.104644,0.005232,N0,package,0.2361,45.1360
0.104680,0.005229,N0,ram,0.0261,4.9958
0.104707,0.005228,N1,package,0.2259,43.2076
0.104721,0.005231,N1,ram,0.0258,4.9269
0.109903,0.005259,N0,package,0.2035,38.6936
0.109939,0.005259,N0,ram,0.0218,4.1462
0.109964,0.005257,N1,package,0.1903,36.2016
0.109990,0.005269,N1,ram,0.0221,4.1991
0.115141,0.005238,N0,package,0.2068,39.4895
0.115175,0.005236,N0,ram,0.0213,4.0741
0.115200,0.005236,N1,package,0.1984,37.8853
0.115211,0.005221,N1,ram,0.0224,4.2875
0.120367,0.005226,N0,package,0.2106,40.2938
0.120411,0.005236,N0,ram,0.0212,4.0565
0.120442,0.005242,N1,package,0.1964,37.4680
0.120455,0.005244,N1,ram,0.0225,4.2861
0.125632,0.005265,N0,package,0.2578,48.9673
0.125669,0.005258,N0,ram,0.0220,4.1817
0.125695,0.005253,N1,package,0.2480,47.2194
0.125705,0.005250,N1,ram,0.0274,5.2256
0.130892,0.005260,N0,package,0.2131,40.5200
0.130928,0.005259,N0,ram,0.0218,4.1492
0.130952,0.005257,N1,package,0.2074,39.4525
0.130964,0.005259,N1,ram,0.0221,4.2044
0.136093,0.005201,N0,package,0.2294,44.1003
0.136137,0.005209,N0,ram,0.0225,4.3120
0.136167,0.005215,N1,package,0.2166,41.5372
0.136179,0.005215,N1,ram,0.0227,4.3449
0.141334,0.005241,N0,package,0.2249,42.9035
0.141364,0.005227,N0,ram,0.0224,4.2766
0.141388,0.005221,N1,package,0.2208,42.2945
0.141397,0.005218,N1,ram,0.0226,4.3367
0.146568,0.005234,N0,package,0.2372,45.3157
0.146607,0.005243,N0,ram,0.0261,4.9853
0.146632,0.005244,N1,package,0.2700,51.4793
0.146645,0.005248,N1,ram,0.0267,5.0913
0.151820,0.005252,N0,package,0.2850,54.2587
0.151854,0.005247,N0,ram,0.0216,4.1121
0.151880,0.005248,N1,package,0.2278,43.4052
0.151892,0.005247,N1,ram,0.0226,4.3097
0.157080,0.005260,N0,package,0.2333,44.3492
0.157121,0.005267,N0,ram,0.0226,4.2933
0.157149,0.005269,N1,package,0.2267,43.0335
0.157161,0.005269,N1,ram,0.0225,4.2715
