#timestamp,interval,socket,domain,energy,power
0.005140,0.005194,N0,package,0.1137,21.8925
0.005185,0.005231,N0,ram,0.0103,1.9632
0.005256,0.005261,N1,package,0.0950,18.0520
0.005272,0.005272,N1,ram,0.0096,1.8205
0.010441,0.005301,N0,package,0.1170,22.0721
0.010459,0.005274,N0,ram,0.0102,1.9384
0.010506,0.005250,N1,package,0.0900,17.1480
0.010515,0.005243,N1,ram,0.0100,1.9033
0.015630,0.005189,N0,package,0.1164,22.4301
0.015657,0.005198,N0,ram,0.0101,1.9374
0.015730,0.005224,N1,package,0.1049,20.0725
0.015740,0.005225,N1,ram,0.0119,2.2721
0.020861,0.005231,N0,package,0.1406,26.8718
0.020895,0.005238,N0,ram,0.0118,2.2576
0.020954,0.005224,N1,package,0.0876,16.7777
0.020971,0.005231,N1,ram,0.0096,1.8377
0.026092,0.005231,N0,package,0.1229,23.4881
0.026128,0.005233,N0,ram,0.0099,1.8983
0.026175,0.005221,N1,package,0.0942,18.0377
0.026185,0.005214,N1,ram,0.0096,1.8495
0.031356,0.005264,N0,package,0.1332,25.2997
0.031390,0.005262,N0,ram,0.0098,1.8558
0.031437,0.005262,N1,package,0.0959,18.2343
0.031447,0.005262,N1,ram,0.0096,1.8327
0.036575,0.005219,N0,package,0.1385,26.5473
0.036608,0.005218,N0,ram,0.0099,1.9066
0.036654,0.005217,N1,package,0.0983,18.8356
0.036663,0.005216,N1,ram,0.0096,1.8489
0.041768,0.005193,N0,package,0.1662,32.0044
0.041796,0.005188,N0,ram,0.0113,2.1706
0.041852,0.005198,N1,package,0.1121,21.5701
0.041880,0.005217,N1,ram,0.0116,2.2199
0.047006,0.005238,N0,package,0.1395,26.6254
0.047032,0.005236,N0,ram,0.0092,1.7573
0.047105,0.005253,N1,package,0.0977,18.6028
0.047114,0.005234,N1,ram,0.0096,1.8425
0.052249,0.005243,N0,package,0.1398,26.6582
0.052268,0.005236,N0,ram,0.0095,1.8126
0.052312,0.005207,N1,package,0.0966,18.5553
0.052322,0.005208,N1,ram,0.0096,1.8517
0.057439,0.005190,N0,package,0.1428,27.5075
0.057454,0.005186,N0,ram,0.0093,1.8007
0.057515,0.005203,N1,package,0.0968,18.6050
0.057529,0.005207,N1,ram,0.0077,1.4828
0.062611,0.005172,N0,package,0.1404,27.1542
0.062636,0.005182,N0,ram,0.0098,1.8963
0.062663,0.005148,N1,package,0.1037,20.1438
0.062681,0.005152,N1,ram,0.0096,1.8718
0.067773,0.005162,N0,package,0.1688,32.6932
0.067789,0.005153,N0,ram,0.0121,2.3541
0.067826,0.005163,N1,package,0.1323,25.6284
0.067834,0.005153,N1,ram,0.0128,2.4874
0.072951,0.005178,N0,package,0.1201,23.1977
0.072984,0.005195,N0,ram,0.0109,2.1000
