#timestamp,interval,socket,domain,energy,power
0.005167,0.005222,N0,package,0.1126,21.5642
0.005270,0.005316,N0,ram,0.0096,1.8083
0.005308,0.005313,N1,package,0.0980,18.4383
0.005318,0.005318,N1,ram,0.0081,1.5236
0.010406,0.005239,N0,package,0.1151,21.9721
0.010440,0.005170,N0,ram,0.0104,2.0188
0.010506,0.005198,N1,package,0.0927,17.8244
0.010516,0.005198,N1,ram,0.0083,1.5910
0.015644,0.005238,N0,package,0.1417,27.0565
0.015662,0.005222,N0,ram,0.0122,2.3347
0.015707,0.005201,N1,package,0.1075,20.6771
0.015717,0.005201,N1,ram,0.0085,1.6370
0.020843,0.005199,N0,package,0.1198,23.0337
0.020863,0.005201,N0,ram,0.0098,1.8747
0.020924,0.005217,N1,package,0.0917,17.5838
0.020936,0.005219,N1,ram,0.0074,1.4180
0.026075,0.005232,N0,package,0.1259,24.0554
0.026110,0.005247,N0,ram,0.0096,1.8321
0.026156,0.005232,N1,package,0.0973,18.5957
0.026169,0.005233,N1,ram,0.0096,1.8399
0.031295,0.005220,N0,package,0.1325,25.3837
0.031333,0.005223,N0,ram,0.0098,1.8756
0.031379,0.005223,N1,package,0.0913,17.4819
0.031390,0.005221,N1,ram,0.0089,1.7039
0.036536,0.005241,N0,package,0.1379,26.3081
0.036563,0.005230,N0,ram,0.0092,1.7505
0.036619,0.005240,N1,package,0.1143,21.8051
0.036636,0.005246,N1,ram,0.0108,2.0681
0.041744,0.005208,N0,package,0.1690,32.4512
0.041778,0.005215,N0,ram,0.0111,2.1300
0.041824,0.005205,N1,package,0.0961,18.4574
0.041838,0.005202,N1,ram,0.0097,1.8567
0.046996,0.005252,N0,package,0.1435,27.3223
0.047024,0.005246,N0,ram,0.0096,1.8325
0.047084,0.005260,N1,package,0.1006,19.1336
0.047102,0.005264,N1,ram,0.0096,1.8320
0.052238,0.005242,N0,package,0.1388,26.4767
0.052271,0.005247,N0,ram,0.0090,1.7216
0.052316,0.005232,N1,package,0.0894,17.0908
0.052325,0.005223,N1,ram,0.0060,1.1540
0.057411,0.005173,N0,package,0.1420,27.4560
0.057445,0.005174,N0,ram,0.0092,1.7753
0.057490,0.005174,N1,package,0.0960,18.5562
0.057515,0.005190,N1,ram,0.0062,1.1878
0.062633,0.005222,N0,package,0.1475,28.2380
0.062665,0.005220,N0,ram,0.0093,1.7861
0.062710,0.005220,N1,package,0.1229,23.5480
0.062736,0.005221,N1,ram,0.0110,2.1013
0.067840,0.005207,N0,package,0.1761,33.8184
0.067890,0.005225,N0,ram,0.0114,2.1844
0.067934,0.005224,N1,package,0.1046,20.0257
0.067944,0.005208,N1,ram,0.0081,1.5587
0.088323,0.020483,N0,package,0.5451,26.6125
0.099219,0.031329,N0,ram,0.0826,2.6369
0.110221,0.042287,N1,package,1.5524,36.7104
0.121214,0.053270,N1,ram,0.1911,3.5868
0.139295,0.050972,N0,package,2.8811,56.5233
0.150218,0.050999,N0,ram,0.2287,4.4853
0.161217,0.050996,N1,package,2.9468,57.7856
0.172218,0.051004,N1,ram,0.2357,4.6215
0.190297,0.051002,N0,package,3.1611,61.9805
0.201218,0.051000,N0,ram,0.2280,4.4714
0.212212,0.050995,N1,package,3.1829,62.4162
0.223215,0.050997,N1,ram,0.2351,4.6105
0.241294,0.050997,N0,package,3.1834,62.4235
0.252217,0.050999,N0,ram,0.2285,4.4805
0.263214,0.051002,N1,package,3.1968,62.6809
0.274216,0.051001,N1,ram,0.2356,4.6194
0.283469,0.042175,N0,package,3.0566,72.4736
0.283722,0.031505,N0,ram,0.1841,5.8435
0.283783,0.020569,N1,package,1.9308,93.8683
0.283802,0.009586,N1,ram,0.0924,9.6365
0.299252,0.015783,N0,package,0.3665,23.2221
0.300240,0.016518,N0,ram,0.0705,4.2659
0.300692,0.016909,N1,package,0.9819,58.0712
0.300738,0.016936,N1,ram,0.0663,3.9147
0.311372,0.012120,N0,package,1.3580,112.0437
0.311445,0.011205,N0,ram,0.0531,4.7349
0.311672,0.010980,N1,package,0.6812,62.0363
0.322268,0.021530,N1,ram,0.0502,2.3338
0.332818,0.021446,N0,package,1.3044,60.8246
0.332903,0.021458,N0,ram,0.0930,4.3328
0.333174,0.021502,N1,package,1.3643,63.4507
0.341857,0.019589,N1,ram,0.0999,5.1013
0.354216,0.021398,N0,package,1.3037,60.9273
0.354329,0.021426,N0,ram,0.0994,4.6390
0.354657,0.021483,N1,package,1.2966,60.3563
0.354799,0.012942,N1,ram,0.0929,7.1754
0.360324,0.006108,N0,package,0.4267,69.8582
0.360437,0.006108,N0,ram,0.0276,4.5141
0.360740,0.006083,N1,package,0.3727,61.2758
0.371244,0.016445,N1,ram,0.0277,1.6850
0.382450,0.022126,N0,package,1.3521,61.1070
0.382576,0.022139,N0,ram,0.1011,4.5647
0.382891,0.022151,N1,package,1.3392,60.4593
0.393251,0.022007,N1,ram,0.1023,4.6469
0.404458,0.022008,N0,package,1.3545,61.5449
0.404591,0.022015,N0,ram,0.1009,4.5814
0.404875,0.021984,N1,package,1.3463,61.2403
0.415219,0.021968,N1,ram,0.1068,4.8635
0.426436,0.021978,N0,package,1.3478,61.3242
0.426589,0.021998,N0,ram,0.0977,4.4428
0.426857,0.021982,N1,package,1.3496,61.3962
0.430253,0.015034,N1,ram,0.0969,6.4450
0.452248,0.025812,N0,package,0.9247,35.8235
0.463232,0.036643,N0,ram,0.1146,3.1277
0.474235,0.047378,N1,package,2.2661,47.8304
0.485232,0.054979,N1,ram,0.2185,3.9738
0.507228,0.054980,N0,package,3.3768,61.4184
0.518233,0.055001,N0,ram,0.2518,4.5778
0.529229,0.054994,N1,package,3.3668,61.2218
0.540221,0.054989,N1,ram,0.2548,4.6338
0.562245,0.055017,N0,package,3.3785,61.4079
0.573240,0.055007,N0,ram,0.2424,4.4067
0.584243,0.055014,N1,package,3.3815,61.4655
0.595240,0.055019,N1,ram,0.2500,4.5447
0.617231,0.054986,N0,package,3.3855,61.5702
0.628231,0.054991,N0,ram,0.2522,4.5864
0.639240,0.054997,N1,package,3.3743,61.3548
0.650237,0.054997,N1,ram,0.2551,4.6378
