#timestamp,interval,socket,domain,energy,power
0.005134,0.005210,N0,package,0.1166,22.3877
0.005173,0.005240,N0,ram,0.0098,1.8666
0.005220,0.005226,N1,package,0.0986,18.8739
0.005229,0.005229,N1,ram,0.0096,1.8384
0.010358,0.005224,N0,package,0.1188,22.7470
0.010385,0.005212,N0,ram,0.0102,1.9615
0.010452,0.005232,N1,package,0.0969,18.5132
0.010462,0.005233,N1,ram,0.0099,1.9011
0.015623,0.005265,N0,package,0.1194,22.6752
0.015650,0.005265,N0,ram,0.0096,1.8171
0.015728,0.005276,N1,package,0.0946,17.9312
0.015747,0.005285,N1,ram,0.0096,1.8189
0.020857,0.005234,N0,package,0.1423,27.1824
0.020885,0.005235,N0,ram,0.0116,2.2240
0.020941,0.005213,N1,package,0.1108,21.2504
0.020958,0.005211,N1,ram,0.0117,2.2489
0.026098,0.005241,N0,package,0.1287,24.5495
0.026124,0.005239,N0,ram,0.0101,1.9281
0.026189,0.005248,N1,package,0.0993,18.9220
0.026205,0.005247,N1,ram,0.0096,1.8350
0.031344,0.005246,N0,package,0.1411,26.8880
0.031371,0.005247,N0,ram,0.0102,1.9514
0.031425,0.005236,N1,package,0.0957,18.2782
0.031442,0.005237,N1,ram,0.0098,1.8764
0.036588,0.005244,N0,package,0.1369,26.1063
0.036613,0.005242,N0,ram,0.0092,1.7552
0.036666,0.005241,N1,package,0.0963,18.3772
0.036682,0.005240,N1,ram,0.0096,1.8404
0.041780,0.005192,N0,package,0.1436,27.6607
0.041805,0.005192,N0,ram,0.0094,1.8015
0.041859,0.005193,N1,package,0.0991,19.0757
0.041879,0.005197,N1,ram,0.0096,1.8556
0.046989,0.005209,N0,package,0.1736,33.3241
0.047032,0.005227,N0,ram,0.0111,2.1253
0.047090,0.005231,N1,package,0.1169,22.3436
0.047106,0.005227,N1,ram,0.0116,2.2127
0.052251,0.005262,N0,package,0.1414,26.8759
0.052269,0.005237,N0,ram,0.0095,1.8123
0.052313,0.005223,N1,package,0.0984,18.8374
0.052324,0.005218,N1,ram,0.0096,1.8481
0.057435,0.005184,N0,package,0.1460,28.1619
0.057468,0.005199,N0,ram,0.0095,1.8256
0.057512,0.005199,N1,package,0.1015,19.5234
0.057521,0.005197,N1,ram,0.0097,1.8586
0.062652,0.005217,N0,package,0.1470,28.1728
0.062677,0.005209,N0,ram,0.0093,1.7898
0.062738,0.005226,N1,package,0.1077,20.6141
0.062755,0.005234,N1,ram,0.0096,1.8425
0.067863,0.005211,N0,package,0.1434,27.5127
0.067893,0.005216,N0,ram,0.0093,1.7874
0.067949,0.005211,N1,package,0.1071,20.5554
0.067964,0.005209,N1,ram,0.0089,1.7048
0.073094,0.005231,N0,package,0.1628,31.1191
0.073109,0.005216,N0,ram,0.0130,2.4983
0.073155,0.005206,N1,package,0.1204,23.1203
0.073163,0.005199,N1,ram,0.0107,2.0574
0.078287,0.005193,N0,package,0.1545,29.7478
0.078312,0.005203,N0,ram,0.0119,2.2787
0.078366,0.005211,N1,package,0.1085,20.8248
0.078383,0.005220,N1,ram,0.0090,1.7305
0.083544,0.005257,N0,package,0.1470,27.9684
0.083573,0.005261,N0,ram,0.0099,1.8766
0.083628,0.005262,N1,package,0.1065,20.2411
0.083645,0.005262,N1,ram,0.0081,1.5456
0.088790,0.005246,N0,package,0.1509,28.7612
0.088813,0.005240,N0,ram,0.0089,1.7005
0.088880,0.005252,N1,package,0.1088,20.7203
0.088889,0.005244,N1,ram,0.0081,1.5538
0.093995,0.005205,N0,package,0.1758,33.7706
0.094026,0.005213,N0,ram,0.0108,2.0811
0.094079,0.005199,N1,package,0.1304,25.0764
0.094094,0.005205,N1,ram,0.0093,1.7911
0.099220,0.005225,N0,package,0.1482,28.3627
0.099234,0.005208,N0,ram,0.0089,1.7141
0.099280,0.005201,N1,package,0.1128,21.6874
0.099288,0.005194,N1,ram,0.0082,1.5747
0.104411,0.005191,N0,package,0.1471,28.3373
0.104449,0.005215,N0,ram,0.0089,1.7087
0.104494,0.005214,N1,package,0.1157,22.1937
0.104502,0.005214,N1,ram,0.0089,1.7149
0.109631,0.005220,N0,package,0.1454,27.8507
0.109645,0.005196,N0,ram,0.0089,1.7209
0.109690,0.005196,N1,package,0.1154,22.2016
0.109705,0.005203,N1,ram,0.0097,1.8593
0.114781,0.005150,N0,package,0.1481,28.7644
0.114806,0.005161,N0,ram,0.0089,1.7325
0.114859,0.005169,N1,package,0.1199,23.2030
0.114874,0.005169,N1,ram,0.0081,1.5764
0.119959,0.005178,N0,package,0.1544,29.8223
0.119973,0.005167,N0,ram,0.0089,1.7246
0.120017,0.005158,N1,package,0.1482,28.7297
0.120025,0.005151,N1,ram,0.0108,2.1032
0.125144,0.005185,N0,package,0.1851,35.6903
0.125158,0.005185,N0,ram,0.0107,2.0658
0.125203,0.005186,N1,package,0.1295,24.9750
0.125211,0.005186,N1,ram,0.0067,1.2828
0.130354,0.005210,N0,package,0.1579,30.3072
0.130379,0.005221,N0,ram,0.0089,1.7097
0.130431,0.005228,N1,package,0.1299,24.8435
0.130447,0.005236,N1,ram,0.0067,1.2706
0.135579,0.005225,N0,package,0.1669,31.9489
0.135593,0.005214,N0,ram,0.0089,1.7091
0.135638,0.005207,N1,package,0.1325,25.4476
0.135646,0.005199,N1,ram,0.0082,1.5702
0.140774,0.005195,N0,package,0.1603,30.8633
0.140787,0.005194,N0,ram,0.0089,1.7216
0.140834,0.005196,N1,package,0.1353,26.0417
0.140841,0.005195,N1,ram,0.0059,1.1367
0.145941,0.005167,N0,package,0.1712,33.1340
0.145965,0.005178,N0,ram,0.0089,1.7239
0.146017,0.005183,N1,package,0.1413,27.2616
0.146033,0.005192,N1,ram,0.0082,1.5723
0.151157,0.005216,N0,package,0.2076,39.8095
0.151182,0.005217,N0,ram,0.0108,2.0795
