#timestamp,interval,socket,domain,energy,power
0.005093,0.005157,N0,package,0.1391,26.9729
0.005115,0.005171,N0,ram,0.0117,2.2663
0.005160,0.005169,N1,package,0.1064,20.5815
0.005172,0.005172,N1,ram,0.0108,2.0889
0.010285,0.005192,N0,package,0.1196,23.0408
0.010301,0.005186,N0,ram,0.0101,1.9389
0.010369,0.005209,N1,package,0.0856,16.4277
0.010382,0.005210,N1,ram,0.0098,1.8861
0.015512,0.005227,N0,package,0.1205,23.0615
0.015527,0.005226,N0,ram,0.0099,1.9008
0.015594,0.005225,N1,package,0.0859,16.4475
0.015607,0.005225,N1,ram,0.0096,1.8398
0.020760,0.005248,N0,package,0.1230,23.4472
0.020777,0.005250,N0,ram,0.0097,1.8513
0.020855,0.005261,N1,package,0.0889,16.8911
0.020871,0.005264,N1,ram,0.0096,1.8291
0.025955,0.005195,N0,package,0.1292,24.8598
0.025969,0.005192,N0,ram,0.0099,1.9133
0.026011,0.005156,N1,package,0.0967,18.7508
0.026023,0.005152,N1,ram,0.0098,1.9014
0.031107,0.005152,N0,package,0.1572,30.5177
0.031123,0.005154,N0,ram,0.0096,1.8651
0.031162,0.005151,N1,package,0.1213,23.5571
0.031172,0.005149,N1,ram,0.0110,2.1278
0.036297,0.005190,N0,package,0.1400,26.9666
0.036311,0.005188,N0,ram,0.0100,1.9265
0.036362,0.005200,N1,package,0.0965,18.5565
0.036375,0.005203,N1,ram,0.0096,1.8535
0.041488,0.005191,N0,package,0.1390,26.7840
0.041503,0.005192,N0,ram,0.0100,1.9220
0.041563,0.005201,N1,package,0.1013,19.4811
0.041574,0.005199,N1,ram,0.0096,1.8548
0.046709,0.005221,N0,package,0.1403,26.8649
0.046723,0.005220,N0,ram,0.0092,1.7656
0.046784,0.005221,N1,package,0.0990,18.9612
0.046795,0.005221,N1,ram,0.0096,1.8471
0.051902,0.005193,N0,package,0.1412,27.1855
0.051917,0.005194,N0,ram,0.0093,1.7950
0.051965,0.005181,N1,package,0.0958,18.4952
0.051981,0.005186,N1,ram,0.0085,1.6330
0.057064,0.005162,N0,package,0.1453,28.1528
0.057080,0.005163,N0,ram,0.0095,1.8383
0.057141,0.005176,N1,package,0.1158,22.3701
0.057155,0.005174,N1,ram,0.0116,2.2355
0.062252,0.005188,N0,package,0.1744,33.6118
0.062267,0.005187,N0,ram,0.0110,2.1122
0.062329,0.005188,N1,package,0.1048,20.2000
0.062341,0.005186,N1,ram,0.0081,1.5712
0.067444,0.005192,N0,package,0.1471,28.3308
0.067471,0.005204,N0,ram,0.0093,1.7945
0.067529,0.005200,N1,package,0.1075,20.6692
0.067544,0.005203,N1,ram,0.0100,1.9150
0.072654,0.005210,N0,package,0.1397,26.8160
0.072667,0.005196,N0,ram,0.0090,1.7385
0.072731,0.005202,N1,package,0.1050,20.1932
0.072742,0.005198,N1,ram,0.0089,1.7114
0.077869,0.005215,N0,package,0.1537,29.4691
0.077886,0.005219,N0,ram,0.0131,2.5085
0.077903,0.005172,N1,package,0.1036,20.0382
0.077915,0.005173,N1,ram,0.0097,1.8672
0.083018,0.005149,N0,package,0.1428,27.7385
0.083033,0.005147,N0,ram,0.0110,2.1434
0.083079,0.005176,N1,package,0.1051,20.3055
0.083091,0.005176,N1,ram,0.0076,1.4623
0.088217,0.005199,N0,package,0.1353,26.0156
0.088240,0.005207,N0,ram,0.0106,2.0278
0.088299,0.005220,N1,package,0.0969,18.5680
0.088317,0.005226,N1,ram,0.0099,1.9036
0.093446,0.005229,N0,package,0.1018,19.4696
0.093471,0.005231,N0,ram,0.0085,1.6160
0.093529,0.005230,N1,package,0.0806,15.4041
0.093546,0.005229,N1,ram,0.0071,1.3598
0.098721,0.005275,N0,package,0.0958,18.1543
0.098746,0.005275,N0,ram,0.0079,1.4926
0.098806,0.005277,N1,package,0.0772,14.6315
0.098831,0.005285,N1,ram,0.0057,1.0856
0.103912,0.005191,N0,package,0.0942,18.1539
0.103936,0.005190,N0,ram,0.0086,1.6640
0.103963,0.005157,N1,package,0.0706,13.6817
0.103984,0.005153,N1,ram,0.0059,1.1460
0.109081,0.005169,N0,package,0.0887,17.1572
0.109096,0.005160,N0,ram,0.0072,1.4047
0.109153,0.005190,N1,package,0.0677,13.0423
0.109179,0.005195,N1,ram,0.0063,1.2219
0.114279,0.005198,N0,package,0.1120,21.5466
0.114292,0.005196,N0,ram,0.0098,1.8882
0.114356,0.005203,N1,package,0.0917,17.6196
0.114366,0.005187,N1,ram,0.0076,1.4591
0.119495,0.005216,N0,package,0.0984,18.8624
0.119520,0.005228,N0,ram,0.0068,1.2988
0.119579,0.005223,N1,package,0.0834,15.9628
0.119597,0.005231,N1,ram,0.0059,1.1230
0.124778,0.005283,N0,package,0.0915,17.3185
0.124791,0.005271,N0,ram,0.0061,1.1522
0.124850,0.005271,N1,package,0.0740,14.0460
0.124861,0.005264,N1,ram,0.0063,1.2030
0.129963,0.005185,N0,package,0.0852,16.4326
0.129976,0.005185,N0,ram,0.0053,1.0271
0.130034,0.005184,N1,package,0.0725,13.9868
0.130044,0.005183,N1,ram,0.0056,1.0834
0.135174,0.005211,N0,package,0.1030,19.7716
0.135199,0.005223,N0,ram,0.0069,1.3293
0.135259,0.005225,N1,package,0.0881,16.8681
0.135277,0.005233,N1,ram,0.0075,1.4405
0.140385,0.005211,N0,package,0.0850,16.3038
0.140399,0.005200,N0,ram,0.0059,1.1385
0.140461,0.005202,N1,package,0.0707,13.5984
0.140472,0.005195,N1,ram,0.0055,1.0515
0.145624,0.005239,N0,package,0.0864,16.4966
0.145638,0.005239,N0,ram,0.0059,1.1301
0.145701,0.005240,N1,package,0.0726,13.8495
0.145713,0.005241,N1,ram,0.0056,1.0685
0.150853,0.005229,N0,package,0.0851,16.2831
0.150885,0.005247,N0,ram,0.0053,1.0120
0.150936,0.005235,N1,package,0.0693,13.2331
0.150948,0.005235,N1,ram,0.0053,1.0114
0.156079,0.005226,N0,package,0.0757,14.4824
0.156105,0.005220,N0,ram,0.0055,1.0465
0.156148,0.005212,N1,package,0.0604,11.5815
0.156165,0.005217,N1,ram,0.0062,1.1875
0.161314,0.005235,N0,package,0.0977,18.6663
0.161340,0.005235,N0,ram,0.0071,1.3524
0.161396,0.005248,N1,package,0.0815,15.5384
0.161414,0.005249,N1,ram,0.0055,1.0436
0.166594,0.005280,N0,package,0.0823,15.5824
0.166620,0.005280,N0,ram,0.0059,1.1242
0.166679,0.005283,N1,package,0.0668,12.6504
0.166698,0.005284,N1,ram,0.0056,1.0598
0.171868,0.005274,N0,package,0.0802,15.2065
0.171920,0.005300,N0,ram,0.0055,1.0336
0.171970,0.005291,N1,package,0.0685,12.9430
0.171982,0.005284,N1,ram,0.0054,1.0252
0.177088,0.005220,N0,package,0.0781,14.9667
0.177103,0.005183,N0,ram,0.0061,1.1688
0.177168,0.005198,N1,package,0.0740,14.2431
0.177180,0.005198,N1,ram,0.0081,1.5617
0.182321,0.005233,N0,package,0.0945,18.0549
0.182335,0.005232,N0,ram,0.0071,1.3532
0.182401,0.005233,N1,package,0.0637,12.1649
0.182414,0.005234,N1,ram,0.0041,0.7813
0.187535,0.005214,N0,package,0.0778,14.9252
0.187550,0.005215,N0,ram,0.0059,1.1382
0.187616,0.005215,N1,package,0.0652,12.5115
0.187628,0.005214,N1,ram,0.0053,1.0126
0.192797,0.005262,N0,package,0.0779,14.8002
0.192834,0.005284,N0,ram,0.0059,1.1204
0.192920,0.005304,N1,package,0.0634,11.9444
0.192932,0.005304,N1,ram,0.0051,0.9580
0.198065,0.005268,N0,package,0.0813,15.4330
0.198091,0.005257,N0,ram,0.0061,1.1552
0.198166,0.005246,N1,package,0.0667,12.7052
0.198184,0.005252,N1,ram,0.0049,0.9384
0.203334,0.005269,N0,package,0.0890,16.8890
0.203349,0.005258,N0,ram,0.0071,1.3494
0.203413,0.005247,N1,package,0.0773,14.7386
0.203425,0.005241,N1,ram,0.0069,1.3101
0.208596,0.005262,N0,package,0.0743,14.1159
0.208624,0.005275,N0,ram,0.0061,1.1484
0.208686,0.005273,N1,package,0.0620,11.7484
0.208706,0.005281,N1,ram,0.0049,0.9333
0.213881,0.005285,N0,package,0.0703,13.2932
0.213897,0.005273,N0,ram,0.0043,0.8131
0.213967,0.005281,N1,package,0.0603,11.4189
0.213981,0.005275,N1,ram,0.0049,0.9343
0.219130,0.005249,N0,package,0.0726,13.8256
0.219146,0.005249,N0,ram,0.0046,0.8692
0.219217,0.005250,N1,package,0.0616,11.7304
0.219231,0.005250,N1,ram,0.0071,1.3544
0.224344,0.005214,N0,package,0.0872,16.7163
0.224360,0.005214,N0,ram,0.0072,1.3842
0.224430,0.005213,N1,package,0.0703,13.4879
0.224444,0.005213,N1,ram,0.0061,1.1708
0.229615,0.005271,N0,package,0.0742,14.0685
0.229643,0.005283,N0,ram,0.0064,1.2044
0.229718,0.005288,N1,package,0.0622,11.7612
0.229737,0.005293,N1,ram,0.0037,0.7063
0.234893,0.005278,N0,package,0.0724,13.7269
0.234908,0.005265,N0,ram,0.0052,0.9825
0.234972,0.005254,N1,package,0.0612,11.6401
0.234984,0.005247,N1,ram,0.0053,1.0033
0.240119,0.005226,N0,package,0.0699,13.3723
0.240146,0.005238,N0,ram,0.0053,1.0137
0.240212,0.005240,N1,package,0.0587,11.2054
0.240232,0.005248,N1,ram,0.0061,1.1688
0.245372,0.005253,N0,package,0.0866,16.4880
0.245400,0.005254,N0,ram,0.0074,1.4085
0.245463,0.005251,N1,package,0.0696,13.2626
0.245486,0.005254,N1,ram,0.0049,0.9352
0.250661,0.005289,N0,package,0.0726,13.7209
0.250690,0.005290,N0,ram,0.0061,1.1480
0.250752,0.005289,N1,package,0.0604,11.4245
0.250771,0.005285,N1,ram,0.0049,0.9354
0.255929,0.005268,N0,package,0.0731,13.8798
0.255945,0.005255,N0,ram,0.0061,1.1528
0.256011,0.005259,N1,package,0.0580,11.0260
0.256025,0.005254,N1,ram,0.0048,0.9090
0.261160,0.005231,N0,package,0.0872,16.6738
0.261188,0.005243,N0,ram,0.0054,1.0390
0.261257,0.005246,N1,package,0.0817,15.5783
0.261270,0.005245,N1,ram,0.0089,1.6961
0.266404,0.005244,N0,package,0.1050,20.0307
0.266438,0.005250,N0,ram,0.0075,1.4300
0.266506,0.005249,N1,package,0.0972,18.5233
0.266520,0.005250,N1,ram,0.0108,2.0665
0.271691,0.005287,N0,package,0.0731,13.8303
0.271719,0.005281,N0,ram,0.0062,1.1788
0.271793,0.005287,N1,package,0.0618,11.6831
0.271831,0.005311,N1,ram,0.0051,0.9596
0.276913,0.005222,N0,package,0.0707,13.5463
0.276929,0.005210,N0,ram,0.0056,1.0749
0.276998,0.005205,N1,package,0.0583,11.1988
0.277011,0.005180,N1,ram,0.0046,0.8955
0.282144,0.005231,N0,package,0.0753,14.3869
0.282172,0.005243,N0,ram,0.0063,1.2107
0.282239,0.005241,N1,package,0.0587,11.1912
0.282259,0.005248,N1,ram,0.0046,0.8839
0.287399,0.005255,N0,package,0.0908,17.2827
0.287427,0.005255,N0,ram,0.0077,1.4606
0.287491,0.005252,N1,package,0.0766,14.5851
0.287510,0.005251,N1,ram,0.0069,1.3048
0.292699,0.005300,N0,package,0.0741,13.9804
0.292727,0.005300,N0,ram,0.0061,1.1430
0.292788,0.005297,N1,package,0.0612,11.5458
0.292808,0.005298,N1,ram,0.0049,0.9303
0.297931,0.005232,N0,package,0.0712,13.6137
0.297947,0.005220,N0,ram,0.0055,1.0494
0.298016,0.005228,N1,package,0.0591,11.3010
0.298030,0.005222,N1,ram,0.0045,0.8591
0.303175,0.005244,N0,package,0.0679,12.9542
0.303190,0.005243,N0,ram,0.0054,1.0390
0.303265,0.005249,N1,package,0.0560,10.6744
0.303278,0.005248,N1,ram,0.0045,0.8548
0.308412,0.005237,N0,package,0.0876,16.7248
0.308441,0.005251,N0,ram,0.0072,1.3745
0.308503,0.005238,N1,package,0.0735,14.0410
0.308524,0.005246,N1,ram,0.0064,1.2246
0.313721,0.005309,N0,package,0.0723,13.6231
0.313751,0.005310,N0,ram,0.0064,1.1983
0.313814,0.005311,N1,package,0.0613,11.5382
0.313855,0.005331,N1,ram,0.0045,0.8415
0.318971,0.005250,N0,package,0.0754,14.3695
0.318987,0.005236,N0,ram,0.0065,1.2444
0.319057,0.005243,N1,package,0.0641,12.2348
0.319079,0.005224,N1,ram,0.0052,1.0019
0.324213,0.005242,N0,package,0.0712,13.5883
0.324241,0.005254,N0,ram,0.0062,1.1820
0.324320,0.005263,N1,package,0.0620,11.7713
0.324334,0.005255,N1,ram,0.0046,0.8827
0.329469,0.005256,N0,package,0.0916,17.4181
0.329498,0.005257,N0,ram,0.0072,1.3787
0.329562,0.005242,N1,package,0.0751,14.3328
0.329581,0.005247,N1,ram,0.0052,0.9975
0.334750,0.005281,N0,package,0.0717,13.5801
0.334783,0.005285,N0,ram,0.0065,1.2328
0.334836,0.005274,N1,package,0.0616,11.6774
0.334851,0.005270,N1,ram,0.0045,0.8541
0.339994,0.005244,N0,package,0.0687,13.0939
0.340010,0.005227,N0,ram,0.0053,1.0188
0.340080,0.005244,N1,package,0.0583,11.1269
0.340094,0.005243,N1,ram,0.0054,1.0331
0.345228,0.005234,N0,package,0.0756,14.4483
0.345256,0.005246,N0,ram,0.0062,1.1867
0.345318,0.005238,N1,package,0.0600,11.4542
0.345337,0.005243,N1,ram,0.0046,0.8847
0.350477,0.005249,N0,package,0.0759,14.4651
0.350506,0.005250,N0,ram,0.0079,1.5114
0.350569,0.005251,N1,package,0.0738,14.0530
0.350588,0.005251,N1,ram,0.0050,0.9444
0.355767,0.005290,N0,package,0.0858,16.2228
0.355796,0.005290,N0,ram,0.0062,1.1769
0.355870,0.005301,N1,package,0.0593,11.1800
0.355883,0.005295,N1,ram,0.0039,0.7406
0.360994,0.005227,N0,package,0.0691,13.2180
0.361010,0.005214,N0,ram,0.0058,1.1033
0.361075,0.005205,N1,package,0.0580,11.1396
0.361086,0.005203,N1,ram,0.0049,0.9502
0.366222,0.005228,N0,package,0.0763,14.5932
0.366248,0.005238,N0,ram,0.0064,1.2147
0.366323,0.005248,N1,package,0.0667,12.7000
0.366343,0.005257,N1,ram,0.0059,1.1175
0.371483,0.005261,N0,package,0.0873,16.5902
0.371513,0.005265,N0,ram,0.0072,1.3708
0.371589,0.005266,N1,package,0.0722,13.7116
0.371603,0.005260,N1,ram,0.0070,1.3373
0.376775,0.005292,N0,package,0.0734,13.8634
0.376803,0.005290,N0,ram,0.0064,1.2028
0.376875,0.005286,N1,package,0.0609,11.5120
0.376897,0.005294,N1,ram,0.0045,0.8445
0.382035,0.005260,N0,package,0.0698,13.2630
0.382062,0.005259,N0,ram,0.0053,1.0097
0.382124,0.005249,N1,package,0.0583,11.1163
0.382138,0.005241,N1,ram,0.0038,0.7191
0.387273,0.005238,N0,package,0.0757,14.4604
0.387300,0.005238,N0,ram,0.0061,1.1595
0.387365,0.005241,N1,package,0.0776,14.8136
0.387385,0.005247,N1,ram,0.0069,1.3115
0.392527,0.005254,N0,package,0.0854,16.2636
