#timestamp,interval,socket,domain,energy,power
0.005095,0.005151,N0,package,0.1140,22.1223
0.005117,0.005166,N0,ram,0.0098,1.8904
0.005167,0.005176,N1,package,0.0884,17.0863
0.005180,0.005180,N1,ram,0.0081,1.5730
0.010324,0.005229,N0,package,0.1151,22.0142
0.010341,0.005224,N0,ram,0.0104,1.9833
0.010411,0.005244,N1,package,0.0859,16.3761
0.010425,0.005245,N1,ram,0.0087,1.6641
0.015564,0.005240,N0,package,0.1221,23.3077
0.015579,0.005238,N0,ram,0.0096,1.8265
0.015649,0.005238,N1,package,0.0829,15.8238
0.015663,0.005238,N1,ram,0.0075,1.4362
0.020799,0.005235,N0,package,0.1252,23.9129
0.020814,0.005235,N0,ram,0.0099,1.8975
0.020882,0.005233,N1,package,0.0800,15.2791
0.020895,0.005232,N1,ram,0.0084,1.6098
0.025958,0.005159,N0,package,0.1523,29.5171
0.025974,0.005160,N0,ram,0.0122,2.3627
0.026035,0.005153,N1,package,0.1122,21.7706
0.026047,0.005152,N1,ram,0.0110,2.1295
0.031131,0.005173,N0,package,0.1309,25.3086
0.031148,0.005174,N0,ram,0.0097,1.8668
0.031196,0.005161,N1,package,0.0938,18.1767
0.031209,0.005162,N1,ram,0.0096,1.8652
0.036336,0.005205,N0,package,0.1431,27.4868
0.036350,0.005202,N0,ram,0.0094,1.8157
0.036414,0.005218,N1,package,0.0952,18.2481
0.036426,0.005217,N1,ram,0.0096,1.8485
0.041544,0.005208,N0,package,0.1394,26.7673
0.041559,0.005209,N0,ram,0.0090,1.7312
0.041622,0.005208,N1,package,0.0972,18.6574
0.041648,0.005222,N1,ram,0.0096,1.8438
0.046783,0.005239,N0,package,0.1458,27.8205
0.046797,0.005238,N0,ram,0.0092,1.7508
0.046864,0.005242,N1,package,0.0979,18.6758
0.046877,0.005229,N1,ram,0.0097,1.8472
0.051960,0.005177,N0,package,0.1676,32.3743
0.051975,0.005178,N0,ram,0.0110,2.1158
0.052021,0.005157,N1,package,0.1110,21.5168
0.052034,0.005157,N1,ram,0.0101,1.9558
0.057117,0.005157,N0,package,0.1428,27.6830
0.057131,0.005156,N0,ram,0.0092,1.7875
0.057173,0.005152,N1,package,0.0973,18.8840
0.057184,0.005150,N1,ram,0.0074,1.4310
0.062265,0.005148,N0,package,0.1451,28.1823
0.062279,0.005148,N0,ram,0.0093,1.8081
0.062333,0.005160,N1,package,0.1078,20.9006
0.062342,0.005158,N1,ram,0.0100,1.9406
0.067466,0.005201,N0,package,0.1457,28.0116
0.067491,0.005212,N0,ram,0.0095,1.8268
0.067543,0.005210,N1,package,0.1039,19.9392
0.067559,0.005217,N1,ram,0.0097,1.8514
0.072695,0.005229,N0,package,0.1356,25.9245
0.072710,0.005219,N0,ram,0.0101,1.9267
0.072775,0.005232,N1,package,0.1052,20.1114
0.072787,0.005228,N1,ram,0.0089,1.6987
0.077938,0.005243,N0,package,0.1483,28.2879
0.077955,0.005245,N0,ram,0.0131,2.5019
0.078006,0.005231,N1,package,0.1210,23.1263
0.078024,0.005237,N1,ram,0.0096,1.8415
0.083105,0.005167,N0,package,0.1771,34.2680
0.083121,0.005166,N0,ram,0.0130,2.5195
0.083171,0.005165,N1,package,0.1010,19.5569
0.083182,0.005158,N1,ram,0.0078,1.5205
0.088289,0.005184,N0,package,0.1433,27.6451
0.088303,0.005182,N0,ram,0.0091,1.7491
0.088363,0.005192,N1,package,0.1088,20.9611
0.088374,0.005192,N1,ram,0.0068,1.3020
0.093480,0.005191,N0,package,0.1459,28.1009
0.093494,0.005191,N0,ram,0.0117,2.2605
0.093553,0.005190,N1,package,0.1053,20.2975
0.093563,0.005189,N1,ram,0.0074,1.4261
0.098695,0.005215,N0,package,0.1457,27.9373
0.098709,0.005215,N0,ram,0.0131,2.5104
0.098768,0.005215,N1,package,0.1102,21.1373
0.098779,0.005216,N1,ram,0.0074,1.4218
0.103928,0.005233,N0,package,0.1436,27.4440
0.103959,0.005250,N0,ram,0.0125,2.3862
0.104033,0.005265,N1,package,0.1052,19.9741
0.104065,0.005286,N1,ram,0.0062,1.1720
0.109174,0.005246,N0,package,0.2043,38.9532
0.109211,0.005252,N0,ram,0.0168,3.2046
0.109223,0.005190,N1,package,0.1490,28.7175
0.109227,0.005162,N1,ram,0.0108,2.0899
0.114361,0.005187,N0,package,0.2562,49.3973
0.114380,0.005169,N0,ram,0.0220,4.2478
0.114391,0.005168,N1,package,0.1223,23.6678
0.114394,0.005167,N1,ram,0.0077,1.4972
0.119492,0.005131,N0,package,0.2923,56.9669
0.119518,0.005138,N0,ram,0.0136,2.6491
0.119539,0.005148,N1,package,0.1268,24.6373
0.119546,0.005152,N1,ram,0.0096,1.8689
0.124682,0.005190,N0,package,0.3087,59.4840
0.124709,0.005191,N0,ram,0.0090,1.7401
0.124727,0.005188,N1,package,0.1276,24.6000
0.124735,0.005189,N1,ram,0.0097,1.8613
0.129871,0.005189,N0,package,0.3112,59.9745
0.129907,0.005198,N0,ram,0.0095,1.8259
0.129927,0.005200,N1,package,0.1321,25.4005
0.129935,0.005200,N1,ram,0.0097,1.8575
0.135040,0.005169,N0,package,0.3735,72.2657
0.135067,0.005160,N0,ram,0.0107,2.0641
0.135086,0.005159,N1,package,0.1619,31.3745
0.135094,0.005159,N1,ram,0.0116,2.2449
0.140265,0.005225,N0,package,0.3158,60.4401
0.140293,0.005226,N0,ram,0.0089,1.6964
0.140313,0.005227,N1,package,0.1420,27.1612
0.140321,0.005227,N1,ram,0.0096,1.8420
0.145468,0.005203,N0,package,0.3075,59.0995
0.145501,0.005208,N0,ram,0.0221,4.2456
0.145520,0.005207,N1,package,0.1424,27.3465
0.145527,0.005206,N1,ram,0.0097,1.8553
0.150666,0.005198,N0,package,0.3192,61.4109
0.150694,0.005193,N0,ram,0.0211,4.0635
0.150704,0.005184,N1,package,0.1481,28.5635
0.150707,0.005180,N1,ram,0.0096,1.8617
0.155822,0.005156,N0,package,0.3095,60.0285
0.155841,0.005147,N0,ram,0.0221,4.2898
