#timestamp,interval,socket,domain,energy,power
0.005087,0.005141,N0,package,0.1170,22.7590
0.005109,0.005162,N0,ram,0.0095,1.8327
0.005159,0.005166,N1,package,0.1033,20.0022
0.005173,0.005173,N1,ram,0.0110,2.1208
0.010251,0.005164,N0,package,0.1469,28.4379
0.010261,0.005152,N0,ram,0.0123,2.3931
0.010328,0.005169,N1,package,0.0900,17.4170
0.010342,0.005169,N1,ram,0.0096,1.8567
0.015420,0.005169,N0,package,0.1277,24.7144
0.015430,0.005169,N0,ram,0.0097,1.8804
0.015499,0.005171,N1,package,0.0858,16.5953
0.015512,0.005170,N1,ram,0.0098,1.8949
0.020618,0.005198,N0,package,0.1262,24.2825
0.020628,0.005198,N0,ram,0.0096,1.8376
0.020708,0.005209,N1,package,0.0913,17.5291
0.020735,0.005223,N1,ram,0.0098,1.8756
0.025843,0.005225,N0,package,0.1301,24.8921
0.025853,0.005225,N0,ram,0.0097,1.8602
0.025917,0.005209,N1,package,0.0959,18.4196
0.025932,0.005197,N1,ram,0.0096,1.8556
0.031011,0.005168,N0,package,0.1378,26.6558
0.031022,0.005169,N0,ram,0.0100,1.9306
0.031071,0.005154,N1,package,0.0975,18.9125
0.031084,0.005152,N1,ram,0.0096,1.8718
0.036168,0.005157,N0,package,0.1420,27.5292
0.036179,0.005157,N0,ram,0.0095,1.8404
0.036235,0.005164,N1,package,0.1163,22.5271
0.036263,0.005179,N1,ram,0.0116,2.2304
0.041350,0.005182,N0,package,0.1659,32.0133
0.041360,0.005181,N0,ram,0.0115,2.2236
0.041416,0.005181,N1,package,0.1013,19.5437
0.041428,0.005165,N1,ram,0.0099,1.9232
0.046508,0.005158,N0,package,0.1461,28.3287
0.046517,0.005157,N0,ram,0.0096,1.8611
0.046577,0.005161,N1,package,0.1000,19.3839
0.046588,0.005160,N1,ram,0.0097,1.8719
0.051688,0.005180,N0,package,0.1431,27.6314
0.051697,0.005180,N0,ram,0.0098,1.8882
0.051765,0.005188,N1,package,0.0970,18.7059
0.051780,0.005192,N1,ram,0.0096,1.8544
0.056881,0.005193,N0,package,0.1418,27.3031
0.056890,0.005193,N0,ram,0.0095,1.8276
0.056967,0.005202,N1,package,0.0962,18.4910
0.056982,0.005202,N1,ram,0.0062,1.1880
0.062060,0.005179,N0,package,0.1447,27.9416
0.062070,0.005180,N0,ram,0.0096,1.8616
0.062116,0.005149,N1,package,0.1050,20.3999
0.062139,0.005157,N1,ram,0.0096,1.8700
0.067231,0.005171,N0,package,0.1755,33.9358
0.067240,0.005170,N0,ram,0.0119,2.2963
0.067308,0.005192,N1,package,0.1384,26.6510
0.067319,0.005180,N1,ram,0.0114,2.2033
0.072394,0.005163,N0,package,0.1359,26.3258
0.072403,0.005163,N0,ram,0.0095,1.8412
0.072469,0.005161,N1,package,0.1053,20.4001
0.072481,0.005162,N1,ram,0.0082,1.5815
0.077587,0.005193,N0,package,0.1509,29.0661
0.077612,0.005209,N0,ram,0.0131,2.5133
0.077659,0.005190,N1,package,0.1047,20.1681
0.077670,0.005189,N1,ram,0.0084,1.6232
0.082768,0.005181,N0,package,0.1494,28.8398
0.082777,0.005165,N0,ram,0.0117,2.2719
0.082842,0.005183,N1,package,0.1096,21.1380
0.082854,0.005184,N1,ram,0.0090,1.7396
0.087966,0.005198,N0,package,0.1467,28.2161
0.087976,0.005199,N0,ram,0.0114,2.1954
0.088021,0.005179,N1,package,0.1095,21.1428
0.088031,0.005177,N1,ram,0.0084,1.6270
0.093107,0.005141,N0,package,0.1493,29.0394
0.093117,0.005141,N0,ram,0.0120,2.3359
0.093166,0.005145,N1,package,0.1097,21.3294
0.093178,0.005147,N1,ram,0.0076,1.4704
0.098256,0.005149,N0,package,0.1787,34.7070
0.098264,0.005147,N0,ram,0.0155,3.0180
0.098328,0.005162,N1,package,0.1320,25.5752
0.098339,0.005161,N1,ram,0.0094,1.8124
0.103420,0.005164,N0,package,0.1512,29.2771
0.103431,0.005167,N0,ram,0.0123,2.3714
0.103480,0.005152,N1,package,0.1111,21.5614
0.103500,0.005161,N1,ram,0.0059,1.1442
0.109032,0.005612,N0,package,0.1810,32.2569
0.109077,0.005646,N0,ram,0.0131,2.3269
0.109097,0.005617,N1,package,0.1235,21.9826
0.109104,0.005604,N1,ram,0.0089,1.5847
0.114213,0.005181,N0,package,0.3207,61.9089
0.114239,0.005162,N0,ram,0.0267,5.1759
0.114257,0.005160,N1,package,0.1254,24.3072
0.114264,0.005160,N1,ram,0.0091,1.7625
0.119368,0.005155,N0,package,0.2931,56.8547
0.119393,0.005154,N0,ram,0.0087,1.6934
0.119411,0.005154,N1,package,0.1523,29.5471
0.119418,0.005154,N1,ram,0.0086,1.6668
0.124530,0.005162,N0,package,0.2921,56.5775
0.124543,0.005150,N0,ram,0.0089,1.7333
0.124552,0.005141,N1,package,0.1280,24.8960
0.124555,0.005137,N1,ram,0.0067,1.2951
0.129688,0.005158,N0,package,0.3058,59.2963
0.129713,0.005170,N0,ram,0.0109,2.1102
0.129731,0.005179,N1,package,0.1328,25.6448
0.129738,0.005183,N1,ram,0.0059,1.1393
0.134874,0.005186,N0,package,0.3134,60.4340
0.134899,0.005186,N0,ram,0.0094,1.8213
0.134930,0.005199,N1,package,0.1357,26.0966
0.134938,0.005200,N1,ram,0.0067,1.2794
0.140020,0.005146,N0,package,0.3217,62.5056
0.140033,0.005134,N0,ram,0.0089,1.7387
0.140041,0.005111,N1,package,0.1378,26.9650
0.140044,0.005106,N1,ram,0.0059,1.1535
0.145144,0.005124,N0,package,0.3221,62.8594
0.145171,0.005138,N0,ram,0.0089,1.7373
0.145190,0.005149,N1,package,0.1420,27.5844
0.145197,0.005153,N1,ram,0.0067,1.2969
0.150374,0.005230,N0,package,0.3932,75.1918
0.150392,0.005221,N0,ram,0.0171,3.2675
0.150401,0.005211,N1,package,0.1783,34.2122
0.150404,0.005207,N1,ram,0.0101,1.9342
0.155513,0.005139,N0,package,0.3056,59.4661
0.155540,0.005148,N0,ram,0.0221,4.3009
0.155559,0.005158,N1,package,0.1457,28.2459
0.155566,0.005162,N1,ram,0.0074,1.4366
0.160718,0.005205,N0,package,0.3143,60.3912
0.160749,0.005209,N0,ram,0.0217,4.1743
0.160767,0.005208,N1,package,0.1509,28.9822
0.160775,0.005209,N1,ram,0.0096,1.8513
0.165925,0.005207,N0,package,0.3155,60.5890
0.165938,0.005189,N0,ram,0.0194,3.7403
0.165947,0.005180,N1,package,0.1429,27.5961
0.165950,0.005175,N1,ram,0.0066,1.2826
0.171045,0.005120,N0,package,0.3170,61.9049
0.171061,0.005123,N0,ram,0.0199,3.8810
0.171070,0.005123,N1,package,0.1508,29.4386
0.171074,0.005124,N1,ram,0.0089,1.7361
0.176152,0.005107,N0,package,0.3148,61.6336
0.176165,0.005104,N0,ram,0.0193,3.7818
0.176173,0.005103,N1,package,0.1423,27.8929
0.176177,0.005103,N1,ram,0.0083,1.6327
0.181281,0.005129,N0,package,0.3793,73.9571
0.181308,0.005143,N0,ram,0.0195,3.7858
0.181326,0.005153,N1,package,0.1760,34.1586
0.181334,0.005157,N1,ram,0.0093,1.8079
0.186424,0.005143,N0,package,0.3109,60.4545
0.186441,0.005133,N0,ram,0.0221,4.3134
0.186449,0.005123,N1,package,0.1453,28.3677
0.186453,0.005119,N1,ram,0.0082,1.5947
0.191565,0.005141,N0,package,0.3143,61.1299
0.191590,0.005149,N0,ram,0.0196,3.8020
0.191598,0.005149,N1,package,0.1462,28.4023
0.191602,0.005149,N1,ram,0.0067,1.2921
0.196736,0.005171,N0,package,0.3173,61.3649
0.196762,0.005172,N0,ram,0.0167,3.2246
0.196780,0.005182,N1,package,0.1451,28.0086
0.196787,0.005185,N1,ram,0.0059,1.1330
0.201945,0.005209,N0,package,0.3035,58.2585
0.201976,0.005214,N0,ram,0.0226,4.3400
0.201995,0.005215,N1,package,0.1412,27.0816
0.202003,0.005216,N1,ram,0.0059,1.1351
0.207118,0.005173,N0,package,0.3171,61.3069
0.207132,0.005156,N0,ram,0.0125,2.4237
0.207141,0.005146,N1,package,0.1493,29.0111
0.207144,0.005141,N1,ram,0.0074,1.4425
0.212295,0.005177,N0,package,0.3699,71.4452
0.212329,0.005197,N0,ram,0.0243,4.6830
0.212348,0.005207,N1,package,0.1738,33.3847
0.212356,0.005212,N1,ram,0.0080,1.5341
0.217470,0.005175,N0,package,0.3151,60.8805
0.217483,0.005154,N0,ram,0.0192,3.7274
0.217492,0.005144,N1,package,0.1440,27.9896
0.217495,0.005139,N1,ram,0.0067,1.2976
0.222637,0.005167,N0,package,0.3074,59.4904
0.222653,0.005170,N0,ram,0.0196,3.7866
0.222661,0.005169,N1,package,0.1465,28.3395
0.222665,0.005170,N1,ram,0.0059,1.1363
0.227803,0.005166,N0,package,0.3177,61.4953
0.227837,0.005184,N0,ram,0.0189,3.6499
0.227855,0.005194,N1,package,0.1453,27.9679
0.227862,0.005197,N1,ram,0.0059,1.1333
0.233004,0.005201,N0,package,0.3021,58.0885
0.233037,0.005200,N0,ram,0.0224,4.3107
0.233056,0.005201,N1,package,0.1433,27.5539
0.233064,0.005202,N1,ram,0.0059,1.1352
