#timestamp,interval,socket,domain,energy,power
0.005138,0.005201,N0,package,0.1405,27.0141
0.005185,0.005241,N0,ram,0.0110,2.1079
0.005249,0.005259,N1,package,0.1055,20.0664
0.005262,0.005262,N1,ram,0.0102,1.9429
0.010397,0.005259,N0,package,0.0970,18.4416
0.010424,0.005239,N0,ram,0.0078,1.4854
0.010477,0.005228,N1,package,0.1040,19.8944
0.010498,0.005236,N1,ram,0.0106,2.0195
0.015646,0.005249,N0,package,0.0995,18.9651
0.015662,0.005238,N0,ram,0.0070,1.3429
0.015723,0.005246,N1,package,0.1039,19.8131
0.015760,0.005262,N1,ram,0.0104,1.9835
0.020836,0.005190,N0,package,0.0984,18.9695
0.020866,0.005204,N0,ram,0.0057,1.0996
0.020886,0.005163,N1,package,0.1070,20.7235
0.020897,0.005137,N1,ram,0.0105,2.0347
0.025990,0.005154,N0,package,0.1102,21.3748
0.026014,0.005148,N0,ram,0.0095,1.8436
0.026091,0.005205,N1,package,0.1001,19.2314
0.026105,0.005208,N1,ram,0.0103,1.9777
0.031186,0.005196,N0,package,0.1573,30.2835
0.031197,0.005183,N0,ram,0.0115,2.2227
0.031255,0.005164,N1,package,0.1135,21.9834
0.031268,0.005163,N1,ram,0.0116,2.2402
0.036348,0.005162,N0,package,0.1342,25.9890
0.036359,0.005162,N0,ram,0.0092,1.7825
0.036432,0.005177,N1,package,0.0908,17.5312
0.036455,0.005187,N1,ram,0.0089,1.7150
0.041578,0.005230,N0,package,0.1345,25.7097
0.041589,0.005230,N0,ram,0.0092,1.7621
0.041647,0.005215,N1,package,0.0919,17.6261
0.041659,0.005204,N1,ram,0.0089,1.7153
0.046783,0.005205,N0,package,0.1397,26.8406
0.046795,0.005206,N0,ram,0.0095,1.8202
0.046814,0.005167,N1,package,0.0919,17.7778
0.046828,0.005169,N1,ram,0.0089,1.7210
0.051907,0.005124,N0,package,0.1319,25.7418
0.051918,0.005123,N0,ram,0.0101,1.9628
0.051965,0.005151,N1,package,0.0856,16.6125
0.051978,0.005150,N1,ram,0.0080,1.5467
0.057072,0.005165,N0,package,0.1362,26.3634
0.057082,0.005164,N0,ram,0.0099,1.9207
0.057152,0.005187,N1,package,0.0870,16.7678
0.057169,0.005191,N1,ram,0.0072,1.3845
0.062251,0.005179,N0,package,0.1671,32.2563
0.062261,0.005179,N0,ram,0.0117,2.2510
0.062324,0.005172,N1,package,0.1053,20.3686
0.062337,0.005168,N1,ram,0.0076,1.4733
0.067446,0.005195,N0,package,0.1409,27.1273
0.067457,0.005196,N0,ram,0.0093,1.7913
0.067520,0.005196,N1,package,0.0970,18.6658
0.067533,0.005196,N1,ram,0.0096,1.8530
0.072656,0.005210,N0,package,0.1147,22.0245
0.072675,0.005218,N0,ram,0.0087,1.6668
0.072739,0.005219,N1,package,0.1047,20.0683
0.072774,0.005241,N1,ram,0.0098,1.8692
0.077859,0.005203,N0,package,0.1191,22.8984
0.077870,0.005195,N0,ram,0.0098,1.8945
0.077891,0.005152,N1,package,0.0887,17.2136
0.077903,0.005129,N1,ram,0.0061,1.1840
0.082981,0.005122,N0,package,0.1353,26.4187
0.082991,0.005121,N0,ram,0.0123,2.4046
0.083019,0.005128,N1,package,0.0895,17.4602
0.083037,0.005134,N1,ram,0.0066,1.2929
0.088113,0.005132,N0,package,0.1456,28.3652
0.088122,0.005131,N0,ram,0.0109,2.1174
