#timestamp,interval,socket,domain,energy,power
0.005152,0.005229,N0,package,0.1176,22.4928
0.005174,0.005243,N0,ram,0.0099,1.8917
0.005241,0.005249,N1,package,0.0872,16.6047
0.005256,0.005256,N1,ram,0.0083,1.5734
0.010399,0.005247,N0,package,0.1456,27.7543
0.010415,0.005241,N0,ram,0.0123,2.3437
0.010459,0.005218,N1,package,0.1017,19.4997
0.010471,0.005215,N1,ram,0.0096,1.8404
0.015559,0.005160,N0,package,0.1243,24.0954
0.015576,0.005161,N0,ram,0.0104,2.0223
0.015642,0.005183,N1,package,0.0837,16.1560
0.015655,0.005184,N1,ram,0.0053,1.0214
0.020784,0.005225,N0,package,0.1240,23.7240
0.020799,0.005223,N0,ram,0.0104,1.9983
0.020868,0.005226,N1,package,0.0786,15.0430
0.020882,0.005227,N1,ram,0.0062,1.1823
0.025992,0.005208,N0,package,0.1237,23.7436
0.026009,0.005210,N0,ram,0.0101,1.9389
0.026073,0.005205,N1,package,0.0817,15.6900
0.026089,0.005207,N1,ram,0.0062,1.1839
0.031208,0.005216,N0,package,0.1298,24.8780
0.031224,0.005215,N0,ram,0.0099,1.9048
0.031274,0.005201,N1,package,0.0923,17.7434
0.031288,0.005199,N1,ram,0.0083,1.5877
0.036416,0.005208,N0,package,0.1685,32.3457
0.036432,0.005208,N0,ram,0.0119,2.2765
0.036474,0.005200,N1,package,0.1128,21.6913
0.036486,0.005198,N1,ram,0.0116,2.2251
0.041576,0.005160,N0,package,0.1461,28.3170
0.041593,0.005161,N0,ram,0.0095,1.8330
0.041640,0.005166,N1,package,0.0963,18.6435
0.041653,0.005167,N1,ram,0.0096,1.8664
0.046765,0.005189,N0,package,0.1474,28.4065
0.046778,0.005185,N0,ram,0.0098,1.8864
0.046853,0.005213,N1,package,0.0949,18.2063
0.046878,0.005225,N1,ram,0.0097,1.8486
0.052016,0.005251,N0,package,0.1475,28.0944
0.052050,0.005272,N0,ram,0.0095,1.7944
0.052100,0.005247,N1,package,0.0972,18.5192
0.052113,0.005235,N1,ram,0.0097,1.8509
0.057245,0.005229,N0,package,0.1483,28.3524
0.057259,0.005209,N0,ram,0.0093,1.7898
0.057324,0.005224,N1,package,0.1104,21.1347
0.057336,0.005223,N1,ram,0.0078,1.4987
0.062410,0.005165,N0,package,0.1763,34.1388
0.062425,0.005166,N0,ram,0.0113,2.1887
0.062470,0.005146,N1,package,0.0963,18.7051
0.062481,0.005145,N1,ram,0.0066,1.2901
0.067562,0.005152,N0,package,0.1530,29.6884
0.067578,0.005153,N0,ram,0.0096,1.8626
0.067624,0.005154,N1,package,0.1037,20.1195
0.067637,0.005156,N1,ram,0.0097,1.8734
0.072739,0.005177,N0,package,0.1536,29.6627
0.072753,0.005175,N0,ram,0.0102,1.9697
0.072819,0.005195,N1,package,0.1065,20.5021
0.072831,0.005194,N1,ram,0.0096,1.8537
0.077912,0.005173,N0,package,0.1523,29.4382
0.077925,0.005172,N0,ram,0.0110,2.1212
0.078003,0.005184,N1,package,0.0986,19.0258
0.078014,0.005183,N1,ram,0.0060,1.1658
0.083116,0.005204,N0,package,0.1501,28.8523
0.083129,0.005204,N0,ram,0.0122,2.3456
0.083193,0.005190,N1,package,0.1053,20.2984
0.083205,0.005191,N1,ram,0.0070,1.3581
0.088313,0.005197,N0,package,0.1531,29.4544
0.088326,0.005197,N0,ram,0.0118,2.2726
0.088418,0.005225,N1,package,0.1263,24.1807
0.088430,0.005225,N1,ram,0.0080,1.5244
0.093511,0.005198,N0,package,0.1834,35.2848
0.093524,0.005198,N0,ram,0.0154,2.9590
0.093564,0.005146,N1,package,0.1060,20.5901
0.093573,0.005143,N1,ram,0.0054,1.0562
0.098669,0.005158,N0,package,0.1520,29.4766
0.098683,0.005159,N0,ram,0.0130,2.5169
0.098746,0.005182,N1,package,0.1063,20.5059
0.098758,0.005185,N1,ram,0.0052,1.0124
0.103836,0.005167,N0,package,0.1550,29.9919
0.103849,0.005166,N0,ram,0.0119,2.2950
0.103912,0.005166,N1,package,0.1064,20.5929
0.103924,0.005166,N1,ram,0.0040,0.7739
0.109026,0.005190,N0,package,0.1524,29.3657
0.109038,0.005189,N0,ram,0.0137,2.6407
0.109103,0.005191,N1,package,0.1127,21.7057
0.109115,0.005191,N1,ram,0.0057,1.1052
0.114219,0.005193,N0,package,0.1537,29.6067
0.114231,0.005193,N0,ram,0.0115,2.2184
0.114295,0.005192,N1,package,0.1132,21.8065
0.114307,0.005192,N1,ram,0.0067,1.2814
0.119401,0.005182,N0,package,0.1570,30.3054
0.119414,0.005183,N0,ram,0.0137,2.6349
0.119479,0.005184,N1,package,0.1445,27.8688
0.119490,0.005183,N1,ram,0.0061,1.1747
0.124570,0.005169,N0,package,0.1927,37.2883
0.124582,0.005168,N0,ram,0.0128,2.4772
0.124651,0.005172,N1,package,0.1204,23.2835
0.124662,0.005172,N1,ram,0.0040,0.7759
0.129740,0.005170,N0,package,0.1657,32.0531
0.129752,0.005170,N0,ram,0.0120,2.3198
0.129809,0.005158,N1,package,0.1282,24.8605
0.129818,0.005156,N1,ram,0.0048,0.9323
0.134896,0.005156,N0,package,0.1733,33.6188
0.134909,0.005157,N0,ram,0.0124,2.3996
0.134974,0.005165,N1,package,0.1292,25.0056
0.134986,0.005168,N1,ram,0.0040,0.7765
0.140088,0.005192,N0,package,0.1766,34.0205
0.140100,0.005191,N0,ram,0.0135,2.6015
0.140164,0.005190,N1,package,0.1321,25.4483
0.140175,0.005189,N1,ram,0.0051,0.9822
0.145276,0.005188,N0,package,0.1740,33.5412
0.145288,0.005188,N0,ram,0.0140,2.6971
0.145350,0.005186,N1,package,0.1355,26.1285
0.145377,0.005202,N1,ram,0.0078,1.5047
0.150456,0.005180,N0,package,0.2206,42.5842
0.150468,0.005180,N0,ram,0.0167,3.2225
0.150532,0.005182,N1,package,0.1709,32.9791
0.150543,0.005166,N1,ram,0.0040,0.7768
0.155621,0.005165,N0,package,0.1819,35.2142
0.155648,0.005180,N0,ram,0.0138,2.6689
0.155696,0.005164,N1,package,0.1396,27.0301
0.155707,0.005164,N1,ram,0.0035,0.6855
0.160785,0.005164,N0,package,0.1850,35.8251
0.160796,0.005148,N0,ram,0.0135,2.6260
0.160861,0.005165,N1,package,0.1414,27.3809
0.160872,0.005165,N1,ram,0.0040,0.7770
0.165975,0.005190,N0,package,0.1823,35.1266
0.165987,0.005191,N0,ram,0.0137,2.6368
0.166049,0.005188,N1,package,0.1439,27.7412
0.166061,0.005189,N1,ram,0.0043,0.8351
0.171162,0.005187,N0,package,0.1830,35.2888
0.171174,0.005187,N0,ram,0.0137,2.6358
0.171237,0.005188,N1,package,0.1404,27.0588
0.171249,0.005188,N1,ram,0.0056,1.0824
0.176373,0.005211,N0,package,0.1854,35.5842
0.176386,0.005212,N0,ram,0.0136,2.6173
0.176463,0.005226,N1,package,0.1728,33.0628
0.176472,0.005223,N1,ram,0.0084,1.6127
0.181551,0.005178,N0,package,0.2202,42.5174
0.181563,0.005177,N0,ram,0.0170,3.2893
0.181615,0.005152,N1,package,0.1412,27.4019
0.181624,0.005152,N1,ram,0.0048,0.9388
0.186703,0.005152,N0,package,0.1823,35.3867
0.186714,0.005151,N0,ram,0.0134,2.6038
0.186770,0.005155,N1,package,0.1440,27.9314
0.186780,0.005156,N1,ram,0.0047,0.9204
0.191859,0.005156,N0,package,0.1849,35.8679
0.191870,0.005156,N0,ram,0.0143,2.7642
0.191935,0.005165,N1,package,0.1420,27.4860
0.191946,0.005166,N1,ram,0.0039,0.7502
0.197046,0.005187,N0,package,0.1813,34.9476
0.197058,0.005188,N0,ram,0.0138,2.6618
0.197120,0.005185,N1,package,0.1435,27.6754
0.197132,0.005186,N1,ram,0.0052,1.0092
0.202232,0.005186,N0,package,0.1843,35.5425
0.202245,0.005187,N0,ram,0.0137,2.6328
0.202300,0.005180,N1,package,0.1437,27.7362
0.202311,0.005179,N1,ram,0.0060,1.1638
0.207395,0.005163,N0,package,0.1862,36.0563
0.207408,0.005163,N0,ram,0.0138,2.6747
0.207470,0.005170,N1,package,0.1693,32.7497
0.207482,0.005171,N1,ram,0.0086,1.6613
0.212561,0.005166,N0,package,0.2199,42.5682
0.212574,0.005166,N0,ram,0.0163,3.1486
0.212649,0.005179,N1,package,0.1438,27.7649
0.212658,0.005176,N1,ram,0.0069,1.3384
0.217736,0.005175,N0,package,0.1826,35.2774
0.217747,0.005173,N0,ram,0.0139,2.6783
0.217800,0.005151,N1,package,0.1439,27.9402
0.217810,0.005152,N1,ram,0.0035,0.6842
0.222889,0.005153,N0,package,0.1829,35.4868
0.222900,0.005153,N0,ram,0.0137,2.6590
0.222965,0.005165,N1,package,0.1436,27.7945
0.222976,0.005166,N1,ram,0.0066,1.2819
0.228077,0.005188,N0,package,0.1841,35.4925
0.228089,0.005189,N0,ram,0.0137,2.6319
0.228152,0.005187,N1,package,0.1444,27.8404
0.228164,0.005188,N1,ram,0.0064,1.2412
0.233264,0.005187,N0,package,0.1840,35.4787
0.233277,0.005188,N0,ram,0.0139,2.6824
