#timestamp,interval,socket,domain,energy,power
0.005145,0.005202,N0,package,0.1375,26.4225
0.005185,0.005232,N0,ram,0.0112,2.1378
0.005247,0.005252,N1,package,0.1116,21.2442
0.005257,0.005257,N1,ram,0.0097,1.8374
0.010418,0.005273,N0,package,0.1162,22.0394
0.010467,0.005282,N0,ram,0.0102,1.9326
0.010524,0.005277,N1,package,0.0891,16.8747
0.010541,0.005284,N1,ram,0.0079,1.5045
0.015634,0.005216,N0,package,0.1182,22.6536
0.015669,0.005202,N0,ram,0.0101,1.9389
0.015736,0.005212,N1,package,0.0837,16.0666
0.015745,0.005204,N1,ram,0.0067,1.2960
0.020861,0.005227,N0,package,0.1195,22.8640
0.020879,0.005210,N0,ram,0.0099,1.9036
0.020963,0.005227,N1,package,0.0856,16.3715
0.020991,0.005246,N1,ram,0.0072,1.3699
0.026133,0.005272,N0,package,0.1531,29.0464
0.026165,0.005286,N0,ram,0.0119,2.2487
0.026220,0.005257,N1,package,0.1084,20.6193
0.026237,0.005246,N1,ram,0.0101,1.9197
0.031387,0.005254,N0,package,0.1371,26.0914
0.031422,0.005257,N0,ram,0.0095,1.7996
0.031510,0.005290,N1,package,0.0897,16.9613
0.031520,0.005283,N1,ram,0.0097,1.8283
0.036627,0.005240,N0,package,0.1397,26.6623
0.036669,0.005247,N0,ram,0.0098,1.8670
0.036732,0.005222,N1,package,0.0938,17.9526
0.036741,0.005221,N1,ram,0.0089,1.7038
0.041857,0.005230,N0,package,0.1426,27.2735
0.041884,0.005215,N0,ram,0.0093,1.7848
0.041939,0.005207,N1,package,0.0955,18.3443
0.041956,0.005215,N1,ram,0.0096,1.8492
0.047087,0.005230,N0,package,0.1438,27.4953
0.047103,0.005219,N0,ram,0.0093,1.7835
0.047149,0.005210,N1,package,0.0958,18.3928
0.047158,0.005202,N1,ram,0.0097,1.8567
0.052314,0.005227,N0,package,0.1674,32.0175
0.052340,0.005237,N0,ram,0.0091,1.7336
0.052394,0.005245,N1,package,0.1071,20.4227
0.052411,0.005253,N1,ram,0.0079,1.4959
0.057490,0.005176,N0,package,0.1420,27.4408
0.057524,0.005184,N0,ram,0.0092,1.7720
0.057568,0.005174,N1,package,0.0936,18.0835
0.057577,0.005166,N1,ram,0.0059,1.1402
0.062664,0.005174,N0,package,0.1459,28.2046
0.062697,0.005173,N0,ram,0.0090,1.7492
0.062741,0.005173,N1,package,0.1026,19.8339
0.062751,0.005174,N1,ram,0.0096,1.8638
0.067861,0.005197,N0,package,0.1429,27.5049
0.067886,0.005189,N0,ram,0.0068,1.3115
0.067939,0.005198,N1,package,0.1065,20.4899
0.067957,0.005206,N1,ram,0.0093,1.7909
0.073056,0.005195,N0,package,0.2081,40.0525
0.073079,0.005193,N0,ram,0.0181,3.4907
0.073130,0.005191,N1,package,0.1036,19.9537
0.073175,0.005218,N1,ram,0.0114,2.1903
0.078296,0.005240,N0,package,0.3057,58.3332
0.078314,0.005235,N0,ram,0.0269,5.1473
0.078356,0.005226,N1,package,0.1231,23.5562
0.078379,0.005204,N1,ram,0.0067,1.2813
0.083512,0.005216,N0,package,0.2531,48.5251
0.083545,0.005231,N0,ram,0.0224,4.2764
0.083560,0.005204,N1,package,0.1069,20.5485
0.083582,0.005203,N1,ram,0.0059,1.1320
0.088696,0.005184,N0,package,0.2593,50.0155
0.088714,0.005169,N0,ram,0.0224,4.3336
0.088761,0.005201,N1,package,0.1115,21.4399
0.088783,0.005201,N1,ram,0.0059,1.1354
0.093890,0.005194,N0,package,0.2563,49.3433
0.093918,0.005204,N0,ram,0.0224,4.3130
0.093970,0.005209,N1,package,0.1103,21.1732
0.094013,0.005230,N1,ram,0.0059,1.1291
0.099161,0.005271,N0,package,0.3088,58.5924
0.099203,0.005285,N0,ram,0.0268,5.0788
0.099243,0.005273,N1,package,0.1334,25.2921
0.099265,0.005252,N1,ram,0.0078,1.4904
0.104385,0.005224,N0,package,0.2695,51.5832
0.104402,0.005199,N0,ram,0.0224,4.3171
0.104451,0.005208,N1,package,0.1124,21.5755
0.104479,0.005214,N1,ram,0.0054,1.0418
0.109590,0.005205,N0,package,0.2651,50.9373
0.109618,0.005216,N0,ram,0.0179,3.4315
0.109644,0.005193,N1,package,0.1169,22.5077
0.109682,0.005203,N1,ram,0.0047,0.9062
0.114782,0.005192,N0,package,0.2744,52.8411
0.114800,0.005182,N0,ram,0.0224,4.3197
0.114840,0.005196,N1,package,0.1182,22.7409
0.114862,0.005180,N1,ram,0.0056,1.0811
0.119976,0.005194,N0,package,0.2802,53.9498
0.120013,0.005213,N0,ram,0.0225,4.3086
0.120066,0.005226,N1,package,0.1287,24.6201
0.120108,0.005246,N1,ram,0.0068,1.2944
0.125268,0.005292,N0,package,0.3423,64.6805
0.125303,0.005290,N0,ram,0.0269,5.0795
0.125343,0.005277,N1,package,0.1552,29.4121
0.125365,0.005257,N1,ram,0.0063,1.2016
0.130486,0.005218,N0,package,0.2859,54.7886
0.130520,0.005217,N0,ram,0.0223,4.2821
0.130533,0.005190,N1,package,0.1342,25.8493
0.130552,0.005187,N1,ram,0.0074,1.4267
0.135645,0.005159,N0,package,0.2975,57.6763
0.135680,0.005160,N0,ram,0.0224,4.3351
0.135693,0.005160,N1,package,0.1345,26.0696
0.135711,0.005159,N1,ram,0.0054,1.0470
0.140796,0.005151,N0,package,0.2990,58.0369
0.140815,0.005135,N0,ram,0.0224,4.3562
0.140855,0.005162,N1,package,0.1390,26.9349
0.140875,0.005164,N1,ram,0.0041,0.7948
0.145988,0.005192,N0,package,0.3084,59.4007
0.146021,0.005206,N0,ram,0.0224,4.3028
0.146072,0.005217,N1,package,0.1434,27.4825
0.146116,0.005241,N1,ram,0.0057,1.0947
0.151238,0.005250,N0,package,0.3757,71.5684
0.151259,0.005238,N0,ram,0.0268,5.1241
0.151297,0.005225,N1,package,0.1760,33.6879
0.151318,0.005202,N1,ram,0.0072,1.3845
0.156480,0.005242,N0,package,0.3109,59.2990
0.156510,0.005251,N0,ram,0.0223,4.2456
0.156535,0.005238,N1,package,0.1469,28.0366
0.156570,0.005252,N1,ram,0.0056,1.0663
0.161663,0.005183,N0,package,0.3084,59.5045
0.161702,0.005192,N0,ram,0.0223,4.2966
0.161717,0.005182,N1,package,0.1436,27.7142
0.161760,0.005190,N1,ram,0.0051,0.9878
0.166850,0.005187,N0,package,0.3130,60.3405
0.166866,0.005164,N0,ram,0.0224,4.3346
0.166909,0.005192,N1,package,0.1474,28.3896
0.166929,0.005169,N1,ram,0.0051,0.9919
0.172070,0.005220,N0,package,0.3100,59.3872
0.172100,0.005234,N0,ram,0.0222,4.2447
0.172152,0.005243,N1,package,0.1481,28.2530
0.172193,0.005264,N1,ram,0.0078,1.4899
0.177322,0.005252,N0,package,0.3739,71.1938
0.177340,0.005240,N0,ram,0.0269,5.1339
0.177380,0.005228,N1,package,0.1743,33.3426
0.177402,0.005209,N1,ram,0.0060,1.1571
0.182542,0.005220,N0,package,0.3138,60.1211
0.182575,0.005235,N0,ram,0.0225,4.3022
0.182588,0.005208,N1,package,0.1465,28.1384
0.182605,0.005203,N1,ram,0.0052,1.0088
0.187694,0.005152,N0,package,0.3113,60.4193
0.187730,0.005155,N0,ram,0.0222,4.3038
0.187790,0.005202,N1,package,0.1447,27.8200
0.187811,0.005206,N1,ram,0.0053,1.0112
0.192933,0.005239,N0,package,0.3077,58.7283
0.192967,0.005237,N0,ram,0.0223,4.2657
0.193018,0.005228,N1,package,0.1478,28.2758
0.193061,0.005250,N1,ram,0.0056,1.0579
0.198202,0.005269,N0,package,0.3721,70.6291
0.198221,0.005254,N0,ram,0.0267,5.0911
0.198260,0.005242,N1,package,0.1740,33.1949
0.198282,0.005221,N1,ram,0.0069,1.3122
0.203398,0.005196,N0,package,0.3148,60.5877
0.203416,0.005195,N0,ram,0.0224,4.3119
0.203461,0.005201,N1,package,0.1478,28.4118
0.203489,0.005207,N1,ram,0.0060,1.1575
0.208606,0.005208,N0,package,0.3123,59.9685
0.208644,0.005228,N0,ram,0.0224,4.2787
0.208657,0.005196,N1,package,0.1450,27.9093
0.208674,0.005185,N1,ram,0.0048,0.9329
0.213790,0.005184,N0,package,0.3149,60.7533
0.213813,0.005169,N0,ram,0.0224,4.3304
0.213852,0.005195,N1,package,0.1479,28.4679
0.213874,0.005200,N1,ram,0.0049,0.9448
0.218983,0.005193,N0,package,0.3085,59.4015
0.219016,0.005203,N0,ram,0.0223,4.2905
0.219068,0.005216,N1,package,0.1459,27.9660
0.219111,0.005237,N1,ram,0.0050,0.9586
0.224264,0.005281,N0,package,0.3142,59.4983
0.224295,0.005279,N0,ram,0.0268,5.0701
0.224346,0.005278,N1,package,0.1765,33.4441
0.224388,0.005277,N1,ram,0.0070,1.3301
0.229518,0.005254,N0,package,0.3741,71.2111
0.229554,0.005259,N0,ram,0.0179,3.4092
0.229567,0.005221,N1,package,0.1428,27.3547
0.229586,0.005198,N1,ram,0.0060,1.1595
0.234699,0.005181,N0,package,0.3091,59.6560
0.234732,0.005178,N0,ram,0.0223,4.3142
0.234783,0.005216,N1,package,0.1467,28.1311
0.234825,0.005239,N1,ram,0.0048,0.9116
0.239941,0.005242,N0,package,0.3148,60.0469
0.239971,0.005239,N0,ram,0.0224,4.2727
0.240024,0.005241,N1,package,0.1494,28.4962
0.240067,0.005242,N1,ram,0.0052,0.9839
0.245185,0.005244,N0,package,0.3124,59.5801
0.245210,0.005239,N0,ram,0.0223,4.2639
0.245249,0.005225,N1,package,0.1467,28.0823
0.245271,0.005204,N1,ram,0.0056,1.0673
0.250420,0.005235,N0,package,0.3748,71.5839
0.250444,0.005234,N0,ram,0.0270,5.1543
0.250483,0.005234,N1,package,0.1785,34.0976
0.250514,0.005243,N1,ram,0.0067,1.2834
0.255608,0.005188,N0,package,0.3136,60.4471
0.255642,0.005198,N0,ram,0.0224,4.3035
0.255655,0.005172,N1,package,0.1447,27.9803
0.255674,0.005160,N1,ram,0.0046,0.8960
0.260783,0.005175,N0,package,0.3112,60.1284
0.260800,0.005158,N0,ram,0.0223,4.3280
0.260842,0.005187,N1,package,0.1468,28.2993
0.260863,0.005189,N1,ram,0.0041,0.7822
0.265972,0.005189,N0,package,0.3138,60.4830
0.266005,0.005205,N0,ram,0.0224,4.3093
0.266056,0.005214,N1,package,0.1469,28.1648
0.266103,0.005240,N1,ram,0.0036,0.6960
0.271244,0.005272,N0,package,0.3066,58.1508
0.271282,0.005277,N0,ram,0.0223,4.2304
0.271336,0.005280,N1,package,0.1764,33.4074
0.271376,0.005273,N1,ram,0.0074,1.3948
0.276528,0.005284,N0,package,0.3783,71.5950
0.276557,0.005275,N0,ram,0.0268,5.0882
0.276583,0.005247,N1,package,0.1463,27.8835
0.276628,0.005252,N1,ram,0.0051,0.9675
0.281717,0.005189,N0,package,0.3156,60.8096
0.281751,0.005194,N0,ram,0.0179,3.4460
0.281807,0.005224,N1,package,0.1456,27.8771
0.281828,0.005200,N1,ram,0.0053,1.0124
0.286941,0.005224,N0,package,0.3092,59.1893
0.286958,0.005207,N0,ram,0.0224,4.2989
0.286998,0.005191,N1,package,0.1490,28.7005
0.287020,0.005192,N1,ram,0.0059,1.1315
0.292161,0.005220,N0,package,0.3109,59.5509
0.292191,0.005233,N0,ram,0.0223,4.2601
0.292242,0.005244,N1,package,0.1475,28.1315
0.292286,0.005266,N1,ram,0.0062,1.1706
0.297406,0.005245,N0,package,0.3783,72.1255
0.297425,0.005234,N0,ram,0.0269,5.1339
0.297464,0.005222,N1,package,0.1768,33.8497
0.297497,0.005211,N1,ram,0.0069,1.3235
