#timestamp,interval,socket,domain,energy,power
0.005181,0.005239,N0,package,0.1331,25.4089
0.005227,0.005275,N0,ram,0.0109,2.0711
0.005283,0.005288,N1,package,0.1081,20.4417
0.005299,0.005299,N1,ram,0.0107,2.0157
0.010444,0.005263,N0,package,0.1174,22.3007
0.010467,0.005240,N0,ram,0.0104,1.9802
0.010546,0.005263,N1,package,0.0886,16.8386
0.010556,0.005257,N1,ram,0.0078,1.4861
0.015678,0.005234,N0,package,0.1184,22.6229
0.015696,0.005229,N0,ram,0.0101,1.9260
0.015741,0.005195,N1,package,0.0829,15.9552
0.015752,0.005196,N1,ram,0.0065,1.2422
0.020871,0.005193,N0,package,0.1211,23.3187
0.020888,0.005192,N0,ram,0.0103,1.9749
0.020937,0.005196,N1,package,0.0831,15.9985
0.020948,0.005196,N1,ram,0.0066,1.2686
0.026124,0.005253,N0,package,0.1530,29.1184
0.026160,0.005272,N0,ram,0.0115,2.1881
0.026209,0.005272,N1,package,0.1080,20.4805
0.026221,0.005273,N1,ram,0.0104,1.9649
0.031387,0.005263,N0,package,0.1383,26.2784
0.031415,0.005255,N0,ram,0.0077,1.4692
0.031486,0.005277,N1,package,0.0909,17.2224
0.031509,0.005288,N1,ram,0.0096,1.8236
0.036604,0.005217,N0,package,0.1426,27.3408
0.036639,0.005224,N0,ram,0.0099,1.9015
0.036684,0.005198,N1,package,0.0925,17.8009
0.036693,0.005184,N1,ram,0.0096,1.8603
0.041833,0.005229,N0,package,0.1425,27.2552
0.041862,0.005223,N0,ram,0.0077,1.4754
0.041918,0.005234,N1,package,0.0956,18.2732
0.041934,0.005241,N1,ram,0.0097,1.8459
0.047066,0.005233,N0,package,0.1730,33.0657
0.047082,0.005220,N0,ram,0.0111,2.1309
0.047128,0.005210,N1,package,0.1179,22.6210
0.047137,0.005203,N1,ram,0.0116,2.2230
0.052299,0.005233,N0,package,0.1431,27.3519
0.052326,0.005244,N0,ram,0.0092,1.7488
0.052380,0.005252,N1,package,0.0887,16.8978
0.052397,0.005260,N1,ram,0.0066,1.2619
0.057601,0.005302,N0,package,0.1453,27.3969
0.057634,0.005308,N0,ram,0.0094,1.7622
0.057679,0.005299,N1,package,0.0907,17.1158
