#timestamp,interval,socket,domain,energy,power
0.005134,0.005215,N0,package,0.1454,27.8788
0.005156,0.005227,N0,ram,0.0090,1.7223
0.005216,0.005239,N1,package,0.1122,21.4246
0.005242,0.005242,N1,ram,0.0104,1.9765
0.010349,0.005215,N0,package,0.1083,20.7735
0.010364,0.005208,N0,ram,0.0094,1.8137
0.010423,0.005207,N1,package,0.1097,21.0637
0.010434,0.005192,N1,ram,0.0107,2.0690
0.015598,0.005249,N0,package,0.1043,19.8730
0.015624,0.005260,N0,ram,0.0096,1.8305
0.015673,0.005250,N1,package,0.1118,21.2868
0.015684,0.005250,N1,ram,0.0105,1.9909
0.020845,0.005247,N0,package,0.1046,19.9258
0.020861,0.005237,N0,ram,0.0096,1.8356
0.020910,0.005237,N1,package,0.1147,21.8986
0.020921,0.005237,N1,ram,0.0104,1.9929
0.026043,0.005198,N0,package,0.1530,29.4373
0.026084,0.005223,N0,ram,0.0118,2.2670
0.026151,0.005241,N1,package,0.1252,23.8857
0.026162,0.005241,N1,ram,0.0121,2.3001
0.031274,0.005231,N0,package,0.1403,26.8252
0.031304,0.005220,N0,ram,0.0077,1.4733
0.031368,0.005217,N1,package,0.0994,19.0462
0.031383,0.005221,N1,ram,0.0096,1.8470
0.036551,0.005277,N0,package,0.1400,26.5206
0.036568,0.005264,N0,ram,0.0100,1.8986
0.036615,0.005247,N1,package,0.0991,18.8798
0.036628,0.005245,N1,ram,0.0096,1.8386
0.041785,0.005234,N0,package,0.1454,27.7772
0.041814,0.005246,N0,ram,0.0095,1.8063
0.041863,0.005248,N1,package,0.0953,18.1545
0.041874,0.005246,N1,ram,0.0089,1.6987
0.046959,0.005174,N0,package,0.1447,27.9582
0.046975,0.005161,N0,ram,0.0098,1.8951
0.047029,0.005166,N1,package,0.0998,19.3170
0.047040,0.005166,N1,ram,0.0089,1.7190
0.052182,0.005223,N0,package,0.1732,33.1642
0.052197,0.005222,N0,ram,0.0121,2.3259
0.052241,0.005212,N1,package,0.1213,23.2812
0.052254,0.005214,N1,ram,0.0108,2.0690
0.057362,0.005180,N0,package,0.1417,27.3604
0.057378,0.005181,N0,ram,0.0101,1.9497
0.057427,0.005186,N1,package,0.0961,18.5245
0.057441,0.005187,N1,ram,0.0078,1.5032
0.062571,0.005209,N0,package,0.1477,28.3559
0.062587,0.005209,N0,ram,0.0093,1.7897
0.062628,0.005201,N1,package,0.1008,19.3746
0.062638,0.005197,N1,ram,0.0083,1.5914
0.067801,0.005230,N0,package,0.1525,29.1511
0.067848,0.005261,N0,ram,0.0093,1.7750
0.067895,0.005267,N1,package,0.1046,19.8626
0.067905,0.005267,N1,ram,0.0092,1.7469
0.072988,0.005187,N0,package,0.1237,23.8397
0.073004,0.005156,N0,ram,0.0091,1.7579
0.073053,0.005158,N1,package,0.1105,21.4300
0.073093,0.005188,N1,ram,0.0084,1.6235
0.078200,0.005212,N0,package,0.1816,34.8399
0.078214,0.005210,N0,ram,0.0154,2.9464
0.078263,0.005210,N1,package,0.1214,23.3015
0.078275,0.005182,N1,ram,0.0090,1.7343
0.083382,0.005182,N0,package,0.1496,28.8685
0.083397,0.005183,N0,ram,0.0094,1.8135
0.083439,0.005176,N1,package,0.1025,19.7984
0.083449,0.005174,N1,ram,0.0065,1.2475
0.088580,0.005198,N0,package,0.1482,28.5097
0.088595,0.005198,N0,ram,0.0118,2.2721
0.088644,0.005205,N1,package,0.1040,19.9809
0.088657,0.005208,N1,ram,0.0066,1.2745
0.093807,0.005227,N0,package,0.1483,28.3627
0.093823,0.005228,N0,ram,0.0125,2.3874
0.093875,0.005231,N1,package,0.1033,19.7542
0.093886,0.005229,N1,ram,0.0060,1.1556
0.098969,0.005162,N0,package,0.1500,29.0632
0.098984,0.005161,N0,ram,0.0135,2.6077
0.099030,0.005155,N1,package,0.1052,20.4118
0.099042,0.005156,N1,ram,0.0059,1.1423
0.104150,0.005181,N0,package,0.1481,28.5806
0.104164,0.005180,N0,ram,0.0103,1.9972
0.104212,0.005182,N1,package,0.1335,25.7602
0.104223,0.005181,N1,ram,0.0093,1.7965
0.109342,0.005192,N0,package,0.1766,34.0205
0.109356,0.005192,N0,ram,0.0157,3.0212
0.109404,0.005192,N1,package,0.1089,20.9719
0.109415,0.005192,N1,ram,0.0059,1.1403
0.114548,0.005206,N0,package,0.1528,29.3446
0.114563,0.005207,N0,ram,0.0128,2.4557
0.114612,0.005208,N1,package,0.1121,21.5169
0.114623,0.005208,N1,ram,0.0059,1.1368
0.119754,0.005206,N0,package,0.1555,29.8618
0.119776,0.005213,N0,ram,0.0127,2.4441
0.119824,0.005212,N1,package,0.1183,22.7064
0.119835,0.005212,N1,ram,0.0046,0.8841
