#timestamp,interval,socket,domain,energy,power
0.005192,0.005254,N0,package,0.1325,25.2201
0.005238,0.005290,N0,ram,0.0096,1.8230
0.005298,0.005303,N1,package,0.1111,20.9583
0.005314,0.005314,N1,ram,0.0105,1.9784
0.010419,0.005227,N0,package,0.1171,22.3959
0.010452,0.005214,N0,ram,0.0096,1.8379
0.010519,0.005221,N1,package,0.0887,16.9864
0.010536,0.005222,N1,ram,0.0076,1.4464
0.015682,0.005263,N0,package,0.1208,22.9628
0.015700,0.005248,N0,ram,0.0076,1.4392
0.015746,0.005227,N1,package,0.0878,16.8028
0.015756,0.005220,N1,ram,0.0056,1.0698
0.020921,0.005239,N0,package,0.1179,22.5081
0.020950,0.005250,N0,ram,0.0096,1.8340
0.021008,0.005262,N1,package,0.1068,20.2990
0.021026,0.005270,N1,ram,0.0083,1.5751
0.026202,0.005281,N0,package,0.1561,29.5642
0.026238,0.005288,N0,ram,0.0119,2.2479
0.026286,0.005278,N1,package,0.0901,17.0682
0.026296,0.005270,N1,ram,0.0096,1.8299
0.031388,0.005186,N0,package,0.1369,26.3979
0.031425,0.005187,N0,ram,0.0095,1.8297
0.031476,0.005190,N1,package,0.0896,17.2642
0.031490,0.005194,N1,ram,0.0097,1.8596
0.036606,0.005218,N0,package,0.1409,26.9966
0.036635,0.005210,N0,ram,0.0092,1.7572
0.036690,0.005214,N1,package,0.0965,18.5073
0.036710,0.005220,N1,ram,0.0077,1.4820
0.041850,0.005244,N0,package,0.1386,26.4322
0.041890,0.005255,N0,ram,0.0094,1.7800
0.041944,0.005254,N1,package,0.0941,17.9131
0.041961,0.005251,N1,ram,0.0096,1.8365
0.047103,0.005253,N0,package,0.1682,32.0218
0.047119,0.005229,N0,ram,0.0115,2.2061
0.047196,0.005252,N1,package,0.1152,21.9289
0.047206,0.005245,N1,ram,0.0102,1.9462
0.052292,0.005189,N0,package,0.1393,26.8539
0.052326,0.005207,N0,ram,0.0092,1.7700
0.052372,0.005176,N1,package,0.0895,17.2994
0.052383,0.005177,N1,ram,0.0059,1.1407
0.057476,0.005184,N0,package,0.1428,27.5392
0.057519,0.005193,N0,ram,0.0093,1.7953
0.057564,0.005192,N1,package,0.0958,18.4562
0.057573,0.005190,N1,ram,0.0074,1.4259
0.062717,0.005241,N0,package,0.1445,27.5658
0.062751,0.005232,N0,ram,0.0104,1.9831
0.062802,0.005238,N1,package,0.1086,20.7410
0.062811,0.005238,N1,ram,0.0104,1.9925
0.067952,0.005235,N0,package,0.1226,23.4222
0.067992,0.005241,N0,ram,0.0075,1.4295
0.068045,0.005243,N1,package,0.0960,18.3115
0.068062,0.005251,N1,ram,0.0056,1.0636

libgomp: Invalid value for environment variable OMP_NUM_THREADS
0.073188,0.005236,N0,package,0.2206,42.1402
0.073226,0.005234,N0,ram,0.0191,3.6412
0.073242,0.005197,N1,package,0.1263,24.2999
0.073250,0.005188,N1,ram,0.0119,2.2853
0.078347,0.005159,N0,package,0.2538,49.2053
0.078383,0.005157,N0,ram,0.0226,4.3880
0.078398,0.005156,N1,package,0.1053,20.4199
0.078422,0.005172,N1,ram,0.0082,1.5784
0.083550,0.005203,N0,package,0.2504,48.1195
0.083589,0.005206,N0,ram,0.0225,4.3231
0.083634,0.005236,N1,package,0.1072,20.4805
0.083643,0.005221,N1,ram,0.0062,1.1837
0.088755,0.005205,N0,package,0.2530,48.6039
0.088786,0.005197,N0,ram,0.0224,4.3042
0.088839,0.005205,N1,package,0.1151,22.1043
0.088856,0.005213,N1,ram,0.0075,1.4343
0.093987,0.005232,N0,package,0.2505,47.8892
0.094007,0.005221,N0,ram,0.0223,4.2700
0.094050,0.005211,N1,package,0.1328,25.4747
0.094057,0.005201,N1,ram,0.0067,1.2938
0.099198,0.005211,N0,package,0.3106,59.6049
0.099233,0.005226,N0,ram,0.0269,5.1445
0.099248,0.005198,N1,package,0.1132,21.7707
0.099255,0.005198,N1,ram,0.0052,1.0039
0.104342,0.005144,N0,package,0.2614,50.8203
0.104376,0.005143,N0,ram,0.0224,4.3555
0.104391,0.005143,N1,package,0.1131,21.9900
0.104400,0.005145,N1,ram,0.0056,1.0795
0.109510,0.005168,N0,package,0.2663,51.5283
0.109539,0.005163,N0,ram,0.0224,4.3445
0.109595,0.005204,N1,package,0.1165,22.3899
0.109611,0.005211,N1,ram,0.0067,1.2767
0.114725,0.005215,N0,package,0.2706,51.8928
0.114759,0.005220,N0,ram,0.0223,4.2795
0.114814,0.005219,N1,package,0.1175,22.5126
