#timestamp,interval,socket,domain,energy,power
0.005148,0.005205,N0,package,0.1401,26.9122
0.005193,0.005240,N0,ram,0.0121,2.3180
0.005242,0.005247,N1,package,0.1176,22.4161
0.005251,0.005251,N1,ram,0.0111,2.1155
0.010405,0.005257,N0,package,0.1188,22.6057
0.010440,0.005247,N0,ram,0.0104,1.9746
0.010485,0.005243,N1,package,0.0936,17.8575
0.010494,0.005243,N1,ram,0.0083,1.5745
0.015618,0.005213,N0,package,0.1201,23.0418
0.015672,0.005232,N0,ram,0.0103,1.9627
0.015718,0.005233,N1,package,0.0906,17.3202
0.015730,0.005236,N1,ram,0.0072,1.3755
0.020871,0.005253,N0,package,0.1202,22.8893
0.020907,0.005235,N0,ram,0.0101,1.9267
0.020983,0.005265,N1,package,0.0905,17.1803
0.020993,0.005263,N1,ram,0.0072,1.3713
0.026157,0.005286,N0,package,0.1579,29.8711
0.026185,0.005278,N0,ram,0.0120,2.2723
0.026239,0.005256,N1,package,0.1108,21.0885
0.026256,0.005263,N1,ram,0.0108,2.0556
0.031397,0.005240,N0,package,0.1417,27.0350
0.031426,0.005241,N0,ram,0.0098,1.8692
0.031495,0.005256,N1,package,0.0949,18.0576
0.031507,0.005251,N1,ram,0.0096,1.8336
0.036684,0.005287,N0,package,0.1431,27.0707
0.036718,0.005292,N0,ram,0.0096,1.8165
0.036762,0.005267,N1,package,0.0963,18.2857
0.036771,0.005264,N1,ram,0.0097,1.8349
0.041882,0.005198,N0,package,0.1471,28.2983
0.041909,0.005191,N0,ram,0.0095,1.8224
0.041964,0.005202,N1,package,0.0973,18.7022
0.041980,0.005209,N1,ram,0.0097,1.8543
0.047165,0.005283,N0,package,0.1723,32.6152
0.047181,0.005272,N0,ram,0.0116,2.1910
0.047228,0.005264,N1,package,0.1161,22.0658
0.047236,0.005256,N1,ram,0.0101,1.9161
0.052388,0.005223,N0,package,0.1459,27.9407
0.052423,0.005242,N0,ram,0.0092,1.7494
0.052437,0.005209,N1,package,0.0925,17.7635
0.052446,0.005210,N1,ram,0.0067,1.2770
0.057529,0.005141,N0,package,0.1473,28.6476
0.057563,0.005140,N0,ram,0.0095,1.8466
0.057607,0.005170,N1,package,0.0955,18.4636
0.057616,0.005170,N1,ram,0.0059,1.1363
0.062734,0.005205,N0,package,0.1499,28.8001
0.062766,0.005203,N0,ram,0.0093,1.7919
0.062809,0.005202,N1,package,0.1034,19.8755
0.062818,0.005202,N1,ram,0.0089,1.7130
0.067919,0.005185,N0,package,0.1523,29.3691
0.067935,0.005169,N0,ram,0.0122,2.3527
0.067981,0.005172,N1,package,0.1042,20.1444
0.067990,0.005172,N1,ram,0.0092,1.7761
0.073113,0.005194,N0,package,0.2239,43.1152
0.073131,0.005196,N0,ram,0.0250,4.8162
0.073173,0.005192,N1,package,0.1031,19.8668
0.073181,0.005191,N1,ram,0.0078,1.5109
0.078347,0.005234,N0,package,0.1893,36.1616
0.078376,0.005245,N0,ram,0.0223,4.2531
0.078431,0.005258,N1,package,0.1240,23.5883
0.078451,0.005270,N1,ram,0.0075,1.4216
0.083538,0.005191,N0,package,0.1893,36.4723
0.083571,0.005195,N0,ram,0.0225,4.3354
0.083634,0.005203,N1,package,0.1041,20.0126
0.083642,0.005191,N1,ram,0.0054,1.0435
0.088745,0.005207,N0,package,0.1923,36.9248
0.088784,0.005213,N0,ram,0.0226,4.3379
0.088828,0.005194,N1,package,0.1118,21.5165
0.088836,0.005194,N1,ram,0.0066,1.2779
0.093940,0.005195,N0,package,0.1901,36.5966
0.093972,0.005188,N0,ram,0.0223,4.3059
0.094026,0.005198,N1,package,0.1076,20.7012
0.094042,0.005206,N1,ram,0.0057,1.0992
0.099184,0.005244,N0,package,0.2261,43.1225
0.099212,0.005240,N0,ram,0.0268,5.1135
0.099265,0.005239,N1,package,0.1333,25.4439
0.099282,0.005240,N1,ram,0.0077,1.4618
0.104397,0.005213,N0,package,0.1909,36.6233
0.104412,0.005200,N0,ram,0.0230,4.4193
0.104456,0.005191,N1,package,0.1149,22.1280
0.104464,0.005182,N1,ram,0.0059,1.1395
