#timestamp,interval,socket,domain,energy,power
0.005118,0.005177,N0,package,0.1237,23.8976
0.005138,0.005191,N0,ram,0.0099,1.9166
0.005202,0.005212,N1,package,0.0930,17.8349
0.005215,0.005215,N1,ram,0.0090,1.7293
0.010350,0.005232,N0,package,0.1257,24.0204
0.010364,0.005226,N0,ram,0.0106,2.0204
0.010425,0.005223,N1,package,0.0896,17.1547
0.010436,0.005221,N1,ram,0.0092,1.7681
0.015572,0.005222,N0,package,0.1253,23.9953
0.015606,0.005242,N0,ram,0.0098,1.8630
0.015660,0.005235,N1,package,0.0903,17.2555
0.015673,0.005237,N1,ram,0.0096,1.8240
0.020757,0.005185,N0,package,0.1528,29.4764
0.020773,0.005167,N0,ram,0.0123,2.3832
0.020820,0.005160,N1,package,0.1076,20.8533
0.020832,0.005159,N1,ram,0.0111,2.1561
0.025957,0.005200,N0,package,0.1334,25.6575
0.025971,0.005198,N0,ram,0.0099,1.9140
0.026036,0.005216,N1,package,0.0959,18.3835
0.026049,0.005217,N1,ram,0.0070,1.3366
0.031155,0.005198,N0,package,0.1402,26.9715
0.031185,0.005214,N0,ram,0.0092,1.7588
0.031261,0.005225,N1,package,0.0999,19.1226
0.031272,0.005223,N1,ram,0.0096,1.8464
0.036406,0.005251,N0,package,0.1432,27.2808
0.036437,0.005252,N0,ram,0.0095,1.8042
0.036515,0.005254,N1,package,0.1016,19.3304
0.036543,0.005271,N1,ram,0.0096,1.8295
0.041642,0.005236,N0,package,0.1427,27.2541
0.041657,0.005220,N0,ram,0.0117,2.2421
0.041703,0.005188,N1,package,0.1285,24.7647
0.041714,0.005171,N1,ram,0.0116,2.2339
0.046797,0.005155,N0,package,0.1777,34.4775
0.046811,0.005154,N0,ram,0.0096,1.8622
0.046830,0.005127,N1,package,0.1061,20.6905
0.046842,0.005128,N1,ram,0.0096,1.8805
0.051959,0.005162,N0,package,0.1511,29.2642
0.051973,0.005162,N0,ram,0.0093,1.8061
0.052032,0.005202,N1,package,0.1046,20.0984
0.052043,0.005201,N1,ram,0.0096,1.8542
0.057168,0.005209,N0,package,0.1501,28.8246
0.057182,0.005209,N0,ram,0.0094,1.7957
0.057236,0.005204,N1,package,0.1042,20.0324
