#timestamp,interval,socket,domain,energy,power
0.005116,0.005148,N0,package,0.1201,23.3320
0.005161,0.005187,N0,ram,0.0101,1.9474
0.005183,0.005191,N1,package,0.0880,16.9546
0.005195,0.005195,N1,ram,0.0090,1.7388
0.010306,0.005190,N0,package,0.1187,22.8622
0.010321,0.005160,N0,ram,0.0101,1.9517
0.010382,0.005199,N1,package,0.0923,17.7625
0.010393,0.005198,N1,ram,0.0099,1.9051
0.015502,0.005196,N0,package,0.1277,24.5851
0.015534,0.005213,N0,ram,0.0099,1.9026
0.015584,0.005202,N1,package,0.0898,17.2599
0.015634,0.005241,N1,ram,0.0098,1.8692
0.020718,0.005216,N0,package,0.1270,24.3514
0.020734,0.005200,N0,ram,0.0096,1.8428
0.020755,0.005171,N1,package,0.0906,17.5160
0.020766,0.005132,N1,ram,0.0096,1.8761
0.025892,0.005174,N0,package,0.1533,29.6333
0.025906,0.005172,N0,ram,0.0098,1.8911
0.025937,0.005182,N1,package,0.1152,22.2373
0.025957,0.005191,N1,ram,0.0116,2.2281
0.031070,0.005178,N0,package,0.1390,26.8518
0.031085,0.005179,N0,ram,0.0098,1.8886
0.031103,0.005166,N1,package,0.0966,18.7026
0.031113,0.005156,N1,ram,0.0097,1.8733
0.036227,0.005157,N0,package,0.1408,27.3030
0.036256,0.005171,N0,ram,0.0095,1.8295
0.036291,0.005188,N1,package,0.0994,19.1529
0.036302,0.005189,N1,ram,0.0096,1.8555
0.041458,0.005231,N0,package,0.1383,26.4401
0.041472,0.005216,N0,ram,0.0101,1.9336
0.041506,0.005215,N1,package,0.1100,21.1022
0.041516,0.005214,N1,ram,0.0103,1.9695
0.046654,0.005196,N0,package,0.1422,27.3690
0.046670,0.005198,N0,ram,0.0093,1.7936
0.046689,0.005183,N1,package,0.1081,20.8554
0.046701,0.005185,N1,ram,0.0077,1.4861
0.051784,0.005130,N0,package,0.1733,33.7788
0.051798,0.005128,N0,ram,0.0112,2.1930
0.051843,0.005154,N1,package,0.1230,23.8616
0.051856,0.005155,N1,ram,0.0116,2.2497
0.056964,0.005180,N0,package,0.1495,28.8555
0.056977,0.005179,N0,ram,0.0094,1.8061
0.057032,0.005189,N1,package,0.1030,19.8434
0.057042,0.005186,N1,ram,0.0097,1.8624
0.062151,0.005187,N0,package,0.1476,28.4523
0.062165,0.005188,N0,ram,0.0096,1.8529
0.062221,0.005189,N1,package,0.1088,20.9609
0.062232,0.005190,N1,ram,0.0097,1.8640
0.067360,0.005209,N0,package,0.1509,28.9652
0.067372,0.005207,N0,ram,0.0096,1.8374
0.067427,0.005206,N1,package,0.1139,21.8765
0.067437,0.005205,N1,ram,0.0098,1.8820
0.072610,0.005250,N0,package,0.1313,25.0187
0.072640,0.005268,N0,ram,0.0108,2.0594
0.072685,0.005258,N1,package,0.1293,24.5982
0.072695,0.005258,N1,ram,0.0126,2.3942
0.077796,0.005186,N0,package,0.1542,29.7403
0.077822,0.005182,N0,ram,0.0121,2.3350
0.077876,0.005191,N1,package,0.1528,29.4295
0.077925,0.005230,N1,ram,0.0130,2.4857
0.083065,0.005269,N0,package,0.1241,23.5623
0.083093,0.005271,N0,ram,0.0092,1.7398
0.083142,0.005266,N1,package,0.1274,24.1894
0.083162,0.005237,N1,ram,0.0077,1.4773
0.088328,0.005263,N0,package,0.1227,23.3212
0.088353,0.005260,N0,ram,0.0091,1.7289
0.088402,0.005260,N1,package,0.1287,24.4605
0.088418,0.005256,N1,ram,0.0077,1.4719
0.093580,0.005252,N0,package,0.1228,23.3826
0.093628,0.005275,N0,ram,0.0073,1.3827
0.093683,0.005281,N1,package,0.1311,24.8256
0.093702,0.005284,N1,ram,0.0096,1.8250
0.098808,0.005228,N0,package,0.1462,27.9606
0.098833,0.005205,N0,ram,0.0110,2.1137
0.098882,0.005199,N1,package,0.1600,30.7806
0.098896,0.005194,N1,ram,0.0116,2.2327
0.104027,0.005219,N0,package,0.1230,23.5651
0.104051,0.005218,N0,ram,0.0090,1.7341
0.104100,0.005218,N1,package,0.1360,26.0726
0.104118,0.005222,N1,ram,0.0096,1.8467
0.109282,0.005255,N0,package,0.1246,23.7056
0.109306,0.005255,N0,ram,0.0092,1.7567
0.109354,0.005254,N1,package,0.1400,26.6386
0.109372,0.005254,N1,ram,0.0096,1.8355
0.114504,0.005222,N0,package,0.1238,23.7147
0.114517,0.005211,N0,ram,0.0091,1.7422
0.114571,0.005217,N1,package,0.1422,27.2472
0.114581,0.005209,N1,ram,0.0097,1.8543
0.119674,0.005170,N0,package,0.1279,24.7323
0.119701,0.005184,N0,ram,0.0089,1.7219
0.119749,0.005178,N1,package,0.1473,28.4431
0.119764,0.005183,N1,ram,0.0097,1.8665
0.124869,0.005195,N0,package,0.1565,30.1246
0.124894,0.005193,N0,ram,0.0108,2.0892
0.124943,0.005194,N1,package,0.1789,34.4428
0.124958,0.005194,N1,ram,0.0116,2.2386
0.130081,0.005212,N0,package,0.1335,25.6105
0.130093,0.005199,N0,ram,0.0091,1.7463
0.130145,0.005202,N1,package,0.1564,30.0714
0.130155,0.005197,N1,ram,0.0097,1.8585
0.135313,0.005232,N0,package,0.1404,26.8319
0.135337,0.005244,N0,ram,0.0090,1.7255
0.135384,0.005239,N1,package,0.1562,29.8243
0.135400,0.005245,N1,ram,0.0097,1.8444
0.140567,0.005254,N0,package,0.1443,27.4622
0.140601,0.005264,N0,ram,0.0089,1.6957
0.140649,0.005265,N1,package,0.1640,31.1494
0.140664,0.005264,N1,ram,0.0097,1.8349
0.145786,0.005219,N0,package,0.1393,26.6876
0.145799,0.005198,N0,ram,0.0076,1.4589
0.145857,0.005208,N1,package,0.1971,37.8422
0.145866,0.005202,N1,ram,0.0116,2.2263
0.150964,0.005178,N0,package,0.1740,33.5943
0.150976,0.005177,N0,ram,0.0092,1.7802
0.151028,0.005171,N1,package,0.1722,33.3087
0.151037,0.005171,N1,ram,0.0096,1.8649
0.156161,0.005197,N0,package,0.1486,28.5854
0.156189,0.005213,N0,ram,0.0076,1.4518
0.156237,0.005209,N1,package,0.1714,32.9140
0.156253,0.005216,N1,ram,0.0097,1.8518
0.161416,0.005255,N0,package,0.1497,28.4909
0.161440,0.005251,N0,ram,0.0067,1.2844
0.161487,0.005250,N1,package,0.1724,32.8429
0.161503,0.005250,N1,ram,0.0097,1.8398
0.166650,0.005234,N0,package,0.1460,27.8938
0.166662,0.005222,N0,ram,0.0068,1.3061
0.166715,0.005228,N1,package,0.1730,33.0857
0.166724,0.005221,N1,ram,0.0097,1.8529
0.171824,0.005174,N0,package,0.1490,28.7944
0.171847,0.005185,N0,ram,0.0077,1.4832
0.171895,0.005180,N1,package,0.2039,39.3556
0.171911,0.005187,N1,ram,0.0116,2.2358
0.177041,0.005217,N0,package,0.1755,33.6482
0.177065,0.005218,N0,ram,0.0077,1.4767
0.177111,0.005216,N1,package,0.1710,32.7752
0.177129,0.005218,N1,ram,0.0097,1.8510
0.182293,0.005252,N0,package,0.1466,27.9138
0.182317,0.005252,N0,ram,0.0067,1.2697
0.182364,0.005253,N1,package,0.1727,32.8700
0.182379,0.005250,N1,ram,0.0096,1.8369
0.187541,0.005248,N0,package,0.1454,27.7040
0.187569,0.005252,N0,ram,0.0053,1.0139
0.187617,0.005253,N1,package,0.1725,32.8366
0.187633,0.005254,N1,ram,0.0096,1.8355
0.192739,0.005198,N0,package,0.1467,28.2279
0.192763,0.005194,N0,ram,0.0061,1.1663
0.192811,0.005194,N1,package,0.1694,32.6213
0.192825,0.005192,N1,ram,0.0097,1.8603
0.197935,0.005196,N0,package,0.1473,28.3439
0.197949,0.005186,N0,ram,0.0059,1.1445
0.198002,0.005191,N1,package,0.2034,39.1766
0.198011,0.005186,N1,ram,0.0116,2.2332
0.203136,0.005201,N0,package,0.1768,33.9847
0.203160,0.005211,N0,ram,0.0072,1.3851
0.203206,0.005204,N1,package,0.1721,33.0746
0.203224,0.005213,N1,ram,0.0097,1.8528
0.208384,0.005248,N0,package,0.1459,27.8086
0.208409,0.005249,N0,ram,0.0061,1.1541
0.208456,0.005250,N1,package,0.1713,32.6220
0.208471,0.005247,N1,ram,0.0096,1.8351
0.213649,0.005265,N0,package,0.1450,27.5325
0.213673,0.005264,N0,ram,0.0053,1.0029
0.213749,0.005293,N1,package,0.1730,32.6904
0.213763,0.005292,N1,ram,0.0097,1.8281
0.218893,0.005244,N0,package,0.1469,28.0151
0.218917,0.005244,N0,ram,0.0071,1.3589
0.218965,0.005216,N1,package,0.1659,31.8055
0.218980,0.005217,N1,ram,0.0097,1.8514
0.224085,0.005192,N0,package,0.1741,33.5385
0.224097,0.005180,N0,ram,0.0071,1.3668
0.224148,0.005183,N1,package,0.2042,39.3910
0.224158,0.005178,N1,ram,0.0116,2.2367
0.229283,0.005198,N0,package,0.1464,28.1574
0.229307,0.005210,N0,ram,0.0063,1.2154
0.229353,0.005205,N1,package,0.1757,33.7589
0.229367,0.005209,N1,ram,0.0096,1.8455
0.234537,0.005254,N0,package,0.1452,27.6364
0.234561,0.005254,N0,ram,0.0061,1.1530
0.234611,0.005258,N1,package,0.1711,32.5383
0.234637,0.005270,N1,ram,0.0097,1.8328
0.239737,0.005200,N0,package,0.1450,27.8771
0.239762,0.005201,N0,ram,0.0058,1.1061
0.239809,0.005198,N1,package,0.1658,31.8914
0.239824,0.005187,N1,ram,0.0097,1.8650
0.244956,0.005219,N0,package,0.1467,28.1144
0.244968,0.005206,N0,ram,0.0062,1.1900
0.245022,0.005213,N1,package,0.1718,32.9586
0.245032,0.005208,N1,ram,0.0116,2.2179
0.250130,0.005174,N0,package,0.1752,33.8667
0.250141,0.005173,N0,ram,0.0074,1.4247
0.250194,0.005172,N1,package,0.2031,39.2621
0.250203,0.005171,N1,ram,0.0097,1.8738
0.255350,0.005220,N0,package,0.1486,28.4717
0.255362,0.005221,N0,ram,0.0071,1.3649
0.255415,0.005221,N1,package,0.1718,32.9074
0.255424,0.005221,N1,ram,0.0097,1.8530
0.260581,0.005231,N0,package,0.1455,27.8170
0.260618,0.005256,N0,ram,0.0056,1.0683
0.260666,0.005251,N1,package,0.1700,32.3836
0.260680,0.005256,N1,ram,0.0096,1.8347
0.265784,0.005203,N0,package,0.1468,28.2124
0.265808,0.005190,N0,ram,0.0062,1.1937
0.265861,0.005195,N1,package,0.1750,33.6845
0.265875,0.005195,N1,ram,0.0096,1.8534
0.270978,0.005194,N0,package,0.1475,28.3896
0.270990,0.005182,N0,ram,0.0064,1.2338
0.271041,0.005180,N1,package,0.2059,39.7544
0.271051,0.005176,N1,ram,0.0116,2.2375
0.276149,0.005171,N0,package,0.1756,33.9594
0.276161,0.005171,N0,ram,0.0072,1.4016
0.276214,0.005173,N1,package,0.1726,33.3672
0.276224,0.005173,N1,ram,0.0097,1.8672
0.281383,0.005234,N0,package,0.1492,28.5002
0.281407,0.005246,N0,ram,0.0060,1.1518
0.281454,0.005240,N1,package,0.1695,32.3465
0.281471,0.005247,N1,ram,0.0097,1.8438
0.286618,0.005235,N0,package,0.1467,28.0286
0.286629,0.005222,N0,ram,0.0056,1.0724
0.286681,0.005227,N1,package,0.1700,32.5196
0.286690,0.005219,N1,ram,0.0097,1.8536
0.291767,0.005149,N0,package,0.1475,28.6381
0.291780,0.005151,N0,ram,0.0064,1.2353
0.291839,0.005158,N1,package,0.1705,33.0620
0.291848,0.005158,N1,ram,0.0096,1.8696
0.296947,0.005180,N0,package,0.1486,28.6919
0.296958,0.005178,N0,ram,0.0047,0.9135
0.297009,0.005170,N1,package,0.1677,32.4427
0.297019,0.005171,N1,ram,0.0097,1.8709
0.302144,0.005197,N0,package,0.1790,34.4340
0.302172,0.005214,N0,ram,0.0075,1.4428
0.302199,0.005190,N1,package,0.2065,39.7953
0.302214,0.005195,N1,ram,0.0116,2.2293
0.307376,0.005232,N0,package,0.1489,28.4522
0.307388,0.005216,N0,ram,0.0068,1.3047
0.307441,0.005242,N1,package,0.1755,33.4758
0.307450,0.005236,N1,ram,0.0077,1.4775
0.312610,0.005234,N0,package,0.1464,27.9637
0.312635,0.005247,N0,ram,0.0059,1.1283
0.312697,0.005256,N1,package,0.1739,33.0828
0.312706,0.005256,N1,ram,0.0097,1.8377
0.317806,0.005196,N0,package,0.1471,28.3100
0.317830,0.005195,N0,ram,0.0056,1.0780
0.317878,0.005181,N1,package,0.1687,32.5625
0.317893,0.005187,N1,ram,0.0097,1.8621
0.323023,0.005217,N0,package,0.1452,27.8322
0.323047,0.005217,N0,ram,0.0063,1.2167
0.323093,0.005215,N1,package,0.2043,39.1830
0.323110,0.005217,N1,ram,0.0116,2.2228
0.328272,0.005249,N0,package,0.1770,33.7209
0.328296,0.005249,N0,ram,0.0074,1.4070
0.328343,0.005250,N1,package,0.1708,32.5290
0.328359,0.005249,N1,ram,0.0097,1.8401
0.333523,0.005251,N0,package,0.1442,27.4668
0.333548,0.005252,N0,ram,0.0056,1.0721
0.333606,0.005263,N1,package,0.1694,32.1943
0.333623,0.005264,N1,ram,0.0097,1.8349
0.338724,0.005201,N0,package,0.1464,28.1524
0.338738,0.005190,N0,ram,0.0056,1.0760
0.338790,0.005184,N1,package,0.1707,32.9183
0.338800,0.005177,N1,ram,0.0097,1.8657
0.343922,0.005198,N0,package,0.1486,28.5919
0.343950,0.005212,N0,ram,0.0057,1.1008
0.343997,0.005207,N1,package,0.1712,32.8806
0.344012,0.005212,N1,ram,0.0096,1.8474
0.349142,0.005220,N0,package,0.1755,33.6165
0.349167,0.005217,N0,ram,0.0074,1.4185
0.349214,0.005217,N1,package,0.2012,38.5603
0.349232,0.005220,N1,ram,0.0116,2.2215
0.354374,0.005232,N0,package,0.1591,30.4004
0.354388,0.005221,N0,ram,0.0089,1.7127
0.354425,0.005211,N1,package,0.1746,33.5094
0.354435,0.005203,N1,ram,0.0096,1.8535
0.359571,0.005197,N0,package,0.1658,31.9090
0.359583,0.005195,N0,ram,0.0073,1.4039
0.359650,0.005225,N1,package,0.1724,33.0002
0.359660,0.005225,N1,ram,0.0097,1.8486
0.364738,0.005167,N0,package,0.1525,29.5076
