#timestamp,interval,socket,domain,energy,power
0.005118,0.005172,N0,package,0.1401,27.0952
0.005146,0.005194,N0,ram,0.0113,2.1828
0.005212,0.005220,N1,package,0.1030,19.7364
0.005226,0.005226,N1,ram,0.0102,1.9505
0.010380,0.005262,N0,package,0.1177,22.3627
0.010396,0.005250,N0,ram,0.0104,1.9764
0.010471,0.005259,N1,package,0.0838,15.9354
0.010503,0.005277,N1,ram,0.0080,1.5122
0.015592,0.005212,N0,package,0.1216,23.3387
0.015608,0.005212,N0,ram,0.0097,1.8678
0.015656,0.005185,N1,package,0.0794,15.3143
0.015669,0.005166,N1,ram,0.0066,1.2790
0.020758,0.005166,N0,package,0.1216,23.5477
0.020790,0.005182,N0,ram,0.0101,1.9494
0.020869,0.005213,N1,package,0.0803,15.4080
0.020883,0.005214,N1,ram,0.0064,1.2349
0.025968,0.005210,N0,package,0.1275,24.4719
0.025983,0.005193,N0,ram,0.0098,1.8775
0.026047,0.005178,N1,package,0.1057,20.4041
0.026060,0.005177,N1,ram,0.0101,1.9483
0.031196,0.005228,N0,package,0.1554,29.7248
0.031211,0.005228,N0,ram,0.0115,2.2008
0.031276,0.005229,N1,package,0.0981,18.7693
0.031288,0.005228,N1,ram,0.0098,1.8738
0.036437,0.005241,N0,package,0.1337,25.5033
0.036452,0.005241,N0,ram,0.0098,1.8633
0.036538,0.005262,N1,package,0.0986,18.7331
0.036549,0.005261,N1,ram,0.0090,1.7199
0.041638,0.005201,N0,package,0.1328,25.5249
0.041653,0.005201,N0,ram,0.0101,1.9481
0.041701,0.005163,N1,package,0.0992,19.2095
0.041713,0.005164,N1,ram,0.0098,1.8970
0.046856,0.005218,N0,package,0.1459,27.9558
0.046869,0.005216,N0,ram,0.0096,1.8371
0.046929,0.005228,N1,package,0.0966,18.4700
0.046940,0.005227,N1,ram,0.0097,1.8478
0.052049,0.005193,N0,package,0.1691,32.5568
0.052064,0.005195,N0,ram,0.0115,2.2206
0.052125,0.005196,N1,package,0.1150,22.1301
0.052139,0.005199,N1,ram,0.0089,1.7052
0.057270,0.005221,N0,package,0.1414,27.0858
0.057283,0.005219,N0,ram,0.0095,1.8185
0.057349,0.005224,N1,package,0.0963,18.4368
0.057361,0.005222,N1,ram,0.0059,1.1279
0.062511,0.005241,N0,package,0.1458,27.8220
0.062527,0.005244,N0,ram,0.0090,1.7197
0.062573,0.005224,N1,package,0.0974,18.6354
0.062585,0.005224,N1,ram,0.0074,1.4166
0.067667,0.005156,N0,package,0.1428,27.6882
0.067682,0.005155,N0,ram,0.0095,1.8381
0.067699,0.005126,N1,package,0.1111,21.6707
0.067711,0.005126,N1,ram,0.0100,1.9468
0.072831,0.005164,N0,package,0.1284,24.8565
0.072844,0.005162,N0,ram,0.0085,1.6406
0.072877,0.005178,N1,package,0.1208,23.3274
0.072887,0.005176,N1,ram,0.0107,2.0606
0.078011,0.005180,N0,package,0.1204,23.2470
0.078036,0.005192,N0,ram,0.0072,1.3783
0.078093,0.005216,N1,package,0.1412,27.0767
0.078111,0.005224,N1,ram,0.0118,2.2666
0.083278,0.005267,N0,package,0.1364,25.9001
0.083303,0.005267,N0,ram,0.0074,1.4022
0.083358,0.005265,N1,package,0.0925,17.5628
0.083376,0.005265,N1,ram,0.0059,1.1216
0.088514,0.005236,N0,package,0.1121,21.4130
0.088528,0.005225,N0,ram,0.0053,1.0192
0.088547,0.005189,N1,package,0.0894,17.2204
0.088559,0.005183,N1,ram,0.0058,1.1128
0.093642,0.005128,N0,package,0.1111,21.6745
0.093658,0.005130,N0,ram,0.0058,1.1213
0.093703,0.005156,N1,package,0.0903,17.5078
0.093713,0.005154,N1,ram,0.0058,1.1161
0.098840,0.005198,N0,package,0.1074,20.6543
0.098864,0.005206,N0,ram,0.0062,1.1900
0.098924,0.005221,N1,package,0.0912,17.4657
0.098942,0.005229,N1,ram,0.0058,1.1001
0.104078,0.005238,N0,package,0.0987,18.8417
0.104106,0.005242,N0,ram,0.0061,1.1586
0.104171,0.005247,N1,package,0.1047,19.9491
0.104190,0.005248,N1,ram,0.0074,1.4102
0.109360,0.005282,N0,package,0.1191,22.5447
0.109386,0.005280,N0,ram,0.0072,1.3640
0.109415,0.005244,N1,package,0.0830,15.8291
0.109433,0.005243,N1,ram,0.0047,0.8876
0.114577,0.005217,N0,package,0.0931,17.8411
0.114591,0.005205,N0,ram,0.0052,0.9909
0.114657,0.005242,N1,package,0.0804,15.3348
0.114669,0.005236,N1,ram,0.0055,1.0433
0.119775,0.005198,N0,package,0.0923,17.7540
0.119789,0.005198,N0,ram,0.0070,1.3415
0.119857,0.005200,N1,package,0.0820,15.7631
