#timestamp,interval,socket,domain,energy,power
0.005170,0.005225,N0,package,0.1121,21.4472
0.005219,0.005265,N0,ram,0.0096,1.8229
0.005274,0.005279,N1,package,0.0925,17.5160
0.005290,0.005290,N1,ram,0.0089,1.6787
0.010478,0.005308,N0,package,0.1152,21.7089
0.010506,0.005287,N0,ram,0.0105,1.9914
0.010564,0.005290,N1,package,0.0876,16.5682
0.010581,0.005291,N1,ram,0.0080,1.5141
0.015697,0.005219,N0,package,0.1163,22.2904
0.015729,0.005223,N0,ram,0.0097,1.8610
0.015785,0.005221,N1,package,0.0872,16.6941
0.015808,0.005227,N1,ram,0.0078,1.4947
0.020960,0.005263,N0,package,0.1389,26.3828
0.020990,0.005261,N0,ram,0.0124,2.3551
0.021036,0.005251,N1,package,0.0966,18.4003
0.021078,0.005270,N1,ram,0.0084,1.5867
0.026223,0.005263,N0,package,0.1277,24.2733
0.026258,0.005268,N0,ram,0.0097,1.8479
0.026305,0.005269,N1,package,0.0909,17.2481
0.026315,0.005237,N1,ram,0.0089,1.6986
0.031504,0.005281,N0,package,0.1353,25.6116
0.031532,0.005274,N0,ram,0.0098,1.8516
0.031589,0.005284,N1,package,0.0916,17.3262
0.031618,0.005303,N1,ram,0.0096,1.8185
0.036725,0.005221,N0,package,0.1388,26.5831
0.036752,0.005220,N0,ram,0.0093,1.7861
0.036819,0.005230,N1,package,0.0910,17.4004
0.036834,0.005216,N1,ram,0.0096,1.8488
0.041968,0.005243,N0,package,0.1370,26.1355
0.041985,0.005233,N0,ram,0.0111,2.1169
0.042048,0.005229,N1,package,0.1127,21.5590
0.042058,0.005224,N1,ram,0.0116,2.2170
0.047215,0.005247,N0,package,0.1666,31.7557
0.047246,0.005261,N0,ram,0.0095,1.7982
0.047301,0.005253,N1,package,0.0980,18.6600
0.047318,0.005260,N1,ram,0.0081,1.5462
0.052498,0.005283,N0,package,0.1377,26.0633
0.052534,0.005288,N0,ram,0.0092,1.7342
0.052550,0.005249,N1,package,0.0895,17.0581
0.052560,0.005242,N1,ram,0.0062,1.1818
0.057665,0.005167,N0,package,0.1379,26.6856
0.057689,0.005155,N0,ram,0.0092,1.7879
0.057729,0.005179,N1,package,0.0941,18.1611
0.057744,0.005184,N1,ram,0.0059,1.1332
0.062880,0.005215,N0,package,0.1404,26.9178
0.062929,0.005240,N0,ram,0.0095,1.8084
0.062974,0.005245,N1,package,0.1191,22.7152
0.062983,0.005239,N1,ram,0.0101,1.9223
0.068097,0.005217,N0,package,0.1647,31.5774
0.068130,0.005201,N0,ram,0.0106,2.0419
0.068174,0.005200,N1,package,0.1121,21.5505
0.068184,0.005201,N1,ram,0.0098,1.8865
0.073322,0.005225,N0,package,0.1127,21.5631
0.073356,0.005226,N0,ram,0.0089,1.6993
0.073400,0.005226,N1,package,0.1193,22.8204
0.073410,0.005226,N1,ram,0.0112,2.1518
0.078524,0.005202,N0,package,0.1130,21.7186
0.078558,0.005202,N0,ram,0.0076,1.4607
0.078601,0.005201,N1,package,0.1181,22.7084
0.078610,0.005200,N1,ram,0.0108,2.0746
