#timestamp,interval,socket,domain,energy,power
0.005169,0.005230,N0,package,0.1065,20.3647
0.005213,0.005268,N0,ram,0.0084,1.5930
0.005272,0.005283,N1,package,0.1035,19.5945
0.005289,0.005289,N1,ram,0.0103,1.9387
0.010451,0.005282,N0,package,0.1023,19.3661
0.010478,0.005265,N0,ram,0.0084,1.5882
0.010532,0.005260,N1,package,0.1092,20.7590
0.010552,0.005263,N1,ram,0.0104,1.9831
0.015687,0.005236,N0,package,0.0988,18.8611
0.015703,0.005225,N0,ram,0.0081,1.5507
0.015761,0.005229,N1,package,0.1324,25.3175
0.015775,0.005223,N1,ram,0.0126,2.4073
0.020908,0.005221,N0,package,0.1171,22.4332
0.020938,0.005235,N0,ram,0.0091,1.7401
0.020997,0.005236,N1,package,0.1129,21.5529
0.021018,0.005243,N1,ram,0.0105,1.9935
0.026205,0.005297,N0,package,0.1050,19.8191
0.026220,0.005282,N0,ram,0.0092,1.7477
0.026282,0.005285,N1,package,0.1156,21.8732
0.026293,0.005275,N1,ram,0.0101,1.9236
0.031450,0.005245,N0,package,0.1061,20.2249
0.031476,0.005256,N0,ram,0.0083,1.5822
0.031505,0.005223,N1,package,0.1306,24.9958
0.031520,0.005227,N1,ram,0.0098,1.8713
0.036634,0.005184,N0,package,0.1037,20.0039
0.036660,0.005184,N0,ram,0.0085,1.6307
0.036736,0.005231,N1,package,0.1279,24.4448
0.036767,0.005247,N1,ram,0.0098,1.8699
0.041881,0.005247,N0,package,0.1248,23.7761
0.041896,0.005236,N0,ram,0.0102,1.9525
0.041952,0.005216,N1,package,0.1582,30.3310
0.041963,0.005196,N1,ram,0.0117,2.2553
0.047126,0.005245,N0,package,0.1042,19.8758
0.047152,0.005256,N0,ram,0.0083,1.5793
0.047201,0.005249,N1,package,0.1317,25.0930
0.047215,0.005252,N1,ram,0.0096,1.8333
0.052406,0.005280,N0,package,0.0972,18.4145
0.052433,0.005281,N0,ram,0.0059,1.1124
0.052461,0.005260,N1,package,0.1330,25.2844
0.052476,0.005261,N1,ram,0.0097,1.8359
0.057584,0.005178,N0,package,0.0975,18.8364
0.057614,0.005181,N0,ram,0.0059,1.1398
0.057641,0.005180,N1,package,0.1356,26.1809
0.057656,0.005180,N1,ram,0.0096,1.8587
0.062794,0.005210,N0,package,0.1324,25.4219
0.062819,0.005205,N0,ram,0.0108,2.0785
0.062873,0.005232,N1,package,0.1635,31.2519
0.062889,0.005233,N1,ram,0.0117,2.2423
0.068020,0.005226,N0,package,0.1106,21.1620
0.068045,0.005226,N0,ram,0.0083,1.5796
0.068094,0.005221,N1,package,0.1374,26.3155
0.068113,0.005224,N1,ram,0.0102,1.9599
0.073279,0.005259,N0,package,0.1056,20.0789
0.073304,0.005259,N0,ram,0.0084,1.6016
0.073352,0.005258,N1,package,0.1342,25.5257
0.073420,0.005307,N1,ram,0.0116,2.1938
0.078529,0.005250,N0,package,0.1066,20.3093
0.078544,0.005240,N0,ram,0.0075,1.4269
0.078576,0.005224,N1,package,0.1379,26.4050
0.078586,0.005166,N1,ram,0.0108,2.0912
0.083721,0.005192,N0,package,0.1067,20.5496
0.083734,0.005190,N0,ram,0.0066,1.2789
0.083787,0.005211,N1,package,0.1627,31.2269
0.083797,0.005211,N1,ram,0.0142,2.7233
0.088917,0.005196,N0,package,0.1310,25.2194
0.088930,0.005196,N0,ram,0.0077,1.4772
0.088984,0.005197,N1,package,0.1413,27.1878
0.088994,0.005197,N1,ram,0.0128,2.4545
0.094156,0.005239,N0,package,0.1121,21.3896
0.094181,0.005251,N0,ram,0.0065,1.2379
0.094228,0.005244,N1,package,0.1375,26.2110
0.094243,0.005249,N1,ram,0.0133,2.5291
0.099422,0.005266,N0,package,0.1130,21.4541
0.099435,0.005254,N0,ram,0.0059,1.1152
0.099492,0.005264,N1,package,0.1395,26.4940
0.099503,0.005260,N1,ram,0.0131,2.4890
